captured_at,protocol,category,tvl_usd,change_1d_pct,change_7d_pct,chains,stress_label
2026-04-27T06:31:30+00:00,Binance CEX,CEX,156341474063.0,1.15,2.14,"Ethereum,Bitcoin,Binance,Solana,Ripple",drift
2026-04-27T06:31:30+00:00,OKX,CEX,26177456052.0,-0.36,40.24,"Ethereum,Bitcoin,Solana,Tron,Doge",drift
2026-04-27T06:31:30+00:00,Lido,Liquid Staking,22312910115.0,3.15,3.8,"Ethereum,Solana,Moonbeam,Moonriver,Terra",drift
2026-04-27T06:31:30+00:00,Bitfinex,CEX,19229542039.0,1.47,4.92,"Bitcoin,Ethereum,Tron,Solana,Avalanche",drift
2026-04-27T06:31:30+00:00,SSV Network,Staking Pool,17550787131.0,3.16,4.51,Ethereum,drift
2026-04-27T06:31:30+00:00,Bybit,CEX,16020253335.0,1.13,6.56,"Ethereum,Bitcoin,Tron,Solana,Mantle",drift
2026-04-27T06:31:30+00:00,Robinhood,CEX,14302645490.0,2.19,4.89,"Bitcoin,Ethereum,Polygon,Avalanche",drift
2026-04-27T06:31:30+00:00,Aave V3,Lending,14136537457.0,3.71,-17.13,"Ethereum,Arbitrum,Plasma,Base,Avalanche",drift
2026-04-27T06:31:30+00:00,EigenCloud,Restaking,9309122556.0,1.12,-3.56,Ethereum,drift
2026-04-27T06:31:30+00:00,WBTC,Bridge,9017212150.0,-0.41,4.25,Bitcoin,drift
2026-04-27T06:31:30+00:00,Binance staked ETH,Liquid Staking,8793809637.0,3.17,4.56,"Ethereum,Binance",drift
2026-04-27T06:31:30+00:00,Morpho Blue,Lending,6839669153.0,1.81,4.89,"Ethereum,Base,Hyperliquid L1,Katana,Monad",drift
2026-04-27T06:31:30+00:00,Coinbase Bridge,Bridge,5787694278.0,1.95,5.95,"Bitcoin,Ripple,Doge,Cardano,Litecoin",drift
2026-04-27T06:31:30+00:00,Bitget,CEX,5709071012.0,1.61,3.45,"Bitcoin,Ethereum,Binance,Solana,Tron",drift
2026-04-27T06:31:30+00:00,Gemini,CEX,5651362004.0,2.16,3.84,"Bitcoin,Ethereum",drift
2026-04-27T06:31:30+00:00,Sky Lending,CDP,5391543183.0,1.52,3.26,Ethereum,drift
