captured_at,ticker,name,close,volume,dollar_volume_usd,pct_change,vol_vs_20d,regime
2026-04-27T06:30:19+00:00,IBIT,iShares Bitcoin Trust,44.02,28410600,1250634625.0,-0.07,0.69,fade
2026-04-27T06:30:19+00:00,FBTC,Fidelity Wise Origin Bitcoin,67.61,4026000,272197862.0,-0.09,0.96,normal
2026-04-27T06:30:19+00:00,GBTC,Grayscale Bitcoin Trust,60.37,1618200,97690732.0,-0.18,0.7,fade
2026-04-27T06:30:19+00:00,BITB,Bitwise Bitcoin,42.18,1525000,64324500.0,-0.12,0.83,normal
2026-04-27T06:30:19+00:00,ARKB,ARK 21Shares Bitcoin,25.77,1569000,40433131.0,-0.1,0.55,fade
2026-04-27T06:30:19+00:00,HODL,VanEck Bitcoin,21.97,764600,16798261.0,-0.07,0.53,fade
2026-04-27T06:30:19+00:00,BTCO,Invesco Galaxy Bitcoin,77.29,67300,5201617.0,-0.12,0.66,fade
2026-04-27T06:30:19+00:00,EZBC,Franklin Bitcoin,44.88,96500,4330920.0,-0.13,0.72,normal
2026-04-27T06:30:19+00:00,BRRR,Valkyrie Bitcoin,21.9,106300,2327970.0,-0.09,0.52,fade
2026-04-27T06:30:19+00:00,BTCW,WisdomTree Bitcoin,82.11,15300,1256222.0,-0.04,0.67,fade
2026-04-27T06:30:19+00:00,DEFI,Hashdex Bitcoin,87.87,400,35148.0,-0.3,0.88,normal
