date,gold_pm,gold_pm_chg_pct,gold_am,gold_am_chg_pct,silver,silver_chg_pct,platinum_pm,platinum_pm_chg_pct,palladium_pm,palladium_pm_chg_pct,captured_at
2026-04-24,4711.65,-0.16,4679.80,-0.45,74.83,+0.38,1996.00,-1.63,1484.00,-0.54,2026-04-27T22:50:25Z
2026-04-23,4719.15,-0.48,4700.90,-1.16,74.55,-4.51,2029.00,-2.55,1492.00,-4.30,2026-04-27T22:50:25Z
2026-04-22,4742.10,-0.73,4756.15,-0.56,78.06,-1.19,2082.00,+0.00,1559.00,-0.38,2026-04-27T22:50:25Z
2026-04-21,4776.75,-0.76,4782.90,-0.03,79.00,-0.38,2082.00,+0.53,1565.00,+1.03,2026-04-27T22:50:25Z
2026-04-20,4813.55,-1.17,4784.10,-0.25,79.31,-0.02,2071.00,-3.36,1549.00,-2.82,2026-04-27T22:50:25Z
2026-04-17,4870.50,+1.60,4795.85,-0.36,79.32,-0.46,2143.00,+0.33,1594.00,+0.89,2026-04-27T22:50:25Z
2026-04-16,4793.60,-0.61,4812.95,+0.31,79.69,+1.41,2136.00,+1.28,1580.00,+0.00,2026-04-27T22:50:25Z
2026-04-15,4823.25,+0.59,4798.15,+0.55,78.58,+1.49,2109.00,+1.64,1580.00,+1.48,2026-04-27T22:50:25Z
2026-04-14,4794.75,+1.53,4771.85,+1.17,77.42,+4.11,2075.00,+2.17,1557.00,+1.90,2026-04-27T22:50:25Z
2026-04-13,4722.65,-1.07,4716.75,-0.67,74.36,-1.56,2031.00,-1.50,1528.00,+0.20,2026-04-27T22:50:25Z
2026-04-10,4773.75,+0.23,4748.35,+0.41,75.55,+1.98,2062.00,+1.13,1525.00,-1.49,2026-04-27T22:50:25Z
2026-04-09,4762.60,-0.62,4729.05,-1.44,74.08,-3.55,2039.00,-2.02,1548.00,-3.19,2026-04-27T22:50:25Z
2026-04-08,4792.55,+3.92,4798.05,+2.47,76.81,+6.52,2081.00,+7.10,1599.00,+9.30,2026-04-27T22:50:25Z
2026-04-07,4611.70,-0.60,4682.50,+1.23,72.11,+1.57,1943.00,+1.73,1463.00,+0.00,2026-04-27T22:50:25Z
2026-04-02,4639.35,-2.10,4625.65,-1.99,70.99,-5.18,1910.00,-2.55,1463.00,-0.61,2026-04-27T22:50:25Z
2026-04-01,4739.00,+2.84,4719.70,+3.64,74.87,+3.01,1960.00,+2.73,1472.00,+1.66,2026-04-27T22:50:25Z
2026-03-31,4608.35,+1.75,4553.95,+0.57,72.69,+2.73,1908.00,-0.62,1448.00,+1.26,2026-04-27T22:50:25Z
2026-03-30,4529.15,+0.56,4528.05,+2.22,70.75,+4.36,1920.00,+3.84,1430.00,+3.10,2026-04-27T22:50:25Z
2026-03-27,4504.15,+1.07,4429.85,-0.29,67.80,+0.75,1849.00,-1.07,1387.00,+1.09,2026-04-27T22:50:25Z
2026-03-26,4456.45,-2.37,4442.80,-2.48,67.29,-8.04,1869.00,-4.15,1372.00,-4.32,2026-04-27T22:50:25Z
2026-03-25,4564.55,+3.42,4555.75,+3.09,73.17,+4.57,1950.00,+3.07,1434.00,+2.94,2026-04-27T22:50:25Z
2026-03-24,4413.55,-1.18,4419.40,+3.66,69.97,+4.08,1892.00,-0.05,1393.00,-3.80,2026-04-27T22:50:25Z
2026-03-23,4466.25,-2.11,4263.55,-8.32,67.23,-7.10,1893.00,-4.30,1448.00,+0.98,2026-04-27T22:50:25Z
2026-03-20,4562.55,-0.82,4650.70,-0.69,72.37,+3.83,1978.00,+2.22,1434.00,-0.28,2026-04-27T22:50:25Z
2026-03-19,4600.35,-5.54,4682.85,-6.03,69.70,-11.32,1935.00,-6.34,1438.00,-7.41,2026-04-27T22:50:25Z
2026-03-18,4869.95,-2.93,4983.25,-0.45,78.60,-2.01,2066.00,-4.22,1553.00,-4.67,2026-04-27T22:50:25Z
2026-03-17,5016.80,+0.44,5005.85,+0.38,80.22,+1.61,2157.00,+1.84,1629.00,+1.75,2026-04-27T22:50:25Z
2026-03-16,4994.85,-0.99,4986.90,-1.89,78.94,-5.68,2118.00,+1.97,1601.00,-0.68,2026-04-27T22:50:25Z
2026-03-13,5044.60,-1.67,5082.85,-1.91,83.69,-3.83,2077.00,-3.40,1612.00,-1.83,2026-04-27T22:50:25Z
2026-03-12,5130.10,-1.01,5181.65,-0.04,87.03,+0.93,2150.00,-2.49,1642.00,-0.79,2026-04-27T22:50:25Z
2026-03-11,5182.40,-0.52,5183.60,+0.19,86.23,-2.59,2205.00,-0.81,1655.00,-1.25,2026-04-27T22:50:25Z
2026-03-10,5209.70,+2.43,5173.95,+1.56,88.53,+6.09,2223.00,+4.27,1676.00,+1.58,2026-04-27T22:50:25Z
2026-03-09,5086.35,-0.80,5094.55,+0.13,83.44,+1.34,2132.00,+1.09,1650.00,+1.48,2026-04-27T22:50:25Z
2026-03-06,5127.55,+0.46,5087.75,-1.28,82.34,-2.23,2109.00,-1.86,1626.00,-1.16,2026-04-27T22:50:25Z
2026-03-05,5104.05,-0.86,5153.75,-0.58,84.22,-2.96,2149.00,-0.83,1645.00,-3.63,2026-04-27T22:50:25Z
2026-03-04,5148.55,+2.28,5183.70,-1.59,86.78,+6.74,2167.00,+2.51,1707.00,+2.15,2026-04-27T22:50:25Z
2026-03-03,5033.65,-5.27,5267.60,-2.28,81.31,-14.07,2114.00,-9.23,1671.00,-6.23,2026-04-27T22:50:25Z
2026-03-02,5313.90,+1.75,5390.45,+4.18,94.62,+5.16,2329.00,-1.56,1782.00,-0.61,2026-04-27T22:50:25Z
2026-02-27,5222.30,+1.06,5174.10,-0.01,89.97,+4.10,2366.00,+4.92,1793.00,+1.36,2026-04-27T22:50:25Z
2026-02-26,5167.35,,5174.75,,86.43,,2255.00,,1769.00,,2026-04-27T22:50:25Z
