ticker,list_name,list_date,reason
QRED,sec_top_gappers,2026-03-06,no_price_data
GLED,sec_top_gappers,2026-03-06,no_next_trading_day
DSX-WT,sec_top_value,2026-03-06,no_next_trading_day
LGNZZ,sec_top_value,2026-03-06,no_next_trading_day
DFNSW,sec_top_value,2026-03-06,no_next_trading_day
DMAAR,sec_top_value,2026-03-06,no_next_trading_day
HQ,sec_top_value,2026-03-06,no_next_trading_day
INAI,sec_top_value,2026-03-06,no_price_data
RMIX,sec_top_value,2026-03-06,no_next_trading_day
WHLRL,sec_top_value,2026-03-06,no_next_trading_day
PLAI,sec_top_value,2026-03-06,no_price_data
QRED,sec_top_value,2026-03-06,no_price_data
CAST,sec_top_value,2026-03-06,no_next_trading_day
CLDWW,sec_top_value,2026-03-06,no_price_data
GLED,sec_top_value,2026-03-06,no_next_trading_day
BIOT,sec_top_value,2026-03-06,no_price_data
ACHR-WT,sec_top_value,2026-03-06,no_next_trading_day
LGNZZ,sec_top_moat_emerging,2026-03-06,no_next_trading_day
DFNSW,sec_top_moat_emerging,2026-03-06,no_next_trading_day
DMAAR,sec_top_moat_emerging,2026-03-06,no_next_trading_day
DSX-WT,sec_top_moat_emerging,2026-03-06,no_next_trading_day
HQ,sec_top_moat_emerging,2026-03-06,no_next_trading_day
INAI,sec_top_moat_emerging,2026-03-06,no_price_data
RMIX,sec_top_moat_emerging,2026-03-06,no_next_trading_day
WHLRL,sec_top_moat_emerging,2026-03-06,no_next_trading_day
GLED,sec_top_moat_emerging,2026-03-06,no_next_trading_day
CAST,sec_top_moat_emerging,2026-03-06,no_next_trading_day
CLDWW,sec_top_moat_emerging,2026-03-06,no_price_data
PLAI,sec_top_moat_emerging,2026-03-06,no_price_data
QRED,sec_top_moat_emerging,2026-03-06,no_price_data
ACHR-WT,sec_top_moat_emerging,2026-03-06,no_next_trading_day
BIOT,sec_top_moat_emerging,2026-03-06,no_price_data
DAICW,sec_top_gappers,2026-03-07,no_next_trading_day
DSX-WT,sec_top_gappers,2026-03-07,no_next_trading_day
RSVRW,sec_top_gappers,2026-03-07,no_next_trading_day
SHC,sec_top_gappers,2026-03-07,no_next_trading_day
DFNSW,sec_top_gappers,2026-03-07,no_next_trading_day
PPENF,sec_top_gappers,2026-03-07,no_next_trading_day
BXP,sec_top_gappers,2026-03-07,no_next_trading_day
LPRO,sec_top_gappers,2026-03-07,no_next_trading_day
GOOG,sec_top_gappers,2026-03-07,no_next_trading_day
REI,sec_top_gappers,2026-03-07,no_next_trading_day
AMC,sec_top_gappers,2026-03-07,no_next_trading_day
EDN,sec_top_gappers,2026-03-07,no_next_trading_day
AIM,sec_top_gappers,2026-03-07,no_next_trading_day
HTFC,sec_top_gappers,2026-03-07,no_next_trading_day
INLF,sec_top_gappers,2026-03-07,no_next_trading_day
JEM,sec_top_gappers,2026-03-07,no_next_trading_day
RCIAF,sec_top_gappers,2026-03-07,no_next_trading_day
SMXWW,sec_top_gappers,2026-03-07,no_next_trading_day
YHC,sec_top_gappers,2026-03-07,no_next_trading_day
MSBIP,sec_top_gappers,2026-03-07,no_next_trading_day
ARCO,sec_top_gappers,2026-03-07,no_next_trading_day
CRMD,sec_top_gappers,2026-03-07,no_next_trading_day
DYAI,sec_top_gappers,2026-03-07,no_next_trading_day
JMG,sec_top_gappers,2026-03-07,no_next_trading_day
INCY,sec_top_gappers,2026-03-07,no_next_trading_day
DJTWW,sec_top_gappers,2026-03-07,no_next_trading_day
DMAAR,sec_top_gappers,2026-03-07,no_next_trading_day
DMIIU,sec_top_gappers,2026-03-07,no_next_trading_day
PLNH,sec_top_gappers,2026-03-07,no_next_trading_day
PMNT,sec_top_gappers,2026-03-07,no_next_trading_day
SDOT,sec_top_gappers,2026-03-07,no_next_trading_day
BITF,sec_top_gappers,2026-03-07,no_next_trading_day
TKLF,sec_top_gappers,2026-03-07,no_next_trading_day
INM,sec_top_gappers,2026-03-07,no_next_trading_day
SFL,sec_top_gappers,2026-03-07,no_next_trading_day
GPAEF,sec_top_gappers,2026-03-07,no_next_trading_day
JCI,sec_top_gappers,2026-03-07,no_next_trading_day
APTV,sec_top_gappers,2026-03-07,no_next_trading_day
DEC,sec_top_gappers,2026-03-07,no_next_trading_day
DINO,sec_top_gappers,2026-03-07,no_next_trading_day
OSTX,sec_top_gappers,2026-03-07,no_next_trading_day
AACBU,sec_top_gappers,2026-03-07,no_next_trading_day
GREEL,sec_top_gappers,2026-03-07,no_next_trading_day
MDCXW,sec_top_gappers,2026-03-07,no_next_trading_day
NRIX,sec_top_gappers,2026-03-07,no_next_trading_day
YPF,sec_top_gappers,2026-03-07,no_next_trading_day
NAAS,sec_top_gappers,2026-03-07,no_next_trading_day
BWLP,sec_top_gappers,2026-03-07,no_next_trading_day
GLPGF,sec_top_gappers,2026-03-07,no_next_trading_day
BHST,sec_top_gappers,2026-03-07,no_next_trading_day
TEN-PF,sec_top_gappers,2026-03-07,no_next_trading_day
HAO,sec_top_gappers,2026-03-07,no_next_trading_day
BAK,sec_top_gappers,2026-03-07,no_next_trading_day
BCH,sec_top_gappers,2026-03-07,no_next_trading_day
WLDSW,sec_top_gappers,2026-03-07,no_next_trading_day
INTR,sec_top_gappers,2026-03-07,no_next_trading_day
TRMD,sec_top_gappers,2026-03-07,no_next_trading_day
NSRX,sec_top_gappers,2026-03-07,no_next_trading_day
PCLA,sec_top_gappers,2026-03-07,no_next_trading_day
RVSNW,sec_top_gappers,2026-03-07,no_next_trading_day
HUIZ,sec_top_gappers,2026-03-07,no_next_trading_day
HYFT,sec_top_gappers,2026-03-07,no_next_trading_day
NOKBF,sec_top_gappers,2026-03-07,no_next_trading_day
FRFFF,sec_top_gappers,2026-03-07,no_next_trading_day
HQ,sec_top_gappers,2026-03-07,no_next_trading_day
TVRD,sec_top_gappers,2026-03-07,no_next_trading_day
IQST,sec_top_gappers,2026-03-07,no_next_trading_day
DEFT,sec_top_gappers,2026-03-07,no_next_trading_day
NRDY,sec_top_gappers,2026-03-07,no_next_trading_day
NTHI,sec_top_gappers,2026-03-07,no_next_trading_day
INDI,sec_top_gappers,2026-03-07,no_next_trading_day
APM,sec_top_gappers,2026-03-07,no_next_trading_day
CRTMF,sec_top_gappers,2026-03-07,no_next_trading_day
GSCE,sec_top_gappers,2026-03-07,no_next_trading_day
IWFL,sec_top_gappers,2026-03-07,no_next_trading_day
VYLD,sec_top_gappers,2026-03-07,no_next_trading_day
JEF,sec_top_gappers,2026-03-07,no_next_trading_day
SRXH,sec_top_gappers,2026-03-07,no_next_trading_day
BNS,sec_top_gappers,2026-03-07,no_next_trading_day
VICI,sec_top_gappers,2026-03-07,no_next_trading_day
RMIX,sec_top_gappers,2026-03-07,no_next_trading_day
WHLRL,sec_top_gappers,2026-03-07,no_next_trading_day
BBOT,sec_top_gappers,2026-03-07,no_next_trading_day
LEE,sec_top_gappers,2026-03-07,no_next_trading_day
