application_no,sponsor_name,brand_name,action_date,submission_status,captured_at
BLA761055,REGENERON PHARMACEUTICALS,DUPIXENT,2026-04-22,AP,2026-04-27T23:01:55Z
BLA761055,REGENERON PHARMACEUTICALS,DUPIXENT,2026-04-16,AP,2026-04-27T23:01:55Z
BLA761044,JANSSEN BIOTECH,STELARA,2026-04-15,AP,2026-04-27T23:01:55Z
ANDA219013,EDENBRIDGE PHARMS,ATROPINE SULFATE,2026-04-15,AP,2026-04-27T23:01:55Z
ANDA075388,OXFORD PHARMS,BUSPIRONE HYDROCHLORIDE,2026-04-15,AP,2026-04-27T23:01:55Z
ANDA090607,ALEMBIC PHARMS LTD,LAMOTRIGINE,2026-04-13,AP,2026-04-27T23:01:55Z
ANDA090607,ALEMBIC PHARMS LTD,LAMOTRIGINE,2026-04-13,AP,2026-04-27T23:01:55Z
ANDA040719,SANDOZ,METHYLPREDNISOLONE ACETATE,2026-04-10,AP,2026-04-27T23:01:55Z
NDA214120,BRISTOL,ONUREG,2026-04-09,AP,2026-04-27T23:01:55Z
ANDA091291,CHARTWELL RX,LEVETIRACETAM,2026-04-09,AP,2026-04-27T23:01:55Z
ANDA090263,CHARTWELL MOLECULAR,LEVETIRACETAM,2026-04-08,AP,2026-04-27T23:01:55Z
NDA216718,BIOGEN US,SKYCLARYS,2026-04-07,AP,2026-04-27T23:01:55Z
ANDA211156,INVENTIA,DAPAGLIFLOZIN,2026-04-06,AP,2026-04-27T23:01:55Z
ANDA211506,MACLEODS PHARMS LTD,DAPAGLIFLOZIN,2026-04-06,AP,2026-04-27T23:01:55Z
ANDA211523,AIZANT,DAPAGLIFLOZIN,2026-04-06,AP,2026-04-27T23:01:55Z
ANDA211531,LUPIN LTD,DAPAGLIFLOZIN,2026-04-06,AP,2026-04-27T23:01:55Z
BLA761467,MERCK SHARP DOHME,KEYTRUDA QLEX,2026-04-06,AP,2026-04-27T23:01:55Z
ANDA211533,MSN,DAPAGLIFLOZIN AND SAXAGLIPTIN HYDROCHLORIDE,2026-04-06,AP,2026-04-27T23:01:55Z
ANDA211535,CIPLA,DAPAGLIFLOZIN,2026-04-06,AP,2026-04-27T23:01:55Z
ANDA211536,CIPLA LTD,DAPAGLIFLOZIN AND METFORMIN HYDROCHLORIDE,2026-04-06,AP,2026-04-27T23:01:55Z
ANDA211537,TORRENT,DAPAGLIFLOZIN AND SAXAGLIPTIN HYDROCHLORIDE,2026-04-06,AP,2026-04-27T23:01:55Z
NDA022387,UNITED THERAP,TYVASO,2026-04-03,AP,2026-04-27T23:01:55Z
ANDA202645,ACTAVIS LABS FL INC,PALIPERIDONE,2026-04-02,AP,2026-04-27T23:01:55Z
ANDA074060,HIKMA,VALPROIC ACID,2026-03-31,AP,2026-04-27T23:01:55Z
ANDA207611,HIBROW HLTHCARE,VALPROIC ACID,2026-03-31,AP,2026-04-27T23:01:55Z
ANDA212552,FRESENIUS KABI USA,LIRAGLUTIDE,2026-03-30,AP,2026-04-27T23:01:55Z
ANDA074060,HIKMA,VALPROIC ACID,2026-03-30,AP,2026-04-27T23:01:55Z
ANDA074060,HIKMA,VALPROIC ACID,2026-03-30,AP,2026-04-27T23:01:55Z
ANDA206107,SIGMAPHARM LABS LLC,ASENAPINE MALEATE,2026-03-27,AP,2026-04-27T23:01:55Z
ANDA213335,SPECGX LLC,DIPHENOXYLATE HYDROCHLORIDE AND ATROPINE SULFATE,2026-03-27,AP,2026-04-27T23:01:55Z
NDA204114,NOVARTIS,MEKINIST,2026-03-26,AP,2026-04-27T23:01:55Z
ANDA219006,ZHEJIANG JINGXIN,TICAGRELOR,2026-03-24,AP,2026-04-27T23:01:55Z
BLA761485,DENALI THERAPEUTICS INC.,AVLAYAH,2026-03-24,AP,2026-04-27T23:01:55Z
NDA016812,PH HEALTH,KETALAR,2026-03-23,AP,2026-04-27T23:01:55Z
ANDA216623,ALEMBIC,CARBAMAZEPINE,2026-03-20,AP,2026-04-27T23:01:55Z
NDA016812,PH HEALTH,KETALAR,2026-03-20,AP,2026-04-27T23:01:55Z
ANDA212943,AJANTA PHARMA LTD,TOFACITINIB CITRATE,2026-03-20,AP,2026-04-27T23:01:55Z
ANDA090317,ONESOURCE SPECIALTY,METOPROLOL TARTRATE,2026-03-18,AP,2026-04-27T23:01:55Z
