application_no,sponsor_name,brand_name,action_date,submission_status,captured_at
ANDA090317,ONESOURCE SPECIALTY,METOPROLOL TARTRATE,2026-03-18,AP,2026-04-27T23:01:55Z
ANDA090317,ONESOURCE SPECIALTY,METOPROLOL TARTRATE,2026-03-18,AP,2026-04-27T23:01:55Z
ANDA214992,DEXCEL,VIGABATRIN,2026-03-18,AP,2026-04-27T23:01:55Z
NDA022006,LUNDBECK PHARMS LLC,SABRIL,2026-03-18,AP,2026-04-27T23:01:55Z
ANDA210137,UNIQUE,FEXOFENADINE HYDROCHLORIDE ALLERGY,2026-03-18,AP,2026-04-27T23:01:55Z
ANDA215363,MSN,VIGABATRIN,2026-03-18,AP,2026-04-27T23:01:55Z
NDA005939,PROVEPHARM SAS,BAL,2026-03-18,AP,2026-04-27T23:01:55Z
ANDA210155,AMNEAL PHARMS,VIGABATRIN,2026-03-18,AP,2026-04-27T23:01:55Z
ANDA209822,TEVA PHARMS USA,VIGABATRIN,2026-03-18,AP,2026-04-27T23:01:55Z
ANDA209824,TEVA PHARMS USA,VIGABATRIN,2026-03-18,AP,2026-04-27T23:01:55Z
NDA210491,VERTEX PHARMS INC,SYMDEKO (COPACKAGED),2026-03-17,AP,2026-04-27T23:01:55Z
ANDA218984,APPCO,ACAMPROSATE CALCIUM,2026-03-16,AP,2026-04-27T23:01:55Z
ANDA203787,SCIEGEN PHARMS,DESOXIMETASONE,2026-03-16,AP,2026-04-27T23:01:55Z
NDA214121,ACCORD HLTHCARE,METHOTREXATE,2026-03-13,AP,2026-04-27T23:01:55Z
NDA022315,ABBVIE,OZURDEX,2026-03-11,AP,2026-04-27T23:01:55Z
NDA208025,DEXCEL,LANSOPRAZOLE,2026-03-11,AP,2026-04-27T23:01:55Z
ANDA212563,TEVA PHARMS USA,FERRIC CITRATE,2026-03-11,AP,2026-04-27T23:01:55Z
ANDA206086,SAVIOR LIFETEC CORP,MEROPENEM,2026-03-11,AP,2026-04-27T23:01:55Z
ANDA206086,SAVIOR LIFETEC CORP,MEROPENEM,2026-03-11,AP,2026-04-27T23:01:55Z
ANDA206086,SAVIOR LIFETEC CORP,MEROPENEM,2026-03-11,AP,2026-04-27T23:01:55Z
ANDA090962,P AND L,ADAPALENE,2026-03-10,AP,2026-04-27T23:01:55Z
ANDA219603,CONTRACT PHARMACAL,FAMOTIDINE,2026-03-09,AP,2026-04-27T23:01:55Z
ANDA218459,AUROBINDO PHARMA LTD,SIPONIMOD,2026-03-06,AP,2026-04-27T23:01:55Z
ANDA075948,APOTEX,CARBAMAZEPINE,2026-03-06,AP,2026-04-27T23:01:55Z
NDA214958,BRISTOL,SOTYKTU,2026-03-06,AP,2026-04-27T23:01:55Z
NDA050406,PRAGMA,KEFLEX,2026-03-05,AP,2026-04-27T23:01:55Z
NDA005939,PROVEPHARM SAS,BAL,2026-03-04,AP,2026-04-27T23:01:55Z
NDA021290,ACTELION,TRACLEER,2026-03-03,AP,2026-04-27T23:01:55Z
ANDA205699,PH HEALTH,BOSENTAN,2026-03-03,AP,2026-04-27T23:01:55Z
ANDA219602,GLENMARK SPECLT,FLUTICASONE PROPIONATE,2026-03-03,AP,2026-04-27T23:01:55Z
ANDA218469,AMNEAL,SODIUM ACETATE,2026-03-02,AP,2026-04-27T23:01:55Z
ANDA209143,MACLEODS PHARMS LTD,MOXIFLOXACIN HYDROCHLORIDE,2026-03-02,AP,2026-04-27T23:01:55Z
BLA761079,BIOMARIN PHARM,PALYNZIQ,2026-02-27,AP,2026-04-27T23:01:55Z
ANDA218529,FOURRTS LABS,PREGABALIN,2026-02-24,AP,2026-04-27T23:01:55Z
ANDA217063,BIOCON PHARMA,LIRAGLUTIDE,2026-02-24,AP,2026-04-27T23:01:55Z
NDA210496,ARRAY BIOPHARMA INC,BRAFTOVI,2026-02-24,AP,2026-04-27T23:01:55Z
NDA210496,ARRAY BIOPHARMA INC,BRAFTOVI,2026-02-24,AP,2026-04-27T23:01:55Z
ANDA214924,MSN,BRIVARACETAM,2026-02-23,AP,2026-04-27T23:01:55Z
ANDA217953,ARMSTRONG PHARMS,IPRATROPIUM BROMIDE,2026-02-23,AP,2026-04-27T23:01:55Z
ANDA076327,SUN PHARM INDS LTD,TOPIRAMATE,2026-02-23,AP,2026-04-27T23:01:55Z
ANDA076327,SUN PHARM INDS LTD,TOPIRAMATE,2026-02-23,AP,2026-04-27T23:01:55Z
ANDA076327,SUN PHARM INDS LTD,TOPIRAMATE,2026-02-23,AP,2026-04-27T23:01:55Z
ANDA076327,SUN PHARM INDS LTD,TOPIRAMATE,2026-02-23,AP,2026-04-27T23:01:55Z
ANDA076327,SUN PHARM INDS LTD,TOPIRAMATE,2026-02-23,AP,2026-04-27T23:01:55Z
ANDA076327,SUN PHARM INDS LTD,TOPIRAMATE,2026-02-23,AP,2026-04-27T23:01:55Z
ANDA076327,SUN PHARM INDS LTD,TOPIRAMATE,2026-02-23,AP,2026-04-27T23:01:55Z
ANDA076327,SUN PHARM INDS LTD,TOPIRAMATE,2026-02-23,AP,2026-04-27T23:01:55Z
BLA761055,REGENERON PHARMACEUTICALS,DUPIXENT,2026-02-23,AP,2026-04-27T23:01:55Z
ANDA207623,ALKEM LABS LTD,PREGABALIN,2026-02-23,AP,2026-04-27T23:01:55Z
NDA021630,PF PRISM CV,VFEND,2026-02-19,AP,2026-04-27T23:01:55Z
ANDA214922,MSN,BRIVARACETAM,2026-02-19,AP,2026-04-27T23:01:55Z
BLA761051,KYOWA KIRIN,POTELIGEO,2026-02-19,AP,2026-04-27T23:01:55Z
NDA021266,PF PRISM CV,VFEND,2026-02-19,AP,2026-04-27T23:01:55Z
NDA021267,PF PRISM CV,VFEND,2026-02-19,AP,2026-04-27T23:01:55Z
ANDA212943,AJANTA PHARMA LTD,TOFACITINIB CITRATE,2026-02-18,AP,2026-04-27T23:01:55Z
ANDA212943,AJANTA PHARMA LTD,TOFACITINIB CITRATE,2026-02-18,AP,2026-04-27T23:01:55Z
ANDA212943,AJANTA PHARMA LTD,TOFACITINIB CITRATE,2026-02-18,AP,2026-04-27T23:01:55Z
ANDA212943,AJANTA PHARMA LTD,TOFACITINIB CITRATE,2026-02-18,AP,2026-04-27T23:01:55Z
ANDA065406,ACS DOBFAR,AMPICILLIN AND SULBACTAM,2026-02-17,AP,2026-04-27T23:01:55Z
ANDA065406,ACS DOBFAR,AMPICILLIN AND SULBACTAM,2026-02-17,AP,2026-04-27T23:01:55Z
ANDA065406,ACS DOBFAR,AMPICILLIN AND SULBACTAM,2026-02-17,AP,2026-04-27T23:01:55Z
ANDA065406,ACS DOBFAR,AMPICILLIN AND SULBACTAM,2026-02-17,AP,2026-04-27T23:01:55Z
ANDA065406,ACS DOBFAR,AMPICILLIN AND SULBACTAM,2026-02-17,AP,2026-04-27T23:01:55Z
ANDA065406,ACS DOBFAR,AMPICILLIN AND SULBACTAM,2026-02-17,AP,2026-04-27T23:01:55Z
ANDA065406,ACS DOBFAR,AMPICILLIN AND SULBACTAM,2026-02-17,AP,2026-04-27T23:01:55Z
ANDA202289,MACLEODS PHARMS LTD,LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE,2026-02-17,AP,2026-04-27T23:01:55Z
ANDA201090,AUROBINDO PHARMA LTD,AMOXICILLIN AND CLAVULANATE POTASSIUM,2026-02-15,AP,2026-04-27T23:01:55Z
ANDA204506,WA UNIV SCH MED,AMMONIA N 13,2026-02-13,AP,2026-04-27T23:01:55Z
BLA761484,JANSSEN BIOTECH,RYBREVANT FASPRO,2026-02-13,AP,2026-04-27T23:01:55Z
NDA020472,PFIZER,ESTRING,2026-02-12,AP,2026-04-27T23:01:55Z
NDA202992,SANOFI AVENTIS US,AUBAGIO,2026-02-11,AP,2026-04-27T23:01:55Z
NDA208411,EMERGENT,NARCAN,2026-02-11,AP,2026-04-27T23:01:55Z
BLA761467,MERCK SHARP DOHME,KEYTRUDA QLEX,2026-02-10,AP,2026-04-27T23:01:55Z
ANDA076356,TEVA PHARMS USA,CLARAVIS,2026-02-09,AP,2026-04-27T23:01:55Z
NDA021951,SUN PHARM INDS INC,ABSORICA,2026-02-09,AP,2026-04-27T23:01:55Z
ANDA075945,MYLAN PHARMS INC,AMNESTEEM,2026-02-09,AP,2026-04-27T23:01:55Z
ANDA077491,SENORES PHARMS,PRAVASTATIN SODIUM,2026-02-06,AP,2026-04-27T23:01:55Z
ANDA215362,MSN,BUMETANIDE,2026-02-05,AP,2026-04-27T23:01:55Z
ANDA040743,ACCORD HLTHCARE,FLUOROURACIL,2026-02-05,AP,2026-04-27T23:01:55Z
NDA019422,XTTRIUM,DYNA-HEX 2,2026-02-03,AP,2026-04-27T23:01:55Z
ANDA214512,NOVITIUM PHARMA,ALENDRONATE SODIUM,2026-02-03,AP,2026-04-27T23:01:55Z
ANDA206058,ACCORD HLTHCARE,IBANDRONATE SODIUM,2026-02-03,AP,2026-04-27T23:01:55Z
ANDA206887,MACLEODS PHARMS LTD,IBANDRONATE SODIUM,2026-02-03,AP,2026-04-27T23:01:55Z
ANDA213313,APOTEX,PREGABALIN,2026-02-02,AP,2026-04-27T23:01:55Z
ANDA201168,ALEMBIC,LAMOTRIGINE,2026-01-30,AP,2026-04-27T23:01:55Z
ANDA201168,ALEMBIC,LAMOTRIGINE,2026-01-30,AP,2026-04-27T23:01:55Z
ANDA201168,ALEMBIC,LAMOTRIGINE,2026-01-30,AP,2026-04-27T23:01:55Z
ANDA201168,ALEMBIC,LAMOTRIGINE,2026-01-30,AP,2026-04-27T23:01:55Z
ANDA201168,ALEMBIC,LAMOTRIGINE,2026-01-30,AP,2026-04-27T23:01:55Z
NDA021253,CHEPLAPHARM,ZYPREXA,2026-01-30,AP,2026-04-27T23:01:55Z
NDA021630,PF PRISM CV,VFEND,2026-01-28,AP,2026-04-27T23:01:55Z
NDA202971,OTSUKA PHARM CO LTD,ABILIFY MAINTENA KIT,2026-01-28,AP,2026-04-27T23:01:55Z
ANDA219655,AMNEAL,SERTRALINE HYDROCHLORIDE,2026-01-28,AP,2026-04-27T23:01:55Z
NDA021266,PF PRISM CV,VFEND,2026-01-28,AP,2026-04-27T23:01:55Z
NDA021267,PF PRISM CV,VFEND,2026-01-28,AP,2026-04-27T23:01:55Z
ANDA216663,MANKIND PHARMA,PROPRANOLOL HYDROCHLORIDE,2026-01-27,AP,2026-04-27T23:01:55Z
ANDA219702,I 3 PHARMS,TRANEXAMIC ACID,2026-01-26,AP,2026-04-27T23:01:55Z
ANDA074752,ACTAVIS LABS FL INC,CARTIA XT,2026-01-24,AP,2026-04-27T23:01:55Z
ANDA074752,ACTAVIS LABS FL INC,CARTIA XT,2026-01-24,AP,2026-04-27T23:01:55Z
ANDA074752,ACTAVIS LABS FL INC,CARTIA XT,2026-01-24,AP,2026-04-27T23:01:55Z
NDA022348,CUMBERLAND PHARMS,CALDOLOR,2026-01-23,AP,2026-04-27T23:01:55Z
BLA761498,CELLTRION INC,AVTOZMA,2026-01-21,AP,2026-04-27T23:01:55Z
ANDA200180,WATSON LABS,LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE,2026-01-15,AP,2026-04-27T23:01:55Z
ANDA217937,AUROBINDO PHARMA,MYCOPHENOLATE MOFETIL,2026-01-14,AP,2026-04-27T23:01:55Z
ANDA217965,LAURUS,GABAPENTIN,2026-01-14,AP,2026-04-27T23:01:55Z
ANDA217546,LAURUS,GABAPENTIN,2026-01-14,AP,2026-04-27T23:01:55Z
NDA021588,NOVARTIS,GLEEVEC,2026-01-14,AP,2026-04-27T23:01:55Z
ANDA219638,SOMERSET THERAPS LLC,ELTROMBOPAG OLAMINE,2026-01-14,AP,2026-04-27T23:01:55Z
NDA018735,BRACCO,ISOVUE-250,2026-01-13,AP,2026-04-27T23:01:55Z
ANDA218985,UMEDICA,VARENICLINE TARTRATE,2026-01-09,AP,2026-04-27T23:01:55Z
NDA208411,EMERGENT,NARCAN,2026-01-09,AP,2026-04-27T23:01:55Z
ANDA216252,HUMANWELL,GABAPENTIN,2026-01-07,AP,2026-04-27T23:01:55Z
ANDA216252,HUMANWELL,GABAPENTIN,2026-01-07,AP,2026-04-27T23:01:55Z
ANDA201896,MYLAN,NORGESTIMATE AND ETHINYL ESTRADIOL,2026-01-07,AP,2026-04-27T23:01:55Z
ANDA211180,ZYDUS PHARMS,HALOPERIDOL DECANOATE,2026-01-05,AP,2026-04-27T23:01:55Z
ANDA090279,RUBICON RESEARCH,BUPRENORPHINE HYDROCHLORIDE,2026-01-02,AP,2026-04-27T23:01:55Z
ANDA206456,PHARMOBEDIENT,OXYCODONE HYDROCHLORIDE,2025-12-31,AP,2026-04-27T23:01:55Z
ANDA206484,UPSHER SMITH LABS,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,2025-12-31,AP,2026-04-27T23:01:55Z
ANDA206484,UPSHER SMITH LABS,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,2025-12-31,AP,2026-04-27T23:01:55Z
ANDA219619,SAGENT,CALCIUM GLUCONATE IN SODIUM CHLORIDE,2025-12-30,AP,2026-04-27T23:01:55Z
ANDA202327,WATSON LABS INC,SITAGLIPTIN PHOSPHATE,2025-12-29,AP,2026-04-27T23:01:55Z
ANDA205702,MACLEODS PHARMS LTD,TRAMADOL HYDROCHLORIDE,2025-12-29,AP,2026-04-27T23:01:55Z
ANDA206885,MACLEODS PHARMS LTD,TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN,2025-12-29,AP,2026-04-27T23:01:55Z
ANDA091607,SUN PHARM,TRAMADOL HYDROCHLORIDE,2025-12-29,AP,2026-04-27T23:01:55Z
ANDA209485,LUPIN LTD,MIRABEGRON,2025-12-29,AP,2026-04-27T23:01:55Z
ANDA202677,ALVOGEN,OXYCODONE AND ACETAMINOPHEN,2025-12-23,AP,2026-04-27T23:01:55Z
ANDA205257,MYLAN,TRAMADOL HYDROCHLORIDE,2025-12-23,AP,2026-04-27T23:01:55Z
ANDA091609,ACTAVIS ELIZABETH,TRAMADOL HYDROCHLORIDE,2025-12-23,AP,2026-04-27T23:01:55Z
ANDA077184,SUN PHARM INDS INC,TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN,2025-12-23,AP,2026-04-27T23:01:55Z
ANDA090964,HIKMA,OXYMORPHONE HYDROCHLORIDE,2025-12-22,AP,2026-04-27T23:01:55Z
ANDA075981,APOTEX,TRAMADOL HYDROCHLORIDE,2025-12-22,AP,2026-04-27T23:01:55Z
NDA213721,RIGEL PHARMS,GAVRETO,2025-12-22,AP,2026-04-27T23:01:55Z
ANDA201952,MICRO LABS LTD INDIA,TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN,2025-12-22,AP,2026-04-27T23:01:55Z
ANDA207595,RISING,NALBUPHINE HYDROCHLORIDE,2025-12-22,AP,2026-04-27T23:01:55Z
ANDA040419,SPECGX LLC,ACETAMINOPHEN AND CODEINE PHOSPHATE,2025-12-22,AP,2026-04-27T23:01:55Z
ANDA075045,HIKMA,BUTORPHANOL TARTRATE PRESERVATIVE FREE,2025-12-22,AP,2026-04-27T23:01:55Z
NDA210136,BRAEBURN,BRIXADI,2025-12-22,AP,2026-04-27T23:01:55Z
ANDA075046,HIKMA,BUTORPHANOL TARTRATE,2025-12-22,AP,2026-04-27T23:01:55Z
ANDA206869,AMNEAL PHARMS NY,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,2025-12-22,AP,2026-04-27T23:01:55Z
ANDA210484,ELITE LABS INC,METHADONE HYDROCHLORIDE,2025-12-22,AP,2026-04-27T23:01:55Z
ANDA210484,ELITE LABS INC,METHADONE HYDROCHLORIDE,2025-12-22,AP,2026-04-27T23:01:55Z
ANDA040119,PAI HOLDINGS,ACETAMINOPHEN AND CODEINE PHOSPHATE,2025-12-22,AP,2026-04-27T23:01:55Z
NDA016619,RISING,SUBLIMAZE PRESERVATIVE FREE,2025-12-22,AP,2026-04-27T23:01:55Z
ANDA074736,WATSON LABS,NALOXONE HYDROCHLORIDE AND PENTAZOCINE HYDROCHLORIDE,2025-12-22,AP,2026-04-27T23:01:55Z
ANDA089828,STRIDES PHARMA INTL,ACETAMINOPHEN AND CODEINE PHOSPHATE,2025-12-22,AP,2026-04-27T23:01:55Z
ANDA201066,PHARMOBEDIENT,BUPRENORPHINE HYDROCHLORIDE,2025-12-22,AP,2026-04-27T23:01:55Z
ANDA201066,PHARMOBEDIENT,BUPRENORPHINE HYDROCHLORIDE,2025-12-22,AP,2026-04-27T23:01:55Z
ANDA206470,ACTAVIS LABS FL INC,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,2025-12-22,AP,2026-04-27T23:01:55Z
ANDA214928,PRINSTON INC,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,2025-12-22,AP,2026-04-27T23:01:55Z
ANDA214930,ALKEM LABS LTD,BUPRENORPHINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE,2025-12-22,AP,2026-04-27T23:01:55Z
NDA020630,MYLAN INSTITUTIONAL,ULTIVA,2025-12-22,AP,2026-04-27T23:01:55Z
NDA020630,MYLAN INSTITUTIONAL,ULTIVA,2025-12-22,AP,2026-04-27T23:01:55Z
ANDA202991,RHODES PHARMS,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,2025-12-22,AP,2026-04-27T23:01:55Z
ANDA040432,CHARTWELL,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,2025-12-22,AP,2026-04-27T23:01:55Z
ANDA076604,ACTAVIS LABS FL INC,HYDROCODONE BITARTRATE AND IBUPROFEN,2025-12-22,AP,2026-04-27T23:01:55Z
NDA209819,INDIVIOR,SUBLOCADE,2025-12-22,AP,2026-04-27T23:01:55Z
NDA209128,VERTICAL PHARMS,DSUVIA,2025-12-22,AP,2026-04-27T23:01:55Z
ANDA040736,AMNEAL PHARMS NY,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,2025-12-22,AP,2026-04-27T23:01:55Z
ANDA088704,ANIMA,TRIACIN-C,2025-12-22,AP,2026-04-27T23:01:55Z
ANDA075964,SUN PHARM INDS INC,TRAMADOL HYDROCHLORIDE,2025-12-22,AP,2026-04-27T23:01:55Z
BLA761457,AMNEAL PHARMS LLC,OZILTUS,2025-12-19,AP,2026-04-27T23:01:55Z
BLA761456,AMNEAL PHARMS LLC,BONCRESA,2025-12-19,AP,2026-04-27T23:01:55Z
