week,gas_reg,gas_diesel,gas_mom,gas_yoy_pct,captured_at
2026-04-20,4.044,5.403,2.10,28.75,2026-04-27T23:01:46Z
2026-04-13,4.123,5.608,10.83,30.15,2026-04-27T23:01:46Z
2026-04-06,4.120,5.643,17.65,27.04,2026-04-27T23:01:46Z
2026-03-30,3.990,5.401,32.34,26.19,2026-04-27T23:01:46Z
2026-03-23,3.961,5.375,34.87,27.16,2026-04-27T23:01:46Z
2026-03-16,3.720,5.071,27.22,21.65,2026-04-27T23:01:46Z
2026-03-09,3.502,4.859,20.68,14.11,2026-04-27T23:01:46Z
2026-03-02,3.015,3.897,5.16,-2.05,2026-04-27T23:01:46Z
2026-02-23,2.937,3.809,2.94,-6.02,2026-04-27T23:01:46Z
2026-02-16,2.924,3.711,4.21,-7.12,2026-04-27T23:01:46Z
2026-02-09,2.902,3.688,4.43,-7.23,2026-04-27T23:01:46Z
2026-02-02,2.867,3.681,2.54,-6.98,2026-04-27T23:01:46Z
2026-01-26,2.853,3.624,1.49,-8.06,2026-04-27T23:01:46Z
2026-01-19,2.806,3.530,-1.23,-9.75,2026-04-27T23:01:46Z
2026-01-12,2.779,3.459,-4.01,-8.68,2026-04-27T23:01:46Z
2026-01-05,2.796,3.477,-4.90,-8.24,2026-04-27T23:01:46Z
2025-12-29,2.811,3.500,-5.83,-6.49,2026-04-27T23:01:46Z
2025-12-22,2.841,3.544,-7.19,-6.05,2026-04-27T23:01:46Z
2025-12-15,2.895,3.607,-5.45,-4.01,2026-04-27T23:01:46Z
2025-12-08,2.940,3.665,-3.80,-2.26,2026-04-27T23:01:46Z
2025-12-01,2.985,3.758,-1.13,-1.62,2026-04-27T23:01:46Z
2025-11-24,3.061,3.831,0.86,0.56,2026-04-27T23:01:46Z
2025-11-17,3.062,3.868,1.42,0.53,2026-04-27T23:01:46Z
2025-11-10,3.056,3.837,-0.16,0.13,2026-04-27T23:01:46Z
2025-11-03,3.019,3.753,-3.36,-1.63,2026-04-27T23:01:46Z
2025-10-27,3.035,3.718,-2.66,-2.00,2026-04-27T23:01:46Z
2025-10-20,3.019,3.620,-4.85,-3.98,2026-04-27T23:01:46Z
2025-10-13,3.061,3.665,-3.38,-3.47,2026-04-27T23:01:46Z
2025-10-06,3.124,3.711,-2.13,-0.38,2026-04-27T23:01:46Z
2025-09-29,3.118,3.754,-1.86,-1.92,2026-04-27T23:01:46Z
2025-09-22,3.173,3.749,0.83,-0.38,2026-04-27T23:01:46Z
2025-09-15,3.168,3.739,1.38,-0.38,2026-04-27T23:01:46Z
2025-09-08,3.192,3.766,2.37,-1.36,2026-04-27T23:01:46Z
2025-09-01,3.177,3.734,1.18,-3.41,2026-04-27T23:01:46Z
2025-08-25,3.147,3.708,0.77,-5.01,2026-04-27T23:01:46Z
2025-08-18,3.125,3.713,0.13,-7.60,2026-04-27T23:01:46Z
2025-08-11,3.118,3.754,-0.38,-8.67,2026-04-27T23:01:46Z
2025-08-04,3.140,3.800,0.48,-8.93,2026-04-27T23:01:46Z
