week,gas_reg,gas_diesel,gas_mom,gas_yoy_pct,captured_at
2025-07-28,3.123,3.805,-1.30,-10.36,2026-04-27T23:01:46Z
2025-07-21,3.121,3.812,-2.86,-10.08,2026-04-27T23:01:46Z
2025-07-14,3.130,3.758,-0.29,-10.47,2026-04-27T23:01:46Z
2025-07-07,3.125,3.739,0.55,-10.43,2026-04-27T23:01:46Z
2025-06-30,3.164,3.727,1.18,-9.05,2026-04-27T23:01:46Z
2025-06-23,3.213,3.775,1.68,-6.54,2026-04-27T23:01:46Z
2025-06-16,3.139,3.571,-1.07,-8.62,2026-04-27T23:01:46Z
2025-06-09,3.108,3.471,-0.38,-9.36,2026-04-27T23:01:46Z
2025-06-02,3.127,3.451,-0.64,-11.06,2026-04-27T23:01:46Z
2025-05-26,3.160,3.487,0.86,-11.66,2026-04-27T23:01:46Z
2025-05-19,3.173,3.536,1.02,-11.47,2026-04-27T23:01:46Z
2025-05-12,3.120,3.476,-1.52,-13.53,2026-04-27T23:01:46Z
2025-05-05,3.147,3.497,-2.96,-13.62,2026-04-27T23:01:46Z
2025-04-28,3.133,3.514,-0.92,-14.23,2026-04-27T23:01:46Z
2025-04-21,3.141,3.534,0.83,-14.37,2026-04-27T23:01:46Z
2025-04-14,3.168,3.579,3.60,-12.68,2026-04-27T23:01:46Z
2025-04-07,3.243,3.639,5.67,-9.69,2026-04-27T23:01:46Z
2025-03-31,3.162,3.592,2.73,-10.09,2026-04-27T23:01:46Z
2025-03-24,3.115,3.567,-0.32,-11.58,2026-04-27T23:01:46Z
2025-03-17,3.058,3.549,-2.86,-11.44,2026-04-27T23:01:46Z
2025-03-10,3.069,3.582,-1.89,-9.09,2026-04-27T23:01:46Z
2025-03-03,3.078,3.635,-0.13,-8.12,2026-04-27T23:01:46Z
2025-02-24,3.125,3.697,0.71,-3.82,2026-04-27T23:01:46Z
2025-02-17,3.148,3.677,1.25,-3.70,2026-04-27T23:01:46Z
2025-02-10,3.128,3.665,2.79,-2.01,2026-04-27T23:01:46Z
2025-02-03,3.082,3.660,1.15,-1.72,2026-04-27T23:01:46Z
2025-01-27,3.103,3.659,3.23,0.26,2026-04-27T23:01:46Z
2025-01-20,3.109,3.715,2.81,1.53,2026-04-27T23:01:46Z
2025-01-13,3.043,3.602,0.90,-0.49,2026-04-27T23:01:46Z
2025-01-06,3.047,3.561,1.30,-0.85,2026-04-27T23:01:46Z
2024-12-30,3.006,3.503,-0.92,,2026-04-27T23:01:46Z
2024-12-23,3.024,3.476,-0.66,,2026-04-27T23:01:46Z
2024-12-16,3.016,3.494,-0.98,,2026-04-27T23:01:46Z
2024-12-09,3.008,3.458,-1.44,,2026-04-27T23:01:46Z
2024-12-02,3.034,3.540,-1.14,,2026-04-27T23:01:46Z
2024-11-25,3.044,3.539,-1.71,,2026-04-27T23:01:46Z
2024-11-18,3.046,3.491,-3.12,,2026-04-27T23:01:46Z
2024-11-11,3.052,3.521,-3.75,,2026-04-27T23:01:46Z
2024-11-04,3.069,3.536,-2.14,,2026-04-27T23:01:46Z
2024-10-28,3.097,3.573,-2.58,,2026-04-27T23:01:46Z
2024-10-21,3.144,3.553,-1.29,,2026-04-27T23:01:46Z
2024-10-14,3.171,3.631,-0.28,,2026-04-27T23:01:46Z
2024-10-07,3.136,3.584,-3.09,,2026-04-27T23:01:46Z
2024-09-30,3.179,3.544,-3.34,,2026-04-27T23:01:46Z
2024-09-23,3.185,3.539,-3.86,,2026-04-27T23:01:46Z
2024-09-16,3.180,3.526,-5.97,,2026-04-27T23:01:46Z
2024-09-09,3.236,3.555,-5.21,,2026-04-27T23:01:46Z
2024-09-02,3.289,3.625,-4.61,,2026-04-27T23:01:46Z
2024-08-26,3.313,3.651,-4.91,,2026-04-27T23:01:46Z
2024-08-19,3.382,3.688,-2.56,,2026-04-27T23:01:46Z
2024-08-12,3.414,3.704,-2.35,,2026-04-27T23:01:46Z
2024-08-05,3.448,3.755,-1.18,,2026-04-27T23:01:46Z
2024-07-29,3.484,3.768,0.14,,2026-04-27T23:01:46Z
2024-07-22,3.471,3.779,0.96,,2026-04-27T23:01:46Z
2024-07-15,3.496,3.826,1.78,,2026-04-27T23:01:46Z
2024-07-08,3.489,3.865,1.75,,2026-04-27T23:01:46Z
2024-07-01,3.479,3.813,-1.05,,2026-04-27T23:01:46Z
2024-06-24,3.438,3.769,-3.89,,2026-04-27T23:01:46Z
2024-06-17,3.435,3.735,-4.16,,2026-04-27T23:01:46Z
2024-06-10,3.429,3.658,-4.96,,2026-04-27T23:01:46Z
2024-06-03,3.516,3.726,-3.49,,2026-04-27T23:01:46Z
2024-05-27,3.577,3.758,-2.08,,2026-04-27T23:01:46Z
2024-05-20,3.584,3.789,-2.29,,2026-04-27T23:01:46Z
2024-05-13,3.608,3.848,-0.55,,2026-04-27T23:01:46Z
2024-05-06,3.643,3.894,1.45,,2026-04-27T23:01:46Z
2024-04-29,3.653,3.947,3.87,,2026-04-27T23:01:46Z
