month,direction,hs2,label,value_usd,mom_pct,yoy_pct,captured_at
2026-01,EXPORT,83,MISCELLANEOUS ARTICLES OF BASE METAL,433032362,3.27,-11.20,2026-04-27T23:05:12Z
2026-01,EXPORT,35,ALBUMINOIDAL SUBST; MODIFIED STARCH; GLUE; EN,429702371,2.48,1.48,2026-04-27T23:05:12Z
2026-01,EXPORT,20,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT P",428247982,-1.49,-8.12,2026-04-27T23:05:12Z
2026-01,EXPORT,52,"COTTON, INCLUDING YARN AND WOVEN FABRIC THERE",409341671,17.46,-20.13,2026-04-27T23:05:12Z
2026-01,EXPORT,75,NICKEL AND ARTICLES THEREOF,395542083,-2.45,12.34,2026-04-27T23:05:12Z
2026-01,EXPORT,19,"PREP CEREAL, FLOUR, STARCH OR MILK; BAKERS WA",372909820,-10.37,-5.70,2026-04-27T23:05:12Z
2026-01,EXPORT,81,BASE METALS NESOI; CERMETS; ARTICLES THEREOF,361980597,3.24,11.53,2026-04-27T23:05:12Z
2026-01,EXPORT,82,"TOOLS, CUTLERY ETC. OF BASE METAL & PARTS THE",336479025,-4.34,-6.56,2026-04-27T23:05:12Z
2026-01,EXPORT,68,"ART OF STONE, PLASTER, CEMENT, ASBESTOS, MICA",323809558,-1.60,-2.40,2026-04-27T23:05:12Z
2026-01,EXPORT,49,"PRINTED BOOKS, NEWSPAPERS ETC; MANUSCRIPTS ET",295353745,-4.47,0.52,2026-04-27T23:05:12Z
2026-01,EXPORT,86,RAILWAY OR TRAMWAY STOCK ETC; TRAFFIC SIGNAL ,271183099,-4.28,13.82,2026-04-27T23:05:12Z
2026-01,EXPORT,16,"PREP OF MEAT,OF FISH,OF CRUSTACEANS ETC,OF IN",256249915,-5.57,14.49,2026-04-27T23:05:12Z
2026-01,EXPORT,25,SALT; SULFUR; EARTH & STONE; LIME & CEMENT PL,253294519,3.33,5.26,2026-04-27T23:05:12Z
2026-01,EXPORT,61,"APPAREL ARTICLES AND ACCESSORIES, KNIT OR CRO",239289874,-5.29,18.63,2026-04-27T23:05:12Z
2026-01,EXPORT,15,"ANIMAL, VEGETABLE OR MICROBIAL FATS AND OILS ",231813055,-5.47,-41.55,2026-04-27T23:05:12Z
2026-01,EXPORT,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS,219509019,9.75,5.29,2026-04-27T23:05:12Z
2026-01,EXPORT,03,"FISH, CRUSTACEANS & AQUATIC INVERTEBRATES",209525355,-39.97,-1.45,2026-04-27T23:05:12Z
