date,total_carloads,intermodal_units,yoy_pct,captured_at
2026-01-01,965128,1159051,-0.03,2026-04-27T23:06:36Z
2025-12-01,932254,1139451,-0.97,2026-04-27T23:06:36Z
2025-11-01,956314,1133175,-0.97,2026-04-27T23:06:36Z
2025-10-01,953235,1210818,-3.49,2026-04-27T23:06:36Z
2025-09-01,956045,1185406,-4.89,2026-04-27T23:06:36Z
2025-08-01,971603,1253400,-1.85,2026-04-27T23:06:36Z
2025-07-01,990800,1202799,+1.60,2026-04-27T23:06:36Z
2025-06-01,972894,1111488,+8.41,2026-04-27T23:06:36Z
2025-05-01,980458,1154788,-1.62,2026-04-27T23:06:36Z
2025-04-01,983151,1166250,+3.47,2026-04-27T23:06:36Z
2025-03-01,980549,1223451,+3.10,2026-04-27T23:06:36Z
2025-02-01,942671,1107486,+0.77,2026-04-27T23:06:36Z
2025-01-01,926418,1192590,+0.11,2026-04-27T23:06:36Z
2024-12-01,959575,1188077,+7.12,2026-04-27T23:06:36Z
2024-11-01,943918,1210531,+6.71,2026-04-27T23:06:36Z
2024-10-01,952651,1253518,+14.64,2026-04-27T23:06:36Z
2024-09-01,967792,1191873,+26.62,2026-04-27T23:06:36Z
2024-08-01,961879,1251150,+17.87,2026-04-27T23:06:36Z
2024-07-01,945581,1167756,+0.09,2026-04-27T23:06:36Z
2024-06-01,953042,1141889,-2.59,2026-04-27T23:06:36Z
2024-05-01,924627,1139363,-9.18,2026-04-27T23:06:36Z
2024-04-01,926255,1091151,-7.69,2026-04-27T23:06:36Z
2024-03-01,937606,1131742,-6.96,2026-04-27T23:06:36Z
2024-02-01,960643,1080697,-4.69,2026-04-27T23:06:36Z
2024-01-01,916726,1060637,-10.93,2026-04-27T23:06:36Z
2023-12-01,978819,1090131,-8.07,2026-04-27T23:06:36Z
2023-11-01,974258,1090452,-8.85,2026-04-27T23:06:36Z
2023-10-01,969471,1187306,-9.02,2026-04-27T23:06:36Z
2023-09-01,976968,1079107,-10.17,2026-04-27T23:06:36Z
2023-08-01,953944,1097725,-13.49,2026-04-27T23:06:36Z
2023-07-01,965295,1074791,-5.75,2026-04-27T23:06:36Z
2023-06-01,974099,1047301,-8.94,2026-04-27T23:06:36Z
2023-05-01,983730,1062095,-9.57,2026-04-27T23:06:36Z
2023-04-01,986442,1005290,-11.17,2026-04-27T23:06:36Z
2023-03-01,977614,1016285,-10.59,2026-04-27T23:06:36Z
2023-02-01,978527,936366,-11.35,2026-04-27T23:06:36Z
2023-01-01,999986,1010582,-9.69,2026-04-27T23:06:36Z
2022-12-01,922141,999463,-17.38,2026-04-27T23:06:36Z
2022-11-01,970544,1038155,-12.90,2026-04-27T23:06:36Z
2022-10-01,978935,1162840,-13.21,2026-04-27T23:06:36Z
2022-09-01,962690,1080190,-14.33,2026-04-27T23:06:36Z
2022-08-01,971156,1169981,-12.94,2026-04-27T23:06:36Z
2022-07-01,972554,1137071,-14.10,2026-04-27T23:06:36Z
2022-06-01,976339,1129620,-12.04,2026-04-27T23:06:36Z
2022-05-01,972663,1197656,-8.49,2026-04-27T23:06:36Z
2022-04-01,965940,1149264,-11.87,2026-04-27T23:06:36Z
2022-03-01,986724,1172921,-9.59,2026-04-27T23:06:36Z
2022-02-01,987641,1028199,-9.35,2026-04-27T23:06:36Z
2022-01-01,974226,1085528,-9.19,2026-04-27T23:06:36Z
2021-12-01,971239,1068021,-9.76,2026-04-27T23:06:36Z
2021-11-01,974605,1096025,-9.22,2026-04-27T23:06:36Z
2021-10-01,973043,1182787,-11.99,2026-04-27T23:06:36Z
2021-09-01,965444,1125683,-11.83,2026-04-27T23:06:36Z
2021-08-01,941424,1188660,-13.17,2026-04-27T23:06:36Z
2021-07-01,965650,1174756,-11.83,2026-04-27T23:06:36Z
2021-06-01,987693,1183542,-11.75,2026-04-27T23:06:36Z
2021-05-01,1005221,1258890,-8.38,2026-04-27T23:06:36Z
2021-04-01,989911,1242663,-8.71,2026-04-27T23:06:36Z
2021-03-01,975230,1255548,-11.65,2026-04-27T23:06:36Z
2021-02-01,897392,1009892,-17.77,2026-04-27T23:06:36Z
2021-01-01,996587,1263730,-9.01,2026-04-27T23:06:36Z
2020-12-01,950166,1177211,-11.83,2026-04-27T23:06:36Z
2020-11-01,951075,1211475,-11.71,2026-04-27T23:06:36Z
2020-10-01,935428,1281426,-10.64,2026-04-27T23:06:36Z
2020-09-01,925380,1208370,-9.01,2026-04-27T23:06:36Z
2020-08-01,895803,1232840,-10.72,2026-04-27T23:06:36Z
2020-07-01,884588,1142352,-13.51,2026-04-27T23:06:36Z
2020-06-01,831012,1066427,-20.09,2026-04-27T23:06:36Z
2020-05-01,764308,1004416,,2026-04-27T23:06:36Z
2020-04-01,816033,929822,,2026-04-27T23:06:36Z
2020-03-01,944777,1019288,,2026-04-27T23:06:36Z
2020-02-01,978383,1027532,,2026-04-27T23:06:36Z
2020-01-01,1018080,1112546,,2026-04-27T23:06:36Z
2019-12-01,1003412,1066873,,2026-04-27T23:06:36Z
2019-11-01,1007797,1085903,,2026-04-27T23:06:36Z
2019-10-01,1007866,1170089,,2026-04-27T23:06:36Z
2019-09-01,1029235,1128691,,2026-04-27T23:06:36Z
2019-08-01,1064698,1197130,,2026-04-27T23:06:36Z
2019-07-01,1068848,1153557,,2026-04-27T23:06:36Z
2019-06-01,1065573,1132621,,2026-04-27T23:06:36Z
2019-05-01,1087522,1157308,,2026-04-27T23:06:36Z
2019-04-01,1102693,1124254,,2026-04-27T23:06:36Z
2019-03-01,1024142,1171903,,2026-04-27T23:06:36Z
2019-02-01,1069766,1079346,,2026-04-27T23:06:36Z
2019-01-01,1087858,1173664,,2026-04-27T23:06:36Z
2018-12-01,1110528,1190997,,2026-04-27T23:06:36Z
2018-11-01,1093458,1174197,,2026-04-27T23:06:36Z
