date,total_carloads,intermodal_units,yoy_pct,captured_at
2018-10-01,1103823,1269398,,2026-04-27T23:06:36Z
2018-09-01,1107311,1200516,,2026-04-27T23:06:36Z
2018-08-01,1116136,1266891,,2026-04-27T23:06:36Z
2018-07-01,1114315,1222909,,2026-04-27T23:06:36Z
2018-06-01,1127922,1223757,,2026-04-27T23:06:36Z
2018-05-01,1123714,1234657,,2026-04-27T23:06:36Z
2018-04-01,1115526,1170294,,2026-04-27T23:06:36Z
2018-03-01,1132240,1192474,,2026-04-27T23:06:36Z
2018-02-01,1109932,1096709,,2026-04-27T23:06:36Z
2018-01-01,1062888,1150154,,2026-04-27T23:06:36Z
2017-12-01,1095985,1146773,,2026-04-27T23:06:36Z
2017-11-01,1091441,1134901,,2026-04-27T23:06:36Z
2017-10-01,1089499,1223973,,2026-04-27T23:06:36Z
2017-09-01,1072816,1130713,,2026-04-27T23:06:36Z
2017-08-01,1076232,1207978,,2026-04-27T23:06:36Z
2017-07-01,1073617,1145409,,2026-04-27T23:06:36Z
2017-06-01,1105627,1148295,,2026-04-27T23:06:36Z
