accession,filed_date,ticker,issuer,cik,primary_doc,captured_at
0001959173-26-003004,2026-04-21,HUBS,HUBSPOT INC,0001404655,https://www.sec.gov/Archives/edgar/data/0001404655/000195917326003004/primary_doc.xml,2026-04-27T22:58:50Z
0001709914-26-000014,2026-04-21,AGX,ARGAN INC,0000100591,https://www.sec.gov/Archives/edgar/data/0000100591/000170991426000014/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003671,2026-04-21,CRWV,"CoreWeave, Inc.",0001769628,https://www.sec.gov/Archives/edgar/data/0001769628/000195004726003671/primary_doc.xml,2026-04-27T22:58:50Z
0001974158-26-000058,2026-04-21,VCX,"Fundrise Innovation Fund, LLC",0001867090,https://www.sec.gov/Archives/edgar/data/0001867090/000197415826000058/primary_doc.xml,2026-04-27T22:58:50Z
0001628280-26-026242,2026-04-21,AEHR,AEHR TEST SYSTEMS,0001040470,https://www.sec.gov/Archives/edgar/data/0001040470/000162828026026242/primary_doc.xml,2026-04-27T22:58:50Z
0001972481-26-000136,2026-04-21,TLRY,"Tilray Brands, Inc.",0001731348,https://www.sec.gov/Archives/edgar/data/0001731348/000197248126000136/primary_doc.xml,2026-04-27T22:58:50Z
0001742734-26-000009,2026-04-21,MGTX,MeiraGTx Holdings plc,0001735438,https://www.sec.gov/Archives/edgar/data/0001735438/000174273426000009/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003681,2026-04-21,RNG,"RingCentral, Inc.",0001384905,https://www.sec.gov/Archives/edgar/data/0001384905/000195004726003681/primary_doc.xml,2026-04-27T22:58:50Z
0001628280-26-026329,2026-04-21,DYN,"Dyne Therapeutics, Inc.",0001818794,https://www.sec.gov/Archives/edgar/data/0001818794/000162828026026329/primary_doc.xml,2026-04-27T22:58:50Z
0001969223-26-000462,2026-04-21,JBL,JABIL INC,0000898293,https://www.sec.gov/Archives/edgar/data/0000898293/000196922326000462/primary_doc.xml,2026-04-27T22:58:50Z
0001949846-26-000212,2026-04-21,MCRP,Micropolis AI Robotics,0001993431,https://www.sec.gov/Archives/edgar/data/0001993431/000194984626000212/primary_doc.xml,2026-04-27T22:58:50Z
0001628280-26-026333,2026-04-21,RDW,Redwire Corp,0001819810,https://www.sec.gov/Archives/edgar/data/0001819810/000162828026026333/primary_doc.xml,2026-04-27T22:58:50Z
0001959173-26-003019,2026-04-21,LEVI,LEVI STRAUSS & CO,0000094845,https://www.sec.gov/Archives/edgar/data/0000094845/000195917326003019/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003678,2026-04-21,PSTG,"Everpure, Inc.",0001474432,https://www.sec.gov/Archives/edgar/data/0001474432/000195004726003678/primary_doc.xml,2026-04-27T22:58:50Z
0001104659-26-046227,2026-04-21,DC,Dakota Gold Corp.,0001852353,https://www.sec.gov/Archives/edgar/data/0001852353/000110465926046227/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003665,2026-04-21,OUST,"Ouster, Inc.",0001816581,https://www.sec.gov/Archives/edgar/data/0001816581/000195004726003665/primary_doc.xml,2026-04-27T22:58:50Z
0001959173-26-003021,2026-04-21,ABNB,"Airbnb, Inc.",0001559720,https://www.sec.gov/Archives/edgar/data/0001559720/000195917326003021/primary_doc.xml,2026-04-27T22:58:50Z
0001969223-26-000460,2026-04-21,ETSY,ETSY INC,0001370637,https://www.sec.gov/Archives/edgar/data/0001370637/000196922326000460/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003677,2026-04-21,MQ,"Marqeta, Inc.",0001522540,https://www.sec.gov/Archives/edgar/data/0001522540/000195004726003677/primary_doc.xml,2026-04-27T22:58:50Z
0001628280-26-026330,2026-04-21,DYN,"Dyne Therapeutics, Inc.",0001818794,https://www.sec.gov/Archives/edgar/data/0001818794/000162828026026330/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003680,2026-04-21,PSTG,"Everpure, Inc.",0001474432,https://www.sec.gov/Archives/edgar/data/0001474432/000195004726003680/primary_doc.xml,2026-04-27T22:58:50Z
0001193125-26-164710,2026-04-20,H,Hyatt Hotels Corp,0001468174,https://www.sec.gov/Archives/edgar/data/0001468174/000119312526164710/primary_doc.xml,2026-04-27T22:58:50Z
0001959173-26-002998,2026-04-20,,"Fold Holdings, Inc.",0001889123,https://www.sec.gov/Archives/edgar/data/0001889123/000195917326002998/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003646,2026-04-20,OUST,"Ouster, Inc.",0001816581,https://www.sec.gov/Archives/edgar/data/0001816581/000195004726003646/primary_doc.xml,2026-04-27T22:58:50Z
0001974158-26-000057,2026-04-20,VCX,"Fundrise Innovation Fund, LLC",0001867090,https://www.sec.gov/Archives/edgar/data/0001867090/000197415826000057/primary_doc.xml,2026-04-27T22:58:50Z
0000947871-26-000455,2026-04-20,MEOH,METHANEX CORP,0000886977,https://www.sec.gov/Archives/edgar/data/0000886977/000094787126000455/primary_doc.xml,2026-04-27T22:58:50Z
0001959173-26-002990,2026-04-20,CTAS,CINTAS CORP,0000723254,https://www.sec.gov/Archives/edgar/data/0000723254/000195917326002990/primary_doc.xml,2026-04-27T22:58:50Z
0001959173-26-003001,2026-04-20,CACC,CREDIT ACCEPTANCE CORP,0000885550,https://www.sec.gov/Archives/edgar/data/0000885550/000195917326003001/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003640,2026-04-20,SOPH,SOPHiA GENETICS SA,0001840706,https://www.sec.gov/Archives/edgar/data/0001840706/000195004726003640/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003636,2026-04-20,CRWV,"CoreWeave, Inc.",0001769628,https://www.sec.gov/Archives/edgar/data/0001769628/000195004726003636/primary_doc.xml,2026-04-27T22:58:50Z
0001628280-26-026021,2026-04-20,DYN,"Dyne Therapeutics, Inc.",0001818794,https://www.sec.gov/Archives/edgar/data/0001818794/000162828026026021/primary_doc.xml,2026-04-27T22:58:50Z
0001959173-26-002996,2026-04-20,RYN,RAYONIER INC,0000052827,https://www.sec.gov/Archives/edgar/data/0000052827/000195917326002996/primary_doc.xml,2026-04-27T22:58:50Z
0000103623-26-000017,2026-04-20,AEHR,AEHR TEST SYSTEMS,0001040470,https://www.sec.gov/Archives/edgar/data/0001040470/000010362326000017/primary_doc.xml,2026-04-27T22:58:50Z
0001968582-26-000375,2026-04-20,QBTS,D-Wave Quantum Inc.,0001907982,https://www.sec.gov/Archives/edgar/data/0001907982/000196858226000375/primary_doc.xml,2026-04-27T22:58:50Z
0001959173-26-002994,2026-04-20,,Strategy Inc,0001050446,https://www.sec.gov/Archives/edgar/data/0001050446/000195917326002994/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003627,2026-04-20,GSBC,"GREAT SOUTHERN BANCORP, INC.",0000854560,https://www.sec.gov/Archives/edgar/data/0000854560/000195004726003627/primary_doc.xml,2026-04-27T22:58:50Z
0001921094-26-000405,2026-04-20,META,"Meta Platforms, Inc.",0001326801,https://www.sec.gov/Archives/edgar/data/0001326801/000192109426000405/primary_doc.xml,2026-04-27T22:58:50Z
0001628280-26-026022,2026-04-20,DYN,"Dyne Therapeutics, Inc.",0001818794,https://www.sec.gov/Archives/edgar/data/0001818794/000162828026026022/primary_doc.xml,2026-04-27T22:58:50Z
0001628280-26-026023,2026-04-20,DYN,"Dyne Therapeutics, Inc.",0001818794,https://www.sec.gov/Archives/edgar/data/0001818794/000162828026026023/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003637,2026-04-20,PTON,"PELOTON INTERACTIVE, INC.",0001639825,https://www.sec.gov/Archives/edgar/data/0001639825/000195004726003637/primary_doc.xml,2026-04-27T22:58:50Z
0001959173-26-002980,2026-04-20,HSY,HERSHEY CO,0000047111,https://www.sec.gov/Archives/edgar/data/0000047111/000195917326002980/primary_doc.xml,2026-04-27T22:58:50Z
0001959173-26-002993,2026-04-20,TRV,"TRAVELERS COMPANIES, INC.",0000086312,https://www.sec.gov/Archives/edgar/data/0000086312/000195917326002993/primary_doc.xml,2026-04-27T22:58:50Z
0001965301-26-000043,2026-04-20,ADBE,ADOBE INC.,0000796343,https://www.sec.gov/Archives/edgar/data/0000796343/000196530126000043/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003648,2026-04-20,HRTG,"Heritage Insurance Holdings, Inc.",0001598665,https://www.sec.gov/Archives/edgar/data/0001598665/000195004726003648/primary_doc.xml,2026-04-27T22:58:50Z
0001959173-26-002983,2026-04-20,PHR,"Phreesia, Inc.",0001412408,https://www.sec.gov/Archives/edgar/data/0001412408/000195917326002983/primary_doc.xml,2026-04-27T22:58:50Z
0001959173-26-002989,2026-04-20,HIMS,"Hims & Hers Health, Inc.",0001773751,https://www.sec.gov/Archives/edgar/data/0001773751/000195917326002989/primary_doc.xml,2026-04-27T22:58:50Z
0001628280-26-026019,2026-04-20,RDW,Redwire Corp,0001819810,https://www.sec.gov/Archives/edgar/data/0001819810/000162828026026019/primary_doc.xml,2026-04-27T22:58:50Z
0001193125-26-164727,2026-04-20,H,Hyatt Hotels Corp,0001468174,https://www.sec.gov/Archives/edgar/data/0001468174/000119312526164727/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003630,2026-04-20,SOPH,SOPHiA GENETICS SA,0001840706,https://www.sec.gov/Archives/edgar/data/0001840706/000195004726003630/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003644,2026-04-20,,"Blaize Holdings, Inc.",0001871638,https://www.sec.gov/Archives/edgar/data/0001871638/000195004726003644/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003628,2026-04-20,SKYQ,Sky Quarry Inc.,0001812447,https://www.sec.gov/Archives/edgar/data/0001812447/000195004726003628/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003635,2026-04-20,HRTG,"Heritage Insurance Holdings, Inc.",0001598665,https://www.sec.gov/Archives/edgar/data/0001598665/000195004726003635/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003631,2026-04-20,VG,"Venture Global, Inc.",0002007855,https://www.sec.gov/Archives/edgar/data/0002007855/000195004726003631/primary_doc.xml,2026-04-27T22:58:50Z
0001965301-26-000044,2026-04-20,ROIV,Roivant Sciences Ltd.,0001635088,https://www.sec.gov/Archives/edgar/data/0001635088/000196530126000044/primary_doc.xml,2026-04-27T22:58:50Z
0001959173-26-002981,2026-04-20,ENSG,"ENSIGN GROUP, INC",0001125376,https://www.sec.gov/Archives/edgar/data/0001125376/000195917326002981/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003655,2026-04-20,CRWV,"CoreWeave, Inc.",0001769628,https://www.sec.gov/Archives/edgar/data/0001769628/000195004726003655/primary_doc.xml,2026-04-27T22:58:50Z
0001959173-26-002999,2026-04-20,CACC,CREDIT ACCEPTANCE CORP,0000885550,https://www.sec.gov/Archives/edgar/data/0000885550/000195917326002999/primary_doc.xml,2026-04-27T22:58:50Z
0001959173-26-003000,2026-04-20,,FUELCELL ENERGY INC,0000886128,https://www.sec.gov/Archives/edgar/data/0000886128/000195917326003000/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003639,2026-04-20,SOPH,SOPHiA GENETICS SA,0001840706,https://www.sec.gov/Archives/edgar/data/0001840706/000195004726003639/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003643,2026-04-20,SOPH,SOPHiA GENETICS SA,0001840706,https://www.sec.gov/Archives/edgar/data/0001840706/000195004726003643/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003652,2026-04-20,SYNA,SYNAPTICS Inc,0000817720,https://www.sec.gov/Archives/edgar/data/0000817720/000195004726003652/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003657,2026-04-20,,MORGAN STANLEY,0000895421,https://www.sec.gov/Archives/edgar/data/0000895421/000195004726003657/primary_doc.xml,2026-04-27T22:58:50Z
0001959173-26-002986,2026-04-20,TRV,"TRAVELERS COMPANIES, INC.",0000086312,https://www.sec.gov/Archives/edgar/data/0000086312/000195917326002986/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003645,2026-04-20,DDOG,"Datadog, Inc.",0001561550,https://www.sec.gov/Archives/edgar/data/0001561550/000195004726003645/primary_doc.xml,2026-04-27T22:58:50Z
0001000275-26-000037,2026-04-20,LWAY,"Lifeway Foods, Inc.",0000814586,https://www.sec.gov/Archives/edgar/data/0000814586/000100027526000037/primary_doc.xml,2026-04-27T22:58:50Z
0001959173-26-002985,2026-04-20,LEVI,LEVI STRAUSS & CO,0000094845,https://www.sec.gov/Archives/edgar/data/0000094845/000195917326002985/primary_doc.xml,2026-04-27T22:58:50Z
0001969223-26-000459,2026-04-20,ETSY,ETSY INC,0001370637,https://www.sec.gov/Archives/edgar/data/0001370637/000196922326000459/primary_doc.xml,2026-04-27T22:58:50Z
0001959173-26-002992,2026-04-20,TRV,"TRAVELERS COMPANIES, INC.",0000086312,https://www.sec.gov/Archives/edgar/data/0000086312/000195917326002992/primary_doc.xml,2026-04-27T22:58:50Z
0001628280-26-026013,2026-04-20,BYND,"BEYOND MEAT, INC.",0001655210,https://www.sec.gov/Archives/edgar/data/0001655210/000162828026026013/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003658,2026-04-20,MP,MP Materials Corp. / DE,0001801368,https://www.sec.gov/Archives/edgar/data/0001801368/000195004726003658/primary_doc.xml,2026-04-27T22:58:50Z
0001921094-26-000406,2026-04-20,WABC,WESTAMERICA BANCORPORATION,0000311094,https://www.sec.gov/Archives/edgar/data/0000311094/000192109426000406/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003641,2026-04-20,SOPH,SOPHiA GENETICS SA,0001840706,https://www.sec.gov/Archives/edgar/data/0001840706/000195004726003641/primary_doc.xml,2026-04-27T22:58:50Z
0001964306-26-000209,2026-04-20,BKNG,Booking Holdings Inc.,0001075531,https://www.sec.gov/Archives/edgar/data/0001075531/000196430626000209/primary_doc.xml,2026-04-27T22:58:50Z
0001959173-26-003003,2026-04-20,ANET,"Arista Networks, Inc.",0001596532,https://www.sec.gov/Archives/edgar/data/0001596532/000195917326003003/primary_doc.xml,2026-04-27T22:58:50Z
0001959173-26-002997,2026-04-20,,"Fold Holdings, Inc.",0001889123,https://www.sec.gov/Archives/edgar/data/0001889123/000195917326002997/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003654,2026-04-20,CRWV,"CoreWeave, Inc.",0001769628,https://www.sec.gov/Archives/edgar/data/0001769628/000195004726003654/primary_doc.xml,2026-04-27T22:58:50Z
0001968582-26-000374,2026-04-20,CNM,"Core & Main, Inc.",0001856525,https://www.sec.gov/Archives/edgar/data/0001856525/000196858226000374/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003642,2026-04-20,SOPH,SOPHiA GENETICS SA,0001840706,https://www.sec.gov/Archives/edgar/data/0001840706/000195004726003642/primary_doc.xml,2026-04-27T22:58:50Z
0001959173-26-002987,2026-04-20,AEHR,AEHR TEST SYSTEMS,0001040470,https://www.sec.gov/Archives/edgar/data/0001040470/000195917326002987/primary_doc.xml,2026-04-27T22:58:50Z
0001974078-26-000145,2026-04-20,DC,Dakota Gold Corp.,0001852353,https://www.sec.gov/Archives/edgar/data/0001852353/000197407826000145/primary_doc.xml,2026-04-27T22:58:50Z
0001958244-26-000229,2026-04-20,ONON,On Holding AG,0001858985,https://www.sec.gov/Archives/edgar/data/0001858985/000195824426000229/primary_doc.xml,2026-04-27T22:58:50Z
0000103623-26-000016,2026-04-20,AEHR,AEHR TEST SYSTEMS,0001040470,https://www.sec.gov/Archives/edgar/data/0001040470/000010362326000016/primary_doc.xml,2026-04-27T22:58:50Z
0001959173-26-002982,2026-04-20,GFS,GLOBALFOUNDRIES Inc.,0001709048,https://www.sec.gov/Archives/edgar/data/0001709048/000195917326002982/primary_doc.xml,2026-04-27T22:58:50Z
0001958244-26-000230,2026-04-20,ONON,On Holding AG,0001858985,https://www.sec.gov/Archives/edgar/data/0001858985/000195824426000230/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003633,2026-04-20,CRWV,"CoreWeave, Inc.",0001769628,https://www.sec.gov/Archives/edgar/data/0001769628/000195004726003633/primary_doc.xml,2026-04-27T22:58:50Z
0001959173-26-002995,2026-04-20,,FIFTH THIRD BANCORP,0000035527,https://www.sec.gov/Archives/edgar/data/0000035527/000195917326002995/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003634,2026-04-20,CRWV,"CoreWeave, Inc.",0001769628,https://www.sec.gov/Archives/edgar/data/0001769628/000195004726003634/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003626,2026-04-20,GWRE,"Guidewire Software, Inc.",0001528396,https://www.sec.gov/Archives/edgar/data/0001528396/000195004726003626/primary_doc.xml,2026-04-27T22:58:50Z
0001628280-26-026024,2026-04-20,DYN,"Dyne Therapeutics, Inc.",0001818794,https://www.sec.gov/Archives/edgar/data/0001818794/000162828026026024/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003653,2026-04-20,MQ,"Marqeta, Inc.",0001522540,https://www.sec.gov/Archives/edgar/data/0001522540/000195004726003653/primary_doc.xml,2026-04-27T22:58:50Z
0001959173-26-002984,2026-04-20,RVTY,"REVVITY, INC.",0000031791,https://www.sec.gov/Archives/edgar/data/0000031791/000195917326002984/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003629,2026-04-20,,MORGAN STANLEY,0000895421,https://www.sec.gov/Archives/edgar/data/0000895421/000195004726003629/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003650,2026-04-20,ATAI,AtaiBeckley Inc.,0002081043,https://www.sec.gov/Archives/edgar/data/0002081043/000195004726003650/primary_doc.xml,2026-04-27T22:58:50Z
0001959173-26-002988,2026-04-20,AEHR,AEHR TEST SYSTEMS,0001040470,https://www.sec.gov/Archives/edgar/data/0001040470/000195917326002988/primary_doc.xml,2026-04-27T22:58:50Z
0001958244-26-000231,2026-04-20,ONON,On Holding AG,0001858985,https://www.sec.gov/Archives/edgar/data/0001858985/000195824426000231/primary_doc.xml,2026-04-27T22:58:50Z
0001921094-26-000408,2026-04-20,MAX,"MediaAlpha, Inc.",0001818383,https://www.sec.gov/Archives/edgar/data/0001818383/000192109426000408/primary_doc.xml,2026-04-27T22:58:50Z
0001969223-26-000457,2026-04-20,BCAX,Bicara Therapeutics Inc.,0002023658,https://www.sec.gov/Archives/edgar/data/0002023658/000196922326000457/primary_doc.xml,2026-04-27T22:58:50Z
0001193125-26-164723,2026-04-20,H,Hyatt Hotels Corp,0001468174,https://www.sec.gov/Archives/edgar/data/0001468174/000119312526164723/primary_doc.xml,2026-04-27T22:58:50Z
0001193125-26-164713,2026-04-20,H,Hyatt Hotels Corp,0001468174,https://www.sec.gov/Archives/edgar/data/0001468174/000119312526164713/primary_doc.xml,2026-04-27T22:58:50Z
0001921094-26-000407,2026-04-20,MAX,"MediaAlpha, Inc.",0001818383,https://www.sec.gov/Archives/edgar/data/0001818383/000192109426000407/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003638,2026-04-20,CRWV,"CoreWeave, Inc.",0001769628,https://www.sec.gov/Archives/edgar/data/0001769628/000195004726003638/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003647,2026-04-20,DASH,"DoorDash, Inc.",0001792789,https://www.sec.gov/Archives/edgar/data/0001792789/000195004726003647/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003649,2026-04-20,SYNA,SYNAPTICS Inc,0000817720,https://www.sec.gov/Archives/edgar/data/0000817720/000195004726003649/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003651,2026-04-20,SYNA,SYNAPTICS Inc,0000817720,https://www.sec.gov/Archives/edgar/data/0000817720/000195004726003651/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003632,2026-04-20,CRWV,"CoreWeave, Inc.",0001769628,https://www.sec.gov/Archives/edgar/data/0001769628/000195004726003632/primary_doc.xml,2026-04-27T22:58:50Z
0001969223-26-000456,2026-04-20,GPRK,GeoPark Ltd,0001464591,https://www.sec.gov/Archives/edgar/data/0001464591/000196922326000456/primary_doc.xml,2026-04-27T22:58:50Z
0001969223-26-000458,2026-04-20,JBL,JABIL INC,0000898293,https://www.sec.gov/Archives/edgar/data/0000898293/000196922326000458/primary_doc.xml,2026-04-27T22:58:50Z
0001959173-26-002991,2026-04-20,,Arqit Quantum Inc.,0001859690,https://www.sec.gov/Archives/edgar/data/0001859690/000195917326002991/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003656,2026-04-20,KVYO,"Klaviyo, Inc.",0001835830,https://www.sec.gov/Archives/edgar/data/0001835830/000195004726003656/primary_doc.xml,2026-04-27T22:58:50Z
0001628280-26-026020,2026-04-20,RDW,Redwire Corp,0001819810,https://www.sec.gov/Archives/edgar/data/0001819810/000162828026026020/primary_doc.xml,2026-04-27T22:58:50Z
0001193125-26-164733,2026-04-20,H,Hyatt Hotels Corp,0001468174,https://www.sec.gov/Archives/edgar/data/0001468174/000119312526164733/primary_doc.xml,2026-04-27T22:58:50Z
0001959173-26-003002,2026-04-20,PCRX,"Pacira BioSciences, Inc.",0001396814,https://www.sec.gov/Archives/edgar/data/0001396814/000195917326003002/primary_doc.xml,2026-04-27T22:58:50Z
