ticker,signal_type,today_volume,avg_volume_30d,volume_ratio,price_change_pct,dark_pool_flag
FGBIP,UNUSUAL_VOLUME,8571,2400,3.571,2.39,True
LC,UNUSUAL_VOLUME,6526892,1849126,3.53,-1.66,True
CTOS,NORMAL,1407149,788436,1.785,0.458,False
RNGR,NORMAL,389526,228563,1.704,0.6,False
VTR,NORMAL,4827782,3494613,1.381,1.292,False
CDP,NORMAL,1156569,927970,1.246,0.654,False
MATX,NORMAL,293948,260673,1.128,2.559,False
TV,NORMAL,1277174,1158003,1.103,-5.195,False
SUI,NORMAL,769963,729283,1.056,-1.687,False
KRC,NORMAL,2409824,2297083,1.049,2.635,False
ARE,NORMAL,2405309,2310126,1.041,-3.882,False
ASTE,NORMAL,202849,200410,1.012,-0.794,False
CCK,NORMAL,929405,1022303,0.909,0.475,False
CI,NORMAL,1420372,1571630,0.904,2.518,False
FDBC,NORMAL,6498,7283,0.892,-0.608,False
CME,NORMAL,2009497,2285526,0.879,-1.095,False
UTZ,NORMAL,1561827,1828533,0.854,0.515,False
WKHS,NORMAL,99815,124610,0.801,-4.494,False
FSUN,NORMAL,206899,259806,0.796,0.994,False
BRO,NORMAL,2388944,3054026,0.782,0.334,False
FLYE,NORMAL,10921,14600,0.748,2.5,False
TRUP,NORMAL,264417,355213,0.744,-0.765,False
BPRN,NORMAL,7623,10923,0.698,0.829,False
KINS,NORMAL,80915,121240,0.667,-0.398,False
SRTA,NORMAL,445776,688250,0.648,0.61,False
CBNK,NORMAL,49718,80176,0.62,1.434,False
UHT,NORMAL,41569,68496,0.607,0.221,False
GABC,NORMAL,112219,188420,0.596,0.919,False
BAH,NORMAL,1017530,1722283,0.591,-3.239,False
NOA,NORMAL,82332,150080,0.549,-1.035,False
WABC,NORMAL,122670,228683,0.536,-0.236,False
CBSH,NORMAL,526797,1268543,0.415,0.91,False
LU,NORMAL,668592,1764953,0.379,-1.042,False
SLMBP,NORMAL,1015,2830,0.359,0.041,False
FBK,NORMAL,99783,355346,0.281,1.362,False
IPOD,NORMAL,2696,11130,0.242,0.0,False
ANTA,NORMAL,1579,7560,0.209,-1.789,False
PFBX,NORMAL,5,150,0.033,2.279,False
CORZZ,NORMAL,14387,0,0,37.093,False
KVAC,NORMAL,0,260,0.0,0.0,False
