cik,company,form,filed_at,accession,description,captured_at
0001846368,Simplify Asset Management Inc. (0001846368) (Filer),13F-HR,2026-04-27T16:32:49-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001172661-26-001545 <b>Size:</b> 69 KB,2026-04-27T23:05:39Z
0001492162,Lesa Sroufe & Co (0001492162) (Filer),13F-HR,2026-04-27T16:32:26-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001492162-26-000002 <b>Size:</b> 39 KB,2026-04-27T23:05:39Z
0001964298,"Syntegra Private Wealth Group, LLC (0001964298) (Filer)",13F-HR,2026-04-27T16:30:43-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001172661-26-001544 <b>Size:</b> 91 KB,2026-04-27T23:05:39Z
0001911253,"HB Wealth Management, LLC (0001911253) (Filer)",13F-HR,2026-04-27T16:28:16-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001172661-26-001543 <b>Size:</b> 716 KB,2026-04-27T23:05:39Z
0001966898,Portman Square Capital LLP (0001966898) (Filer),13F-HR,2026-04-27T16:25:47-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001172661-26-001542 <b>Size:</b> 52 KB,2026-04-27T23:05:39Z
0001965334,"Moran Wealth Management, LLC (0001965334) (Filer)",13F-HR,2026-04-27T16:23:22-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002085853-26-000507 <b>Size:</b> 359 KB,2026-04-27T23:05:39Z
0002011321,"Mustard Seed Financial, LLC (0002011321) (Filer)",13F-HR,2026-04-27T16:23:02-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001172661-26-001541 <b>Size:</b> 46 KB,2026-04-27T23:05:39Z
0001698461,Counterpoint Mutual Funds LLC (0001698461) (Filer),13F-HR,2026-04-27T16:20:05-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001172661-26-001540 <b>Size:</b> 138 KB,2026-04-27T23:05:39Z
0001623678,PLIMOTH TRUST CO LLC (0001623678) (Filer),13F-HR,2026-04-27T16:17:45-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001623678-26-000002 <b>Size:</b> 164 KB,2026-04-27T23:05:39Z
0001845867,"BCK Partners, Inc. (0001845867) (Filer)",13F-HR,2026-04-27T16:14:31-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002085853-26-000506 <b>Size:</b> 15 KB,2026-04-27T23:05:39Z
0000867926,INVESTORS ASSET MANAGEMENT OF GEORGIA INC /GA/ /ADV (0000867926) (Filer),13F-HR,2026-04-27T16:02:02-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001062993-26-002167 <b>Size:</b> 80 KB,2026-04-27T23:05:39Z
0001800502,Beacon Financial Advisory LLC (0001800502) (Filer),13F-HR,2026-04-27T16:00:28-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002085853-26-000505 <b>Size:</b> 190 KB,2026-04-27T23:05:39Z
0001626757,NIXON PEABODY TRUST CO (0001626757) (Filer),13F-HR,2026-04-27T15:59:35-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001626757-26-000002 <b>Size:</b> 83 KB,2026-04-27T23:05:39Z
0001965616,"Tanglewood Legacy Advisors, LLC (0001965616) (Filer)",13F-HR,2026-04-27T15:57:20-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001965616-26-000002 <b>Size:</b> 146 KB,2026-04-27T23:05:39Z
0002010029,EVOLUTION WEALTH MANAGEMENT INC. (0002010029) (Filer),13F-HR,2026-04-27T15:52:33-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002010029-26-000003 <b>Size:</b> 489 KB,2026-04-27T23:05:39Z
0002060308,Binnacle Investments Inc (0002060308) (Filer),13F-NT,2026-04-27T15:50:19-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002060308-26-000002 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0002007281,"Vivid Wealth Management, LLC (0002007281) (Filer)",13F-HR,2026-04-27T15:48:51-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002085853-26-000504 <b>Size:</b> 34 KB,2026-04-27T23:05:39Z
0001672512,Matson Money. Inc. (0001672512) (Filer),13F-HR,2026-04-27T15:46:02-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001672512-26-000002 <b>Size:</b> 8 KB,2026-04-27T23:05:39Z
0001964652,New England Capital Financial Advisors LLC (0001964652) (Filer),13F-HR,2026-04-27T15:45:49-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001964652-26-000002 <b>Size:</b> 226 KB,2026-04-27T23:05:39Z
0002100778,"Meramec Financial Planners, LLC (0002100778) (Filer)",13F-HR,2026-04-27T15:44:04-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002100778-26-000002 <b>Size:</b> 292 KB,2026-04-27T23:05:39Z
0002070026,Turn8 Private Wealth Inc. (0002070026) (Filer),13F-HR,2026-04-27T15:42:39-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002070026-26-000002 <b>Size:</b> 30 KB,2026-04-27T23:05:39Z
0001259671,WBH ADVISORY INC (0001259671) (Filer),13F-HR,2026-04-27T15:40:04-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001259671-26-000003 <b>Size:</b> 190 KB,2026-04-27T23:05:39Z
0002044533,Rareview Capital LLC (0002044533) (Filer),13F-HR,2026-04-27T15:38:57-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001420506-26-000761 <b>Size:</b> 26 KB,2026-04-27T23:05:39Z
0001802091,Marotta Asset Management (0001802091) (Filer),13F-HR,2026-04-27T15:24:31-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001802091-26-000002 <b>Size:</b> 56 KB,2026-04-27T23:05:39Z
0001569453,"F&V Capital Management, LLC (0001569453) (Filer)",13F-HR,2026-04-27T15:22:52-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001569453-26-000003 <b>Size:</b> 34 KB,2026-04-27T23:05:39Z
0001885767,"DB Fitzpatrick & Co, Inc (0001885767) (Filer)",13F-HR,2026-04-27T15:21:38-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001885767-26-000002 <b>Size:</b> 62 KB,2026-04-27T23:05:39Z
0001965579,"LEGACY FINANCIAL GROUP, INC. (0001965579) (Filer)",13F-HR,2026-04-27T15:21:33-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001104659-26-049370 <b>Size:</b> 44 KB,2026-04-27T23:05:39Z
0001735605,"USAdvisors Wealth Management, LLC (0001735605) (Filer)",13F-HR,2026-04-27T15:20:09-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001735605-26-000002 <b>Size:</b> 77 KB,2026-04-27T23:05:39Z
0000314969,NEW YORK STATE TEACHERS RETIREMENT SYSTEM (0000314969) (Filer),13F-HR,2026-04-27T15:19:34-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0000314969-26-000005 <b>Size:</b> 685 KB,2026-04-27T23:05:39Z
0002009520,Prevatt Capital Ltd (0002009520) (Filer),13F-HR,2026-04-27T15:18:22-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002009520-26-000003 <b>Size:</b> 9 KB,2026-04-27T23:05:39Z
0002011856,Gordian Advisors LLC (0002011856) (Filer),13F-HR,2026-04-27T15:08:24-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002011856-26-000002 <b>Size:</b> 32 KB,2026-04-27T23:05:39Z
0001968890,Flagstone Financial Management (0001968890) (Filer),13F-HR,2026-04-27T15:06:02-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001754960-26-000338 <b>Size:</b> 43 KB,2026-04-27T23:05:39Z
0002105992,Capelight Capital Asset Management LP (0002105992) (Filer),13F-HR,2026-04-27T15:04:34-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001754960-26-000337 <b>Size:</b> 21 KB,2026-04-27T23:05:39Z
0002012614,SIERRA SUMMIT ADVISORS LLC (0002012614) (Filer),13F-HR,2026-04-27T15:03:30-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001104659-26-049351 <b>Size:</b> 86 KB,2026-04-27T23:05:39Z
0001652594,World Investment Advisors (0001652594) (Filer),13F-HR,2026-04-27T14:59:48-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001062993-26-002164 <b>Size:</b> 678 KB,2026-04-27T23:05:39Z
0002012467,"Counterweight Ventures, LLC (0002012467) (Filer)",13F-HR,2026-04-27T14:58:58-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001062993-26-002163 <b>Size:</b> 37 KB,2026-04-27T23:05:39Z
0001963040,LODESTAR PRIVATE ASSET MANAGEMENT LLC (0001963040) (Filer),13F-HR,2026-04-27T14:58:56-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001963040-26-000002 <b>Size:</b> 119 KB,2026-04-27T23:05:39Z
0001455253,"HS Management Partners, LLC (0001455253) (Filer)",13F-HR,2026-04-27T14:58:18-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001455253-26-000006 <b>Size:</b> 15 KB,2026-04-27T23:05:39Z
0001666733,"Canal Capital Management, LLC (0001666733) (Filer)",13F-HR,2026-04-27T14:56:03-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001420506-26-000759 <b>Size:</b> 92 KB,2026-04-27T23:05:39Z
0001803673,"PAX Financial Group, LLC (0001803673) (Filer)",13F-HR,2026-04-27T14:52:03-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001104659-26-049342 <b>Size:</b> 95 KB,2026-04-27T23:05:39Z
0001378559,First Dallas Securities Inc. (0001378559) (Filer),13F-HR,2026-04-27T14:50:24-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001378559-26-000004 <b>Size:</b> 53 KB,2026-04-27T23:05:39Z
0002056676,"4WEALTH ADVISORS, INC. (0002056676) (Filer)",13F-HR,2026-04-27T14:47:10-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001941040-26-000269 <b>Size:</b> 70 KB,2026-04-27T23:05:39Z
0001919749,"Carter Financial Group, INC. (0001919749) (Filer)",13F-HR,2026-04-27T14:46:46-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001104659-26-049334 <b>Size:</b> 63 KB,2026-04-27T23:05:39Z
0002109861,"RIVER'S EDGE WEALTH MANAGEMENT, LLC (0002109861) (Filer)",13F-HR,2026-04-27T14:43:26-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002109861-26-000003 <b>Size:</b> 26 KB,2026-04-27T23:05:39Z
0001963352,"Kennon-Green & Company, LLC (0001963352) (Filer)",13F-HR,2026-04-27T14:42:18-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001963352-26-000002 <b>Size:</b> 25 KB,2026-04-27T23:05:39Z
0001121477,BOYD WATTERSON ASSET MANAGEMENT LLC/OH (0001121477) (Filer),13F-HR,2026-04-27T14:39:17-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001121477-26-000004 <b>Size:</b> 194 KB,2026-04-27T23:05:39Z
0001809154,"Argos Wealth Advisors, LLC (0001809154) (Filer)",13F-HR,2026-04-27T14:36:57-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001420506-26-000756 <b>Size:</b> 89 KB,2026-04-27T23:05:39Z
0002110205,"Value Investment Professionals, LLC (0002110205) (Filer)",13F-HR,2026-04-27T14:29:48-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001754960-26-000336 <b>Size:</b> 38 KB,2026-04-27T23:05:39Z
0002007171,"Turtle Creek Wealth Advisors, LLC (0002007171) (Filer)",13F-HR,2026-04-27T14:29:09-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001398344-26-007299 <b>Size:</b> 223 KB,2026-04-27T23:05:39Z
0001802459,"CWS Financial Advisors, LLC (0001802459) (Filer)",13F-HR,2026-04-27T14:25:43-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001104659-26-049318 <b>Size:</b> 76 KB,2026-04-27T23:05:39Z
0001255435,CUMBERLAND ADVISORS INC (0001255435) (Filer),13F-HR,2026-04-27T14:25:14-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001420506-26-000753 <b>Size:</b> 24 KB,2026-04-27T23:05:39Z
0001843715,"Latitude Advisors, LLC (0001843715) (Filer)",13F-HR,2026-04-27T14:23:17-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001754960-26-000335 <b>Size:</b> 123 KB,2026-04-27T23:05:39Z
0002104898,"Geremia Financial Services, LLC (0002104898) (Filer)",13F-HR,2026-04-27T14:20:51-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002104898-26-000002 <b>Size:</b> 9 KB,2026-04-27T23:05:39Z
0001973224,"PFG Investments, LLC (0001973224) (Filer)",13F-HR,2026-04-27T14:12:13-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001754960-26-000334 <b>Size:</b> 675 KB,2026-04-27T23:05:39Z
0001972835,Consolidated Portfolio Review Corp (0001972835) (Filer),13F-HR,2026-04-27T14:11:04-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001754960-26-000333 <b>Size:</b> 22 KB,2026-04-27T23:05:39Z
0001590214,"BIP Wealth, LLC (0001590214) (Filer)",13F-HR,2026-04-27T14:07:50-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001590214-26-000004 <b>Size:</b> 252 KB,2026-04-27T23:05:39Z
0001672067,"Kelman-Lazarov, Inc. (0001672067) (Filer)",13F-HR,2026-04-27T14:06:30-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001398344-26-007296 <b>Size:</b> 68 KB,2026-04-27T23:05:39Z
0000764116,TRUIST BANK /NC/ (0000764116) (Filer),13F-NT,2026-04-27T14:04:38-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0000764116-26-000006 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0002057153,Baer Investment Advisory LLC (0002057153) (Filer),13F-HR,2026-04-27T14:03:21-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001754960-26-000332 <b>Size:</b> 199 KB,2026-04-27T23:05:39Z
0002103359,JM2 Capital Inc. (0002103359) (Filer),13F-HR,2026-04-27T14:00:06-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001754960-26-000331 <b>Size:</b> 67 KB,2026-04-27T23:05:39Z
0002076040,"Charter Capital Management, LLC\DE (0002076040) (Filer)",13F-HR,2026-04-27T13:58:27-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002076040-26-000004 <b>Size:</b> 29 KB,2026-04-27T23:05:39Z
0001696868,"Truist Advisory Services, Inc. (0001696868) (Filer)",13F-NT,2026-04-27T13:55:43-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001696868-26-000003 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0002106605,"Vavra Capital Management, LLC (0002106605) (Filer)",13F-HR,2026-04-27T13:50:55-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001420506-26-000751 <b>Size:</b> 14 KB,2026-04-27T23:05:39Z
0001944780,"ACUTE INVESTMENT ADVISORY, LLC (0001944780) (Filer)",13F-HR,2026-04-27T13:50:53-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001754960-26-000330 <b>Size:</b> 13 KB,2026-04-27T23:05:39Z
0002055620,"CERTIOR FINANCIAL GROUP, LLC (0002055620) (Filer)",13F-HR,2026-04-27T13:49:54-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001104659-26-049297 <b>Size:</b> 63 KB,2026-04-27T23:05:39Z
0000092230,TRUIST FINANCIAL CORP (0000092230) (Filer),13F-HR,2026-04-27T13:47:58-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0000092230-26-000059 <b>Size:</b> 2 MB,2026-04-27T23:05:39Z
0001703080,"MONEYWISE, INC. (0001703080) (Filer)",13F-HR,2026-04-27T13:46:07-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001754960-26-000329 <b>Size:</b> 34 KB,2026-04-27T23:05:39Z
0001551017,TD PRIVATE CLIENT WEALTH LLC (0001551017) (Filer),13F-HR,2026-04-27T13:45:06-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002052595-26-000059 <b>Size:</b> 824 KB,2026-04-27T23:05:39Z
0002127791,"Navigate Wealth Management, LLC (0002127791) (Filer)",13F-HR,2026-04-27T13:44:37-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002127791-26-000001 <b>Size:</b> 41 KB,2026-04-27T23:05:39Z
0001564835,"ASAHI LIFE ASSET MANAGEMENT CO., LTD. (0001564835) (Filer)",13F-HR,2026-04-27T13:44:13-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001754960-26-000328 <b>Size:</b> 86 KB,2026-04-27T23:05:39Z
0001940869,GDS Wealth Management (0001940869) (Filer),13F-HR,2026-04-27T13:43:02-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001940869-26-000002 <b>Size:</b> 124 KB,2026-04-27T23:05:39Z
0001802530,Soltis Investment Advisors LLC (0001802530) (Filer),13F-HR,2026-04-27T13:42:21-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001802530-26-000003 <b>Size:</b> 327 KB,2026-04-27T23:05:39Z
0002101909,Liberty Atlantic Advisors LLC (0002101909) (Filer),13F-HR,2026-04-27T13:42:06-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001754960-26-000327 <b>Size:</b> 31 KB,2026-04-27T23:05:39Z
0002011333,"VICTORY FINANCIAL GROUP, LLC (0002011333) (Filer)",13F-HR,2026-04-27T13:40:28-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001754960-26-000326 <b>Size:</b> 199 KB,2026-04-27T23:05:39Z
0000811360,"Capital Investment Services of America, Inc. (0000811360) (Filer)",13F-HR,2026-04-27T13:39:38-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0000811360-26-000005 <b>Size:</b> 43 KB,2026-04-27T23:05:39Z
0001947670,"Cresta Advisors, Ltd. (0001947670) (Filer)",13F-HR,2026-04-27T13:38:50-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001754960-26-000325 <b>Size:</b> 33 KB,2026-04-27T23:05:39Z
0001767699,"ALTERNA WEALTH MANAGEMENT, INC (0001767699) (Filer)",13F-HR,2026-04-27T13:37:36-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001767699-26-000002 <b>Size:</b> 61 KB,2026-04-27T23:05:39Z
0001929662,"Quantum Private Wealth, LLC (0001929662) (Filer)",13F-HR,2026-04-27T13:35:58-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001104659-26-049289 <b>Size:</b> 79 KB,2026-04-27T23:05:39Z
0001596055,"Silver Lake Advisory, LLC (0001596055) (Filer)",13F-HR,2026-04-27T13:35:39-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001754960-26-000324 <b>Size:</b> 61 KB,2026-04-27T23:05:39Z
0001697493,"Symmetry Partners, LLC (0001697493) (Filer)",13F-HR,2026-04-27T13:32:59-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001697493-26-000003 <b>Size:</b> 153 KB,2026-04-27T23:05:39Z
0001767714,RWC Partners Ltd (0001767714) (Filer),13F-NT,2026-04-27T11:57:41-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001398344-26-007272 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001105471,BONNESS ENTERPRISES INC (0001105471) (Filer),13F-HR/A,2026-04-27T11:53:59-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001420506-26-000747 <b>Size:</b> 28 KB,2026-04-27T23:05:39Z
0001767867,RWC (US) LLC (0001767867) (Filer),13F-NT,2026-04-27T11:48:01-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001398344-26-007270 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001520684,Citizens & Northern Bank (0001520684) (Filer),13F-NT,2026-04-27T11:31:12-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001104659-26-049183 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001767724,New World Advisors LLC (0001767724) (Filer),13F-HR/A,2026-04-27T09:33:05-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001951757-26-000739 <b>Size:</b> 76 KB,2026-04-27T23:05:39Z
0001581771,HSBC PRIVATE BANK (SUISSE) LTD (0001581771) (Filer),13F-NT,2026-04-27T09:23:28-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001581771-26-000004 <b>Size:</b> 3 KB,2026-04-27T23:05:39Z
0001600216,Hongkong & Shanghai Banking Corp Ltd / ASP (0001600216) (Filer),13F-NT,2026-04-27T09:09:35-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001600216-26-000002 <b>Size:</b> 2 KB,2026-04-27T23:05:39Z
