cik,company,form,filed_at,accession,description,captured_at
0002052048,"ARRIEN INVESTMENTS, INC. (0002052048) (Filer)",13F-HR,2026-04-27T17:20:09-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002052048-26-000002 <b>Size:</b> 26 KB,2026-04-27T23:05:39Z
0002054942,Portland Financial Advisors Inc (0002054942) (Filer),13F-HR,2026-04-27T17:19:53-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002054942-26-000002 <b>Size:</b> 32 KB,2026-04-27T23:05:39Z
0001842572,Altus Wealth Group LLC (0001842572) (Filer),13F-HR,2026-04-27T17:15:06-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001842572-26-000003 <b>Size:</b> 74 KB,2026-04-27T23:05:39Z
0002051715,"SIERRA OCEAN, LLC (0002051715) (Filer)",13F-HR,2026-04-27T17:14:52-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002051715-26-000002 <b>Size:</b> 35 KB,2026-04-27T23:05:39Z
0001595509,IRON Financial LLC (0001595509) (Filer),13F-HR,2026-04-27T17:10:56-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001595509-26-000003 <b>Size:</b> 123 KB,2026-04-27T23:05:39Z
0001005607,"OSBORNE PARTNERS CAPITAL MANAGEMENT, LLC (0001005607) (Filer)",13F-HR,2026-04-27T17:09:23-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001765380-26-000127 <b>Size:</b> 101 KB,2026-04-27T23:05:39Z
0001777817,"Leelyn Smith, LLC (0001777817) (Filer)",13F-HR,2026-04-27T17:08:07-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001777817-26-000003 <b>Size:</b> 84 KB,2026-04-27T23:05:39Z
0001580162,"Chicago Capital Management, LLC (0001580162) (Filer)",13F-HR,2026-04-27T17:07:21-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001062993-26-002171 <b>Size:</b> 18 KB,2026-04-27T23:05:39Z
0001781566,"Nipun Capital, L.P. (0001781566) (Filer)",13F-HR,2026-04-27T16:50:49-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002085853-26-000515 <b>Size:</b> 7 KB,2026-04-27T23:05:39Z
0002036775,Level Wealth Management LLC (0002036775) (Filer),13F-HR,2026-04-27T16:49:23-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002036775-26-000002 <b>Size:</b> 28 KB,2026-04-27T23:05:39Z
0001602224,"Wealthstar Advisors, LLC (0001602224) (Filer)",13F-HR,2026-04-27T16:49:05-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002085853-26-000514 <b>Size:</b> 55 KB,2026-04-27T23:05:39Z
0001996454,"QRG CAPITAL MANAGEMENT, INC. (0001996454) (Filer)",13F-HR,2026-04-27T16:48:54-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001214659-26-005135 <b>Size:</b> 526 KB,2026-04-27T23:05:39Z
0001308377,"Lafayette Investments, Inc. (0001308377) (Filer)",13F-HR,2026-04-27T16:48:39-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001308377-26-000002 <b>Size:</b> 96 KB,2026-04-27T23:05:39Z
0001541496,Hendershot Investments Inc. (0001541496) (Filer),13F-HR,2026-04-27T16:48:33-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001541496-26-000005 <b>Size:</b> 62 KB,2026-04-27T23:05:39Z
0001564770,"Oxbow Advisors, LLC (0001564770) (Filer)",13F-HR,2026-04-27T16:47:23-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002085853-26-000513 <b>Size:</b> 116 KB,2026-04-27T23:05:39Z
0002096531,"Tensor Edge Capital, LLC (0002096531) (Filer)",13F-HR,2026-04-27T16:46:31-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0000904454-26-000242 <b>Size:</b> 11 KB,2026-04-27T23:05:39Z
0001583751,"TCI Wealth Advisors, Inc. (0001583751) (Filer)",13F-HR,2026-04-27T16:45:50-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002085853-26-000512 <b>Size:</b> 119 KB,2026-04-27T23:05:39Z
0002001434,"Burford Brothers, Inc. (0002001434) (Filer)",13F-HR,2026-04-27T16:44:37-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002001434-26-000002 <b>Size:</b> 68 KB,2026-04-27T23:05:39Z
0001801846,Apeiron RIA LLC (0001801846) (Filer),13F-HR,2026-04-27T16:43:53-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002085853-26-000511 <b>Size:</b> 98 KB,2026-04-27T23:05:39Z
0001964226,"Arcadia Wealth Management, LLC (0001964226) (Filer)",13F-HR,2026-04-27T16:42:30-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002085853-26-000510 <b>Size:</b> 34 KB,2026-04-27T23:05:39Z
0001061555,CAPITAL FINANCIAL GROUP INC\CO\ /ADV (0001061555) (Filer),13F-HR,2026-04-27T16:41:01-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002085853-26-000509 <b>Size:</b> 52 KB,2026-04-27T23:05:39Z
0002111450,Appalachian Capital Management Ltd (0002111450) (Filer),13F-HR,2026-04-27T16:38:49-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002085853-26-000508 <b>Size:</b> 24 KB,2026-04-27T23:05:39Z
0002121884,"Integrity Wealth Partners, LLC (0002121884) (Filer)",13F-HR,2026-04-27T16:35:59-04:00,,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002121884-26-000001 <b>Size:</b> 41 KB,2026-04-27T23:05:39Z
