org,ticker,events_7d,commits_7d,prs_7d,stars_added,captured_at
microsoft,MSFT,100,0,34,5,2026-04-27T22:59:56Z
google,GOOGL,100,0,24,16,2026-04-27T22:59:56Z
GoogleCloudPlatform,GOOGL,99,0,5,0,2026-04-27T22:59:56Z
facebook,META,99,0,46,3,2026-04-27T22:59:56Z
apple,AAPL,98,0,16,9,2026-04-27T22:59:56Z
Netflix,NFLX,99,0,34,7,2026-04-27T22:59:56Z
NVIDIA,NVDA,97,0,6,2,2026-04-27T22:59:56Z
IBM,IBM,97,0,29,3,2026-04-27T22:59:56Z
openai,,100,0,2,56,2026-04-27T22:59:56Z
anthropics,,100,0,5,15,2026-04-27T22:59:56Z
huggingface,,95,0,23,12,2026-04-27T22:59:56Z
databricks,,97,0,22,1,2026-04-27T22:59:56Z
palantir,PLTR,100,0,24,0,2026-04-27T22:59:56Z
snowflakedb,SNOW,100,0,22,1,2026-04-27T22:59:56Z
cloudflare,NET,100,0,18,11,2026-04-27T22:59:56Z
DataDog,DDOG,90,0,28,0,2026-04-27T22:59:56Z
mongodb,MDB,100,0,10,6,2026-04-27T22:59:56Z
elastic,ESTC,100,0,5,0,2026-04-27T22:59:56Z
hashicorp,IBM,99,0,26,6,2026-04-27T22:59:56Z
CrowdStrike,CRWD,99,0,41,8,2026-04-27T22:59:56Z
okta,OKTA,97,0,24,0,2026-04-27T22:59:56Z
intel,INTC,95,0,13,2,2026-04-27T22:59:56Z
coinbase,COIN,99,0,45,5,2026-04-27T22:59:56Z
binance,,99,0,1,52,2026-04-27T22:59:56Z
Shopify,SHOP,91,0,27,37,2026-04-27T22:59:56Z
stripe,,100,0,23,2,2026-04-27T22:59:56Z
salesforce,CRM,98,0,14,4,2026-04-27T22:59:56Z
adobe,ADBE,100,0,14,0,2026-04-27T22:59:56Z
oracle,ORCL,100,0,44,0,2026-04-27T22:59:56Z
airbnb,ABNB,99,0,12,38,2026-04-27T22:59:56Z
uber,UBER,99,0,8,16,2026-04-27T22:59:56Z
pinterest,PINS,98,0,44,8,2026-04-27T22:59:56Z
