filing_date,ticker,cik,form,period_ending,filer_name,accession,captured_at
2026-04-27,,1842556,10-K,2024-12-31,"EON Resources Inc.  (EONR, EONR-WT)  (CIK 0001842556)",0001213900-26-047665,2026-04-27T23:10:02Z
2026-04-22,TBH,1903595,10-K,2025-12-31,"Brag House Holdings, Inc.  (TBH)  (CIK 0001903595)",0001213900-26-046293,2026-04-27T23:10:02Z
2026-04-22,FDCT,1722731,10-K,2025-12-31,"FDCTECH, INC.  (FDCT)  (CIK 0001722731)",0001493152-26-018577,2026-04-27T23:10:02Z
2026-04-22,,1889539,10-K,2025-12-31,"Corebridge Financial, Inc.  (CRBD, CRBG)  (CIK 0001889539)",0001889539-26-000097,2026-04-27T23:10:02Z
2026-04-21,NCRA,1756180,10-K,2025-12-31,"NOCERA, INC.  (NCRA)  (CIK 0001756180)",0001683168-26-003115,2026-04-27T23:10:02Z
2026-04-21,UGRO,1706524,10-K,2025-12-31,"urban-gro, Inc.  (UGRO)  (CIK 0001706524)",0001213900-26-046211,2026-04-27T23:10:02Z
2026-04-21,NCRA,1756180,10-K,2025-12-31,"NOCERA, INC.  (NCRA)  (CIK 0001756180)",0001683168-26-003115,2026-04-27T23:10:02Z
2026-04-21,,1819493,10-K,2025-12-31,"Xos, Inc.  (XOS, XOSWW)  (CIK 0001819493)",0001819493-26-000012,2026-04-27T23:10:02Z
2026-04-20,EQS,878932,10-K,2025-12-31,"EQUUS TOTAL RETURN, INC.  (EQS)  (CIK 0000878932)",0001096906-26-000571,2026-04-27T23:10:02Z
2026-04-20,EQS,878932,10-K,2025-12-31,"EQUUS TOTAL RETURN, INC.  (EQS)  (CIK 0000878932)",0001096906-26-000571,2026-04-27T23:10:02Z
2026-04-20,EQS,878932,10-K,2025-12-31,"EQUUS TOTAL RETURN, INC.  (EQS)  (CIK 0000878932)",0001096906-26-000571,2026-04-27T23:10:02Z
2026-04-17,TRWD,1916558,10-K,2025-12-31,Tradewinds Universal  (TRWD)  (CIK 0001916558),0001079973-26-000502,2026-04-27T23:10:02Z
2026-04-17,MDEX,1318268,10-K,2025-12-31,Madison Technologies Inc.  (MDEX)  (CIK 0001318268),0001753926-26-000678,2026-04-27T23:10:02Z
2026-04-16,HCTI,1839285,10-K,2025-12-31,"Healthcare Triangle, Inc.  (HCTI)  (CIK 0001839285)",0001213900-26-044671,2026-04-27T23:10:02Z
2026-04-15,,1663038,10-Q,2025-10-31,"Quantum Genesis AI Corp.  (QGAI, QTZM)  (CIK 0001663038)",0001477932-26-002256,2026-04-27T23:10:02Z
2026-04-15,,1663038,10-Q,2026-01-31,"Quantum Genesis AI Corp.  (QGAI, QTZM)  (CIK 0001663038)",0001477932-26-002258,2026-04-27T23:10:02Z
2026-04-15,SATT,1661600,10-K,2025-12-31,SATIVUS TECH CORP.  (SATT)  (CIK 0001661600),0001683168-26-002981,2026-04-27T23:10:02Z
2026-04-15,VERI,1615165,10-Q,2025-09-30,"Veritone, Inc.  (VERI)  (CIK 0001615165)",0001628280-26-025211,2026-04-27T23:10:02Z
2026-04-15,ARAI,1818274,10-Q,2025-09-30,Arrive AI Inc.  (ARAI)  (CIK 0001818274),0001493152-26-016857,2026-04-27T23:10:02Z
2026-04-15,ARAI,1818274,10-Q,2025-06-30,Arrive AI Inc.  (ARAI)  (CIK 0001818274),0001493152-26-016849,2026-04-27T23:10:02Z
2026-04-15,,1663038,10-K,2025-07-31,"Quantum Genesis AI Corp.  (QGAI, QTZM)  (CIK 0001663038)",0001477932-26-002254,2026-04-27T23:10:02Z
2026-04-14,SMXT,1519472,10-K,2025-12-31,"SolarMax Technology, Inc.  (SMXT)  (CIK 0001519472)",0001640334-26-000720,2026-04-27T23:10:02Z
2026-04-14,,1769624,10-Q,2025-09-30,"Triller Group Inc.  (ILLR, ILLRW)  (CIK 0001769624)",0001213900-26-043228,2026-04-27T23:10:02Z
2026-04-14,,1947861,10-Q,2025-09-30,"Nature's Miracle Holding Inc.  (NMHI, NMHIW)  (CIK 0001947861)",0001213900-26-043188,2026-04-27T23:10:02Z
2026-04-10,GIFT,1760233,10-K,2025-12-31,"GIFTIFY, INC.  (GIFT)  (CIK 0001760233)",0001493152-26-016199,2026-04-27T23:10:02Z
2026-04-10,,1737193,10-K,2024-12-31,Aphoenity International Holdings Inc.  (CIK 0001737193),0001683168-26-002789,2026-04-27T23:10:02Z
2026-04-08,GCGJ,1765048,10-Q,2025-09-30,GUOCHUN INTERNATIONAL INC.  (GCGJ)  (CIK 0001765048),0001765048-26-000006,2026-04-27T23:10:02Z
2026-04-08,,1847345,10-K,2025-12-31,"Aspire Biopharma Holdings, Inc.  (ASBP, ASBPW)  (CIK 0001847345)",0001493152-26-015737,2026-04-27T23:10:02Z
2026-04-07,CVU,889348,10-K,2025-12-31,CPI AEROSTRUCTURES INC  (CVU)  (CIK 0000889348),0001999371-26-007731,2026-04-27T23:10:02Z
2026-04-06,SFRX,1106213,10-K,2025-12-31,SEAFARER EXPLORATION CORP  (SFRX)  (CIK 0001106213),0001199835-26-000091,2026-04-27T23:10:02Z
2026-04-06,,2009183,10-K,2025-12-31,"Titan Acquisition Corp.  (TACH, TACHU, TACHW)  (CIK 0002009183)",0001829126-26-003226,2026-04-27T23:10:02Z
2026-04-06,AIRS,1870940,10-K,2025-12-31,"Airsculpt Technologies, Inc.  (AIRS)  (CIK 0001870940)",0001870940-26-000021,2026-04-27T23:10:02Z
2026-04-06,,2058359,10-K,2025-12-31,"Cal Redwood Acquisition Corp.  (CRAQ, CRAQR, CRAQU)  (CIK 0002058359)",0001213900-26-040088,2026-04-27T23:10:02Z
2026-04-03,,819926,10-K,2022-12-31,SHARING ECONOMY INTERNATIONAL INC.  (CIK 0000819926),0001213900-26-039839,2026-04-27T23:10:02Z
2026-04-03,SPRU,1772720,10-K,2025-12-31,SPRUCE POWER HOLDING CORP  (SPRU)  (CIK 0001772720),0001628280-26-023731,2026-04-27T23:10:02Z
2026-04-03,,1651721,10-K,2025-12-31,"GENERATION INCOME PROPERTIES, INC.  (GIPR, GIPRW)  (CIK 0001651721)",0001193125-26-140770,2026-04-27T23:10:02Z
2026-04-02,LCGMF,1339688,10-K,2025-12-31,LION COPPER & GOLD CORP.  (LCGMF)  (CIK 0001339688),0001062993-26-001811,2026-04-27T23:10:02Z
2026-04-02,CAST,1633369,10-Q,2025-12-31,"FreeCast, Inc.  (CAST)  (CIK 0001633369)",0001213900-26-038786,2026-04-27T23:10:02Z
2026-04-01,GGROU,1489874,10-K,2025-12-31,Golden Growers Cooperative  (GGROU)  (CIK 0001489874),0001826466-26-000031,2026-04-27T23:10:02Z
2026-04-01,MNPR,1645469,10-K,2025-12-31,Monopar Therapeutics  (MNPR)  (CIK 0001645469),0001437749-26-010841,2026-04-27T23:10:02Z
2026-04-01,TXMD,25743,10-K,2025-12-31,"TherapeuticsMD, Inc.  (TXMD)  (CIK 0000025743)",0001213900-26-037918,2026-04-27T23:10:02Z
2026-04-01,,2073340,10-K,2025-12-31,"Talon Capital Corp.  (TLNC, TLNCU, TLNCW)  (CIK 0002073340)",0001213900-26-037838,2026-04-27T23:10:02Z
2026-03-31,,1726173,10-K,2025-12-31,"Biglari Holdings Inc.  (BH, BH-A)  (CIK 0001726173)",0001628280-26-022422,2026-04-27T23:10:02Z
2026-03-31,,915913,10-K,2025-12-31,"ALBEMARLE CORP  (ALB, ALB-PA)  (CIK 0000915913)",0000915913-26-000060,2026-04-27T23:10:02Z
2026-03-31,MVBF,1277902,10-K,2025-12-31,MVB FINANCIAL CORP  (MVBF)  (CIK 0001277902),0001277902-26-000036,2026-04-27T23:10:02Z
2026-03-30,ELWT,2063863,10-Q,2025-09-30,"Elauwit Connection, Inc.  (ELWT)  (CIK 0002063863)",0001104659-26-036879,2026-04-27T23:10:02Z
2026-03-30,,821130,10-K,2025-12-31,"ARRAY DIGITAL INFRASTRUCTURE, INC.  (AD, UZD, UZE, UZF)  (CIK 0000821130)",0000821130-26-000021,2026-04-27T23:10:02Z
