ticker,price,prev_close,overnight_gap_pct,intraday_ext_pct,effective_gap_pct,atr,gap_atr_ratio,volume,avg_volume,vol_ratio,vol_building,accum_label,consec_up_days,gap_score,date
SOTK,4.86,4.7,-0.85,7.08,7.08,0.2161,1.53,68858,23035,2.99,1,ELEVATED,2,61,2026-04-27
LFST,7.27,7.05,0.71,5.49,5.49,0.2096,1.86,3928211,1579775,2.49,0,ELEVATED,4,60,2026-04-27
DCX,2.25,2.23,-5.83,17.14,17.14,0.2376,1.52,56521,838760,0.07,0,NORMAL,1,59,2026-04-27
RUM,7.21,6.52,-0.61,12.73,12.73,0.4981,1.66,4778281,2761130,1.73,0,MODERATE,1,59,2026-04-27
BIVI,1.63,1.5,0.67,11.87,11.87,0.1149,1.56,99135,73180,1.35,0,MODERATE,2,58,2026-04-27
GP,0.98,0.94,-2.22,16.29,16.29,0.0944,1.59,170689,1176380,0.15,0,NORMAL,1,58,2026-04-27
AMTX,2.95,2.62,-0.76,13.85,13.85,0.2371,1.52,1812785,1792550,1.01,0,NORMAL,1,57,2026-04-27
TORO,7.51,6.9,15.36,6.78,15.36,0.6527,1.62,899020,1218935,0.74,0,NORMAL,0,56,2026-04-27
ALTG,7.96,7.43,-0.81,8.01,8.01,0.3607,1.64,187790,181560,1.03,0,NORMAL,4,55,2026-04-27
AREN,2.29,2.2,-2.27,11.63,11.63,0.1632,1.53,94440,95475,0.99,0,NORMAL,2,55,2026-04-27
DJT,9.95,9.35,-0.32,8.9,8.9,0.4918,1.69,5357002,3209390,1.67,0,MODERATE,2,54,2026-04-27
GROY,3.56,3.48,-0.57,8.67,8.67,0.1702,1.76,2968778,2088625,1.42,0,MODERATE,2,52,2026-04-27
ICL,5.54,5.18,8.69,0.89,8.69,0.1694,2.66,2193699,1460030,1.5,0,MODERATE,0,52,2026-04-27
KLC,3.62,3.37,-1.19,11.11,11.11,0.2461,1.5,875492,1129330,0.78,0,NORMAL,2,52,2026-04-27
PVL,1.91,1.82,1.1,4.08,4.08,0.0489,1.53,364161,102230,3.56,0,ELEVATED,2,52,2026-04-27
WU,9.37,8.9,-0.34,6.76,6.76,0.3357,1.79,9606837,9213550,1.04,1,NORMAL,2,50,2026-04-27
LOOP,1.33,1.32,-1.52,7.69,7.69,0.0654,1.53,87037,75180,1.16,0,NORMAL,3,50,2026-04-27
CULP,3.25,3.02,0.99,8.52,8.52,0.1329,1.96,51131,50235,1.02,0,NORMAL,1,47,2026-04-27
