filed_utc,kind,creator,title,link,summary
2025-12-11T12:00:00Z,press,Sarah Henderson,Department of Commerce Announces Transition of Baldrige Performance Excellence Program,https://www.nist.gov/news-events/news/2025/12/department-commerce-announces-transition-baldrige-performance-excellence,"Beginning with the 2026 award cycle, the Alliance for Performance Excellence and the Baldrige Foundation will take on most operations for the program."
2025-12-01T12:00:00Z,press,Sarah Henderson,What Time Is It on Mars? NIST Physicists Have the Answer.,https://www.nist.gov/news-events/news/2025/12/what-time-it-mars-nist-physicists-have-answer,This calculation is necessary for future space navigation and communication networks.
2025-11-20T12:00:00Z,press,Sarah Henderson,Building a Sustainable Metals Infrastructure: NIST Report Highlights Key Strategies,https://www.nist.gov/news-events/news/2025/11/building-sustainable-metals-infrastructure-nist-report-highlights-key,Making metals processing more sustainable and resilient will support U.S industrial innovation and competitiveness.
2025-09-30T12:00:00Z,press,Sarah Henderson,CAISI Evaluation of DeepSeek AI Models Finds Shortcomings and Risks,https://www.nist.gov/news-events/news/2025/09/caisi-evaluation-deepseek-ai-models-finds-shortcomings-and-risks,"The Center for AI Standards and Innovation at NIST evaluated several leading models from DeepSeek, an AI company based in the People’s Republic of China."
2025-09-29T12:00:00Z,press,Sarah Henderson,NIST Engineers Design 5 New Ways to Connect Concrete Pieces for More Resilient Buildings,https://www.nist.gov/news-events/news/2025/09/nist-engineers-design-5-new-ways-connect-concrete-pieces-more-resilient,One of the biggest challenges with precast concrete is connecting the concrete pieces at a job site.
2025-09-24T12:00:00Z,photonics,Sarah Henderson,NIST Issues Broad Agency Announcement for Proposals to Advance Microelectronics Technologies,https://www.nist.gov/news-events/news/2025/09/nist-issues-broad-agency-announcement-proposals-advance-microelectronics,"The CHIPS for America funding opportunity will support critical research, prototyping and commercial solutions that advance microelectronics technology in the United States."
2025-09-17T12:00:00Z,cybersecurity,Sarah Henderson,NIST Awards More Than $3 Million to Support Cybersecurity Workforce Development Across 13 States,https://www.nist.gov/news-events/news/2025/09/nist-awards-more-3-million-support-cybersecurity-workforce-development,"There are currently more than 514,000 cybersecurity job openings in the U.S."
2025-09-10T12:00:00Z,quantum,Sarah Henderson,"In Quantum Sensing, What Beats Beating Noise? Meeting Noise Halfway.",https://www.nist.gov/news-events/news/2025/09/quantum-sensing-what-beats-beating-noise-meeting-noise-halfway,A team including scientists at NIST may have found a new way of dealing with noise at the microscopic scales where quantum physics reigns.
2025-09-09T12:00:00Z,press,Sarah Henderson,Champlain Towers South Investigation Nears Completion of Technical Work,https://www.nist.gov/news-events/news/2025/09/champlain-towers-south-investigation-nears-completion-technical-work,"Investigators share likely failure scenarios, advance indicators of building’s distress."
2025-09-08T12:00:00Z,materials,Sarah Henderson,NIST’s ‘Living Reference Material’ Could Accelerate R&amp;D of Lifesaving Biological Drugs,https://www.nist.gov/news-events/news/2025/09/nists-living-reference-material-could-accelerate-rd-lifesaving-biological,"The NIST reference material, called NISTCHO, will help the biopharmaceutical industry develop new drugs more quickly and ensure that they are safe and effective."
2025-09-02T12:00:00Z,press,Sarah Henderson,Some Air Cleaners Release Harmful By-Products. Now We Have a Way to Measure Them.,https://www.nist.gov/news-events/news/2025/09/some-air-cleaners-release-harmful-products-now-we-have-way-measure-them,"Many types of air cleaners can generate small amounts of air pollution. Until now, there was no standard way to measure these negative by-products."
2025-08-27T12:00:00Z,cybersecurity,Sarah Henderson,NIST Revises Security and Privacy Control Catalog to Improve Software Update and Patch Releases,https://www.nist.gov/news-events/news/2025/08/nist-revises-security-and-privacy-control-catalog-improve-software-update,The catalog revision is part of NIST’s response to a recent executive order on strengthening the nation’s cybersecurity.
2025-08-21T12:00:00Z,press,Sarah Henderson,New Technique for Measuring DNA Damage Could Improve Cancer Therapy and Radiological Emergency Response,https://www.nist.gov/news-events/news/2025/08/new-technique-measuring-dna-damage-could-improve-cancer-therapy-and,"The technology, which may someday be as portable as a smartphone, promises faster and more accurate measurements of radiation exposure, potentially saving lives in critical situations."
2025-08-20T12:00:00Z,manufacturing,Sarah Henderson,NIST Researchers Develop More Accurate Formula for Measuring Particle Concentration,https://www.nist.gov/news-events/news/2025/08/nist-researchers-develop-more-accurate-formula-measuring-particle,"The new method will be useful in various fields, including nanomedicine, food science, environmental science and advanced manufacturing."
2025-08-18T12:00:00Z,photonics,Sarah Henderson,"NIST Awards Over $1.8 Million to Small Businesses Advancing AI, Semiconductors, Additive Manufacturing and More",https://www.nist.gov/news-events/news/2025/08/nist-awards-over-18-million-small-businesses-advancing-ai-semiconductors,The winning projects were competitively selected following a call for innovative proposals that address technical needs related to NIST’s research areas.
2025-08-18T12:00:00Z,press,Sarah Henderson,"NIST Guidelines Can Help Organizations Detect Face Photo Morphs, Deter Identity Fraud",https://www.nist.gov/news-events/news/2025/08/nist-guidelines-can-help-organizations-detect-face-photo-morphs-deter,"Face morphing software, which combines photos of different people into a single image, is being used to commit identity fraud."
2025-08-13T12:00:00Z,cybersecurity,Sarah Henderson,NIST Finalizes ‘Lightweight Cryptography’ Standard to Protect Small Devices,https://www.nist.gov/news-events/news/2025/08/nist-finalizes-lightweight-cryptography-standard-protect-small-devices,Four related algorithms are now ready for use to protect data created and transmitted by the Internet of Things and other electronics.
2025-08-06T12:00:00Z,construction,Sarah Henderson,NIST to Provide Updates on Construction Safety Team Investigations in September Advisory Committee Meeting,https://www.nist.gov/news-events/news/2025/08/nist-provide-updates-construction-safety-team-investigations-september,The public meetings will include updates on NIST’s investigations into the impacts of Hurricane Maria and the partial collapse of the Champlain Towers South.
2025-07-31T12:00:00Z,materials,Sarah Henderson,New NIST Reference Material to Strengthen Quality Control for Biological Drugs,https://www.nist.gov/news-events/news/2025/07/new-nist-reference-material-strengthen-quality-control-biological-drugs,Impurities in these drugs can cause undesirable immune responses in patients and can significantly drive up costs for drug manufacturers.
2025-07-30T12:00:00Z,press,Sarah Henderson,NIST Consortium and Draft Guidelines Aim to Improve Security in Software Development,https://www.nist.gov/news-events/news/2025/07/nist-consortium-and-draft-guidelines-aim-improve-security-software,"NIST is soliciting comments from the public on the draft until Sept. 12, and the agency is planning a virtual event to showcase the project and gather feedback on Aug. 27."
2025-07-24T12:00:00Z,press,Sarah Henderson,NIST Makes First Detection of Cannabis in Breath From Edibles,https://www.nist.gov/news-events/news/2025/07/nist-makes-first-detection-cannabis-breath-edibles,Currently there are no reliable roadside tests to determine when a person consumed cannabis or how intoxicated they are as a result.
2025-07-17T12:00:00Z,press,Sarah Henderson,NIST’s Alex Maranghides Receives Service to America Medal,https://www.nist.gov/news-events/news/2025/07/nists-alex-maranghides-receives-service-america-medal,The award recognizes Maranghides for 25 years of work investigating devastating wildfires in the United States and creating actionable guidelines on how to save lives and property.
2025-07-16T12:00:00Z,biomedical,Sarah Henderson,NIST Releases Trove of Genetic Data to Spur Cancer Research,https://www.nist.gov/news-events/news/2025/07/nist-releases-trove-genetic-data-spur-cancer-research,NIST and collaborating institutions have released extensive data about the genome of pancreatic cancer cells.
2025-07-14T12:00:00Z,construction,Sarah Henderson,NIST Shares Preliminary Findings From Hurricane Maria Investigation,https://www.nist.gov/news-events/news/2025/07/nist-shares-preliminary-findings-hurricane-maria-investigation,"As NIST’s National Construction Safety Team nears the end of its investigation, it has released a video update that highlights significant milestones and preliminary findings."
2025-07-14T12:00:00Z,press,Sarah Henderson,NIST Ion Clock Sets New Record for Most Accurate Clock in the World,https://www.nist.gov/news-events/news/2025/07/nist-ion-clock-sets-new-record-most-accurate-clock-world,"This new result contributes to the international effort to define the second with a much greater level of accuracy than before, enabling new scientific and technological advances."
