filed_utc,kind,creator,title,link,summary
2026-04-16T12:00:00Z,quantum,Sarah Henderson,NIST Weighs In on the Mystery of the Gravitational Constant,https://www.nist.gov/news-events/news/2026/04/nist-weighs-mystery-gravitational-constant,A NIST researcher has unveiled the results of a 10-year quest to measure the constant.
2026-04-15T12:00:00Z,photonics,Sarah Henderson,Any Color You Like: NIST Scientists Create ‘Any Wavelength’ Lasers in Tiny Circuits for Light,https://www.nist.gov/news-events/news/2026/04/any-color-you-nist-scientists-create-any-wavelength-lasers-tiny-circuits,NIST scientists and collaborators have pioneered a way to make integrated circuits for light by depositing complex patterns of specialized materials onto silicon wafers.
2026-03-30T12:00:00Z,photonics,Sarah Henderson,NIST Researchers Develop Photonic Chip Packaging That Can Withstand Extreme Environments,https://www.nist.gov/news-events/news/2026/03/nist-researchers-develop-photonic-chip-packaging-can-withstand-extreme,"The advance could allow these technologies to operate in deep-space probes, inside nuclear reactors, in ultrahigh vacuum systems, and at temperatures both near absolute zero and in scorchingly hot industrial settings."
2026-03-23T12:00:00Z,forensics,Sarah Henderson,NIST Helps Fingerprint Examiners With New Data and Software Release,https://www.nist.gov/news-events/news/2026/03/nist-helps-fingerprint-examiners-new-data-and-software-release,"The new tools are an annotated collection of 10,000 fingerprints and a software program that can sort fingerprints according to their quality."
2026-03-19T12:00:00Z,construction,Sarah Henderson,NIST Submits Annual Report to Congress Summarizing FY 2025 Progress on National Construction Safety Team Investigations,https://www.nist.gov/news-events/news/2026/03/nist-submits-annual-report-congress-summarizing-fy-2025-progress-national,The report includes an overview of work completed on the Champlain Towers South investigation.
2026-02-19T12:00:00Z,construction,Sarah Henderson,2 Health Care Organizations Will Receive 2025 Baldrige National Quality Awards,https://www.nist.gov/news-events/news/2026/02/2-health-care-organizations-will-receive-2025-baldrige-national-quality,The award highlights organizations that focus on resilience.
2026-02-17T12:00:00Z,press,Peter Cihon,Announcing the &quot;AI Agent Standards Initiative&quot; for Interoperable and Secure Innovation,https://www.nist.gov/news-events/news/2026/02/announcing-ai-agent-standards-initiative-interoperable-and-secure,"The Initiative will ensure that the next generation of AI is widely adopted with confidence, can function securely on behalf of its users, and can interoperate smoothly across the digital ecosystem."
2026-02-17T12:00:00Z,materials,Sarah Henderson,NIST Releases New Forensic Genetic Reference Material to Help Crime Laboratories Analyze Challenging Cases,https://www.nist.gov/news-events/news/2026/02/nist-releases-new-forensic-genetic-reference-material-help-crime,The reference material is the first to include mixtures of high-quality and degraded DNA from different individuals.
2026-02-10T12:00:00Z,quantum,Sarah Henderson,"NIST Allocates Over $3 Million to Small Businesses Advancing AI, Biotechnology, Semiconductors, Quantum and More",https://www.nist.gov/news-events/news/2026/02/nist-allocates-over-3-million-small-businesses-advancing-ai-biotechnology,NIST is allocating funding to eight small businesses in seven states under the Small Business Innovation Research (SBIR) program.
2026-02-09T12:00:00Z,materials,Sarah Henderson,Space: The Final Frontier for Standards,https://www.nist.gov/news-events/news/2026/02/space-final-frontier-standards,"Seven NIST reference materials, including house dust and freeze-dried human liver tissue, have been flown to the International Space Station."
2026-01-12T12:00:00Z,press,Peter Cihon,CAISI Issues Request for Information About Securing AI Agent Systems,https://www.nist.gov/news-events/news/2026/01/caisi-issues-request-information-about-securing-ai-agent-systems,"The Center for AI Standards and Innovation (CAISI) at the U.S. Department of Commerce’s National Institute of Standards and Technology (NIST) has published a Request for Information (RFI) seeking insights from industry, academia, and the security"
2025-12-22T12:00:00Z,ai_standards,Sarah Henderson,NIST Launches Centers for AI in Manufacturing and Critical Infrastructure,https://www.nist.gov/news-events/news/2025/12/nist-launches-centers-ai-manufacturing-and-critical-infrastructure,NIST has expanded its collaboration with the nonprofit MITRE Corporation as part of its efforts to ensure U.S. leadership in artificial intelligence.
2025-12-18T12:00:00Z,quantum,Sarah Henderson,NIST Physicists Bring Unruly Molecules to the Quantum Party,https://www.nist.gov/news-events/news/2025/12/nist-physicists-bring-unruly-molecules-quantum-party,"Molecules can serve as versatile building blocks for quantum technologies, but they are much harder to control than atoms."
2025-12-17T12:00:00Z,cybersecurity,Sarah Henderson,Securing Smart Speakers for Home Health Care: NIST Offers New Guidelines,https://www.nist.gov/news-events/news/2025/12/securing-smart-speakers-home-health-care-nist-offers-new-guidelines,Cybersecurity and privacy risks can threaten patient confidentiality.
2025-12-16T12:00:00Z,cybersecurity,Sarah Henderson,Draft NIST Guidelines Rethink Cybersecurity for the AI Era,https://www.nist.gov/news-events/news/2025/12/draft-nist-guidelines-rethink-cybersecurity-ai-era,New guidelines can help an organization determine ways to incorporate AI into its operations while mitigating cybersecurity risks.
