filed,form,kind,ticker,issuer,location,ciks,accession,captured_at
2026-04-14,6-K,plan_of_arrangement,,THOMSON REUTERS CORP /CAN/,"Toronto, A6",0001075124,0001193125-26-155046,2026-04-27T22:55:37Z
2026-04-14,6-K,plan_of_arrangement,EGO,ELDORADO GOLD CORP /FI,"Vancouver, A1",0000918608,0001104659-26-042888,2026-04-27T22:55:37Z
2026-04-13,6-K,plan_of_arrangement,GFL,GFL Environmental Inc.,"Miami, FL",0001780232,0001104659-26-042265,2026-04-27T22:55:37Z
2026-04-13,6-K,plan_of_arrangement,KGEI,Kolibri Global Energy Inc.,"Thousand Oaks, CA",0001477081,0001493152-26-016262,2026-04-27T22:55:37Z
2026-04-08,6-K,plan_of_arrangement,B,BARRICK MINING CORP,Toronto,0000756894,0001193125-26-148005,2026-04-27T22:55:37Z
2026-04-07,6-K,plan_of_arrangement,EGO,ELDORADO GOLD CORP /FI,"Vancouver, A1",0000918608,0001104659-26-040400,2026-04-27T22:55:37Z
2026-04-07,6-K,plan_of_arrangement,EGO,ELDORADO GOLD CORP /FI,"Vancouver, A1",0000918608,0001104659-26-040379,2026-04-27T22:55:37Z
2026-04-07,6-K,plan_of_arrangement,BTE,BAYTEX ENERGY CORP.,Calgary,0001279495,0001279495-26-000009,2026-04-27T22:55:37Z
2026-04-02,6-K,plan_of_arrangement,SOBO,South Bow Corp,Calgary,0002019061,0001193125-26-140274,2026-04-27T22:55:37Z
2026-04-02,6-K,plan_of_arrangement,IAG,IAMGOLD CORP,"Toronto, A6",0001203464,0001062993-26-001824,2026-04-27T22:55:37Z
2026-04-02,6-K,plan_of_arrangement,ORIO,Orion Digital Corp.,Vancouver,0001602842,0001477932-26-001953,2026-04-27T22:55:37Z
2026-04-02,6-K,plan_of_arrangement,TU,TELUS CORP,"Vancouver, A1",0000868675,0001104659-26-039250,2026-04-27T22:55:37Z
2026-04-02,6-K,plan_of_arrangement,TU,TELUS CORP,"Vancouver, A1",0000868675,0001104659-26-039249,2026-04-27T22:55:37Z
2026-04-02,40-F,arrangement_agreement,DEFT,"Defi Technologies, Inc.","Toronto, Z4",0001888274,0001213900-26-039455,2026-04-27T22:55:37Z
2026-04-01,6-K,plan_of_arrangement,AAUC,Allied Gold Corp,"Toronto, A6",0001993344,0001171843-26-002106,2026-04-27T22:55:37Z
2026-04-01,6-K,plan_of_arrangement,EGO,ELDORADO GOLD CORP /FI,"Vancouver, A1",0000918608,0001104659-26-038376,2026-04-27T22:55:37Z
2026-04-01,6-K,plan_of_arrangement,CANG,Cango Inc.,Hong Kong,0001725123,0001104659-26-038489,2026-04-27T22:55:37Z
2026-04-01,6-K,plan_of_arrangement,,Mako Mining Corp.,"Vancouver, A1",0001784930,0001062993-26-001792,2026-04-27T22:55:37Z
2026-04-01,6-K,plan_of_arrangement,AAUC,Allied Gold Corp,"Toronto, A6",0001993344,0001171843-26-002104,2026-04-27T22:55:37Z
2026-04-01,6-K,plan_of_arrangement,TFPM,Triple Flag Precious Metals Corp.,"Toronto, A6",0001829726,0001104659-26-038185,2026-04-27T22:55:37Z
2026-04-01,40-F,plan_of_arrangement,AAUC,Allied Gold Corp,"Toronto, A6",0001993344,0001628280-26-022512,2026-04-27T22:55:37Z
2026-04-01,6-K,arrangement_agreement,AAUC,Allied Gold Corp,"Toronto, A6",0001993344,0001104659-26-037965,2026-04-27T22:55:37Z
2026-03-31,6-K,plan_of_arrangement,BBU,Brookfield Business Corp,"New York, NY",0001654795,0001104659-26-037138,2026-04-27T22:55:37Z
2026-03-31,6-K,plan_of_arrangement,BITF,Bitfarms Ltd,"Toronto, A6",0001812477,0001213900-26-037494,2026-04-27T22:55:37Z
2026-03-31,6-K,plan_of_arrangement,BITF,Bitfarms Ltd,"Toronto, A6",0001812477,0001213900-26-036845,2026-04-27T22:55:37Z
2026-03-31,6-K,plan_of_arrangement,XNDU,Xanadu Quantum Technologies Ltd,Toronto,0002097163,0001213900-26-037534,2026-04-27T22:55:37Z
2026-03-31,6-K,plan_of_arrangement,NTR,Nutrien Ltd.,"Saskatoon, A9",0001725964,0001193125-26-133922,2026-04-27T22:55:37Z
2026-03-31,6-K,plan_of_arrangement,WPM,Wheaton Precious Metals Corp.,"Vancouver, A1",0001323404,0001062993-26-001700,2026-04-27T22:55:37Z
2026-03-31,40-F,plan_of_arrangement,AEC,ANFIELD ENERGY INC.,Burnaby,0001519469,0001493152-26-014375,2026-04-27T22:55:37Z
2026-03-31,40-F,plan_of_arrangement,EQX,Equinox Gold Corp.,"Vancouver, A1",0001756607,0001628280-26-022120,2026-04-27T22:55:37Z
2026-03-31,40-F,plan_of_arrangement,,Highlander Silver Corp.,Port Moody,0002013223,0001213900-26-036688,2026-04-27T22:55:37Z
2026-03-31,40-F,plan_of_arrangement,WPM,Wheaton Precious Metals Corp.,"Vancouver, A1",0001323404,0001193125-26-134908,2026-04-27T22:55:37Z
2026-03-31,6-K,arrangement_agreement,DEFT,"Defi Technologies, Inc.","Toronto, Z4",0001888274,0001213900-26-037585,2026-04-27T22:55:37Z
2026-03-30,6-K,plan_of_arrangement,DVS,DOLLY VARDEN SILVER CORP,"Vancouver, A1",0001542028,0001062993-26-001692,2026-04-27T22:55:37Z
2026-03-30,40-F,plan_of_arrangement,DNN,DENISON MINES CORP.,Toronto,0001063259,0001104659-26-036912,2026-04-27T22:55:37Z
2026-03-30,40-F,plan_of_arrangement,OR,OR Royalties Inc.,Montreal,0001627272,0001062993-26-001696,2026-04-27T22:55:37Z
2026-03-30,40-F,plan_of_arrangement,USAS,Americas Gold & Silver Corp,"Toronto, A6",0001286973,0001062993-26-001679,2026-04-27T22:55:37Z
2026-03-27,6-K,plan_of_arrangement,BBU,Brookfield Business Corp,"New York, NY",0001654795,0001104659-26-036091,2026-04-27T22:55:37Z
2026-03-27,6-K,plan_of_arrangement,,Highlander Silver Corp.,Port Moody,0002013223,0001213900-26-034891,2026-04-27T22:55:37Z
2026-03-27,6-K,plan_of_arrangement,BBUC,Brookfield Business Holdings Corp,"New York, NY",0001871130,0001104659-26-036096,2026-04-27T22:55:37Z
2026-03-27,6-K,plan_of_arrangement,,Above Food Ingredients Inc.,"Regina, Saskatchewan",0001979484,0001104659-26-036243,2026-04-27T22:55:37Z
2026-03-27,6-K,plan_of_arrangement,TFPM,Triple Flag Precious Metals Corp.,"Toronto, A6",0001829726,0001104659-26-036196,2026-04-27T22:55:37Z
2026-03-27,40-F,plan_of_arrangement,TFPM,Triple Flag Precious Metals Corp.,"Toronto, A6",0001829726,0001104659-26-036188,2026-04-27T22:55:37Z
2026-03-27,40-F,plan_of_arrangement,SA,SEABRIDGE GOLD INC,"Toronto, A6",0001231346,0001213900-26-035021,2026-04-27T22:55:37Z
2026-03-27,40-F,plan_of_arrangement,HBM,Hudbay Minerals Inc.,Toronto,0001322422,0001062993-26-001648,2026-04-27T22:55:37Z
2026-03-27,40-F,plan_of_arrangement,EGO,ELDORADO GOLD CORP /FI,"Vancouver, A1",0000918608,0000918608-26-000007,2026-04-27T22:55:37Z
2026-03-27,40-F,plan_of_arrangement,MSLE,Satellos Bioscience Inc.,"Toronto, A6",0001421642,0001104659-26-035729,2026-04-27T22:55:37Z
2026-03-26,6-K,plan_of_arrangement,DVS,DOLLY VARDEN SILVER CORP,"Vancouver, A1",0001542028,0001062993-26-001634,2026-04-27T22:55:37Z
2026-03-26,6-K,plan_of_arrangement,EGO,ELDORADO GOLD CORP /FI,"Vancouver, A1",0000918608,0001104659-26-034681,2026-04-27T22:55:37Z
2026-03-26,6-K,plan_of_arrangement,,BCE INC,Verdun,0000718940,0001193125-26-125269,2026-04-27T22:55:37Z
2026-03-26,40-F,plan_of_arrangement,AGI,ALAMOS GOLD INC,Toronto,0001178819,0001178819-26-000048,2026-04-27T22:55:37Z
2026-03-26,40-F,plan_of_arrangement,SLSR,Solaris Resources Inc.,Baar,0002019103,0001213900-26-034862,2026-04-27T22:55:37Z
2026-03-26,40-F,plan_of_arrangement,MTA,Metalla Royalty & Streaming Ltd.,Vancouver,0001722606,0001062993-26-001632,2026-04-27T22:55:37Z
2026-03-26,40-F,plan_of_arrangement,,KINROSS GOLD CORP,Toronto,0000701818,0001104659-26-035268,2026-04-27T22:55:37Z
2026-03-25,6-K,plan_of_arrangement,EQX,Equinox Gold Corp.,"Vancouver, A1",0001756607,0001171843-26-001914,2026-04-27T22:55:37Z
2026-03-25,40-F,plan_of_arrangement,ITRG,Integra Resources Corp.,"Vancouver, A1",0001722387,0001722387-26-000004,2026-04-27T22:55:37Z
2026-03-25,40-F,plan_of_arrangement,NFGC,New Found Gold Corp.,Toronto,0001840616,0001104659-26-034548,2026-04-27T22:55:37Z
2026-03-24,6-K,plan_of_arrangement,,Above Food Ingredients Inc.,"Regina, Saskatchewan",0001979484,0001104659-26-033812,2026-04-27T22:55:37Z
2026-03-24,40-F,plan_of_arrangement,ELE,Elemental Royalty Corp,Vancouver,0002086771,0001628280-26-020856,2026-04-27T22:55:37Z
2026-03-24,6-K,arrangement_agreement,FMFC,Kandal M Venture Ltd,Kandal Province,0002024656,0001213900-26-033503,2026-04-27T22:55:37Z
2026-03-23,6-K,plan_of_arrangement,NGD,New Gold Inc. /FI,Toronto,0000800166,0001279569-26-000229,2026-04-27T22:55:37Z
2026-03-23,6-K,plan_of_arrangement,,PAN AMERICAN SILVER CORP,"Vancouver, A1",0000771992,0000771992-26-000028,2026-04-27T22:55:37Z
2026-03-20,6-K,plan_of_arrangement,DVS,DOLLY VARDEN SILVER CORP,"Vancouver, A1",0001542028,0001062993-26-001554,2026-04-27T22:55:37Z
2026-03-20,6-K,plan_of_arrangement,BITF,Bitfarms Ltd,"Toronto, A6",0001812477,0001213900-26-032399,2026-04-27T22:55:37Z
2026-03-20,6-K,plan_of_arrangement,NGD,New Gold Inc. /FI,Toronto,0000800166,0000800166-26-000005,2026-04-27T22:55:37Z
2026-03-20,6-K,plan_of_arrangement,,Gold Royalty Corp.,"Vancouver, A1",0001834026,0001493152-26-011982,2026-04-27T22:55:37Z
2026-03-20,6-K,plan_of_arrangement,AEM,AGNICO EAGLE MINES LTD,"Toronto, A6",0000002809,0001104659-26-032797,2026-04-27T22:55:37Z
2026-03-20,40-F,plan_of_arrangement,ORLA,Orla Mining Ltd.,Vancouver,0001680056,0001104659-26-032222,2026-04-27T22:55:37Z
2026-03-19,6-K,plan_of_arrangement,AAUC,Allied Gold Corp,"Toronto, A6",0001993344,0001171843-26-001800,2026-04-27T22:55:37Z
2026-03-19,40-F,plan_of_arrangement,AEM,AGNICO EAGLE MINES LTD,"Toronto, A6",0000002809,0001104659-26-032153,2026-04-27T22:55:37Z
2026-03-19,40-F,plan_of_arrangement,ALM,Almonty Industries Inc.,Toronto,0001670061,0001493152-26-011503,2026-04-27T22:55:37Z
2026-03-18,6-K,plan_of_arrangement,DVS,DOLLY VARDEN SILVER CORP,"Vancouver, A1",0001542028,0001062993-26-001516,2026-04-27T22:55:37Z
2026-03-18,6-K,plan_of_arrangement,DVS,DOLLY VARDEN SILVER CORP,"Vancouver, A1",0001542028,0001062993-26-001493,2026-04-27T22:55:37Z
2026-03-18,40-F,plan_of_arrangement,BGSI,Boyd Group Services Inc.,Winnipeg,0002091467,0001193125-26-112466,2026-04-27T22:55:37Z
2026-03-18,40-F,plan_of_arrangement,,BROOKFIELD Corp /ON/,"Toronto, A6",0001001085,0001001085-26-000006,2026-04-27T22:55:37Z
2026-03-17,6-K,plan_of_arrangement,NFGC,New Found Gold Corp.,Toronto,0001840616,0001062993-26-001460,2026-04-27T22:55:37Z
2026-03-17,6-K,plan_of_arrangement,WFG,"WEST FRASER TIMBER CO., LTD","Vancouver, A1",0001402388,0001402388-26-000019,2026-04-27T22:55:37Z
2026-03-16,6-K,plan_of_arrangement,,THOMSON REUTERS CORP /CAN/,"Toronto, A6",0001075124,0001193125-26-106711,2026-04-27T22:55:37Z
2026-03-16,6-K,plan_of_arrangement,BBU,Brookfield Business Partners L.P.,Hamilton,0001654795|0001871130,0001171843-26-001570,2026-04-27T22:55:37Z
2026-03-16,6-K,plan_of_arrangement,DVS,DOLLY VARDEN SILVER CORP,"Vancouver, A1",0001542028,0001062993-26-001442,2026-04-27T22:55:37Z
2026-03-16,40-F,plan_of_arrangement,SOBO,South Bow Corp,Calgary,0002019061,0002019061-26-000006,2026-04-27T22:55:37Z
2026-03-13,6-K,plan_of_arrangement,,TECK RESOURCES LTD,"Vancouver, A1",0000886986,0000950142-26-000706,2026-04-27T22:55:37Z
2026-03-13,40-F,plan_of_arrangement,,Greenfire Resources Ltd.,Calgary,0001966287,0001213900-26-027268,2026-04-27T22:55:37Z
2026-03-13,40-F,plan_of_arrangement,CEF,Sprott Physical Gold & Silver Trust,"Toronto, A6",0001726122,0001999371-26-005824,2026-04-27T22:55:37Z
