filed,form,kind,ticker,issuer,location,ciks,accession,captured_at
2026-04-27,6-K,plan_of_arrangement,REAX,Real Brokerage Inc,"Miami, FL",0001862461,0001104659-26-049066,2026-04-27T22:55:37Z
2026-04-27,6-K,plan_of_arrangement,NGEN,NERVGEN PHARMA CORP.,"Vancouver, A1",0001751912,0001104659-26-049508,2026-04-27T22:55:37Z
2026-04-24,40-F,plan_of_arrangement,BMM,Blue Moon Metals Inc.,Toronto,0001732379,0001554855-26-000717,2026-04-27T22:55:37Z
2026-04-23,6-K,plan_of_arrangement,GFL,GFL Environmental Inc.,"Miami, FL",0001780232,0001104659-26-047044,2026-04-27T22:55:37Z
2026-04-23,6-K,plan_of_arrangement,,TECK RESOURCES LTD,"Vancouver, A1",0000886986,0000950142-26-001171,2026-04-27T22:55:37Z
2026-04-23,6-K,arrangement_agreement,NFGC,New Found Gold Corp.,Toronto,0001840616,0001104659-26-047554,2026-04-27T22:55:37Z
2026-04-21,6-K,plan_of_arrangement,AEM,AGNICO EAGLE MINES LTD,"Toronto, A6",0000002809,0001104659-26-046008,2026-04-27T22:55:37Z
2026-04-21,6-K,plan_of_arrangement,NMG,Nouveau Monde Graphite Inc.,L'ange-gardien,0001649752,0001104659-26-045798,2026-04-27T22:55:37Z
2026-04-20,6-K,plan_of_arrangement,CSCIF,COSCIENS Biopharma Inc.,"Toronto, A6",0001113423,0001493152-26-018000,2026-04-27T22:55:37Z
2026-04-20,6-K,plan_of_arrangement,NFGC,New Found Gold Corp.,Toronto,0001840616,0001104659-26-045105,2026-04-27T22:55:37Z
2026-04-16,6-K,plan_of_arrangement,UROY,Uranium Royalty Corp.,"Vancouver, A1",0001711570,0001493152-26-017113,2026-04-27T22:55:37Z
2026-04-16,6-K,plan_of_arrangement,OR,OR Royalties Inc.,Montreal,0001627272,0001062993-26-002014,2026-04-27T22:55:37Z
