month,job_openings_k,hires_k,quits_k,layoffs_k,total_separations_k,openings_per_unemployed,captured_at
2024-03,8206,5452,3289,1647,5265,1.26,2026-04-27T20:08:12Z
2024-04,7529,5469,3438,1548,5370,1.16,2026-04-27T20:08:12Z
2024-05,7782,5492,3386,1747,5424,1.17,2026-04-27T20:08:12Z
2024-06,7416,5137,3280,1497,5082,1.08,2026-04-27T20:08:12Z
2024-07,7426,5430,3359,1711,5390,1.05,2026-04-27T20:08:12Z
2024-08,7520,5204,3240,1683,5226,1.06,2026-04-27T20:08:12Z
2024-09,6943,5427,3123,1780,5160,1.01,2026-04-27T20:08:12Z
2024-10,7379,5228,3215,1650,5137,1.06,2026-04-27T20:08:12Z
2024-11,7566,5155,3050,1831,5156,1.07,2026-04-27T20:08:12Z
2024-12,7295,5292,3085,1689,5049,1.05,2026-04-27T20:08:12Z
2025-01,7431,5238,3203,1738,5241,1.08,2026-04-27T20:08:12Z
2025-02,7242,5236,3153,1867,5285,1.02,2026-04-27T20:08:12Z
2025-03,6952,5333,3456,1595,5288,0.97,2026-04-27T20:08:12Z
2025-04,7098,5391,3144,1818,5270,0.99,2026-04-27T20:08:12Z
2025-05,7310,5328,3287,1671,5288,1.01,2026-04-27T20:08:12Z
2025-06,7204,5327,3254,1843,5432,1.02,2026-04-27T20:08:12Z
2025-07,7089,5225,3132,1772,5170,0.97,2026-04-27T20:08:12Z
2025-08,6919,5145,3095,1832,5207,0.94,2026-04-27T20:08:12Z
2025-09,7169,5244,2990,1816,5161,0.94,2026-04-27T20:08:12Z
2025-10,7170,5180,2980,1891,5125,,2026-04-27T20:08:12Z
2025-11,6846,5019,3119,1660,5035,0.88,2026-04-27T20:08:12Z
2025-12,6550,5272,3225,1666,5203,0.87,2026-04-27T20:08:12Z
2026-01,7240,5347,3131,1660,5144,0.98,2026-04-27T20:08:12Z
2026-02,6882,4849,2974,1721,4971,0.91,2026-04-27T20:08:12Z
