period,category_code,category_name,ba_ba,ba_hba,ba_cba,ba_wba,bf_pbf4q,bf_pbf8q,bf_sbf4q,bf_sbf8q,captured_at
2026-03,TOTAL,All Industries (Headline),491941,144952,40912,36647,28980,39805,28980,39805,2026-04-27T23:00:25Z
2026-03,NAICS81,Other Services,42368,5372,2702,2924,2282,3202,2282,3202,2026-04-27T23:00:25Z
2026-03,NAICS72,Accommodation / Food Services,26786,26786,2386,5386,3428,4569,3428,4569,2026-04-27T23:00:25Z
2026-03,NAICS71,Arts / Entertainment / Recreation,15117,1735,858,936,708,976,708,976,2026-04-27T23:00:25Z
2026-03,NAICS62,Health Care / Social Assistance,33125,22665,3727,4326,3314,4581,3314,4581,2026-04-27T23:00:25Z
2026-03,NAICS61,Educational Services,8041,1142,510,600,445,619,445,619,2026-04-27T23:00:25Z
2026-03,NAICS56,Administrative / Support / Waste,36179,4985,2114,3102,2006,2761,2006,2761,2026-04-27T23:00:25Z
2026-03,NAICS55,Management of Companies,6329,1101,1030,140,83,105,83,105,2026-04-27T23:00:25Z
2026-03,NAICS54,Professional / Scientific / Technical,76657,16843,7275,4854,5060,6741,5060,6741,2026-04-27T23:00:25Z
2026-03,NAICS53,Real Estate / Rental / Leasing,26121,2701,1523,1312,1246,1663,1246,1663,2026-04-27T23:00:25Z
2026-03,NAICS52,Finance & Insurance,19309,4137,1749,922,771,1007,771,1007,2026-04-27T23:00:25Z
2026-03,NAICS51,Information / Media / Tech,11378,1558,1099,614,521,695,521,695,2026-04-27T23:00:25Z
2026-03,NAICS42,Wholesale Trade,8648,2044,1627,517,465,630,465,630,2026-04-27T23:00:25Z
2026-03,NAICS23,Construction,45992,23397,4313,3789,3306,4657,3306,4657,2026-04-27T23:00:25Z
2026-03,NAICS22,Utilities,633,52,34,28,24,31,24,31,2026-04-27T23:00:25Z
2026-03,NAICS21,Mining / Oil & Gas Extraction,522,106,51,53,47,54,47,54,2026-04-27T23:00:25Z
2026-03,NAICS11,Agriculture / Forestry / Fishing,3878,484,150,369,90,114,90,114,2026-04-27T23:00:25Z
2026-02,TOTAL,All Industries (Headline),496206,146115,41504,38181,29033,39394,29033,39394,2026-04-27T23:00:25Z
2026-02,NAICS81,Other Services,42464,5192,2656,2891,2277,3153,2277,3153,2026-04-27T23:00:25Z
2026-02,NAICS72,Accommodation / Food Services,27820,27820,2389,5622,3517,4673,3517,4673,2026-04-27T23:00:25Z
2026-02,NAICS71,Arts / Entertainment / Recreation,15335,1782,875,1022,720,983,720,983,2026-04-27T23:00:25Z
2026-02,NAICS62,Health Care / Social Assistance,31831,21750,3712,4373,3244,4461,3244,4461,2026-04-27T23:00:25Z
