period,category_code,category_name,ba_ba,ba_hba,ba_cba,ba_wba,bf_pbf4q,bf_pbf8q,bf_sbf4q,bf_sbf8q,captured_at
2026-02,NAICS61,Educational Services,8040,1170,501,617,446,608,446,608,2026-04-27T23:00:25Z
2026-02,NAICS56,Administrative / Support / Waste,36315,4910,2181,3076,1980,2677,1980,2677,2026-04-27T23:00:25Z
2026-02,NAICS55,Management of Companies,6633,1176,1078,152,83,97,83,97,2026-04-27T23:00:25Z
2026-02,NAICS54,Professional / Scientific / Technical,75104,16651,7310,4846,5035,6685,5035,6685,2026-04-27T23:00:25Z
2026-02,NAICS53,Real Estate / Rental / Leasing,26472,2786,1600,1365,1265,1665,1265,1665,2026-04-27T23:00:25Z
2026-02,NAICS52,Finance & Insurance,19819,4074,1665,952,783,1008,783,1008,2026-04-27T23:00:25Z
2026-02,NAICS51,Information / Media / Tech,11068,1584,1153,629,501,658,501,658,2026-04-27T23:00:25Z
2026-02,NAICS42,Wholesale Trade,9459,2128,1654,546,479,643,479,643,2026-04-27T23:00:25Z
2026-02,NAICS23,Construction,47952,24053,4377,4298,3410,4750,3410,4750,2026-04-27T23:00:25Z
2026-02,NAICS22,Utilities,648,71,35,39,28,40,28,40,2026-04-27T23:00:25Z
2026-02,NAICS21,Mining / Oil & Gas Extraction,548,96,43,59,46,54,46,54,2026-04-27T23:00:25Z
2026-02,NAICS11,Agriculture / Forestry / Fishing,4135,670,238,475,84,110,84,110,2026-04-27T23:00:25Z
2026-01,TOTAL,All Industries (Headline),526115,148127,44422,39077,29970,40972,29970,40972,2026-04-27T23:00:25Z
2026-01,NAICS81,Other Services,41914,5554,2855,3161,2367,3278,2367,3278,2026-04-27T23:00:25Z
2026-01,NAICS72,Accommodation / Food Services,26719,26719,2665,5666,3463,4646,3463,4646,2026-04-27T23:00:25Z
2026-01,NAICS71,Arts / Entertainment / Recreation,15364,1961,923,1127,751,1037,751,1037,2026-04-27T23:00:25Z
2026-01,NAICS62,Health Care / Social Assistance,32252,22663,4114,4729,3408,4698,3408,4698,2026-04-27T23:00:25Z
2026-01,NAICS61,Educational Services,8217,1203,535,642,460,634,460,634,2026-04-27T23:00:25Z
2026-01,NAICS56,Administrative / Support / Waste,35919,5347,2349,3154,2010,2741,2010,2741,2026-04-27T23:00:25Z
2026-01,NAICS55,Management of Companies,6561,1368,1207,202,86,99,86,99,2026-04-27T23:00:25Z
2026-01,NAICS54,Professional / Scientific / Technical,72189,17057,7657,5047,5004,6672,5004,6672,2026-04-27T23:00:25Z
2026-01,NAICS53,Real Estate / Rental / Leasing,26202,2854,1759,1345,1305,1720,1305,1720,2026-04-27T23:00:25Z
2026-01,NAICS52,Finance & Insurance,19297,4298,1922,980,799,1055,799,1055,2026-04-27T23:00:25Z
2026-01,NAICS51,Information / Media / Tech,10680,1592,1145,617,494,655,494,655,2026-04-27T23:00:25Z
2026-01,NAICS42,Wholesale Trade,10169,2242,1846,546,496,675,496,675,2026-04-27T23:00:25Z
2026-01,NAICS23,Construction,46383,23715,4614,3923,3333,4719,3333,4719,2026-04-27T23:00:25Z
2026-01,NAICS22,Utilities,535,75,30,43,27,40,27,40,2026-04-27T23:00:25Z
2026-01,NAICS21,Mining / Oil & Gas Extraction,505,104,50,59,49,55,49,55,2026-04-27T23:00:25Z
2026-01,NAICS11,Agriculture / Forestry / Fishing,3882,537,167,393,79,102,79,102,2026-04-27T23:00:25Z
2025-12,TOTAL,All Industries (Headline),496139,136578,41368,36691,28573,38366,28573,38366,2026-04-27T23:00:25Z
2025-12,NAICS81,Other Services,40414,5147,2555,2985,2255,3062,2255,3062,2026-04-27T23:00:25Z
2025-12,NAICS72,Accommodation / Food Services,25249,25249,2385,5363,3330,4384,3330,4384,2026-04-27T23:00:25Z
2025-12,NAICS71,Arts / Entertainment / Recreation,14972,1820,906,1069,718,959,718,959,2026-04-27T23:00:25Z
2025-12,NAICS62,Health Care / Social Assistance,31229,20908,3835,4311,3174,4309,3174,4309,2026-04-27T23:00:25Z
2025-12,NAICS61,Educational Services,7749,1162,537,601,440,589,440,589,2026-04-27T23:00:25Z
2025-12,NAICS56,Administrative / Support / Waste,34091,4897,2178,2974,1862,2563,1862,2563,2026-04-27T23:00:25Z
2025-12,NAICS55,Management of Companies,5709,1015,914,168,72,83,72,83,2026-04-27T23:00:25Z
2025-12,NAICS54,Professional / Scientific / Technical,74809,15962,7405,4878,4964,6617,4964,6617,2026-04-27T23:00:25Z
2025-12,NAICS53,Real Estate / Rental / Leasing,24231,2695,1609,1325,1249,1624,1249,1624,2026-04-27T23:00:25Z
2025-12,NAICS52,Finance & Insurance,18786,4018,1684,886,799,1005,799,1005,2026-04-27T23:00:25Z
2025-12,NAICS51,Information / Media / Tech,10250,1521,1129,596,472,615,472,615,2026-04-27T23:00:25Z
2025-12,NAICS42,Wholesale Trade,9830,2051,1772,489,498,653,498,653,2026-04-27T23:00:25Z
2025-12,NAICS23,Construction,41807,20803,4230,3657,3157,4340,3157,4340,2026-04-27T23:00:25Z
2025-12,NAICS22,Utilities,457,37,29,16,20,26,20,26,2026-04-27T23:00:25Z
2025-12,NAICS21,Mining / Oil & Gas Extraction,448,77,35,52,45,52,45,52,2026-04-27T23:00:25Z
2025-12,NAICS11,Agriculture / Forestry / Fishing,3593,534,142,399,82,103,82,103,2026-04-27T23:00:25Z
2025-11,TOTAL,All Industries (Headline),537266,145007,43555,38257,28868,39288,28868,39288,2026-04-27T23:00:25Z
2025-11,NAICS81,Other Services,43104,5564,2884,3130,2260,3116,2260,3116,2026-04-27T23:00:25Z
2025-11,NAICS72,Accommodation / Food Services,27001,27001,2613,5660,3410,4605,3410,4605,2026-04-27T23:00:25Z
2025-11,NAICS71,Arts / Entertainment / Recreation,15147,1849,945,1045,699,948,699,948,2026-04-27T23:00:25Z
2025-11,NAICS62,Health Care / Social Assistance,32899,21930,3948,4447,3182,4363,3182,4363,2026-04-27T23:00:25Z
2025-11,NAICS61,Educational Services,7906,1162,533,602,413,575,413,575,2026-04-27T23:00:25Z
2025-11,NAICS56,Administrative / Support / Waste,34968,5095,2264,3018,1863,2607,1863,2607,2026-04-27T23:00:25Z
2025-11,NAICS55,Management of Companies,6254,1158,1030,201,83,95,83,95,2026-04-27T23:00:25Z
2025-11,NAICS54,Professional / Scientific / Technical,70456,16701,7739,5056,4766,6347,4766,6347,2026-04-27T23:00:25Z
2025-11,NAICS53,Real Estate / Rental / Leasing,25948,2774,1697,1316,1272,1663,1272,1663,2026-04-27T23:00:25Z
2025-11,NAICS52,Finance & Insurance,19792,4451,1973,981,820,1058,820,1058,2026-04-27T23:00:25Z
2025-11,NAICS51,Information / Media / Tech,10185,1551,1117,613,449,599,449,599,2026-04-27T23:00:25Z
2025-11,NAICS42,Wholesale Trade,9070,2307,1938,569,501,668,501,668,2026-04-27T23:00:25Z
2025-11,NAICS23,Construction,45562,22884,4602,3805,3228,4532,3228,4532,2026-04-27T23:00:25Z
2025-11,NAICS22,Utilities,543,53,33,28,21,31,21,31,2026-04-27T23:00:25Z
2025-11,NAICS21,Mining / Oil & Gas Extraction,513,104,42,76,49,54,49,54,2026-04-27T23:00:25Z
2025-11,NAICS11,Agriculture / Forestry / Fishing,3571,562,151,414,83,102,83,102,2026-04-27T23:00:25Z
2025-10,TOTAL,All Industries (Headline),498416,141266,42852,36810,27479,37397,27479,37397,2026-04-27T23:00:25Z
2025-10,NAICS81,Other Services,40378,5619,2929,3072,2188,3022,2188,3022,2026-04-27T23:00:25Z
2025-10,NAICS72,Accommodation / Food Services,26049,26049,2623,5470,3384,4536,3384,4536,2026-04-27T23:00:25Z
2025-10,NAICS71,Arts / Entertainment / Recreation,14286,1843,919,1012,670,915,670,915,2026-04-27T23:00:25Z
2025-10,NAICS62,Health Care / Social Assistance,31005,21373,3850,4272,3085,4253,3085,4253,2026-04-27T23:00:25Z
2025-10,NAICS61,Educational Services,7489,1140,529,583,396,556,396,556,2026-04-27T23:00:25Z
2025-10,NAICS56,Administrative / Support / Waste,32896,4926,2196,2868,1781,2531,1781,2531,2026-04-27T23:00:25Z
2025-10,NAICS55,Management of Companies,5734,1106,991,166,75,82,75,82,2026-04-27T23:00:25Z
2025-10,NAICS54,Professional / Scientific / Technical,65038,16106,7374,4836,4468,5914,4468,5914,2026-04-27T23:00:25Z
2025-10,NAICS53,Real Estate / Rental / Leasing,24450,2712,1679,1200,1203,1591,1203,1591,2026-04-27T23:00:25Z
2025-10,NAICS52,Finance & Insurance,18960,4126,1817,968,778,1002,778,1002,2026-04-27T23:00:25Z
2025-10,NAICS51,Information / Media / Tech,9361,1616,1192,631,439,584,439,584,2026-04-27T23:00:25Z
2025-10,NAICS42,Wholesale Trade,8794,2388,2059,526,487,652,487,652,2026-04-27T23:00:25Z
2025-10,NAICS23,Construction,43461,22411,4506,3705,3096,4359,3096,4359,2026-04-27T23:00:25Z
2025-10,NAICS22,Utilities,477,53,35,24,18,28,18,28,2026-04-27T23:00:25Z
2025-10,NAICS21,Mining / Oil & Gas Extraction,449,87,49,52,44,47,44,47,2026-04-27T23:00:25Z
2025-10,NAICS11,Agriculture / Forestry / Fishing,3525,484,147,362,83,98,83,98,2026-04-27T23:00:25Z
2025-09,TOTAL,All Industries (Headline),510794,143116,43769,37073,27747,37604,27747,37604,2026-04-27T23:00:25Z
2025-09,NAICS81,Other Services,39494,5595,2895,3126,2192,2998,2192,2998,2026-04-27T23:00:25Z
2025-09,NAICS72,Accommodation / Food Services,26266,26266,2582,5403,3380,4540,3380,4540,2026-04-27T23:00:25Z
2025-09,NAICS71,Arts / Entertainment / Recreation,13920,1871,972,1010,679,919,679,919,2026-04-27T23:00:25Z
2025-09,NAICS62,Health Care / Social Assistance,30737,21606,3999,4204,3081,4236,3081,4236,2026-04-27T23:00:25Z
2025-09,NAICS61,Educational Services,7429,1181,520,618,429,590,429,590,2026-04-27T23:00:25Z
2025-09,NAICS56,Administrative / Support / Waste,32524,4977,2262,2803,1802,2546,1802,2546,2026-04-27T23:00:25Z
2025-09,NAICS55,Management of Companies,5582,1140,1026,173,94,107,94,107,2026-04-27T23:00:25Z
2025-09,NAICS54,Professional / Scientific / Technical,64763,16463,7686,4802,4512,6034,4512,6034,2026-04-27T23:00:25Z
2025-09,NAICS53,Real Estate / Rental / Leasing,24495,2827,1751,1297,1291,1686,1291,1686,2026-04-27T23:00:25Z
2025-09,NAICS52,Finance & Insurance,18574,4185,1806,924,764,996,764,996,2026-04-27T23:00:25Z
2025-09,NAICS51,Information / Media / Tech,9277,1634,1184,658,446,593,446,593,2026-04-27T23:00:25Z
2025-09,NAICS42,Wholesale Trade,8571,2302,1962,518,478,641,478,641,2026-04-27T23:00:25Z
2025-09,NAICS23,Construction,43625,22767,4516,3843,3131,4411,3131,4411,2026-04-27T23:00:25Z
2025-09,NAICS22,Utilities,544,60,34,33,22,31,22,31,2026-04-27T23:00:25Z
2025-09,NAICS21,Mining / Oil & Gas Extraction,534,132,80,63,49,57,49,57,2026-04-27T23:00:25Z
2025-09,NAICS11,Agriculture / Forestry / Fishing,3667,529,167,389,85,103,85,103,2026-04-27T23:00:25Z
2025-08,TOTAL,All Industries (Headline),478074,142221,43102,39804,25849,35507,25849,35507,2026-04-27T23:00:25Z
2025-08,NAICS81,Other Services,40165,5748,2934,3262,2119,2948,2119,2948,2026-04-27T23:00:25Z
2025-08,NAICS72,Accommodation / Food Services,26083,26083,2550,5562,3372,4547,3372,4547,2026-04-27T23:00:25Z
2025-08,NAICS71,Arts / Entertainment / Recreation,13746,1931,926,1117,641,886,641,886,2026-04-27T23:00:25Z
2025-08,NAICS62,Health Care / Social Assistance,30312,20804,3842,4468,2988,4145,2988,4145,2026-04-27T23:00:25Z
2025-08,NAICS61,Educational Services,7194,1130,499,605,382,534,382,534,2026-04-27T23:00:25Z
2025-08,NAICS56,Administrative / Support / Waste,31837,5122,2230,3346,1741,2444,1741,2444,2026-04-27T23:00:25Z
2025-08,NAICS55,Management of Companies,5892,1098,995,153,67,78,67,78,2026-04-27T23:00:25Z
2025-08,NAICS54,Professional / Scientific / Technical,64386,15933,7299,5002,4321,5767,4321,5767,2026-04-27T23:00:25Z
2025-08,NAICS53,Real Estate / Rental / Leasing,22885,2739,1708,1269,1101,1468,1101,1468,2026-04-27T23:00:25Z
2025-08,NAICS52,Finance & Insurance,19700,5176,1894,1205,835,1091,835,1091,2026-04-27T23:00:25Z
2025-08,NAICS51,Information / Media / Tech,9499,1639,1185,704,424,570,424,570,2026-04-27T23:00:25Z
2025-08,NAICS42,Wholesale Trade,9073,2355,1912,577,469,642,469,642,2026-04-27T23:00:25Z
2025-08,NAICS23,Construction,44341,22308,4716,4157,3056,4344,3056,4344,2026-04-27T23:00:25Z
2025-08,NAICS22,Utilities,641,63,30,34,20,31,20,31,2026-04-27T23:00:25Z
2025-08,NAICS21,Mining / Oil & Gas Extraction,466,99,49,61,42,49,42,49,2026-04-27T23:00:25Z
2025-08,NAICS11,Agriculture / Forestry / Fishing,3896,546,139,407,67,91,67,91,2026-04-27T23:00:25Z
2025-07,TOTAL,All Industries (Headline),474833,143991,43311,43479,25391,34829,25391,34829,2026-04-27T23:00:25Z
2025-07,NAICS81,Other Services,39918,6018,2888,3690,2076,2893,2076,2893,2026-04-27T23:00:25Z
2025-07,NAICS72,Accommodation / Food Services,25385,25385,2599,6058,3318,4434,3318,4434,2026-04-27T23:00:25Z
2025-07,NAICS71,Arts / Entertainment / Recreation,14368,2100,984,1255,654,903,654,903,2026-04-27T23:00:25Z
2025-07,NAICS62,Health Care / Social Assistance,30250,20982,3800,4865,2967,4116,2967,4116,2026-04-27T23:00:25Z
2025-07,NAICS61,Educational Services,7074,1160,511,658,364,510,364,510,2026-04-27T23:00:25Z
2025-07,NAICS56,Administrative / Support / Waste,31845,5439,2206,3709,1691,2410,1691,2410,2026-04-27T23:00:25Z
2025-07,NAICS55,Management of Companies,5829,1066,956,179,57,66,57,66,2026-04-27T23:00:25Z
2025-07,NAICS54,Professional / Scientific / Technical,64280,16265,7351,5312,4253,5717,4253,5717,2026-04-27T23:00:25Z
2025-07,NAICS53,Real Estate / Rental / Leasing,22359,2618,1605,1224,979,1325,979,1325,2026-04-27T23:00:25Z
2025-07,NAICS52,Finance & Insurance,20419,5897,1970,1292,913,1194,913,1194,2026-04-27T23:00:25Z
2025-07,NAICS51,Information / Media / Tech,9580,1672,1127,799,414,557,414,557,2026-04-27T23:00:25Z
2025-07,NAICS42,Wholesale Trade,9354,2246,1704,771,486,660,486,660,2026-04-27T23:00:25Z
2025-07,NAICS23,Construction,42862,21450,4643,4304,2894,4128,2894,4128,2026-04-27T23:00:25Z
2025-07,NAICS22,Utilities,607,94,56,52,25,37,25,37,2026-04-27T23:00:25Z
2025-07,NAICS21,Mining / Oil & Gas Extraction,507,102,49,63,46,53,46,53,2026-04-27T23:00:25Z
2025-07,NAICS11,Agriculture / Forestry / Fishing,3864,596,186,436,46,66,46,66,2026-04-27T23:00:25Z
2025-06,TOTAL,All Industries (Headline),463473,143107,43443,42820,25405,34683,25405,34683,2026-04-27T23:00:25Z
2025-06,NAICS81,Other Services,38579,5798,2832,3358,2004,2795,2004,2795,2026-04-27T23:00:25Z
2025-06,NAICS72,Accommodation / Food Services,24959,24959,2529,6059,3348,4442,3348,4442,2026-04-27T23:00:25Z
2025-06,NAICS71,Arts / Entertainment / Recreation,13942,2050,963,1205,640,870,640,870,2026-04-27T23:00:25Z
2025-06,NAICS62,Health Care / Social Assistance,29290,20826,3820,4944,2957,4057,2957,4057,2026-04-27T23:00:25Z
2025-06,NAICS61,Educational Services,7060,1210,515,697,385,531,385,531,2026-04-27T23:00:25Z
2025-06,NAICS56,Administrative / Support / Waste,30655,5331,2175,3566,1665,2340,1665,2340,2026-04-27T23:00:25Z
2025-06,NAICS55,Management of Companies,5459,1084,952,202,59,71,59,71,2026-04-27T23:00:25Z
2025-06,NAICS54,Professional / Scientific / Technical,64544,16370,7281,5304,4281,5740,4281,5740,2026-04-27T23:00:25Z
2025-06,NAICS53,Real Estate / Rental / Leasing,21486,2722,1645,1293,1018,1365,1018,1365,2026-04-27T23:00:25Z
2025-06,NAICS52,Finance & Insurance,19315,5900,1994,1302,900,1164,900,1164,2026-04-27T23:00:25Z
2025-06,NAICS51,Information / Media / Tech,9206,1648,1108,766,408,543,408,543,2026-04-27T23:00:25Z
2025-06,NAICS42,Wholesale Trade,9772,2402,1939,739,477,643,477,643,2026-04-27T23:00:25Z
2025-06,NAICS23,Construction,42199,21443,4785,4427,2941,4140,2941,4140,2026-04-27T23:00:25Z
2025-06,NAICS22,Utilities,648,57,33,30,23,31,23,31,2026-04-27T23:00:25Z
2025-06,NAICS21,Mining / Oil & Gas Extraction,460,96,45,66,45,51,45,51,2026-04-27T23:00:25Z
2025-06,NAICS11,Agriculture / Forestry / Fishing,4169,636,204,450,48,69,48,69,2026-04-27T23:00:25Z
2025-05,TOTAL,All Industries (Headline),452510,141759,43065,43185,25282,34696,25282,34696,2026-04-27T23:00:25Z
2025-05,NAICS81,Other Services,37528,5903,2822,3555,2023,2805,2023,2805,2026-04-27T23:00:25Z
2025-05,NAICS72,Accommodation / Food Services,24561,24561,2675,6177,3362,4474,3362,4474,2026-04-27T23:00:25Z
2025-05,NAICS71,Arts / Entertainment / Recreation,13314,1991,913,1174,609,845,609,845,2026-04-27T23:00:25Z
2025-05,NAICS62,Health Care / Social Assistance,28487,20405,3685,4826,2922,4039,2922,4039,2026-04-27T23:00:25Z
2025-05,NAICS61,Educational Services,6673,1150,497,669,366,512,366,512,2026-04-27T23:00:25Z
2025-05,NAICS56,Administrative / Support / Waste,30685,5463,2270,3632,1671,2378,1671,2378,2026-04-27T23:00:25Z
2025-05,NAICS55,Management of Companies,5306,971,847,171,49,55,49,55,2026-04-27T23:00:25Z
2025-05,NAICS54,Professional / Scientific / Technical,64057,16097,7189,5370,4249,5740,4249,5740,2026-04-27T23:00:25Z
2025-05,NAICS53,Real Estate / Rental / Leasing,21470,2727,1597,1288,1024,1365,1024,1365,2026-04-27T23:00:25Z
2025-05,NAICS52,Finance & Insurance,18495,5804,1834,1331,873,1138,873,1138,2026-04-27T23:00:25Z
2025-05,NAICS51,Information / Media / Tech,9008,1632,1122,681,402,538,402,538,2026-04-27T23:00:25Z
2025-05,NAICS42,Wholesale Trade,10462,2790,2207,704,492,673,492,673,2026-04-27T23:00:25Z
2025-05,NAICS23,Construction,42262,21443,4651,4542,2954,4168,2954,4168,2026-04-27T23:00:25Z
2025-05,NAICS22,Utilities,644,70,41,36,24,35,24,35,2026-04-27T23:00:25Z
2025-05,NAICS21,Mining / Oil & Gas Extraction,441,98,51,59,39,44,39,44,2026-04-27T23:00:25Z
2025-05,NAICS11,Agriculture / Forestry / Fishing,3935,611,212,460,44,64,44,64,2026-04-27T23:00:25Z
2025-04,TOTAL,All Industries (Headline),455663,143525,45026,43897,25182,34573,25182,34573,2026-04-27T23:00:25Z
2025-04,NAICS81,Other Services,41347,6555,3383,3808,2078,2871,2078,2871,2026-04-27T23:00:25Z
2025-04,NAICS72,Accommodation / Food Services,24007,24007,2672,6185,3362,4486,3362,4486,2026-04-27T23:00:25Z
2025-04,NAICS71,Arts / Entertainment / Recreation,13125,2032,971,1202,622,841,622,841,2026-04-27T23:00:25Z
2025-04,NAICS62,Health Care / Social Assistance,27810,20217,3795,4860,2892,3999,2892,3999,2026-04-27T23:00:25Z
2025-04,NAICS61,Educational Services,6972,1222,569,671,366,513,366,513,2026-04-27T23:00:25Z
2025-04,NAICS56,Administrative / Support / Waste,29623,5409,2283,3544,1634,2299,1634,2299,2026-04-27T23:00:25Z
2025-04,NAICS55,Management of Companies,5317,1022,894,178,59,59,59,59,2026-04-27T23:00:25Z
2025-04,NAICS54,Professional / Scientific / Technical,61434,16048,7333,5351,4132,5586,4132,5586,2026-04-27T23:00:25Z
2025-04,NAICS53,Real Estate / Rental / Leasing,20990,2713,1619,1270,991,1338,991,1338,2026-04-27T23:00:25Z
2025-04,NAICS52,Finance & Insurance,19233,5893,2002,1301,874,1143,874,1143,2026-04-27T23:00:25Z
2025-04,NAICS51,Information / Media / Tech,8843,1688,1105,792,400,537,400,537,2026-04-27T23:00:25Z
2025-04,NAICS42,Wholesale Trade,9894,2840,2147,831,481,660,481,660,2026-04-27T23:00:25Z
2025-04,NAICS23,Construction,42442,22648,5011,4628,3028,4293,3028,4293,2026-04-27T23:00:25Z
2025-04,NAICS22,Utilities,658,85,51,45,24,37,24,37,2026-04-27T23:00:25Z
2025-04,NAICS21,Mining / Oil & Gas Extraction,435,94,42,62,38,44,38,44,2026-04-27T23:00:25Z
2025-04,NAICS11,Agriculture / Forestry / Fishing,3998,666,227,492,45,64,45,64,2026-04-27T23:00:25Z
2025-03,TOTAL,All Industries (Headline),460367,141571,44620,44428,24791,33781,24791,33781,2026-04-27T23:00:25Z
2025-03,NAICS81,Other Services,42076,7029,3442,4037,2085,2907,2085,2907,2026-04-27T23:00:25Z
2025-03,NAICS72,Accommodation / Food Services,23464,23464,2609,6077,3263,4310,3263,4310,2026-04-27T23:00:25Z
2025-03,NAICS71,Arts / Entertainment / Recreation,12591,1994,942,1153,577,799,577,799,2026-04-27T23:00:25Z
2025-03,NAICS62,Health Care / Social Assistance,27272,19353,3764,4831,2840,3896,2840,3896,2026-04-27T23:00:25Z
2025-03,NAICS61,Educational Services,6905,1296,580,714,368,511,368,511,2026-04-27T23:00:25Z
2025-03,NAICS56,Administrative / Support / Waste,30102,5421,2287,3538,1615,2226,1615,2226,2026-04-27T23:00:25Z
2025-03,NAICS55,Management of Companies,5303,996,852,198,44,51,44,51,2026-04-27T23:00:25Z
2025-03,NAICS54,Professional / Scientific / Technical,61198,15427,7082,5217,4013,5379,4013,5379,2026-04-27T23:00:25Z
2025-03,NAICS53,Real Estate / Rental / Leasing,21427,2745,1630,1289,973,1309,973,1309,2026-04-27T23:00:25Z
2025-03,NAICS52,Finance & Insurance,19760,5965,2078,1312,882,1145,882,1145,2026-04-27T23:00:25Z
2025-03,NAICS51,Information / Media / Tech,8525,1732,1116,811,394,523,394,523,2026-04-27T23:00:25Z
2025-03,NAICS42,Wholesale Trade,10177,2781,2056,872,470,640,470,640,2026-04-27T23:00:25Z
2025-03,NAICS23,Construction,42776,22602,5111,4641,2996,4232,2996,4232,2026-04-27T23:00:25Z
2025-03,NAICS22,Utilities,721,91,56,46,24,34,24,34,2026-04-27T23:00:25Z
2025-03,NAICS21,Mining / Oil & Gas Extraction,472,102,41,67,44,50,44,50,2026-04-27T23:00:25Z
2025-03,NAICS11,Agriculture / Forestry / Fishing,4226,655,213,494,46,61,46,61,2026-04-27T23:00:25Z
2025-02,TOTAL,All Industries (Headline),432820,139440,44009,44613,24542,33370,24542,33370,2026-04-27T23:00:25Z
2025-02,NAICS81,Other Services,40599,6711,3407,3959,2063,2847,2063,2847,2026-04-27T23:00:25Z
2025-02,NAICS72,Accommodation / Food Services,24140,24140,2670,6159,3269,4310,3269,4310,2026-04-27T23:00:25Z
2025-02,NAICS71,Arts / Entertainment / Recreation,12728,1923,884,1181,571,787,571,787,2026-04-27T23:00:25Z
2025-02,NAICS62,Health Care / Social Assistance,26889,19091,3727,4926,2853,3903,2853,3903,2026-04-27T23:00:25Z
2025-02,NAICS61,Educational Services,7005,1317,593,746,380,524,380,524,2026-04-27T23:00:25Z
2025-02,NAICS56,Administrative / Support / Waste,30278,5379,2241,3590,1603,2177,1603,2177,2026-04-27T23:00:25Z
2025-02,NAICS55,Management of Companies,5204,927,818,156,45,53,45,53,2026-04-27T23:00:25Z
2025-02,NAICS54,Professional / Scientific / Technical,55835,14771,6957,5131,3824,5088,3824,5088,2026-04-27T23:00:25Z
2025-02,NAICS53,Real Estate / Rental / Leasing,21440,2683,1637,1253,965,1292,965,1292,2026-04-27T23:00:25Z
2025-02,NAICS52,Finance & Insurance,20036,6035,2071,1412,904,1168,904,1168,2026-04-27T23:00:25Z
2025-02,NAICS51,Information / Media / Tech,8650,1681,1079,805,387,521,387,521,2026-04-27T23:00:25Z
2025-02,NAICS42,Wholesale Trade,9848,2805,2124,881,461,629,461,629,2026-04-27T23:00:25Z
2025-02,NAICS23,Construction,42620,22026,4978,4742,2995,4211,2995,4211,2026-04-27T23:00:25Z
2025-02,NAICS22,Utilities,725,87,40,49,24,36,24,36,2026-04-27T23:00:25Z
2025-02,NAICS21,Mining / Oil & Gas Extraction,483,110,49,66,44,53,44,53,2026-04-27T23:00:25Z
2025-02,NAICS11,Agriculture / Forestry / Fishing,4016,653,216,484,44,63,44,63,2026-04-27T23:00:25Z
2025-01,TOTAL,All Industries (Headline),385618,128338,41545,40982,21761,29902,21761,29902,2026-04-27T23:00:25Z
2025-01,NAICS81,Other Services,35208,6063,3062,3634,1846,2550,1846,2550,2026-04-27T23:00:25Z
2025-01,NAICS72,Accommodation / Food Services,21287,21287,2476,5737,2888,3847,2888,3847,2026-04-27T23:00:25Z
2025-01,NAICS71,Arts / Entertainment / Recreation,11319,1773,837,1081,500,696,500,696,2026-04-27T23:00:25Z
