ticker,cik,company,filed_date,form,phrase,filing_url
WNHK,0001503658,"Winning Catering Group, Inc.  (WNHK)  (CIK 0001503658)",2026-04-22,10-Q,going concern,https://www.sec.gov/Archives/edgar/data/1503658/000149315226018583:form10q.htm/0001493152-26-018583:form10-q.htm-index.html
ENRT,0001346022,Enertopia Corp.  (ENRT)  (CIK 0001346022),2026-04-14,10-Q,going concern,https://www.sec.gov/Archives/edgar/data/1346022/000106299326001978:form10q.htm/0001062993-26-001978:form10q.htm-index.html
SNTW,0001619096,Summit Networks Inc.  (SNTW)  (CIK 0001619096),2026-04-24,10-K,going concern,https://www.sec.gov/Archives/edgar/data/1619096/000109181826000053:sntw_12312510k.htm/0001091818-26-000053:sntw_12312510-k.htm-index.html
SMXT,0001519472,"SolarMax Technology, Inc.  (SMXT)  (CIK 0001519472)",2026-04-14,10-K/A,going concern,https://www.sec.gov/Archives/edgar/data/1519472/000164033426000720:solarmax_10ka.htm/0001640334-26-000720:solarmax_10ka.htm-index.html
TAAG,0001386044,"Awareness Group, Inc.  (TAAG)  (CIK 0001386044)",2026-04-16,10-K,going concern,https://www.sec.gov/Archives/edgar/data/1386044/000147793226002310:fhld_10k.htm/0001477932-26-002310:fhld_10k.htm-index.html
BRVO,0001444839,Bravo Multinational Inc.  (BRVO)  (CIK 0001444839),2026-04-14,10-K,going concern,https://www.sec.gov/Archives/edgar/data/1444839/000109181826000044:brvo123125_10k.htm/0001091818-26-000044:brvo-123125_10k.htm-index.html
PUBC,0001575858,Purebase Corp  (PUBC)  (CIK 0001575858),2026-04-15,10-Q,going concern,https://www.sec.gov/Archives/edgar/data/1575858/000149315226016747:form10q.htm/0001493152-26-016747:form10-q.htm-index.html
LEXX,0001348362,Lexaria Bioscience Corp.  (LEXX)  (CIK 0001348362),2026-04-13,10-Q,going concern,https://www.sec.gov/Archives/edgar/data/1348362/000164033426000687:lxrp_10q.htm/0001640334-26-000687:lxrp_10q.htm-index.html
,0001997698,IGTA Merger Sub Ltd  (CIK 0001997698),2026-04-15,10-K,going concern,https://www.sec.gov/Archives/edgar/data/1997698/000121390026043994:ea028102110k_igta.htm/0001213900-26-043994:ea0281021-10k_igta.htm-index.html
CBIH,0001411057,"Cannabis Bioscience International Holdings, Inc.  (CBIH)  (CIK 0001411057)",2026-04-16,10-Q,going concern,https://www.sec.gov/Archives/edgar/data/1411057/000168316826003012:cannabisbio_i10q022826.htm/0001683168-26-003012:cannabisbio_i10q-022826.htm-index.html
,0001663038,"Quantum Genesis AI Corp.  (QGAI, QTZM)  (CIK 0001663038)",2026-04-15,10-Q/A,going concern,https://www.sec.gov/Archives/edgar/data/1663038/000147793226002256:qtzm_10qa.htm/0001477932-26-002256:qtzm_10qa.htm-index.html
EQS,0000878932,"EQUUS TOTAL RETURN, INC.  (EQS)  (CIK 0000878932)",2026-04-17,10-K,going concern,https://www.sec.gov/Archives/edgar/data/878932/000171254326000024:ex991_mepfinancials.htm/0001712543-26-000024:ex991_mepfinancials.htm-index.html
CNFN,0001352952,CFN Enterprises Inc.  (CNFN)  (CIK 0001352952),2026-04-15,10-K,going concern,https://www.sec.gov/Archives/edgar/data/1352952/000109690626000553:cnfn20251231_10k.htm/0001096906-26-000553:cnfn-20251231_10k.htm-index.html
,0001663038,"Quantum Genesis AI Corp.  (QGAI, QTZM)  (CIK 0001663038)",2026-04-15,10-Q/A,going concern,https://www.sec.gov/Archives/edgar/data/1663038/000147793226002258:qtzm_10qa.htm/0001477932-26-002258:qtzm_10qa.htm-index.html
