season,year,sst_total,anomaly,regime,captured_at
MAM,1988,27.15,-0.31,Neutral,2026-04-27T22:58:38Z
AMJ,1988,26.69,-0.88,Weak La Nina,2026-04-27T22:58:38Z
MJJ,1988,26.08,-1.30,Moderate La Nina,2026-04-27T22:58:38Z
JJA,1988,25.74,-1.30,Moderate La Nina,2026-04-27T22:58:38Z
JAS,1988,25.65,-1.11,Moderate La Nina,2026-04-27T22:58:38Z
ASO,1988,25.40,-1.19,Moderate La Nina,2026-04-27T22:58:38Z
SON,1988,25.07,-1.48,Moderate La Nina,2026-04-27T22:58:38Z
OND,1988,24.71,-1.80,Strong La Nina,2026-04-27T22:58:38Z
NDJ,1988,24.63,-1.85,Strong La Nina,2026-04-27T22:58:38Z
DJF,1989,24.84,-1.69,Strong La Nina,2026-04-27T22:58:38Z
JFM,1989,25.32,-1.43,Moderate La Nina,2026-04-27T22:58:38Z
FMA,1989,26.04,-1.08,Moderate La Nina,2026-04-27T22:58:38Z
MAM,1989,26.64,-0.83,Weak La Nina,2026-04-27T22:58:38Z
AMJ,1989,26.99,-0.58,Weak La Nina,2026-04-27T22:58:38Z
MJJ,1989,26.97,-0.40,Neutral,2026-04-27T22:58:38Z
JJA,1989,26.73,-0.31,Neutral,2026-04-27T22:58:38Z
JAS,1989,26.48,-0.27,Neutral,2026-04-27T22:58:38Z
ASO,1989,26.35,-0.24,Neutral,2026-04-27T22:58:38Z
SON,1989,26.33,-0.22,Neutral,2026-04-27T22:58:38Z
OND,1989,26.34,-0.16,Neutral,2026-04-27T22:58:38Z
NDJ,1989,26.43,-0.05,Neutral,2026-04-27T22:58:38Z
DJF,1990,26.67,+0.14,Neutral,2026-04-27T22:58:38Z
JFM,1990,26.96,+0.21,Neutral,2026-04-27T22:58:38Z
FMA,1990,27.41,+0.28,Neutral,2026-04-27T22:58:38Z
MAM,1990,27.75,+0.29,Neutral,2026-04-27T22:58:38Z
AMJ,1990,27.86,+0.29,Neutral,2026-04-27T22:58:38Z
MJJ,1990,27.68,+0.31,Neutral,2026-04-27T22:58:38Z
JJA,1990,27.37,+0.33,Neutral,2026-04-27T22:58:38Z
JAS,1990,27.13,+0.38,Neutral,2026-04-27T22:58:38Z
ASO,1990,26.98,+0.39,Neutral,2026-04-27T22:58:38Z
SON,1990,26.89,+0.35,Neutral,2026-04-27T22:58:38Z
OND,1990,26.90,+0.40,Neutral,2026-04-27T22:58:38Z
NDJ,1990,26.94,+0.41,Neutral,2026-04-27T22:58:38Z
DJF,1991,27.02,+0.41,Neutral,2026-04-27T22:58:38Z
JFM,1991,27.15,+0.26,Neutral,2026-04-27T22:58:38Z
FMA,1991,27.48,+0.22,Neutral,2026-04-27T22:58:38Z
MAM,1991,27.85,+0.26,Neutral,2026-04-27T22:58:38Z
AMJ,1991,28.16,+0.45,Neutral,2026-04-27T22:58:38Z
MJJ,1991,28.17,+0.64,Weak El Nino,2026-04-27T22:58:38Z
JJA,1991,27.94,+0.73,Weak El Nino,2026-04-27T22:58:38Z
JAS,1991,27.57,+0.64,Weak El Nino,2026-04-27T22:58:38Z
ASO,1991,27.41,+0.62,Weak El Nino,2026-04-27T22:58:38Z
SON,1991,27.54,+0.79,Weak El Nino,2026-04-27T22:58:38Z
OND,1991,27.91,+1.21,Moderate El Nino,2026-04-27T22:58:38Z
NDJ,1991,28.18,+1.53,Strong El Nino,2026-04-27T22:58:38Z
DJF,1992,28.39,+1.71,Strong El Nino,2026-04-27T22:58:38Z
JFM,1992,28.52,+1.63,Strong El Nino,2026-04-27T22:58:38Z
FMA,1992,28.73,+1.48,Moderate El Nino,2026-04-27T22:58:38Z
MAM,1992,28.88,+1.29,Moderate El Nino,2026-04-27T22:58:38Z
AMJ,1992,28.76,+1.06,Moderate El Nino,2026-04-27T22:58:38Z
MJJ,1992,28.26,+0.73,Weak El Nino,2026-04-27T22:58:38Z
JJA,1992,27.57,+0.37,Neutral,2026-04-27T22:58:38Z
JAS,1992,27.03,+0.09,Neutral,2026-04-27T22:58:38Z
ASO,1992,26.66,-0.13,Neutral,2026-04-27T22:58:38Z
SON,1992,26.50,-0.25,Neutral,2026-04-27T22:58:38Z
OND,1992,26.43,-0.28,Neutral,2026-04-27T22:58:38Z
NDJ,1992,26.52,-0.13,Neutral,2026-04-27T22:58:38Z
DJF,1993,26.77,+0.09,Neutral,2026-04-27T22:58:38Z
JFM,1993,27.18,+0.30,Neutral,2026-04-27T22:58:38Z
FMA,1993,27.75,+0.50,Weak El Nino,2026-04-27T22:58:38Z
MAM,1993,28.27,+0.67,Weak El Nino,2026-04-27T22:58:38Z
AMJ,1993,28.40,+0.70,Weak El Nino,2026-04-27T22:58:38Z
MJJ,1993,28.10,+0.57,Weak El Nino,2026-04-27T22:58:38Z
JJA,1993,27.53,+0.32,Neutral,2026-04-27T22:58:38Z
JAS,1993,27.19,+0.25,Neutral,2026-04-27T22:58:38Z
ASO,1993,26.94,+0.15,Neutral,2026-04-27T22:58:38Z
SON,1993,26.85,+0.10,Neutral,2026-04-27T22:58:38Z
OND,1993,26.75,+0.04,Neutral,2026-04-27T22:58:38Z
NDJ,1993,26.71,+0.06,Neutral,2026-04-27T22:58:38Z
DJF,1994,26.74,+0.06,Neutral,2026-04-27T22:58:38Z
JFM,1994,26.95,+0.07,Neutral,2026-04-27T22:58:38Z
FMA,1994,27.43,+0.17,Neutral,2026-04-27T22:58:38Z
MAM,1994,27.90,+0.31,Neutral,2026-04-27T22:58:38Z
AMJ,1994,28.12,+0.42,Neutral,2026-04-27T22:58:38Z
MJJ,1994,27.94,+0.41,Neutral,2026-04-27T22:58:38Z
JJA,1994,27.65,+0.44,Neutral,2026-04-27T22:58:38Z
JAS,1994,27.37,+0.43,Neutral,2026-04-27T22:58:38Z
ASO,1994,27.35,+0.55,Weak El Nino,2026-04-27T22:58:38Z
SON,1994,27.49,+0.74,Weak El Nino,2026-04-27T22:58:38Z
OND,1994,27.71,+1.01,Moderate El Nino,2026-04-27T22:58:38Z
NDJ,1994,27.74,+1.09,Moderate El Nino,2026-04-27T22:58:38Z
DJF,1995,27.64,+0.96,Weak El Nino,2026-04-27T22:58:38Z
JFM,1995,27.61,+0.72,Weak El Nino,2026-04-27T22:58:38Z
FMA,1995,27.79,+0.53,Weak El Nino,2026-04-27T22:58:38Z
MAM,1995,27.90,+0.30,Neutral,2026-04-27T22:58:38Z
AMJ,1995,27.84,+0.14,Neutral,2026-04-27T22:58:38Z
MJJ,1995,27.50,-0.03,Neutral,2026-04-27T22:58:38Z
JJA,1995,26.97,-0.24,Neutral,2026-04-27T22:58:38Z
JAS,1995,26.40,-0.54,Weak La Nina,2026-04-27T22:58:38Z
ASO,1995,25.99,-0.81,Weak La Nina,2026-04-27T22:58:38Z
SON,1995,25.78,-0.97,Weak La Nina,2026-04-27T22:58:38Z
OND,1995,25.70,-1.00,Moderate La Nina,2026-04-27T22:58:38Z
NDJ,1995,25.66,-0.98,Weak La Nina,2026-04-27T22:58:38Z
DJF,1996,25.76,-0.90,Weak La Nina,2026-04-27T22:58:38Z
JFM,1996,26.10,-0.75,Weak La Nina,2026-04-27T22:58:38Z
FMA,1996,26.65,-0.59,Weak La Nina,2026-04-27T22:58:38Z
MAM,1996,27.20,-0.39,Neutral,2026-04-27T22:58:38Z
AMJ,1996,27.40,-0.31,Neutral,2026-04-27T22:58:38Z
MJJ,1996,27.23,-0.30,Neutral,2026-04-27T22:58:38Z
JJA,1996,26.93,-0.27,Neutral,2026-04-27T22:58:38Z
JAS,1996,26.59,-0.32,Neutral,2026-04-27T22:58:38Z
ASO,1996,26.39,-0.35,Neutral,2026-04-27T22:58:38Z
SON,1996,26.28,-0.40,Neutral,2026-04-27T22:58:38Z
OND,1996,26.17,-0.45,Neutral,2026-04-27T22:58:38Z
NDJ,1996,26.09,-0.49,Neutral,2026-04-27T22:58:38Z
DJF,1997,26.12,-0.50,Weak La Nina,2026-04-27T22:58:38Z
JFM,1997,26.49,-0.36,Neutral,2026-04-27T22:58:38Z
FMA,1997,27.14,-0.10,Neutral,2026-04-27T22:58:38Z
MAM,1997,27.87,+0.28,Neutral,2026-04-27T22:58:38Z
AMJ,1997,28.46,+0.75,Weak El Nino,2026-04-27T22:58:38Z
MJJ,1997,28.75,+1.22,Moderate El Nino,2026-04-27T22:58:38Z
JJA,1997,28.80,+1.60,Strong El Nino,2026-04-27T22:58:38Z
JAS,1997,28.81,+1.90,Strong El Nino,2026-04-27T22:58:38Z
ASO,1997,28.88,+2.14,Strong El Nino,2026-04-27T22:58:38Z
SON,1997,29.01,+2.33,Strong El Nino,2026-04-27T22:58:38Z
OND,1997,29.02,+2.40,Strong El Nino,2026-04-27T22:58:38Z
NDJ,1997,28.97,+2.39,Strong El Nino,2026-04-27T22:58:38Z
DJF,1998,28.87,+2.24,Strong El Nino,2026-04-27T22:58:38Z
JFM,1998,28.78,+1.93,Strong El Nino,2026-04-27T22:58:38Z
FMA,1998,28.68,+1.44,Moderate El Nino,2026-04-27T22:58:38Z
MAM,1998,28.59,+0.99,Weak El Nino,2026-04-27T22:58:38Z
AMJ,1998,28.16,+0.45,Neutral,2026-04-27T22:58:38Z
MJJ,1998,27.39,-0.13,Neutral,2026-04-27T22:58:38Z
JJA,1998,26.42,-0.78,Weak La Nina,2026-04-27T22:58:38Z
JAS,1998,25.79,-1.12,Moderate La Nina,2026-04-27T22:58:38Z
ASO,1998,25.44,-1.31,Moderate La Nina,2026-04-27T22:58:38Z
SON,1998,25.32,-1.35,Moderate La Nina,2026-04-27T22:58:38Z
OND,1998,25.14,-1.48,Moderate La Nina,2026-04-27T22:58:38Z
NDJ,1998,25.01,-1.57,Strong La Nina,2026-04-27T22:58:38Z
DJF,1999,25.08,-1.55,Strong La Nina,2026-04-27T22:58:38Z
JFM,1999,25.55,-1.30,Moderate La Nina,2026-04-27T22:58:38Z
FMA,1999,26.17,-1.07,Moderate La Nina,2026-04-27T22:58:38Z
MAM,1999,26.62,-0.98,Weak La Nina,2026-04-27T22:58:38Z
AMJ,1999,26.68,-1.02,Moderate La Nina,2026-04-27T22:58:38Z
MJJ,1999,26.49,-1.04,Moderate La Nina,2026-04-27T22:58:38Z
JJA,1999,26.10,-1.10,Moderate La Nina,2026-04-27T22:58:38Z
JAS,1999,25.80,-1.11,Moderate La Nina,2026-04-27T22:58:38Z
ASO,1999,25.58,-1.16,Moderate La Nina,2026-04-27T22:58:38Z
SON,1999,25.41,-1.26,Moderate La Nina,2026-04-27T22:58:38Z
OND,1999,25.16,-1.46,Moderate La Nina,2026-04-27T22:58:38Z
NDJ,1999,24.93,-1.65,Strong La Nina,2026-04-27T22:58:38Z
DJF,2000,24.96,-1.66,Strong La Nina,2026-04-27T22:58:38Z
JFM,2000,25.44,-1.41,Moderate La Nina,2026-04-27T22:58:38Z
FMA,2000,26.17,-1.07,Moderate La Nina,2026-04-27T22:58:38Z
MAM,2000,26.78,-0.81,Weak La Nina,2026-04-27T22:58:38Z
AMJ,2000,27.00,-0.71,Weak La Nina,2026-04-27T22:58:38Z
MJJ,2000,26.88,-0.64,Weak La Nina,2026-04-27T22:58:38Z
JJA,2000,26.65,-0.55,Weak La Nina,2026-04-27T22:58:38Z
JAS,2000,26.40,-0.51,Weak La Nina,2026-04-27T22:58:38Z
ASO,2000,26.20,-0.55,Weak La Nina,2026-04-27T22:58:38Z
SON,2000,26.05,-0.63,Weak La Nina,2026-04-27T22:58:38Z
OND,2000,25.88,-0.75,Weak La Nina,2026-04-27T22:58:38Z
NDJ,2000,25.81,-0.74,Weak La Nina,2026-04-27T22:58:38Z
DJF,2001,25.88,-0.68,Weak La Nina,2026-04-27T22:58:38Z
JFM,2001,26.26,-0.52,Weak La Nina,2026-04-27T22:58:38Z
FMA,2001,26.76,-0.44,Neutral,2026-04-27T22:58:38Z
MAM,2001,27.25,-0.34,Neutral,2026-04-27T22:58:38Z
AMJ,2001,27.49,-0.25,Neutral,2026-04-27T22:58:38Z
MJJ,2001,27.47,-0.12,Neutral,2026-04-27T22:58:38Z
JJA,2001,27.20,-0.08,Neutral,2026-04-27T22:58:38Z
JAS,2001,26.86,-0.13,Neutral,2026-04-27T22:58:38Z
ASO,2001,26.63,-0.19,Neutral,2026-04-27T22:58:38Z
SON,2001,26.48,-0.29,Neutral,2026-04-27T22:58:38Z
OND,2001,26.37,-0.35,Neutral,2026-04-27T22:58:38Z
NDJ,2001,26.31,-0.31,Neutral,2026-04-27T22:58:38Z
DJF,2002,26.44,-0.15,Neutral,2026-04-27T22:58:38Z
JFM,2002,26.81,+0.03,Neutral,2026-04-27T22:58:38Z
FMA,2002,27.29,+0.09,Neutral,2026-04-27T22:58:38Z
MAM,2002,27.80,+0.20,Neutral,2026-04-27T22:58:38Z
AMJ,2002,28.18,+0.43,Neutral,2026-04-27T22:58:38Z
MJJ,2002,28.24,+0.65,Weak El Nino,2026-04-27T22:58:38Z
JJA,2002,28.06,+0.79,Weak El Nino,2026-04-27T22:58:38Z
JAS,2002,27.85,+0.86,Weak El Nino,2026-04-27T22:58:38Z
ASO,2002,27.83,+1.01,Moderate El Nino,2026-04-27T22:58:38Z
SON,2002,27.97,+1.21,Moderate El Nino,2026-04-27T22:58:38Z
OND,2002,28.03,+1.31,Moderate El Nino,2026-04-27T22:58:38Z
NDJ,2002,27.76,+1.14,Moderate El Nino,2026-04-27T22:58:38Z
DJF,2003,27.51,+0.92,Weak El Nino,2026-04-27T22:58:38Z
JFM,2003,27.41,+0.63,Weak El Nino,2026-04-27T22:58:38Z
FMA,2003,27.58,+0.38,Neutral,2026-04-27T22:58:38Z
MAM,2003,27.56,-0.04,Neutral,2026-04-27T22:58:38Z
AMJ,2003,27.48,-0.26,Neutral,2026-04-27T22:58:38Z
MJJ,2003,27.42,-0.16,Neutral,2026-04-27T22:58:38Z
JJA,2003,27.35,+0.08,Neutral,2026-04-27T22:58:38Z
JAS,2003,27.20,+0.21,Neutral,2026-04-27T22:58:38Z
ASO,2003,27.08,+0.26,Neutral,2026-04-27T22:58:38Z
SON,2003,27.05,+0.29,Neutral,2026-04-27T22:58:38Z
OND,2003,27.07,+0.35,Neutral,2026-04-27T22:58:38Z
NDJ,2003,26.97,+0.35,Neutral,2026-04-27T22:58:38Z
DJF,2004,26.95,+0.37,Neutral,2026-04-27T22:58:38Z
JFM,2004,27.08,+0.31,Neutral,2026-04-27T22:58:38Z
FMA,2004,27.43,+0.23,Neutral,2026-04-27T22:58:38Z
MAM,2004,27.76,+0.17,Neutral,2026-04-27T22:58:38Z
AMJ,2004,27.91,+0.17,Neutral,2026-04-27T22:58:38Z
MJJ,2004,27.87,+0.28,Neutral,2026-04-27T22:58:38Z
JJA,2004,27.74,+0.47,Neutral,2026-04-27T22:58:38Z
JAS,2004,27.63,+0.64,Weak El Nino,2026-04-27T22:58:38Z
ASO,2004,27.52,+0.70,Weak El Nino,2026-04-27T22:58:38Z
SON,2004,27.44,+0.67,Weak El Nino,2026-04-27T22:58:38Z
OND,2004,27.38,+0.66,Weak El Nino,2026-04-27T22:58:38Z
NDJ,2004,27.30,+0.69,Weak El Nino,2026-04-27T22:58:38Z
DJF,2005,27.22,+0.64,Weak El Nino,2026-04-27T22:58:38Z
JFM,2005,27.36,+0.58,Weak El Nino,2026-04-27T22:58:38Z
FMA,2005,27.65,+0.45,Neutral,2026-04-27T22:58:38Z
MAM,2005,28.02,+0.43,Neutral,2026-04-27T22:58:38Z
AMJ,2005,28.03,+0.29,Neutral,2026-04-27T22:58:38Z
MJJ,2005,27.69,+0.11,Neutral,2026-04-27T22:58:38Z
JJA,2005,27.21,-0.06,Neutral,2026-04-27T22:58:38Z
JAS,2005,26.85,-0.14,Neutral,2026-04-27T22:58:38Z
ASO,2005,26.71,-0.11,Neutral,2026-04-27T22:58:38Z
SON,2005,26.48,-0.29,Neutral,2026-04-27T22:58:38Z
OND,2005,26.15,-0.57,Weak La Nina,2026-04-27T22:58:38Z
NDJ,2005,25.81,-0.84,Weak La Nina,2026-04-27T22:58:38Z
DJF,2006,25.80,-0.85,Weak La Nina,2026-04-27T22:58:38Z
JFM,2006,26.10,-0.77,Weak La Nina,2026-04-27T22:58:38Z
FMA,2006,26.73,-0.57,Weak La Nina,2026-04-27T22:58:38Z
MAM,2006,27.31,-0.37,Neutral,2026-04-27T22:58:38Z
AMJ,2006,27.69,-0.14,Neutral,2026-04-27T22:58:38Z
MJJ,2006,27.62,-0.03,Neutral,2026-04-27T22:58:38Z
JJA,2006,27.40,+0.10,Neutral,2026-04-27T22:58:38Z
JAS,2006,27.26,+0.30,Neutral,2026-04-27T22:58:38Z
ASO,2006,27.30,+0.54,Weak El Nino,2026-04-27T22:58:38Z
SON,2006,27.48,+0.77,Weak El Nino,2026-04-27T22:58:38Z
OND,2006,27.62,+0.94,Weak El Nino,2026-04-27T22:58:38Z
NDJ,2006,27.56,+0.94,Weak El Nino,2026-04-27T22:58:38Z
DJF,2007,27.30,+0.66,Weak El Nino,2026-04-27T22:58:38Z
JFM,2007,27.09,+0.22,Neutral,2026-04-27T22:58:38Z
FMA,2007,27.18,-0.12,Neutral,2026-04-27T22:58:38Z
MAM,2007,27.37,-0.32,Neutral,2026-04-27T22:58:38Z
AMJ,2007,27.45,-0.38,Neutral,2026-04-27T22:58:38Z
MJJ,2007,27.18,-0.47,Neutral,2026-04-27T22:58:38Z
JJA,2007,26.74,-0.56,Weak La Nina,2026-04-27T22:58:38Z
JAS,2007,26.15,-0.81,Weak La Nina,2026-04-27T22:58:38Z
ASO,2007,25.69,-1.07,Moderate La Nina,2026-04-27T22:58:38Z
SON,2007,25.37,-1.34,Moderate La Nina,2026-04-27T22:58:38Z
OND,2007,25.17,-1.50,Strong La Nina,2026-04-27T22:58:38Z
NDJ,2007,25.02,-1.60,Strong La Nina,2026-04-27T22:58:38Z
DJF,2008,25.00,-1.64,Strong La Nina,2026-04-27T22:58:38Z
JFM,2008,25.35,-1.52,Strong La Nina,2026-04-27T22:58:38Z
FMA,2008,26.01,-1.29,Moderate La Nina,2026-04-27T22:58:38Z
MAM,2008,26.67,-1.01,Moderate La Nina,2026-04-27T22:58:38Z
AMJ,2008,26.99,-0.84,Weak La Nina,2026-04-27T22:58:38Z
MJJ,2008,27.04,-0.61,Weak La Nina,2026-04-27T22:58:38Z
JJA,2008,26.92,-0.37,Neutral,2026-04-27T22:58:38Z
JAS,2008,26.73,-0.23,Neutral,2026-04-27T22:58:38Z
ASO,2008,26.52,-0.24,Neutral,2026-04-27T22:58:38Z
SON,2008,26.36,-0.35,Neutral,2026-04-27T22:58:38Z
OND,2008,26.12,-0.55,Weak La Nina,2026-04-27T22:58:38Z
NDJ,2008,25.88,-0.73,Weak La Nina,2026-04-27T22:58:38Z
DJF,2009,25.79,-0.85,Weak La Nina,2026-04-27T22:58:38Z
JFM,2009,26.08,-0.79,Weak La Nina,2026-04-27T22:58:38Z
FMA,2009,26.68,-0.61,Weak La Nina,2026-04-27T22:58:38Z
MAM,2009,27.36,-0.33,Neutral,2026-04-27T22:58:38Z
AMJ,2009,27.84,+0.01,Neutral,2026-04-27T22:58:38Z
MJJ,2009,27.94,+0.28,Neutral,2026-04-27T22:58:38Z
JJA,2009,27.75,+0.45,Neutral,2026-04-27T22:58:38Z
JAS,2009,27.53,+0.58,Weak El Nino,2026-04-27T22:58:38Z
ASO,2009,27.47,+0.71,Weak El Nino,2026-04-27T22:58:38Z
SON,2009,27.72,+1.01,Moderate El Nino,2026-04-27T22:58:38Z
OND,2009,28.03,+1.36,Moderate El Nino,2026-04-27T22:58:38Z
NDJ,2009,28.18,+1.56,Strong El Nino,2026-04-27T22:58:38Z
DJF,2010,28.14,+1.50,Strong El Nino,2026-04-27T22:58:38Z
JFM,2010,28.09,+1.22,Moderate El Nino,2026-04-27T22:58:38Z
FMA,2010,28.14,+0.84,Weak El Nino,2026-04-27T22:58:38Z
MAM,2010,28.04,+0.35,Neutral,2026-04-27T22:58:38Z
AMJ,2010,27.66,-0.17,Neutral,2026-04-27T22:58:38Z
MJJ,2010,27.00,-0.66,Weak La Nina,2026-04-27T22:58:38Z
JJA,2010,26.25,-1.05,Moderate La Nina,2026-04-27T22:58:38Z
JAS,2010,25.61,-1.35,Moderate La Nina,2026-04-27T22:58:38Z
ASO,2010,25.21,-1.56,Strong La Nina,2026-04-27T22:58:38Z
SON,2010,25.07,-1.64,Strong La Nina,2026-04-27T22:58:38Z
OND,2010,25.03,-1.64,Strong La Nina,2026-04-27T22:58:38Z
NDJ,2010,25.02,-1.54,Strong La Nina,2026-04-27T22:58:38Z
DJF,2011,25.22,-1.31,Moderate La Nina,2026-04-27T22:58:38Z
JFM,2011,25.68,-1.04,Moderate La Nina,2026-04-27T22:58:38Z
FMA,2011,26.37,-0.80,Weak La Nina,2026-04-27T22:58:38Z
MAM,2011,26.95,-0.62,Weak La Nina,2026-04-27T22:58:38Z
AMJ,2011,27.28,-0.46,Neutral,2026-04-27T22:58:38Z
MJJ,2011,27.21,-0.37,Neutral,2026-04-27T22:58:38Z
JJA,2011,26.81,-0.43,Neutral,2026-04-27T22:58:38Z
JAS,2011,26.33,-0.58,Weak La Nina,2026-04-27T22:58:38Z
ASO,2011,25.93,-0.79,Weak La Nina,2026-04-27T22:58:38Z
SON,2011,25.70,-0.96,Weak La Nina,2026-04-27T22:58:38Z
OND,2011,25.58,-1.02,Moderate La Nina,2026-04-27T22:58:38Z
NDJ,2011,25.58,-0.92,Weak La Nina,2026-04-27T22:58:38Z
DJF,2012,25.77,-0.72,Weak La Nina,2026-04-27T22:58:38Z
JFM,2012,26.15,-0.57,Weak La Nina,2026-04-27T22:58:38Z
FMA,2012,26.71,-0.46,Neutral,2026-04-27T22:58:38Z
MAM,2012,27.21,-0.36,Neutral,2026-04-27T22:58:38Z
AMJ,2012,27.57,-0.17,Neutral,2026-04-27T22:58:38Z
MJJ,2012,27.64,+0.06,Neutral,2026-04-27T22:58:38Z
JJA,2012,27.54,+0.30,Neutral,2026-04-27T22:58:38Z
JAS,2012,27.32,+0.41,Neutral,2026-04-27T22:58:38Z
ASO,2012,27.13,+0.41,Neutral,2026-04-27T22:58:38Z
SON,2012,26.98,+0.31,Neutral,2026-04-27T22:58:38Z
OND,2012,26.73,+0.13,Neutral,2026-04-27T22:58:38Z
NDJ,2012,26.41,-0.10,Neutral,2026-04-27T22:58:38Z
DJF,2013,26.21,-0.29,Neutral,2026-04-27T22:58:38Z
JFM,2013,26.44,-0.29,Neutral,2026-04-27T22:58:38Z
FMA,2013,26.96,-0.21,Neutral,2026-04-27T22:58:38Z
MAM,2013,27.38,-0.19,Neutral,2026-04-27T22:58:38Z
AMJ,2013,27.47,-0.27,Neutral,2026-04-27T22:58:38Z
MJJ,2013,27.24,-0.34,Neutral,2026-04-27T22:58:38Z
JJA,2013,26.89,-0.35,Neutral,2026-04-27T22:58:38Z
JAS,2013,26.64,-0.28,Neutral,2026-04-27T22:58:38Z
ASO,2013,26.51,-0.21,Neutral,2026-04-27T22:58:38Z
SON,2013,26.54,-0.13,Neutral,2026-04-27T22:58:38Z
OND,2013,26.50,-0.10,Neutral,2026-04-27T22:58:38Z
NDJ,2013,26.35,-0.15,Neutral,2026-04-27T22:58:38Z
DJF,2014,26.22,-0.28,Neutral,2026-04-27T22:58:38Z
JFM,2014,26.41,-0.32,Neutral,2026-04-27T22:58:38Z
FMA,2014,27.03,-0.14,Neutral,2026-04-27T22:58:38Z
MAM,2014,27.73,+0.15,Neutral,2026-04-27T22:58:38Z
AMJ,2014,28.04,+0.31,Neutral,2026-04-27T22:58:38Z
MJJ,2014,27.82,+0.23,Neutral,2026-04-27T22:58:38Z
JJA,2014,27.34,+0.10,Neutral,2026-04-27T22:58:38Z
JAS,2014,27.02,+0.11,Neutral,2026-04-27T22:58:38Z
ASO,2014,27.00,+0.28,Neutral,2026-04-27T22:58:38Z
SON,2014,27.21,+0.54,Weak El Nino,2026-04-27T22:58:38Z
OND,2014,27.31,+0.71,Weak El Nino,2026-04-27T22:58:38Z
NDJ,2014,27.28,+0.77,Weak El Nino,2026-04-27T22:58:38Z
DJF,2015,27.19,+0.69,Weak El Nino,2026-04-27T22:58:38Z
JFM,2015,27.34,+0.61,Weak El Nino,2026-04-27T22:58:38Z
FMA,2015,27.82,+0.65,Weak El Nino,2026-04-27T22:58:38Z
MAM,2015,28.38,+0.81,Weak El Nino,2026-04-27T22:58:38Z
AMJ,2015,28.76,+1.02,Moderate El Nino,2026-04-27T22:58:38Z
MJJ,2015,28.83,+1.25,Moderate El Nino,2026-04-27T22:58:38Z
JJA,2015,28.81,+1.57,Strong El Nino,2026-04-27T22:58:38Z
JAS,2015,28.82,+1.91,Strong El Nino,2026-04-27T22:58:38Z
ASO,2015,28.93,+2.21,Strong El Nino,2026-04-27T22:58:38Z
SON,2015,29.14,+2.47,Strong El Nino,2026-04-27T22:58:38Z
OND,2015,29.25,+2.64,Strong El Nino,2026-04-27T22:58:38Z
NDJ,2015,29.26,+2.75,Strong El Nino,2026-04-27T22:58:38Z
DJF,2016,29.12,+2.63,Strong El Nino,2026-04-27T22:58:38Z
JFM,2016,29.01,+2.28,Strong El Nino,2026-04-27T22:58:38Z
FMA,2016,28.88,+1.71,Strong El Nino,2026-04-27T22:58:38Z
MAM,2016,28.62,+1.05,Moderate El Nino,2026-04-27T22:58:38Z
AMJ,2016,28.22,+0.49,Neutral,2026-04-27T22:58:38Z
MJJ,2016,27.59,+0.00,Neutral,2026-04-27T22:58:38Z
JJA,2016,26.93,-0.31,Neutral,2026-04-27T22:58:38Z
JAS,2016,26.42,-0.50,Weak La Nina,2026-04-27T22:58:38Z
ASO,2016,26.14,-0.58,Weak La Nina,2026-04-27T22:58:38Z
SON,2016,26.02,-0.64,Weak La Nina,2026-04-27T22:58:38Z
OND,2016,26.01,-0.60,Weak La Nina,2026-04-27T22:58:38Z
NDJ,2016,26.06,-0.45,Neutral,2026-04-27T22:58:38Z
DJF,2017,26.30,-0.19,Neutral,2026-04-27T22:58:38Z
JFM,2017,26.71,-0.02,Neutral,2026-04-27T22:58:38Z
FMA,2017,27.35,+0.18,Neutral,2026-04-27T22:58:38Z
MAM,2017,27.89,+0.31,Neutral,2026-04-27T22:58:38Z
AMJ,2017,28.13,+0.40,Neutral,2026-04-27T22:58:38Z
MJJ,2017,27.97,+0.39,Neutral,2026-04-27T22:58:38Z
JJA,2017,27.43,+0.19,Neutral,2026-04-27T22:58:38Z
JAS,2017,26.84,-0.07,Neutral,2026-04-27T22:58:38Z
ASO,2017,26.38,-0.34,Neutral,2026-04-27T22:58:38Z
SON,2017,26.06,-0.60,Weak La Nina,2026-04-27T22:58:38Z
OND,2017,25.84,-0.77,Weak La Nina,2026-04-27T22:58:38Z
NDJ,2017,25.64,-0.86,Weak La Nina,2026-04-27T22:58:38Z
DJF,2018,25.72,-0.77,Weak La Nina,2026-04-27T22:58:38Z
JFM,2018,26.02,-0.71,Weak La Nina,2026-04-27T22:58:38Z
FMA,2018,26.60,-0.57,Weak La Nina,2026-04-27T22:58:38Z
MAM,2018,27.18,-0.39,Neutral,2026-04-27T22:58:38Z
AMJ,2018,27.61,-0.13,Neutral,2026-04-27T22:58:38Z
MJJ,2018,27.64,+0.06,Neutral,2026-04-27T22:58:38Z
JJA,2018,27.38,+0.14,Neutral,2026-04-27T22:58:38Z
JAS,2018,27.18,+0.27,Neutral,2026-04-27T22:58:38Z
ASO,2018,27.25,+0.53,Weak El Nino,2026-04-27T22:58:38Z
SON,2018,27.47,+0.81,Weak El Nino,2026-04-27T22:58:38Z
OND,2018,27.57,+0.97,Weak El Nino,2026-04-27T22:58:38Z
NDJ,2018,27.43,+0.92,Weak El Nino,2026-04-27T22:58:38Z
