date,pln_aud,pln_cad,pln_chf,pln_cny,pln_czk,pln_eur,pln_gbp,pln_huf,pln_jpy,pln_usd,captured_at
2026-04-27,2.5969,2.6533,4.6106,0.5296,0.1743,4.2445,4.8970,0.0117,0.0227,3.6130,2026-04-27T22:50:18Z
2026-04-24,2.5886,2.6514,4.6170,0.5310,0.1741,4.2428,4.8911,0.0116,0.0227,3.6294,2026-04-27T22:50:18Z
2026-04-23,2.5981,2.6585,4.6318,0.5314,0.1744,4.2501,4.9046,0.0116,0.0227,3.6321,2026-04-27T22:50:18Z
2026-04-22,2.5851,2.6440,4.6254,0.5289,0.1742,4.2408,4.8809,0.0116,0.0226,3.6080,2026-04-27T22:50:18Z
2026-04-21,2.5738,2.6338,4.6098,0.5276,0.1742,4.2320,4.8574,0.0117,0.0226,3.5970,2026-04-27T22:50:18Z
2026-04-20,2.5741,2.6295,4.6043,0.5281,0.1743,4.2346,4.8598,0.0117,0.0226,3.6005,2026-04-27T22:50:18Z
2026-04-17,2.5783,2.6267,4.5911,0.5263,0.1742,4.2355,4.8592,0.0116,0.0226,3.5912,2026-04-27T22:50:18Z
2026-04-16,2.5816,2.6214,4.5989,0.5277,0.1742,4.2411,4.8759,0.0116,0.0226,3.5983,2026-04-27T22:50:18Z
2026-04-15,2.5675,2.6108,4.6024,0.5271,0.1740,4.2370,4.8749,0.0116,0.0226,3.5939,2026-04-27T22:50:18Z
2026-04-14,2.5587,2.6169,4.6136,0.5284,0.1742,4.2436,4.8757,0.0117,0.0226,3.6015,2026-04-27T22:50:18Z
2026-04-13,2.5652,2.6279,4.6021,0.5323,0.1744,4.2507,4.8845,0.0116,0.0228,3.6374,2026-04-27T22:50:18Z
2026-04-10,2.5689,2.6304,4.6062,0.5327,0.1745,4.2534,4.8848,0.0113,0.0228,3.6396,2026-04-27T22:50:18Z
2026-04-09,2.5652,2.6363,4.6147,0.5338,0.1746,4.2610,4.8924,0.0113,0.0230,3.6506,2026-04-27T22:50:18Z
2026-04-08,2.5705,2.6316,4.6256,0.5344,0.1746,4.2623,4.8995,0.0113,0.0230,3.6489,2026-04-27T22:50:18Z
2026-04-07,2.5621,2.6520,4.6223,0.5380,0.1742,4.2694,4.9000,0.0112,0.0231,3.6888,2026-04-27T22:50:18Z
2026-04-03,2.5602,2.6624,4.6438,0.5387,0.1745,4.2776,4.9055,0.0111,0.0232,3.7058,2026-04-27T22:50:18Z
2026-04-02,2.5571,2.6721,4.6516,0.5394,0.1747,4.2869,4.9103,0.0112,0.0233,3.7195,2026-04-27T22:50:18Z
2026-04-01,2.5663,2.6623,4.6587,0.5378,0.1748,4.2874,4.9131,0.0112,0.0233,3.6972,2026-04-27T22:50:18Z
2026-03-31,2.5665,2.6834,4.6764,0.5415,0.1749,4.2894,4.9426,0.0111,0.0234,3.7408,2026-04-27T22:50:18Z
2026-03-30,2.5536,2.6770,4.6564,0.5391,0.1746,4.2832,4.9312,0.0110,0.0233,3.7257,2026-04-27T22:50:18Z
2026-03-27,2.5647,2.6859,4.6663,0.5386,0.1747,4.2858,4.9510,0.0110,0.0233,3.7206,2026-04-27T22:50:18Z
2026-03-26,2.5629,2.6720,4.6650,0.5349,0.1746,4.2710,4.9339,0.0110,0.0232,3.6948,2026-04-27T22:50:18Z
2026-03-25,2.5649,2.6684,4.6592,0.5334,0.1748,4.2692,4.9306,0.0110,0.0232,3.6803,2026-04-27T22:50:18Z
2026-03-24,2.5697,2.6820,4.6848,0.5348,0.1745,4.2728,4.9388,0.0110,0.0232,3.6850,2026-04-27T22:50:18Z
2026-03-23,2.5890,2.7122,4.7032,0.5396,0.1748,4.2867,4.9486,0.0109,0.0234,3.7292,2026-04-27T22:50:18Z
2026-03-20,2.6163,2.6993,4.6969,0.5376,0.1745,4.2768,4.9557,0.0109,0.0233,3.7032,2026-04-27T22:50:18Z
2026-03-19,2.6302,2.7137,4.6956,0.5404,0.1747,4.2782,4.9508,0.0109,0.0234,3.7270,2026-04-27T22:50:18Z
2026-03-18,2.6267,2.6974,4.6982,0.5373,0.1744,4.2613,4.9338,0.0110,0.0232,3.6930,2026-04-27T22:50:18Z
2026-03-17,2.6264,2.7051,4.7093,0.5379,0.1745,4.2666,4.9402,0.0109,0.0233,3.7046,2026-04-27T22:50:18Z
2026-03-16,2.6193,2.7219,4.7238,0.5409,0.1747,4.2694,4.9394,0.0109,0.0234,3.7287,2026-04-27T22:50:18Z
