launch_id,name,date_utc,window_start,status,rocket,provider,pad,location,mission,captured_at
a57aed97-b94f-42e1-905e-9421dbd96ac8,Ariane 64 | MTG-I2,2026-06-30T00:00:00Z,2026-06-30T00:00:00Z,TBD,Ariane 64,Arianespace,Ariane Launch Area 4,"Guiana Space Centre, French Guia",MTG-I2,2026-04-27T23:11:52Z
a6db1e67-5860-47c9-a674-adc0f35b62e0,Falcon 9 Block 5 | Transporter 17 (Dedicated SSO Rideshare),2026-06-30T00:00:00Z,2026-06-30T00:00:00Z,TBD,Falcon 9,SpaceX,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Transporter 17 (Dedicated SSO Rideshare),2026-04-27T23:11:52Z
ff0a6a32-6513-4e85-9fd8-a2d022add74d,Atlas V 551 | Amazon Leo (LA-07),2026-06-30T00:00:00Z,2026-06-30T00:00:00Z,TBD,Atlas V 551,United Launch Alliance,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Amazon Leo (LA-07),2026-04-27T23:11:52Z
9eb09815-c237-4fdd-9057-5b161131240c,Atlas V 551 | Amazon Leo (LA-08),2026-06-30T00:00:00Z,2026-06-30T00:00:00Z,TBD,Atlas V 551,United Launch Alliance,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Amazon Leo (LA-08),2026-04-27T23:11:52Z
0f6780cf-edae-4d7c-99d6-ce7de784d140,Falcon 9 Block 5 | MRV-1,2026-06-30T00:00:00Z,2026-06-30T00:00:00Z,TBD,Falcon 9,SpaceX,Unknown Pad,"Cape Canaveral SFS, FL, USA",MRV-1,2026-04-27T23:11:52Z
2d0472b9-463d-49c8-afb1-7925e49a3368,Falcon 9 Block 5 | SDA Tranche 1 Tracking Layer A,2026-06-30T00:00:00Z,2026-06-30T00:00:00Z,TBD,Falcon 9,SpaceX,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",SDA Tranche 1 Tracking Layer A,2026-04-27T23:11:52Z
dca8749f-1552-485a-8061-f1ad79055b8d,Falcon 9 Block 5 | SDA Tranche 1 Tracking Layer C,2026-06-30T00:00:00Z,2026-06-30T00:00:00Z,TBD,Falcon 9,SpaceX,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",SDA Tranche 1 Tracking Layer C,2026-04-27T23:11:52Z
fcbc4550-e69e-4458-a9e6-4a5b6b6b15a5,Falcon 9 Block 5 | SDA Tranche 1 Tracking Layer E,2026-06-30T00:00:00Z,2026-06-30T00:00:00Z,TBD,Falcon 9,SpaceX,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",SDA Tranche 1 Tracking Layer E,2026-04-27T23:11:52Z
da43dc2c-00af-4cc1-8ef1-90a60b2eb9e5,Falcon 9 Block 5 | SDA Tranche 1 Transport Layer A,2026-06-30T00:00:00Z,2026-06-30T00:00:00Z,TBD,Falcon 9,SpaceX,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",SDA Tranche 1 Transport Layer A,2026-04-27T23:11:52Z
4541ce85-0e38-42ac-a9a0-20474bb5f2cd,Falcon 9 Block 5 | SDA Tranche 1 Transport Layer D,2026-06-30T00:00:00Z,2026-06-30T00:00:00Z,TBD,Falcon 9,SpaceX,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",SDA Tranche 1 Transport Layer D,2026-04-27T23:11:52Z
d9adedc4-8fa1-4a36-84f9-43b8893a6865,Falcon 9 Block 5 | SDA Tranche 1 Transport Layer E,2026-06-30T00:00:00Z,2026-06-30T00:00:00Z,TBD,Falcon 9,SpaceX,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",SDA Tranche 1 Transport Layer E,2026-04-27T23:11:52Z
c5783e2b-d458-4b99-9936-4043c236190b,Falcon 9 Block 5 | SDA Tranche 1 Transport Layer F,2026-06-30T00:00:00Z,2026-06-30T00:00:00Z,TBD,Falcon 9,SpaceX,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",SDA Tranche 1 Transport Layer F,2026-04-27T23:11:52Z
875ba957-be5f-42bd-8a6e-ed98254f572a,Firefly Alpha Block 2 | VICTUS HAZE Jackal,2026-06-30T00:00:00Z,2026-06-30T00:00:00Z,TBD,Firefly Alpha Block 2,Firefly Aerospace,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",VICTUS HAZE Jackal,2026-04-27T23:11:52Z
459225a2-dc1a-43d7-8c2c-78f9552b0a05,Long March 12B | Demo Flight,2026-06-30T00:00:00Z,2026-06-30T00:00:00Z,TBD,Long March 12B,China Aerospace Science and Tech,Long March 12 series Pad,"Jiuquan Satellite Launch Center,",Demo Flight,2026-04-27T23:11:52Z
3b94ad50-3505-496e-8a95-b0bc4c0dadc6,Themis Demonstrator | T1H-1,2026-06-30T00:00:00Z,2026-06-30T00:00:00Z,TBD,Themis Demonstrator,European Space Agency,Launch Complex 3B,Esrange Space Center,T1H-1,2026-04-27T23:11:52Z
