index_symbol,index_name,country,last,previous_close,percent_change,currency,exchange_tz,regular_market_time,captured_at
^AXJO,S&P/ASX 200,Australia,8766.40,8793.40,-0.31,AUD,Australia/Sydney,1777272464,2026-04-27T23:11:04Z
^BVSP,Bovespa,Brazil,189578.80,191378.00,-0.94,BRL,America/Sao_Paulo,1777321440,2026-04-27T23:11:04Z
^GSPTSE,TSX Composite,Canada,33818.19,33912.90,-0.28,CAD,America/Toronto,1777321201,2026-04-27T23:11:04Z
399001.SZ,Shenzhen Component,China,14995.75,14940.30,0.37,CNY,Asia/Shanghai,1777278550,2026-04-27T23:11:04Z
000001.SS,Shanghai Composite,China,4086.34,4079.90,0.16,CNY,Asia/Shanghai,1777273224,2026-04-27T23:11:04Z
^STOXX50E,EURO STOXX 50,Europe,5860.32,5883.48,-0.39,EUR,Europe/Zurich,1777305600,2026-04-27T23:11:04Z
^FCHI,CAC 40,France,8141.92,8157.82,-0.19,EUR,Europe/Paris,1777305902,2026-04-27T23:11:04Z
^GDAXI,DAX,Germany,24083.53,24155.45,-0.30,EUR,Europe/Berlin,1777305600,2026-04-27T23:11:04Z
^HSI,Hang Seng,HongKong,25925.65,25915.20,0.04,HKD,Asia/Hong_Kong,1777277332,2026-04-27T23:11:04Z
^CNXIT,NIFTY IT,India,29159.15,28530.60,2.20,INR,Asia/Kolkata,1777284076,2026-04-27T23:11:04Z
^NSEI,NIFTY 50,India,24092.70,23897.95,0.81,INR,Asia/Kolkata,1777284076,2026-04-27T23:11:04Z
^NSEBANK,NIFTY Bank,India,56264.30,56089.75,0.31,INR,Asia/Kolkata,1777284076,2026-04-27T23:11:04Z
^N225,Nikkei 225,Japan,60537.36,59716.18,1.38,JPY,Asia/Tokyo,1777272303,2026-04-27T23:11:04Z
^KS11,KOSPI,Korea,6615.03,6475.81,2.15,KRW,Asia/Seoul,1777280740,2026-04-27T23:11:04Z
^MXX,IPC Mexico,Mexico,67992.36,69230.56,-1.79,MXN,America/Mexico_City,1777321583,2026-04-27T23:11:04Z
^TWII,Taiwan Weighted,Taiwan,39616.63,38932.40,1.76,TWD,Asia/Taipei,1777267875,2026-04-27T23:11:04Z
^FTSE,FTSE 100,UK,10321.09,10457.00,-1.30,GBP,Europe/London,1777304129,2026-04-27T23:11:04Z
