symbol,name,circulating_usd,peg_mechanism,chain_count,pct_total,captured_at
USDT,Tether,189674163111,fiat-backed,116,59.54,2026-04-27T23:06:02Z
USDC,USD Coin,77718659448,fiat-backed,128,24.39,2026-04-27T23:06:02Z
USDS,Sky Dollar,8289041137,crypto-backed,7,2.60,2026-04-27T23:06:02Z
DAI,Dai,4642992423,crypto-backed,49,1.46,2026-04-27T23:06:02Z
USD1,World Liberty Financial USD,4420708865,fiat-backed,8,1.39,2026-04-27T23:06:02Z
USDe,Ethena USDe,3751766880,crypto-backed,27,1.18,2026-04-27T23:06:02Z
PYUSD,PayPal USD,3429771154,fiat-backed,17,1.08,2026-04-27T23:06:02Z
USYC,Circle USYC,2901421932,fiat-backed,2,0.91,2026-04-27T23:06:02Z
BUIDL,BlackRock USD,2810254364,fiat-backed,8,0.88,2026-04-27T23:06:02Z
USDG,Global Dollar,2313328652,fiat-backed,5,0.73,2026-04-27T23:06:02Z
USDY,Ondo US Dollar Yield,2126372715,fiat-backed,15,0.67,2026-04-27T23:06:02Z
USDf,Falcon USD,1621150304,crypto-backed,2,0.51,2026-04-27T23:06:02Z
RLUSD,Ripple USD,1512185857,fiat-backed,2,0.47,2026-04-27T23:06:02Z
USDD,USDD,1457510342,crypto-backed,4,0.46,2026-04-27T23:06:02Z
U,United Stables,1057868354,crypto-backed,3,0.33,2026-04-27T23:06:02Z
USDTB,Ethena USDtb,637964379,fiat-backed,2,0.20,2026-04-27T23:06:02Z
GHO,GHO,583555351,crypto-backed,1,0.18,2026-04-27T23:06:02Z
USD0,Usual USD,556665986,fiat-backed,2,0.17,2026-04-27T23:06:02Z
YLDS,YLDS,526997869,fiat-backed,3,0.17,2026-04-27T23:06:02Z
TUSD,TrueUSD,484983848,fiat-backed,10,0.15,2026-04-27T23:06:02Z
FDUSD,First Digital USD,412503677,fiat-backed,6,0.13,2026-04-27T23:06:02Z
USX,Solstice USX,378444117,crypto-backed,1,0.12,2026-04-27T23:06:02Z
rwaUSDi,rwaUSDi,309947293,crypto-backed,4,0.10,2026-04-27T23:06:02Z
M,M by M0,291132734,fiat-backed,7,0.09,2026-04-27T23:06:02Z
USDai,USD.AI,283403807,crypto-backed,3,0.09,2026-04-27T23:06:02Z
crvUSD,crvUSD,274390417,crypto-backed,12,0.09,2026-04-27T23:06:02Z
USDA,Avalon USDa,268408150,crypto-backed,19,0.08,2026-04-27T23:06:02Z
BUSD,Binance Peg BUSD,232913463,crypto-backed,27,0.07,2026-04-27T23:06:02Z
apxUSD,apxUSD,204843152,crypto-backed,1,0.06,2026-04-27T23:06:02Z
USDGO,USDGO,199959772,fiat-backed,1,0.06,2026-04-27T23:06:02Z
HUSD,HUSD,192313548,fiat-backed,5,0.06,2026-04-27T23:06:02Z
FRAX,Frax,188443593,algorithmic,22,0.06,2026-04-27T23:06:02Z
GUSD,Gate USD,174018908,fiat-backed,1,0.05,2026-04-27T23:06:02Z
reUSD,Re Protocol reUSD,169014945,crypto-backed,8,0.05,2026-04-27T23:06:02Z
NUSD,Neutrl USD,166854266,crypto-backed,1,0.05,2026-04-27T23:06:02Z
FLEXUSD,flexUSD,166316511,crypto-backed,2,0.05,2026-04-27T23:06:02Z
AUSD,Agora Dollar,165210723,fiat-backed,14,0.05,2026-04-27T23:06:02Z
satUSD,River Stablecoin,158534169,crypto-backed,11,0.05,2026-04-27T23:06:02Z
MUST,Mustang Finance,154280121,crypto-backed,1,0.05,2026-04-27T23:06:02Z
USAT,USAT,145625410,fiat-backed,1,0.05,2026-04-27T23:06:02Z
