ticker,mention_count_24h,sentiment_label,top_post_title,top_post_score
PK,0,none,,0
ERAS,0,none,,0
TRUP,0,none,,0
USAU,0,none,,0
KRC,0,none,,0
PACS,0,none,,0
LEVI,0,none,,0
AEYE,0,none,,0
UTZ,0,none,,0
GH,0,none,,0
SRTA,0,none,,0
