quarter,ticker,cik,name,loc,revenue_q,net_income_q,margin_pct,captured_at
CY2026Q1,DBMM,1127475,"DIGITAL BRAND MEDIA & MARKETING GROUP, INC.",US-NY,38672,-244792,-633.0,2026-04-27T22:54:38Z
CY2026Q1,ESMR,1995920,E-SMART CORP.,US-PA,20151,-42486,-210.84,2026-04-27T22:54:38Z
CY2026Q1,LEXX,1348362,LEXARIA BIOSCIENCE CORP.,CA-BC,20000,-1449979,-7249.89,2026-04-27T22:54:38Z
CY2026Q1,GSMT,1940243,Global-Smart.Tech Inc.,ME-,14052,-24946,-177.53,2026-04-27T22:54:38Z
CY2026Q1,,2072184,CYBRIATECH INC.,HK-,12431,-2759,-22.19,2026-04-27T22:54:38Z
CY2026Q1,CBIH,1411057,"CANNABIS BIOSCIENCE INTERNATIONAL HOLDINGS, INC.",US-TX,11205,-103933,-927.56,2026-04-27T22:54:38Z
CY2026Q1,LDXC,1985554,LONDAX CORP.,CY-,8405,7296,86.81,2026-04-27T22:54:38Z
CY2026Q1,,2078730,SEEBEKS CORP.,ES-,2970,-7635,-257.07,2026-04-27T22:54:38Z
CY2026Q1,,2074643,SOMITOS CORP.,GE-,2282,-11751,-514.94,2026-04-27T22:54:38Z
CY2026Q1,BGFR,1722556,BestGofer Inc.,IL-,2231,-1001,-44.87,2026-04-27T22:54:38Z
CY2026Q1,,2093096,Amplara Corporation,US-WY,1129,-21660,-1918.51,2026-04-27T22:54:38Z
