ticker,form,updated_utc,recency_min,link
NHS,4,2026-04-27T18:48:38-04:00,12,https://www.sec.gov/Archives/edgar/data/1487610/000089843226000297/0000898432-26-000297-index.htm
VINP,4,2026-04-27T18:42:32-04:00,18,https://www.sec.gov/Archives/edgar/data/1826286/000095010326006239/0000950103-26-006239-index.htm
VINP,4,2026-04-27T18:41:50-04:00,19,https://www.sec.gov/Archives/edgar/data/1826286/000095010326006238/0000950103-26-006238-index.htm
VINP,4,2026-04-27T18:40:59-04:00,19,https://www.sec.gov/Archives/edgar/data/1826286/000095010326006237/0000950103-26-006237-index.htm
PFE,4,2026-04-27T18:40:00-04:00,20,https://www.sec.gov/Archives/edgar/data/78003/000122520826004663/0001225208-26-004663-index.htm
PFE,4,2026-04-27T18:39:59-04:00,20,https://www.sec.gov/Archives/edgar/data/78003/000122520826004662/0001225208-26-004662-index.htm
PFE,4,2026-04-27T18:39:58-04:00,20,https://www.sec.gov/Archives/edgar/data/78003/000122520826004661/0001225208-26-004661-index.htm
CVGW,4,2026-04-27T18:39:43-04:00,21,https://www.sec.gov/Archives/edgar/data/1133470/000125085326000009/0001250853-26-000009-index.htm
PFE,4,2026-04-27T18:37:58-04:00,22,https://www.sec.gov/Archives/edgar/data/78003/000122520826004660/0001225208-26-004660-index.htm
PFE,4,2026-04-27T18:37:57-04:00,22,https://www.sec.gov/Archives/edgar/data/78003/000122520826004659/0001225208-26-004659-index.htm
PFE,4,2026-04-27T18:37:56-04:00,22,https://www.sec.gov/Archives/edgar/data/78003/000122520826004658/0001225208-26-004658-index.htm
PFE,4,2026-04-27T18:37:54-04:00,22,https://www.sec.gov/Archives/edgar/data/78003/000122520826004657/0001225208-26-004657-index.htm
GGG,4,2026-04-27T18:34:52-04:00,26,https://www.sec.gov/Archives/edgar/data/42888/000004288826000103/0000042888-26-000103-index.htm
CVGW,4,2026-04-27T18:33:57-04:00,26,https://www.sec.gov/Archives/edgar/data/1133470/000125085326000008/0001250853-26-000008-index.htm
AAPL,4,2026-04-27T18:30:44-04:00,30,https://www.sec.gov/Archives/edgar/data/320193/000114036126017175/0001140361-26-017175-index.htm
CVGW,4,2026-04-27T18:29:51-04:00,31,https://www.sec.gov/Archives/edgar/data/1133470/000125085326000007/0001250853-26-000007-index.htm
JBHT,4,2026-04-27T18:24:15-04:00,36,https://www.sec.gov/Archives/edgar/data/728535/000118325426000003/0001183254-26-000003-index.htm
JNJ,4,2026-04-27T18:23:40-04:00,37,https://www.sec.gov/Archives/edgar/data/200406/000020040626000113/0000200406-26-000113-index.htm
