country,iso3,indicator,year,value_pct,yoy_delta,captured_at
AGO,AGO,cpi_infl_pct,2017,29.800,-0.900,2026-04-27T23:10:43Z
AGO,AGO,cpi_infl_pct,2018,19.600,-10.200,2026-04-27T23:10:43Z
AGO,AGO,cpi_infl_pct,2019,17.100,-2.500,2026-04-27T23:10:43Z
AGO,AGO,cpi_infl_pct,2020,22.300,+5.200,2026-04-27T23:10:43Z
AGO,AGO,cpi_infl_pct,2021,25.800,+3.500,2026-04-27T23:10:43Z
AGO,AGO,cpi_infl_pct,2022,21.400,-4.400,2026-04-27T23:10:43Z
AGO,AGO,cpi_infl_pct,2023,13.600,-7.800,2026-04-27T23:10:43Z
AGO,AGO,cpi_infl_pct,2024,28.200,+14.600,2026-04-27T23:10:43Z
AGO,AGO,cpi_infl_pct,2025,20.200,-8.000,2026-04-27T23:10:43Z
AGO,AGO,cpi_infl_pct,2026,12.900,-7.300,2026-04-27T23:10:43Z
AGO,AGO,cpi_infl_pct,2027,12.800,-0.100,2026-04-27T23:10:43Z
AGO,AGO,cpi_infl_pct,2028,10.300,-2.500,2026-04-27T23:10:43Z
AGO,AGO,cpi_infl_pct,2029,10.000,-0.300,2026-04-27T23:10:43Z
AGO,AGO,cpi_infl_pct,2030,9.900,-0.100,2026-04-27T23:10:43Z
AGO,AGO,cpi_infl_pct,2031,9.800,-0.100,2026-04-27T23:10:43Z
ALB,ALB,cpi_infl_pct,2016,1.300,-0.600,2026-04-27T23:10:43Z
ALB,ALB,cpi_infl_pct,2017,2.000,+0.700,2026-04-27T23:10:43Z
ALB,ALB,cpi_infl_pct,2018,2.000,+0.000,2026-04-27T23:10:43Z
ALB,ALB,cpi_infl_pct,2019,1.400,-0.600,2026-04-27T23:10:43Z
ALB,ALB,cpi_infl_pct,2020,1.600,+0.200,2026-04-27T23:10:43Z
ALB,ALB,cpi_infl_pct,2021,2.000,+0.400,2026-04-27T23:10:43Z
ALB,ALB,cpi_infl_pct,2022,6.700,+4.700,2026-04-27T23:10:43Z
ALB,ALB,cpi_infl_pct,2023,4.800,-1.900,2026-04-27T23:10:43Z
ALB,ALB,cpi_infl_pct,2024,2.200,-2.600,2026-04-27T23:10:43Z
ALB,ALB,cpi_infl_pct,2025,2.200,+0.000,2026-04-27T23:10:43Z
ALB,ALB,cpi_infl_pct,2026,3.400,+1.200,2026-04-27T23:10:43Z
ALB,ALB,cpi_infl_pct,2027,3.100,-0.300,2026-04-27T23:10:43Z
ALB,ALB,cpi_infl_pct,2028,3.000,-0.100,2026-04-27T23:10:43Z
ALB,ALB,cpi_infl_pct,2029,3.000,+0.000,2026-04-27T23:10:43Z
ALB,ALB,cpi_infl_pct,2030,3.000,+0.000,2026-04-27T23:10:43Z
ALB,ALB,cpi_infl_pct,2031,3.000,+0.000,2026-04-27T23:10:43Z
AND,AND,cpi_infl_pct,2016,-0.400,+0.700,2026-04-27T23:10:43Z
AND,AND,cpi_infl_pct,2017,2.600,+3.000,2026-04-27T23:10:43Z
AND,AND,cpi_infl_pct,2018,1.000,-1.600,2026-04-27T23:10:43Z
AND,AND,cpi_infl_pct,2019,0.500,-0.500,2026-04-27T23:10:43Z
AND,AND,cpi_infl_pct,2020,0.100,-0.400,2026-04-27T23:10:43Z
AND,AND,cpi_infl_pct,2021,1.700,+1.600,2026-04-27T23:10:43Z
AND,AND,cpi_infl_pct,2022,6.200,+4.500,2026-04-27T23:10:43Z
AND,AND,cpi_infl_pct,2023,5.600,-0.600,2026-04-27T23:10:43Z
AND,AND,cpi_infl_pct,2024,3.100,-2.500,2026-04-27T23:10:43Z
AND,AND,cpi_infl_pct,2025,2.400,-0.700,2026-04-27T23:10:43Z
AND,AND,cpi_infl_pct,2026,3.000,+0.600,2026-04-27T23:10:43Z
AND,AND,cpi_infl_pct,2027,2.300,-0.700,2026-04-27T23:10:43Z
