kind,ticker,cik,company,form,file_date,accession_id,captured_at
nasdaq_delisting,XOMA,0000791908,XOMA Royalty Corp,8-K,2026-04-27,0001193125-26-179085,2026-04-27T22:50:44Z
nasdaq_delisting,LGND,0000886163,LIGAND PHARMACEUTICALS INC,8-K,2026-04-27,0001193125-26-179529,2026-04-27T22:50:44Z
nasdaq_delisting,ASNS,0001141284,ACTELIS NETWORKS INC,8-K,2026-04-24,0001213900-26-047440,2026-04-27T22:50:44Z
going_concern,SNTW,0001619096,Summit Networks Inc.,10-K,2026-04-24,0001091818-26-000053,2026-04-27T22:50:44Z
going_concern,,,Essence Array Inc  (CIK 0002064765),10-K,2026-04-24,0001477932-26-002514,2026-04-27T22:50:44Z
bankruptcy_petition,ARI,0001467760,"Apollo Commercial Real Estate Finance, Inc.",8-K,2026-04-24,0001193125-26-177686,2026-04-27T22:50:44Z
bankruptcy_petition,,,Apollo Asset Backed Credit Co LLC  (CIK 0002000597,8-K,2026-04-24,0001193125-26-177675,2026-04-27T22:50:44Z
going_concern,,,Black Rock Petroleum Co  (CIK 0001580095),10-Q,2026-04-23,0001171520-26-000065,2026-04-27T22:50:44Z
bankruptcy_petition,,,CARMAX AUTO FUNDING LLC  (CIK 0001259380),8-K,2026-04-23,0001193125-26-173263,2026-04-27T22:50:44Z
going_concern,WNHK,0001503658,"Winning Catering Group, Inc.",10-Q,2026-04-22,0001493152-26-018583,2026-04-27T22:50:44Z
going_concern,QRED,0002085177,QuasarEdge Acquisition Corp,8-K,2026-04-22,0001829126-26-003763,2026-04-27T22:50:44Z
going_concern,,,VITASPRING BIOMEDICAL CO. LTD.  (CIK 0001697884),10-Q,2026-04-22,0001640334-26-000788,2026-04-27T22:50:44Z
going_concern,MVIS,0000065770,"MICROVISION, INC.",8-K/A,2026-04-21,0001493152-26-018360,2026-04-27T22:50:44Z
going_concern,,,Seebeks Corp.  (CIK 0002078730),10-Q,2026-04-21,0001683168-26-003098,2026-04-27T22:50:44Z
bankruptcy_petition,CITR,0000894556,CitroTech Inc.,8-K,2026-04-21,0001683168-26-003093,2026-04-27T22:50:44Z
bankruptcy_petition,,,TOYOTA AUTO FINANCE RECEIVABLES LLC  (CIK 00011311,8-K,2026-04-21,0000929638-26-001540,2026-04-27T22:50:44Z
nasdaq_delisting,QVCGA,0001355096,"QVC Group, Inc.",8-K,2026-04-20,0001355096-26-000015,2026-04-27T22:50:44Z
going_concern,HGTXU,0000862022,HUGOTON ROYALTY TRUST,8-K,2026-04-20,0001193125-26-163137,2026-04-27T22:50:44Z
going_concern,,,Blue Chip Capital Group Inc.  (CIK 0001932213),10-Q,2026-04-20,0001493152-26-017983,2026-04-27T22:50:44Z
bankruptcy_petition,OAK-PA,0001403528,"Brookfield Oaktree Holdings, LLC",8-K,2026-04-20,0001403528-26-000015,2026-04-27T22:50:44Z
bankruptcy_petition,GIPR,0001651721,"GENERATION INCOME PROPERTIES, INC.",8-K,2026-04-20,0001193125-26-161901,2026-04-27T22:50:44Z
bankruptcy_petition,FBRT,0001562528,"Franklin BSP Realty Trust, Inc.",8-K,2026-04-20,0001104659-26-045531,2026-04-27T22:50:44Z
bankruptcy_petition,,,Bridgecrest Auto Funding LLC  (CIK 0001974820),8-K,2026-04-20,0001104659-26-045464,2026-04-27T22:50:44Z
going_concern,SOAR,0001853070,"Volato Group, Inc.",8-K,2026-04-17,0001493152-26-017829,2026-04-27T22:50:44Z
going_concern,TAAG,0001386044,"Awareness Group, Inc.",10-Q,2026-04-16,0001477932-26-002319,2026-04-27T22:50:44Z
