scope,key,circulating_usd,prev_day_usd,prev_week_usd,prev_month_usd,change_1d_pct,change_7d_pct,change_30d_pct,captured_at
global,total_pegged,319058667813.18,319236191109.65,319275845636.50,313935322586.13,-0.06,-0.07,+1.63,2026-04-27T22:48:33Z
stablecoin,USDT,189674163111.35,189740304888.94,187168641319.76,184143358107.56,-0.03,+1.34,+3.00,2026-04-27T22:48:33Z
stablecoin,USDC,77718659448.42,77819439477.04,78277666441.76,77735734048.80,-0.13,-0.71,-0.02,2026-04-27T22:48:33Z
stablecoin,USDS,8289041137.48,8272334018.65,7976060784.52,8146190951.96,+0.20,+3.92,+1.75,2026-04-27T22:48:33Z
stablecoin,DAI,4642992423.08,4665250529.65,4613840391.79,4552385595.46,-0.48,+0.63,+1.99,2026-04-27T22:48:33Z
stablecoin,USD1,4420708865.17,4390918585.25,4224347194.35,4405527112.57,+0.68,+4.65,+0.34,2026-04-27T22:48:33Z
stablecoin,USDe,3751766879.88,3819100304.65,5531150848.29,5903710403.12,-1.76,-32.17,-36.45,2026-04-27T22:48:33Z
stablecoin,PYUSD,3429771154.01,3445654395.91,4175758083.37,3870608331.68,-0.46,-17.86,-11.39,2026-04-27T22:48:33Z
stablecoin,USYC,2901421932.27,2901336712.50,2902962405.01,2615593121.56,+0.00,-0.05,+10.93,2026-04-27T22:48:33Z
stablecoin,BUIDL,2810254363.65,2803635946.06,3035208002.40,2699183962.26,+0.24,-7.41,+4.11,2026-04-27T22:48:33Z
stablecoin,USDG,2313328651.86,2287901732.23,2182185359.49,1691733330.84,+1.11,+6.01,+36.74,2026-04-27T22:48:33Z
stablecoin,USDY,2126372715.36,2125910513.78,2119331217.92,1609448993.10,+0.02,+0.33,+32.12,2026-04-27T22:48:33Z
stablecoin,USDf,1621150304.48,1621295105.63,1620969614.02,1632054062.47,-0.01,+0.01,-0.67,2026-04-27T22:48:33Z
stablecoin,RLUSD,1512185857.10,1590295737.37,1416875676.78,1410275062.47,-4.91,+6.73,+7.23,2026-04-27T22:48:33Z
stablecoin,USDD,1457510341.64,1429494124.53,1397188244.59,1214312247.30,+1.96,+4.32,+20.03,2026-04-27T22:48:33Z
stablecoin,U,1057868354.11,1057868354.11,1027868079.84,1099868138.11,+0.00,+2.92,-3.82,2026-04-27T22:48:33Z
stablecoin,USDTB,637964379.32,637936375.72,938111529.50,943320804.47,+0.00,-31.99,-32.37,2026-04-27T22:48:33Z
stablecoin,GHO,583555351.43,583555351.43,583555351.43,583555351.43,+0.00,+0.00,+0.00,2026-04-27T22:48:33Z
stablecoin,USD0,556665986.36,556712706.24,557449424.21,560457988.02,-0.01,-0.14,-0.68,2026-04-27T22:48:33Z
stablecoin,YLDS,526997868.61,537865249.87,588596072.87,601849083.23,-2.02,-10.47,-12.44,2026-04-27T22:48:33Z
stablecoin,TUSD,484983847.55,484983847.55,484983847.55,484983847.55,+0.00,+0.00,+0.00,2026-04-27T22:48:33Z
stablecoin,EURC,436137115.90,436173181.43,424532873.42,429079921.59,-0.01,+2.73,+1.64,2026-04-27T22:48:33Z
stablecoin,FDUSD,412503676.51,414882846.87,413387103.33,398053959.63,-0.57,-0.21,+3.63,2026-04-27T22:48:33Z
stablecoin,USX,378444117.00,378504169.10,378160403.83,352138816.77,-0.02,+0.08,+7.47,2026-04-27T22:48:33Z
stablecoin,rwaUSDi,309947292.79,309947292.79,309947292.79,309947292.79,+0.00,+0.00,+0.00,2026-04-27T22:48:33Z
stablecoin,M,291132734.38,287084213.04,302791719.99,223930175.72,+1.41,-3.85,+30.01,2026-04-27T22:48:33Z
stablecoin,USDai,283403806.79,282046536.75,281015907.53,309790651.47,+0.48,+0.85,-8.52,2026-04-27T22:48:33Z
stablecoin,crvUSD,274390416.97,293969192.51,261832432.71,250489924.39,-6.66,+4.80,+9.54,2026-04-27T22:48:33Z
stablecoin,USDA,268408149.57,270844395.42,270844395.42,270844264.10,-0.90,-0.90,-0.90,2026-04-27T22:48:33Z
stablecoin,BUSD,232913462.66,232913459.97,232913445.29,232911662.33,+0.00,+0.00,+0.00,2026-04-27T22:48:33Z
stablecoin,apxUSD,204843152.48,199846815.46,174986156.78,67973076.51,+2.50,+17.06,+201.36,2026-04-27T22:48:33Z
chain,Ethereum,167122906222.57,167582372856.81,,,-0.27,,,2026-04-27T22:48:33Z
chain,Tron,86914778706.88,86892321415.25,,,+0.03,,,2026-04-27T22:48:33Z
chain,BSC,17803595396.97,17823729530.42,,,-0.11,,,2026-04-27T22:48:33Z
chain,Solana,15938826958.29,15794246469.09,,,+0.92,,,2026-04-27T22:48:33Z
chain,Hyperliquid L1,5024404591.92,5032888852.81,,,-0.17,,,2026-04-27T22:48:33Z
chain,Base,4929873820.73,4931513740.05,,,-0.03,,,2026-04-27T22:48:33Z
chain,Arbitrum,4239309444.97,4237599145.24,,,+0.04,,,2026-04-27T22:48:33Z
chain,Polygon,3519489771.24,3537474211.55,,,-0.51,,,2026-04-27T22:48:33Z
chain,Aptos,1749856582.12,1765532303.36,,,-0.89,,,2026-04-27T22:48:33Z
chain,Avalanche,1516050797.20,1543789321.45,,,-1.80,,,2026-04-27T22:48:33Z
chain,Plasma,1099747782.39,1113459525.51,,,-1.23,,,2026-04-27T22:48:33Z
chain,X Layer,926604327.52,619480501.51,,,+49.58,,,2026-04-27T22:48:33Z
chain,TON,752500863.76,752500863.66,,,+0.00,,,2026-04-27T22:48:33Z
chain,Mantle,676300204.11,696296203.62,,,-2.87,,,2026-04-27T22:48:33Z
