state,ori,county,agency_name,agency_type,nibrs,nibrs_start,lat,lon,captured_at
TX,TX0010400,ANDERSON,Anderson County Constable: Precinct 1,Other,1,2025-02-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0010000,ANDERSON,Anderson County Sheriff's Office,County,1,2025-01-01,31.7653,-95.6193,2026-04-27T17:54:22Z
TX,TX0010100,ANDERSON,Palestine Police Department,City,1,2017-02-01,31.7631,-95.6346,2026-04-27T17:54:22Z
TX,TX0010300,"ANDERSON, HENDERSON",Frankston Police Department,City,1,2016-10-01,31.8413,-95.6617,2026-04-27T17:54:22Z
TX,TX0020000,ANDREWS,Andrews County Sheriff's Office,County,1,2021-01-01,32.3123,-102.6402,2026-04-27T17:54:22Z
TX,TX0020100,ANDREWS,Andrews Police Department,City,1,2019-05-01,32.3123,-102.6402,2026-04-27T17:54:22Z
TX,TX0030600,ANGELINA,Angelina College,University or Co,1,2023-09-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0030000,ANGELINA,Angelina County Sheriff's Office,County,1,2021-11-01,31.2520,-94.6111,2026-04-27T17:54:22Z
TX,TX0030100,ANGELINA,Diboll Police Department,City,1,2019-03-01,31.2520,-94.6111,2026-04-27T17:54:22Z
TX,TX0030200,ANGELINA,Huntington Police Department,City,1,2018-10-01,31.2520,-94.6111,2026-04-27T17:54:22Z
TX,TX0031400,ANGELINA,Independent School District: Central,Other,1,2022-05-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0031500,ANGELINA,Independent School District: Hudson,Other,1,2022-01-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0032000,ANGELINA,Independent School District: Huntington,Other,1,2021-05-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0031700,ANGELINA,Independent School District: Lufkin,Other,1,2020-01-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0032300,ANGELINA,Independent School District: Pineywoods Communit,Other,1,2025-01-01,0.0000,0.0000,2026-04-27T17:54:22Z
TX,TX0031900,ANGELINA,Independent School District: Zavalla,Other,1,2024-01-01,0.0000,0.0000,2026-04-27T17:54:22Z
