name,party,office,state,district,cycle,receipts_usd_m,disbursements_usd_m,cash_on_hand_usd_m,candidate_id,captured_at
"BARR, GARLAND ANDY",REPUBLICAN PARTY,Senate,KY,00,2026,7.968,7.487,4.174,S6KY00286,2026-04-27T18:21:28Z
"CROCKETT, JASMINE",DEMOCRATIC PARTY,House,TX,30,2026,7.907,9.446,0.073,H2TX30178,2026-04-27T18:21:28Z
"MCCONNELL, MITCH",REPUBLICAN PARTY,Senate,KY,00,2026,7.878,7.357,7.333,S2KY00012,2026-04-27T18:21:28Z
"PETERS, GARY",DEMOCRATIC PARTY,Senate,MI,00,2026,7.792,3.019,6.544,S4MI00355,2026-04-27T18:21:28Z
"KIM, YOUNG",REPUBLICAN PARTY,House,CA,40,2026,7.65,3.601,5.786,H8CA39240,2026-04-27T18:21:28Z
"EL-SAYED, ABDUL",DEMOCRATIC PARTY,Senate,MI,00,2026,7.647,5.117,2.529,S6MI00418,2026-04-27T18:21:28Z
"CONSTANTINO, ANTHONY THOMAS",REPUBLICAN PARTY,House,NY,21,2026,7.634,4.117,3.517,H6NY21157,2026-04-27T18:21:28Z
"ROGERS, MICHAEL J",REPUBLICAN PARTY,Senate,MI,00,2026,7.623,3.67,4.208,S4MI00595,2026-04-27T18:21:28Z
"ALLRED, COLIN",DEMOCRATIC PARTY,Senate,TX,00,2026,7.462,7.46,0.003,S6TX00438,2026-04-27T18:21:28Z
"CRANE, ELI",REPUBLICAN PARTY,House,AZ,02,2026,7.449,5.444,2.323,H2AZ01354,2026-04-27T18:21:28Z
"LUJAN, BEN RAY",DEMOCRATIC PARTY,Senate,NM,00,2026,7.309,3.213,4.176,S0NM00058,2026-04-27T18:21:28Z
"ARENHOLZ, ASHLEY HINSON",REPUBLICAN PARTY,Senate,IA,00,2026,7.267,2.679,6.516,S6IA00314,2026-04-27T18:21:28Z
"HARRIS, SHAWN",DEMOCRATIC PARTY,House,GA,14,2026,7.164,6.921,0.243,H4GA14057,2026-04-27T18:21:28Z
"MERKLEY, JEFFREY ALAN",DEMOCRATIC PARTY,Senate,OR,00,2026,7.151,4.376,6.58,S8OR00207,2026-04-27T18:21:28Z
"MORRIS, NATE",REPUBLICAN PARTY,Senate,KY,00,2026,7.029,6.448,0.581,S6KY00302,2026-04-27T18:21:28Z
"PAXTON, WARREN KENNETH JR.",REPUBLICAN PARTY,Senate,TX,00,2026,7.008,4.861,2.147,S6TX00388,2026-04-27T18:21:28Z
"ERNST, JONI K",REPUBLICAN PARTY,Senate,IA,00,2026,6.955,5.486,1.997,S4IA00129,2026-04-27T18:21:28Z
"LAWLER, MICHAEL VINCENT",REPUBLICAN PARTY,House,NY,17,2026,6.732,2.662,4.239,H2NY17162,2026-04-27T18:21:28Z
