country,iso2,period,hicp_annual_pct,mom_delta,captured_at
Netherlands,NL,2024-05,2.70,+0.10,2026-04-27T23:10:44Z
Netherlands,NL,2024-06,3.40,+0.70,2026-04-27T23:10:44Z
Netherlands,NL,2024-07,3.50,+0.10,2026-04-27T23:10:44Z
Netherlands,NL,2024-08,3.30,-0.20,2026-04-27T23:10:44Z
Netherlands,NL,2024-09,3.30,+0.00,2026-04-27T23:10:44Z
Netherlands,NL,2024-10,3.30,+0.00,2026-04-27T23:10:44Z
Netherlands,NL,2024-11,3.80,+0.50,2026-04-27T23:10:44Z
Netherlands,NL,2024-12,3.90,+0.10,2026-04-27T23:10:44Z
Netherlands,NL,2025-01,3.00,-0.90,2026-04-27T23:10:44Z
Netherlands,NL,2025-02,3.50,+0.50,2026-04-27T23:10:44Z
Netherlands,NL,2025-03,3.40,-0.10,2026-04-27T23:10:44Z
Netherlands,NL,2025-04,4.10,+0.70,2026-04-27T23:10:44Z
Netherlands,NL,2025-05,2.90,-1.20,2026-04-27T23:10:44Z
Netherlands,NL,2025-06,2.70,-0.20,2026-04-27T23:10:44Z
Netherlands,NL,2025-07,2.50,-0.20,2026-04-27T23:10:44Z
Netherlands,NL,2025-08,2.40,-0.10,2026-04-27T23:10:44Z
Netherlands,NL,2025-09,3.00,+0.60,2026-04-27T23:10:44Z
Netherlands,NL,2025-10,3.00,+0.00,2026-04-27T23:10:44Z
Netherlands,NL,2025-11,2.60,-0.40,2026-04-27T23:10:44Z
Netherlands,NL,2025-12,2.70,+0.10,2026-04-27T23:10:44Z
Poland,PL,2023-01,15.90,,2026-04-27T23:10:44Z
Poland,PL,2023-02,17.20,+1.30,2026-04-27T23:10:44Z
Poland,PL,2023-03,15.20,-2.00,2026-04-27T23:10:44Z
Poland,PL,2023-04,14.00,-1.20,2026-04-27T23:10:44Z
Poland,PL,2023-05,12.50,-1.50,2026-04-27T23:10:44Z
Poland,PL,2023-06,11.00,-1.50,2026-04-27T23:10:44Z
Poland,PL,2023-07,10.30,-0.70,2026-04-27T23:10:44Z
Poland,PL,2023-08,9.50,-0.80,2026-04-27T23:10:44Z
Poland,PL,2023-09,7.70,-1.80,2026-04-27T23:10:44Z
Poland,PL,2023-10,6.30,-1.40,2026-04-27T23:10:44Z
Poland,PL,2023-11,6.30,+0.00,2026-04-27T23:10:44Z
Poland,PL,2023-12,6.20,-0.10,2026-04-27T23:10:44Z
Poland,PL,2024-01,4.50,-1.70,2026-04-27T23:10:44Z
Poland,PL,2024-02,3.70,-0.80,2026-04-27T23:10:44Z
Poland,PL,2024-03,2.70,-1.00,2026-04-27T23:10:44Z
Poland,PL,2024-04,3.00,+0.30,2026-04-27T23:10:44Z
Poland,PL,2024-05,2.80,-0.20,2026-04-27T23:10:44Z
Poland,PL,2024-06,2.90,+0.10,2026-04-27T23:10:44Z
Poland,PL,2024-07,4.00,+1.10,2026-04-27T23:10:44Z
Poland,PL,2024-08,4.00,+0.00,2026-04-27T23:10:44Z
Poland,PL,2024-09,4.20,+0.20,2026-04-27T23:10:44Z
Poland,PL,2024-10,4.20,+0.00,2026-04-27T23:10:44Z
Poland,PL,2024-11,3.90,-0.30,2026-04-27T23:10:44Z
Poland,PL,2024-12,3.90,+0.00,2026-04-27T23:10:44Z
Poland,PL,2025-01,4.30,+0.40,2026-04-27T23:10:44Z
Poland,PL,2025-02,4.30,+0.00,2026-04-27T23:10:44Z
Poland,PL,2025-03,4.40,+0.10,2026-04-27T23:10:44Z
Poland,PL,2025-04,3.70,-0.70,2026-04-27T23:10:44Z
Poland,PL,2025-05,3.50,-0.20,2026-04-27T23:10:44Z
Poland,PL,2025-06,3.40,-0.10,2026-04-27T23:10:44Z
Poland,PL,2025-07,2.90,-0.50,2026-04-27T23:10:44Z
Poland,PL,2025-08,2.70,-0.20,2026-04-27T23:10:44Z
Poland,PL,2025-09,2.90,+0.20,2026-04-27T23:10:44Z
Poland,PL,2025-10,2.90,+0.00,2026-04-27T23:10:44Z
Poland,PL,2025-11,2.60,-0.30,2026-04-27T23:10:44Z
Poland,PL,2025-12,2.50,-0.10,2026-04-27T23:10:44Z
Portugal,PT,2023-01,8.60,,2026-04-27T23:10:44Z
Portugal,PT,2023-02,8.60,+0.00,2026-04-27T23:10:44Z
Portugal,PT,2023-03,8.00,-0.60,2026-04-27T23:10:44Z
Portugal,PT,2023-04,6.90,-1.10,2026-04-27T23:10:44Z
Portugal,PT,2023-05,5.40,-1.50,2026-04-27T23:10:44Z
Portugal,PT,2023-06,4.70,-0.70,2026-04-27T23:10:44Z
Portugal,PT,2023-07,4.30,-0.40,2026-04-27T23:10:44Z
Portugal,PT,2023-08,5.30,+1.00,2026-04-27T23:10:44Z
Portugal,PT,2023-09,4.80,-0.50,2026-04-27T23:10:44Z
Portugal,PT,2023-10,3.20,-1.60,2026-04-27T23:10:44Z
Portugal,PT,2023-11,2.20,-1.00,2026-04-27T23:10:44Z
Portugal,PT,2023-12,1.90,-0.30,2026-04-27T23:10:44Z
Portugal,PT,2024-01,2.50,+0.60,2026-04-27T23:10:44Z
Portugal,PT,2024-02,2.30,-0.20,2026-04-27T23:10:44Z
Portugal,PT,2024-03,2.60,+0.30,2026-04-27T23:10:44Z
Portugal,PT,2024-04,2.30,-0.30,2026-04-27T23:10:44Z
Portugal,PT,2024-05,3.80,+1.50,2026-04-27T23:10:44Z
Portugal,PT,2024-06,3.10,-0.70,2026-04-27T23:10:44Z
Portugal,PT,2024-07,2.70,-0.40,2026-04-27T23:10:44Z
Portugal,PT,2024-08,1.80,-0.90,2026-04-27T23:10:44Z
Portugal,PT,2024-09,2.60,+0.80,2026-04-27T23:10:44Z
Portugal,PT,2024-10,2.60,+0.00,2026-04-27T23:10:44Z
Portugal,PT,2024-11,2.70,+0.10,2026-04-27T23:10:44Z
Portugal,PT,2024-12,3.10,+0.40,2026-04-27T23:10:44Z
Portugal,PT,2025-01,2.70,-0.40,2026-04-27T23:10:44Z
Portugal,PT,2025-02,2.50,-0.20,2026-04-27T23:10:44Z
Portugal,PT,2025-03,1.90,-0.60,2026-04-27T23:10:44Z
Portugal,PT,2025-04,2.10,+0.20,2026-04-27T23:10:44Z
Portugal,PT,2025-05,1.70,-0.40,2026-04-27T23:10:44Z
Portugal,PT,2025-06,2.10,+0.40,2026-04-27T23:10:44Z
Portugal,PT,2025-07,2.50,+0.40,2026-04-27T23:10:44Z
Portugal,PT,2025-08,2.50,+0.00,2026-04-27T23:10:44Z
Portugal,PT,2025-09,1.90,-0.60,2026-04-27T23:10:44Z
Portugal,PT,2025-10,2.00,+0.10,2026-04-27T23:10:44Z
Portugal,PT,2025-11,2.10,+0.10,2026-04-27T23:10:44Z
Portugal,PT,2025-12,2.40,+0.30,2026-04-27T23:10:44Z
Sweden,SE,2023-01,9.60,,2026-04-27T23:10:44Z
Sweden,SE,2023-02,9.70,+0.10,2026-04-27T23:10:44Z
Sweden,SE,2023-03,8.10,-1.60,2026-04-27T23:10:44Z
Sweden,SE,2023-04,7.70,-0.40,2026-04-27T23:10:44Z
Sweden,SE,2023-05,6.70,-1.00,2026-04-27T23:10:44Z
Sweden,SE,2023-06,6.30,-0.40,2026-04-27T23:10:44Z
Sweden,SE,2023-07,6.30,+0.00,2026-04-27T23:10:44Z
Sweden,SE,2023-08,4.50,-1.80,2026-04-27T23:10:44Z
Sweden,SE,2023-09,3.70,-0.80,2026-04-27T23:10:44Z
Sweden,SE,2023-10,4.00,+0.30,2026-04-27T23:10:44Z
Sweden,SE,2023-11,3.30,-0.70,2026-04-27T23:10:44Z
Sweden,SE,2023-12,1.90,-1.40,2026-04-27T23:10:44Z
Sweden,SE,2024-01,3.40,+1.50,2026-04-27T23:10:44Z
Sweden,SE,2024-02,2.60,-0.80,2026-04-27T23:10:44Z
Sweden,SE,2024-03,2.30,-0.30,2026-04-27T23:10:44Z
Sweden,SE,2024-04,2.40,+0.10,2026-04-27T23:10:44Z
Sweden,SE,2024-05,2.50,+0.10,2026-04-27T23:10:44Z
Sweden,SE,2024-06,1.40,-1.10,2026-04-27T23:10:44Z
Sweden,SE,2024-07,1.70,+0.30,2026-04-27T23:10:44Z
Sweden,SE,2024-08,1.30,-0.40,2026-04-27T23:10:44Z
Sweden,SE,2024-09,1.20,-0.10,2026-04-27T23:10:44Z
Sweden,SE,2024-10,1.60,+0.40,2026-04-27T23:10:44Z
Sweden,SE,2024-11,2.00,+0.40,2026-04-27T23:10:44Z
Sweden,SE,2024-12,1.60,-0.40,2026-04-27T23:10:44Z
Sweden,SE,2025-01,2.00,+0.40,2026-04-27T23:10:44Z
Sweden,SE,2025-02,2.80,+0.80,2026-04-27T23:10:44Z
Sweden,SE,2025-03,2.10,-0.70,2026-04-27T23:10:44Z
Sweden,SE,2025-04,2.10,+0.00,2026-04-27T23:10:44Z
Sweden,SE,2025-05,2.30,+0.20,2026-04-27T23:10:44Z
Sweden,SE,2025-06,2.90,+0.60,2026-04-27T23:10:44Z
Sweden,SE,2025-07,3.10,+0.20,2026-04-27T23:10:44Z
Sweden,SE,2025-08,3.40,+0.30,2026-04-27T23:10:44Z
Sweden,SE,2025-09,3.20,-0.20,2026-04-27T23:10:44Z
Sweden,SE,2025-10,3.10,-0.10,2026-04-27T23:10:44Z
Sweden,SE,2025-11,2.20,-0.90,2026-04-27T23:10:44Z
Sweden,SE,2025-12,2.10,-0.10,2026-04-27T23:10:44Z
