filed,ticker,issuer,insider,ciks,captured_at
2026-04-27,RS,"RELIANCE, INC.",Ajemyan Arthur  (CIK 0001777542),0000861884|0001777542,2026-04-27T22:54:57Z
2026-04-27,ISRG,INTUITIVE SURGICAL INC,Curet Myriam  (CIK 0001632901),0001035267|0001632901,2026-04-27T22:54:57Z
2026-04-27,CGEN,COMPUGEN LTD,Levine Zurit  (CIK 0001972527),0001119774|0001972527,2026-04-27T22:54:57Z
2026-04-27,URI,"UNITED RENTALS, INC.",PINTOFF CRAIG ADAM  (CIK 0001664921),0001067701|0001664921,2026-04-27T22:54:57Z
2026-04-27,SYM,Symbotic Inc.,Boyd William M III  (CIK 0001932973),0001837240|0001932973,2026-04-27T22:54:57Z
2026-04-27,,AGNC Investment Corp.,Federico Peter J  (CIK 0001464523),0001423689|0001464523,2026-04-27T22:54:57Z
2026-04-27,KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",Fendley Steven S.  (CIK 0001695434),0001069258|0001695434,2026-04-27T22:54:57Z
2026-04-27,VC,VISTEON CORP,Trecker Kristin  (CIK 0001353628),0001111335|0001353628,2026-04-27T22:54:57Z
2026-04-27,TAL,TAL Education Group,LIU YACHAO  (CIK 0001972349),0001499620|0001972349,2026-04-27T22:54:57Z
2026-04-27,MPLT,"MapLight Therapeutics, Inc.",GILLIS JONATHAN  (CIK 0001709954),0001770069|0001709954,2026-04-27T22:54:57Z
2026-04-27,CRWV,"CoreWeave, Inc.",Goldberg Chen  (CIK 0002058056),0001769628|0002058056,2026-04-27T22:54:57Z
2026-04-27,NXT,Nextpower Inc.,SHUGAR DANIEL S  (CIK 0001425477),0001852131|0001425477,2026-04-27T22:54:57Z
2026-04-27,LVS,LAS VEGAS SANDS CORP,Forman Charles D  (CIK 0001305349),0001300514|0001305349,2026-04-27T22:54:57Z
2026-04-27,KALU,KAISER ALUMINUM CORP,Wilcox Brett  (CIK 0001289226),0000811596|0001289226,2026-04-27T22:54:57Z
2026-04-27,AAON,"AAON, INC.",Thompson Rebecca  (CIK 0001565768),0000824142|0001565768,2026-04-27T22:54:57Z
2026-04-27,MRDN,Meridian Holdings Inc./NV,Luxor Capital LLC  (CIK 0001852146),0001437925|0001852146,2026-04-27T22:54:57Z
2026-04-27,TAL,TAL Education Group,TIAN MI  (CIK 0001968938),0001499620|0001968938,2026-04-27T22:54:57Z
2026-04-27,,WINTRUST FINANCIAL CORP,DYKSTRA DAVID A  (CIK 0001244276),0001015328|0001244276,2026-04-27T22:54:57Z
2026-04-27,HOWL,"Werewolf Therapeutics, Inc.","MPM BioVentures 2014 (B), L.P.  (CIK 0001609493)",0001785530|0001609493,2026-04-27T22:54:57Z
2026-04-27,CRWV,"CoreWeave, Inc.",Venturo Brian M  (CIK 0002058067),0001769628|0002058067,2026-04-27T22:54:57Z
2026-04-27,TAL,TAL Education Group,WANG Edward Yi  (CIK 0002117314),0001499620|0002117314,2026-04-27T22:54:57Z
2026-04-27,PUBM,"PubMatic, Inc.",Goel Rajeev K.  (CIK 0001833511),0001422930|0001833511,2026-04-27T22:54:57Z
2026-04-27,HOWL,"Werewolf Therapeutics, Inc.",MPM ASSET MANAGEMENT LLC  (CIK 0001263048),0001785530|0001263048,2026-04-27T22:54:57Z
2026-04-27,APLD,Applied Digital Corp.,MILLER DOUGLAS S  (CIK 0001193054),0001144879|0001193054,2026-04-27T22:54:57Z
2026-04-27,RVLV,"Revolve Group, Inc.","MMMK Development, Inc.  (CIK 0001756618)",0001746618|0001756618,2026-04-27T22:54:57Z
2026-04-27,NEAR,Grayscale Near Trust (NEAR),DCG International Investments Ltd.  (CIK 0001977454),0002025000|0001977454,2026-04-27T22:54:57Z
2026-04-27,KNTK,Kinetik Holdings Inc.,ISQ Global Fund II GP LLC  (CIK 0001904934),0001692787|0001904934,2026-04-27T22:54:57Z
2026-04-27,REAL,"TheRealReal, Inc.",Leondakis Niki  (CIK 0001780506),0001573221|0001780506,2026-04-27T22:54:57Z
2026-04-27,HOWL,"Werewolf Therapeutics, Inc.","MPM BioVentures 2014, L.P.  (CIK 0001609492)",0001785530|0001609492,2026-04-27T22:54:57Z
2026-04-27,XLM,Grayscale Stellar Lumens Trust (XLM),"Digital Currency Group, Inc.  (CIK 0001652536)",0001761325|0001652536,2026-04-27T22:54:57Z
2026-04-27,FIL,Grayscale Filecoin Trust (FIL),DCG International Investments Ltd.  (CIK 0001977454),0001852039|0001977454,2026-04-27T22:54:57Z
2026-04-27,WCN,"Waste Connections, Inc.",LITTLE JAMES  (CIK 0001130416),0001318220|0001130416,2026-04-27T22:54:57Z
2026-04-27,RSI,"Rush Street Interactive, Inc.",STETZ MATTIAS  (CIK 0001835040),0001793659|0001835040,2026-04-27T22:54:57Z
2026-04-27,KALU,KAISER ALUMINUM CORP,Gheorghe Iulian  (CIK 0002104071),0000811596|0002104071,2026-04-27T22:54:57Z
2026-04-27,UVSP,UNIVEST FINANCIAL Corp,Paquin Natalye  (CIK 0001377274),0000102212|0001377274,2026-04-27T22:54:57Z
2026-04-27,GLNK,Grayscale Chainlink Trust ETF,DCG International Investments Ltd.  (CIK 0001977454),0001852025|0001977454,2026-04-27T22:54:57Z
2026-04-27,NXT,Nextpower Inc.,LEDESMA BRUCE  (CIK 0001209945),0001852131|0001209945,2026-04-27T22:54:57Z
2026-04-27,TXN,TEXAS INSTRUMENTS INC,Kane Katharine  (CIK 0002032065),0000097476|0002032065,2026-04-27T22:54:57Z
2026-04-27,,SCHWAB CHARLES CORP,Schwab Charles R.  (CIK 0000923738),0000316709|0000923738,2026-04-27T22:54:57Z
2026-04-27,MLI,MUELLER INDUSTRIES INC,Christopher Gregory L.  (CIK 0001341985),0000089439|0001341985,2026-04-27T22:54:57Z
2026-04-27,PNRG,PRIMEENERGY RESOURCES CORP,DE ROTHSCHILD ROBERT  (CIK 0001015878),0000056868|0001015878,2026-04-27T22:54:57Z
2026-04-27,RNG,"RingCentral, Inc.",Makagon Kira  (CIK 0001586648),0001384905|0001586648,2026-04-27T22:54:57Z
2026-04-27,CRWV,"CoreWeave, Inc.",McBee Brannin  (CIK 0002058103),0001769628|0002058103,2026-04-27T22:54:57Z
2026-04-27,BCAX,Bicara Therapeutics Inc.,Raben David  (CIK 0002034679),0002023658|0002034679,2026-04-27T22:54:57Z
2026-04-27,EQT,EQT Corp,BAILEY VICKY A  (CIK 0001295122),0000033213|0001295122,2026-04-27T22:54:57Z
2026-04-27,UBER,"Uber Technologies, Inc",Mahendra-Rajah Prashanth  (CIK 0001609983),0001543151|0001609983,2026-04-27T22:54:57Z
2026-04-27,ZEN,Grayscale Horizen Trust (ZEN),"Digital Currency Group, Inc.  (CIK 0001652536)",0001748945|0001652536,2026-04-27T22:54:57Z
2026-04-27,CHCO,CITY HOLDING CO,BUMGARNER DAVID L  (CIK 0001314692),0000726854|0001314692,2026-04-27T22:54:57Z
