ticker,wiki_article,latest_views,avg_30d,z_score,spike_pct
NIO,Nio_Inc.,463,317,3.07,+46
NVDA,Nvidia,5980,5040,1.72,+19
PLTR,Palantir_Technologies,2009,1580,0.84,+27
GME,GameStop,539,528,0.25,+2
MARA,Marathon_Digital_Holdings,2,2,0.12,+11
INTC,Intel,1508,1505,0.01,+0
RIVN,Rivian,1352,1361,-0.06,-1
AAPL,Apple_Inc.,6944,8844,-0.29,-21
LCID,Lucid_Group,1,1,-0.30,-26
META,Meta_Platforms,2943,3255,-0.61,-10
HOOD,Robinhood_Markets,453,548,-0.74,-17
MU,Micron_Technology,813,1050,-0.76,-23
GOOGL,Alphabet_Inc.,2497,2738,-0.81,-9
MSTR,Strategy_(company),0,1,-0.84,-100
AMD,Advanced_Micro_Devices,114,131,-0.90,-13
AI,C3.ai,7,16,-0.90,-55
NET,Cloudflare,966,1101,-0.92,-12
TSLA,"Tesla,_Inc.",3052,3402,-1.00,-10
BABA,Alibaba_Group,1111,1244,-1.08,-11
SOFI,SoFi,429,593,-1.14,-28
AMZN,Amazon_(company),4751,5639,-1.32,-16
CRWD,CrowdStrike,295,476,-1.45,-38
BIDU,Baidu,605,793,-1.48,-24
SMCI,Super_Micro_Computer,1,6,-1.58,-83
AMC,AMC_Theatres,501,607,-1.59,-17
COIN,Coinbase,397,538,-1.64,-26
SNOW,Snowflake_Inc.,341,707,-1.66,-52
MSFT,Microsoft,3911,5459,-1.76,-28
