sector,sector_score,mentions,best_recency_min
semis_ai,351.599,51,28.2
transport,222.879,33,9.2
energy,158.883,31,1381.2
financials,68.435,14,1381.2
defense,54.504,6,108.2
biotech,54.472,9,100.2
weather,11.783,1,115.0
agriculture,6.000,1,18901.2
