recall_id,classification,recall_type,firm,product,reason,recall_initiation_date,status,captured_at
D-0395-2026,Class II,drug,New Life Pharma LLC,"Tirzepatide Inj, 15mg x 4, Sterile Multi-Dose Vial, Rx only, Nomida, 25055 W Valley Pkwy, Suite 106, Olathe, KS 66061, NDC 84223-002-04.",Lack of Assurance of Sterility,2026-02-26,Ongoing,2026-04-27T23:01:55Z
D-0394-2026,Class II,drug,New Life Pharma LLC,"Tirzepatide Inj, 10mg, Sterile Multi-Dose Vial, Rx only, Nomida, 25055 W Valley Pkwy, Suite 106, Olathe, KS 66061, NDC 84223-002-03.",Lack of Assurance of Sterility,2026-02-26,Ongoing,2026-04-27T23:01:55Z
D-0392-2026,Class II,drug,New Life Pharma LLC,"Semaglutide Inj, 2mg x 10, Sterile Multi-Dose Vial, Rx only, Nomida, 25055 W Valley Pkwy, Suite 106, Olathe, KS 66061, NDC 84223-001-07.",Lack of Assurance of Sterility,2026-02-26,Ongoing,2026-04-27T23:01:55Z
H-0621-2026,Class I,food,"House Of Flavors, Inc.","House of Flavors 4893 Chicago Vanilla Naturally Flavored Ice Cream, 3 GAL tub",Undeclared egg,2026-02-26,Completed,2026-04-27T23:01:55Z
H-0572-2026,Class I,food,Bluegrass Ingredients Inc.,"Butter-Rich Powder, Net Weight 50 LB., packaged in a multiply Kraft bag with poly liner",Potential Salmonella contamination,2026-02-26,Ongoing,2026-04-27T23:01:55Z
H-0612-2026,Class II,food,"American Laboratories, LLC","Pepsin 1:3000 Powder, 50 kg, Item #FTI-G0193-00, American Laboratories 5036 South 33rd Street, Omaha, Nebraska 68107. Packed in double poly-",Potential Salmonella contamination.,2026-02-26,Ongoing,2026-04-27T23:01:55Z
H-0552-2026,Class II,food,Uncle Ray's LLC,"Lowes Foods sour cream and onion flavored potato chips, 8oz. bag, UPC 7 41643 05576 6, 9 retail units per case","Inaccurate nutritional data in Nutrition Facts including but not limited to, understated sodium content. Undeclared ingredients including bu",2026-02-25,Ongoing,2026-04-27T23:01:55Z
H-0575-2026,Class I,food,Dreamland Inc,"Dreamland's Zaatar Chickpea Salad is packaged in poly bags with a generic label which declares ""chickpeas, cumin, zataar, turmeric, dill, on","Undeclared Sesame, Soy, Wheat",2026-02-25,Terminated,2026-04-27T23:01:55Z
Z-1702-2026,Class II,device,Synthes (USA) Products LLC,2.4 VOLT TAP LOCKING SCREW TAP TO 90MM. Part Number: 03.424.124-US.,"A full lot swap between VOLT Locking Screw Tap 03.424.124 lot 68900P9 and Cortical Screw Tap 03.424.126 lot 68982P8, resulting in the bones ",2026-02-25,Ongoing,2026-04-27T23:01:55Z
Z-1642-2026,Class II,device,Olympus Corporation of the Americas,"Brand Name: Olympus PKS Cutting Forceps, 5mm 33cm  Product Name: PKS Cutting Forceps  Model/Catalog Number: 3005PK  Product Description: The",Olympus identified that the Cutting Forceps contain components for which the supplier did not adequately validate the welding process. Defec,2026-02-25,Ongoing,2026-04-27T23:01:55Z
H-0578-2026,Class II,food,BlueFrog Foods,"GREENWAY FARMS of Georgia JALAPENO DILL PICKLES CHIPS Net Wt 16 fl oz (473 ml) UPC 8 57866 00506 5 Produced by: Greenway Farms of Georgia, L",No process authority,2026-02-24,Ongoing,2026-04-27T23:01:55Z
H-0605-2026,Class II,food,Pacific Coast Fresh CO,King Harvest brand Roasted Red Pepper Hummus. Product is packed in 10 and 17 oz plastic tubs with a clear film seal and a lid.  Keep Refrige,Foreign material (aluminum pieces).,2026-02-24,Ongoing,2026-04-27T23:01:55Z
H-0608-2026,Class II,food,Pacific Coast Fresh CO,King Harvest brand Black Olive Hummus. Product is packed in 10oz plastic tubs with a clear film seal and a lid.  Keep Refrigerated - Handcra,Foreign material (aluminum pieces).,2026-02-24,Ongoing,2026-04-27T23:01:55Z
H-0581-2026,Class II,food,"SAPUTO CHEESE USA, INC","Great Value Fat Free Cottage Cheese Small Curd 0% Milkfat NET WT 24OZ UPC 0 78742 37339  3  DISTRIBUTED BY: Walmart Inc., Bentonville, AR 72",Potentially under pasteurized. The firm was notified by the California Department of Agriculture that due to the broken seal on the pasteuri,2026-02-21,Ongoing,2026-04-27T23:01:55Z
H-0582-2026,Class II,food,"SAPUTO CHEESE USA, INC","Great Value Lowfat Cottage Cheese Small Curd 2% Milkfat NET WT 24OZ UPC 0 78742 11673  0 DISTRIBUTED BY: Walmart Inc., Bentonville, AR 72716",Potentially under pasteurized. The firm was notified by the California Department of Agriculture that due to the broken seal on the pasteuri,2026-02-21,Ongoing,2026-04-27T23:01:55Z
H-0583-2026,Class II,food,"SAPUTO CHEESE USA, INC",Great Value Cottage Cheese Small Curd 4% Milkfat NET WT 16oZ UPC 0 78742 37235 8; 24oz UPC 0 78742 37236 5 & 3lb UPC 0 78742 14797 0 DISTRIB,Potentially under pasteurized. The firm was notified by the California Department of Agriculture that due to the broken seal on the pasteuri,2026-02-21,Ongoing,2026-04-27T23:01:55Z
