recall_id,classification,recall_type,firm,product,reason,recall_initiation_date,status,captured_at
H-0536-2026,Class II,food,"Valley Springs Artesian Gold, LLC","Valley Springs Steamed Distilled Water.  1 Gal Net, 128 Fl. Oz.  UPC 0 31193-00601 2.  Bottled by Valley Springs/Artesian Gold, LLC, Portage",Water was bottled under insanitary conditions.,2026-02-06,Ongoing,2026-04-27T23:01:55Z
Z-1546-2026,Class I,device,"Trividia Health, Inc.",Owner's Booklets and Instructions for Use that are used with the following blood glucose measurement devices.  Description/Item:  TRUE METRI,The system labeling (user manual and online labeling) did not provide adequate directions for lay users to act on the E-5 error code. The er,2026-02-06,Ongoing,2026-04-27T23:01:55Z
Z-1554-2026,Class II,device,International Life Sciences,Artelon  FlexBand Dynamic Matrix  Ref: 31057,Augmentation devices failed bacterial endotoxin testing.,2026-02-06,Ongoing,2026-04-27T23:01:55Z
Z-1547-2026,Class I,device,"Trividia Health, Inc.",Owner's Booklets and Instructions for Use that are used with the following blood glucose measuring devices.  Description/Item:  Walgreens TR,The system labeling (user manual and online labeling) did not provide adequate directions for lay users to act on the E-5 error code. The er,2026-02-06,Ongoing,2026-04-27T23:01:55Z
Z-1658-2026,Class II,device,BD KIESTRA LAB AUTOMATION,"BD Kiestra"" ReadA;  Catalog No.: 446948.","In certain situations, following a system reboot, one or more modules may have become unreachable via the remote connectivity interface. Whe",2026-02-06,Ongoing,2026-04-27T23:01:55Z
D-0335-2026,Class II,drug,"Fresenius Kabi Compounding, LLC","thiamine HCl, 500 mg, 500 mg added to 100 mL, 0.9% Sodium Chloride Injection, USP, Fagron Sterile Services, 20 Dan Road, Canton, MA 02021, N",Lack of Assurance of Sterility,2026-02-05,Ongoing,2026-04-27T23:01:55Z
D-0334-2026,Class II,drug,"Fresenius Kabi Compounding, LLC","ketamine HCl, 1,000 mg, 1,000 mg per 100 mL (10 mg per mL) in Sodium Chloride Injection, Fagron Sterile Services, 20 Dan Road, Canton, MA 02",Lack of Assurance of Sterility,2026-02-05,Ongoing,2026-04-27T23:01:55Z
D-0336-2026,Class II,drug,"Fresenius Kabi Compounding, LLC","vancomycin HCl, 1.5 grams, 1.5 grams added to 500 mL, 0.9% Sodium Chloride Injection, USP, Fagron Sterile Services, 20 Dan Road, Canton, MA ",Lack of Assurance of Sterility,2026-02-05,Ongoing,2026-04-27T23:01:55Z
D-0337-2026,Class II,drug,"Fresenius Kabi Compounding, LLC","vancomycin HCl, 2 grams, 2 grams added to 500 mL, 0.9% Sodium Chloride Injection, USP, Fagron Sterile Services, 20 Dan Road, Canton, MA 0202",Lack of Assurance of Sterility,2026-02-05,Ongoing,2026-04-27T23:01:55Z
D-0333-2026,Class II,drug,"Fresenius Kabi Compounding, LLC","acyclovir sodium, 200 mg, 200mg added to 100 mL, 0.9% Sodium Chloride Injection, USP, For Intravenous Use, Single-Use Bag, Fagron Sterile Se",Lack of Assurance of Sterility,2026-02-05,Ongoing,2026-04-27T23:01:55Z
