lane,code,value_usd,change_pct,direction,captured_at
Global composite,FBX01,2675,+0.85%,up,2026-04-27T22:49:24Z
Asia → North Europe (West),FBX02,436,-9.76%,down,2026-04-27T22:49:24Z
Asia → US West Coast,FBX03,3939,+3.39%,up,2026-04-27T22:49:24Z
Asia → Mediterranean,FBX04,602,+10.02%,up,2026-04-27T22:49:24Z
Asia → US East Coast,FBX11,2668,-2.73%,down,2026-04-27T22:49:24Z
North Europe → Asia,FBX12,442,+0%,up,2026-04-27T22:49:24Z
Europe → US East Coast,FBX13,3527,-3.03%,down,2026-04-27T22:49:24Z
Europe → South America,FBX14,793,+1.3%,up,2026-04-27T22:49:24Z
US East Coast → North Europe,FBX21,497,-7.17%,down,2026-04-27T22:49:24Z
US West Coast → Asia,FBX22,2329,+2.91%,up,2026-04-27T22:49:24Z
North Europe → US East Coast,FBX24,1188,+1.64%,up,2026-04-27T22:49:24Z
FBX26,FBX26,2750,-1.5%,down,2026-04-27T22:49:24Z
