bucket,rank,coin_id,symbol,name,price_usd,market_cap,volume_24h,change_24h,change_7d,captured_at
top50,47,falcon-finance,USDF,Falcon USD,0.997885,1785873009,703976,0.049,0.049,2026-04-27T23:11:23Z
top50,48,near,NEAR,NEAR Protocol,1.36,1757670686,129513904,-2.507,-0.881,2026-04-27T23:11:23Z
top50,49,okb,OKB,OKB,83.52,1753964008,15919083,-1.159,-0.062,2026-04-27T23:11:23Z
top50,50,htx-dao,HTX,HTX DAO,1.83e-06,1657082042,17328782,1.192,1.198,2026-04-27T23:11:23Z
trending,1,pudgy-penguins,PENGU,Pudgy Penguins,,,,,,2026-04-27T23:11:23Z
trending,2,bitcoin,BTC,Bitcoin,,,,,,2026-04-27T23:11:23Z
trending,3,chip-2,CHIP,USD.AI,,,,,,2026-04-27T23:11:23Z
trending,4,pi-network,PI,Pi Network,,,,,,2026-04-27T23:11:23Z
trending,5,orca,ORCA,Orca,,,,,,2026-04-27T23:11:23Z
trending,6,block-street,BSB,Block Street,,,,,,2026-04-27T23:11:23Z
trending,7,solana,SOL,Solana,,,,,,2026-04-27T23:11:23Z
trending,8,aave,AAVE,Aave,,,,,,2026-04-27T23:11:23Z
trending,9,aerodrome-finance,AERO,Aerodrome Finance,,,,,,2026-04-27T23:11:23Z
trending,10,ethereum,ETH,Ethereum,,,,,,2026-04-27T23:11:23Z
trending,11,stellar,XLM,Stellar,,,,,,2026-04-27T23:11:23Z
trending,12,terra-luna,LUNC,Terra Luna Classic,,,,,,2026-04-27T23:11:23Z
trending,13,jupiter-exchange-solana,JUP,Jupiter,,,,,,2026-04-27T23:11:23Z
trending,14,ripple,XRP,XRP,,,,,,2026-04-27T23:11:23Z
trending,15,zebec-network,ZBCN,Zebec Network,,,,,,2026-04-27T23:11:23Z
