cve_id,severity,cvss_score,published,vendor,product,ticker,is_kev,kev_added,desc,captured_at
CVE-2026-41176,CRITICAL,9.8,2026-04-23,rclone,rclone,,,,"Rclone is a command-line program to sync files and directories to and from different cloud storage providers. The RC endpoint `options/set` is exposed without `AuthRequired: true`, but it can mutate g",2026-04-27T22:49:27Z
CVE-2026-41179,CRITICAL,9.8,2026-04-23,rclone,rclone,,,,"Rclone is a command-line program to sync files and directories to and from different cloud storage providers. Starting in version 1.48.0 and prior to version 1.73.5, the RC endpoint `operations/fsinfo",2026-04-27T22:49:27Z
CVE-2026-41242,CRITICAL,9.8,2026-04-18,protobufjs_project,protobufjs,,,,"protobufjs compiles protobuf definitions into JavaScript (JS) functions. In versions prior to 8.0.1 and 7.5.5, attackers can inject arbitrary code in the ""type"" fields of protobuf definitions, which w",2026-04-27T22:49:27Z
CVE-2026-41264,CRITICAL,9.8,2026-04-23,flowiseai,flowise,,,,"Flowise is a drag & drop user interface to build a customized large language model flow. Prior to 3.1.0, the specific flaw exists within the run method of the CSV_Agents class. The issue results from ",2026-04-27T22:49:27Z
CVE-2026-41265,CRITICAL,9.8,2026-04-23,flowiseai,flowise,,,,"Flowise is a drag & drop user interface to build a customized large language model flow. Prior to 3.1.0, the specific flaw exists within the run method of the Airtable_Agents class. The issue results ",2026-04-27T22:49:27Z
CVE-2026-41268,CRITICAL,9.8,2026-04-23,flowiseai,flowise,,,,"Flowise is a drag & drop user interface to build a customized large language model flow. Prior to 3.1.0, Flowise is vulnerable to a critical unauthenticated remote command execution (RCE) vulnerabilit",2026-04-27T22:49:27Z
CVE-2026-41276,CRITICAL,9.8,2026-04-23,flowiseai,flowise,,,,"Flowise is a drag & drop user interface to build a customized large language model flow. Prior to 3.1.0, this vulnerability allows remote attackers to bypass authentication on affected installations o",2026-04-27T22:49:27Z
CVE-2026-41304,CRITICAL,9.8,2026-04-22,wwbn,avideo,,,,"WWBN AVideo is an open source video platform. In versions 29.0 and below, the `cloneServer.json.php` endpoint in the CloneSite plugin constructs shell commands using user-controlled input (`url` param",2026-04-27T22:49:27Z
CVE-2026-41460,CRITICAL,9.8,2026-04-23,socialengine,socialengine,,,,SocialEngine versions 7.8.0 and prior contain a SQL injection vulnerability in the /activity/index/get-memberall endpoint where user-supplied input passed via the text parameter is not sanitized befor,2026-04-27T22:49:27Z
CVE-2026-41462,CRITICAL,9.8,2026-04-27,,,,,,ProjeQtor versions 7.0 through 12.4.3 contain an unauthenticated SQL injection vulnerability in the login functionality where the login variable is directly concatenated into a SQL query without param,2026-04-27T22:49:27Z
CVE-2026-4880,CRITICAL,9.8,2026-04-16,,,,,,"The Barcode Scanner (+Mobile App) – Inventory manager, Order fulfillment system, POS (Point of Sale) plugin for WordPress is vulnerable to privilege escalation via insecure token-based authentication ",2026-04-27T22:49:27Z
CVE-2026-5963,CRITICAL,9.8,2026-04-20,,,,,,"EasyFlow .NET developed by Digiwin has a SQL Injection vulnerability, allowing unauthenticated remote attackers to inject arbitrary SQL commands to read, modify, and delete database contents.",2026-04-27T22:49:27Z
CVE-2026-5964,CRITICAL,9.8,2026-04-20,,,,,,"EasyFlow .NET developed by Digiwin has a SQL Injection vulnerability, allowing unauthenticated remote attackers to inject arbitrary SQL commands to read, modify, and delete database contents.",2026-04-27T22:49:27Z
CVE-2026-5965,CRITICAL,9.8,2026-04-21,,,,,,"NewSoftOA developed by NewSoft has an OS Command Injection vulnerability, allowing unauthenticated local attackers to inject arbitrary OS commands and execute them on the server.",2026-04-27T22:49:27Z
CVE-2026-6235,CRITICAL,9.8,2026-04-22,,,,,,"The Sendmachine for WordPress plugin for WordPress is vulnerable to authorization bypass via the 'manage_admin_requests' function in all versions up to, and including, 1.0.20. This is due to the plugi",2026-04-27T22:49:27Z
CVE-2026-6349,CRITICAL,9.8,2026-04-16,,,,,,"The 
iSherlock developed by HGiga  has an OS Command Injection vulnerability, allowing unauthenticated local attackers to inject arbitrary OS commands and execute them on the server.",2026-04-27T22:49:27Z
CVE-2026-6350,CRITICAL,9.8,2026-04-16,,,,,,"MailGates/MailAudit developed by Openfind has a Stack-based Buffer Overflow vulnerability, allowing unauthenticated remote attackers to control the program's execution flow and execute arbitrary code.",2026-04-27T22:49:27Z
CVE-2026-6885,CRITICAL,9.8,2026-04-23,,,,,,"Borg SPM 2007 (Sales Ended in 2008) developed by BorG Technology Corporation has an Arbitrary File Upload vulnerability, allowing unauthenticated remote attackers to upload and execute web shell backd",2026-04-27T22:49:27Z
CVE-2026-6886,CRITICAL,9.8,2026-04-23,,,,,,"Borg SPM 2007 (Sales Ended in 2008) developed by BorG Technology Corporation has a Authentication Bypass vulnerability, allowing unauthenticated remote attackers to log into the system as any user.",2026-04-27T22:49:27Z
CVE-2026-6887,CRITICAL,9.8,2026-04-23,,,,,,"Borg SPM 2007 (Sales Ended in 2008) developed by BorG Technology Corporation has a SQL Injection vulnerability, allowing unauthenticated remote attackers to inject arbitrary SQL commands to read, modi",2026-04-27T22:49:27Z
CVE-2026-7037,CRITICAL,9.8,2026-04-26,,,,,,A security flaw has been discovered in Totolink A8000RU 7.1cu.643_b20200521. This issue affects the function setVpnPassCfg of the file /cgi-bin/cstecgi.cgi of the component CGI Handler. The manipulati,2026-04-27T22:49:27Z
CVE-2026-7121,CRITICAL,9.8,2026-04-27,,,,,,A flaw has been found in Totolink A8000RU 7.1cu.643_b20200521. This affects the function setWizardCfg of the file /cgi-bin/cstecgi.cgi of the component CGI Handler. This manipulation of the argument w,2026-04-27T22:49:27Z
CVE-2026-7122,CRITICAL,9.8,2026-04-27,,,,,,A vulnerability has been found in Totolink A8000RU 7.1cu.643_b20200521. This impacts the function setUPnPCfg of the file /cgi-bin/cstecgi.cgi of the component CGI Handler. Such manipulation of the arg,2026-04-27T22:49:27Z
CVE-2026-7123,CRITICAL,9.8,2026-04-27,,,,,,A vulnerability was found in Totolink A8000RU 7.1cu.643_b20200521. Affected is the function setIptvCfg of the file /cgi-bin/cstecgi.cgi of the component CGI Handler. Performing a manipulation of the a,2026-04-27T22:49:27Z
CVE-2026-7124,CRITICAL,9.8,2026-04-27,,,,,,A vulnerability was determined in Totolink A8000RU 7.1cu.643_b20200521. Affected by this vulnerability is the function setIpv6LanCfg of the file /cgi-bin/cstecgi.cgi of the component CGI Handler. Exec,2026-04-27T22:49:27Z
CVE-2026-7125,CRITICAL,9.8,2026-04-27,,,,,,A vulnerability was identified in Totolink A8000RU 7.1cu.643_b20200521. Affected by this issue is the function setWiFiEasyCfg of the file /cgi-bin/cstecgi.cgi of the component CGI Handler. The manipul,2026-04-27T22:49:27Z
CVE-2026-7136,CRITICAL,9.8,2026-04-27,,,,,,A weakness has been identified in Totolink A8000RU 7.1cu.643_b20200521. Affected by this issue is the function setDmzCfg of the file /cgi-bin/cstecgi.cgi of the component CGI Handler. Executing a mani,2026-04-27T22:49:27Z
CVE-2026-7137,CRITICAL,9.8,2026-04-27,,,,,,A security vulnerability has been detected in Totolink A8000RU 7.1cu.643_b20200521. This affects the function setStorageCfg of the file /cgi-bin/cstecgi.cgi of the component CGI Handler. The manipulat,2026-04-27T22:49:27Z
CVE-2026-7138,CRITICAL,9.8,2026-04-27,,,,,,A vulnerability was detected in Totolink A8000RU 7.1cu.643_b20200521. This vulnerability affects the function setNtpCfg of the file /cgi-bin/cstecgi.cgi of the component CGI Handler. The manipulation ,2026-04-27T22:49:27Z
CVE-2026-7139,CRITICAL,9.8,2026-04-27,,,,,,A flaw has been found in Totolink A8000RU 7.1cu.643_b20200521. This issue affects the function setWiFiAclRules of the file /cgi-bin/cstecgi.cgi of the component CGI Handler. This manipulation of the a,2026-04-27T22:49:27Z
CVE-2026-7140,CRITICAL,9.8,2026-04-27,,,,,,A vulnerability has been found in Totolink A8000RU 7.1cu.643_b20200521. Impacted is the function CsteSystem of the file /cgi-bin/cstecgi.cgi of the component CGI Handler. Such manipulation of the argu,2026-04-27T22:49:27Z
CVE-2026-7152,CRITICAL,9.8,2026-04-27,,,,,,A vulnerability was identified in Totolink A8000RU 7.1cu.643_b20200521. The affected element is the function setTelnetCfg of the file /cgi-bin/cstecgi.cgi of the component CGI Handler. Such manipulati,2026-04-27T22:49:27Z
CVE-2026-7153,CRITICAL,9.8,2026-04-27,,,,,,A security flaw has been discovered in Totolink A8000RU 7.1cu.643_b20200521. The impacted element is the function setMiniuiHomeInfoShow of the file /cgi-bin/cstecgi.cgi of the component CGI Handler. P,2026-04-27T22:49:27Z
CVE-2026-7154,CRITICAL,9.8,2026-04-27,,,,,,A weakness has been identified in Totolink A8000RU 7.1cu.643_b20200521. This affects the function setAdvancedInfoShow of the file /cgi-bin/cstecgi.cgi of the component CGI Handler. Executing a manipul,2026-04-27T22:49:27Z
CVE-2026-7155,CRITICAL,9.8,2026-04-27,,,,,,A security vulnerability has been detected in Totolink A8000RU 7.1cu.643_b20200521. This impacts the function setLoginPasswordCfg of the file /cgi-bin/cstecgi.cgi of the component CGI Handler. The man,2026-04-27T22:49:27Z
CVE-2026-7156,CRITICAL,9.8,2026-04-27,,,,,,A vulnerability was detected in Totolink A8000RU 7.1cu.643_b20200521. Affected is the function CsteSystem of the file /cgi-bin/cstecgi.cgi of the component CGI Handler. The manipulation of the argumen,2026-04-27T22:49:27Z
CVE-2026-24303,CRITICAL,9.6,2026-04-23,,,,,,Improper access control in Microsoft Partner Center allows an authorized attacker to elevate privileges over a network.,2026-04-27T22:49:27Z
CVE-2026-27303,CRITICAL,9.6,2026-04-14,adobe,connect,ADBE,,,"Adobe Connect versions 2025.3, 12.10 and earlier are affected by a Deserialization of Untrusted Data vulnerability that could result in arbitrary code execution in the context of the current user. Exp",2026-04-27T22:49:27Z
CVE-2026-27304,CRITICAL,9.3,2026-04-14,adobe,coldfusion,ADBE,,,"ColdFusion versions 2023.18, 2025.6 and earlier are affected by an Improper Input Validation vulnerability that could result in arbitrary code execution in the context of the current user. Exploitatio",2026-04-27T22:49:27Z
CVE-2026-32210,CRITICAL,9.3,2026-04-23,,,,,,Server-side request forgery (ssrf) in Microsoft Dynamics 365 (Online) allows an unauthorized attacker to perform spoofing over a network.,2026-04-27T22:49:27Z
CVE-2026-33102,CRITICAL,9.3,2026-04-23,,,,,,Url redirection to untrusted site ('open redirect') in M365 Copilot allows an unauthorized attacker to elevate privileges over a network.,2026-04-27T22:49:27Z
CVE-2026-34615,CRITICAL,9.3,2026-04-14,adobe,connect,ADBE,,,"Adobe Connect versions 2025.3, 12.10 and earlier are affected by a Deserialization of Untrusted Data vulnerability that could result in arbitrary code execution in the context of the current user. Exp",2026-04-27T22:49:27Z
CVE-2026-33432,CRITICAL,9.1,2026-04-20,roxy-wi,roxy-wi,,,,"Roxy-WI is a web interface for managing Haproxy, Nginx, Apache and Keepalived servers. In versions up to and including 8.2.8.2, when LDAP authentication is enabled, Roxy-WI constructs an LDAP search f",2026-04-27T22:49:27Z
CVE-2026-33516,CRITICAL,9.1,2026-04-17,neutrinolabs,xrdp,,,,xrdp is an open source RDP server. Versions through 0.10.5 contain an out-of-bounds read vulnerability during the RDP capability exchange phase. The issue occurs when memory is accessed before validat,2026-04-27T22:49:27Z
CVE-2026-33689,CRITICAL,9.1,2026-04-17,neutrinolabs,xrdp,,,,"xrdp is an open source RDP server. Versions through 0.10.5 have an out-of-bounds read vulnerability in the pre-authentication RDP message parsing logic. A remote, unauthenticated attacker can trigger ",2026-04-27T22:49:27Z
CVE-2026-35033,CRITICAL,9.1,2026-04-14,jellyfin,jellyfin,,,,Jellyfin is an open source self hosted media server. Versions prior to 10.11.7 contain an unauthenticated arbitrary file read vulnerability via ffmpeg argument injection through the StreamOptions quer,2026-04-27T22:49:27Z
CVE-2026-40372,CRITICAL,9.1,2026-04-21,microsoft,asp.net_core,MSFT,,,Improper verification of cryptographic signature in ASP.NET Core allows an unauthorized attacker to elevate privileges over a network.,2026-04-27T22:49:27Z
CVE-2026-40496,CRITICAL,9.1,2026-04-21,freescout,freescout,,,,"FreeScout is a free self-hosted help desk and shared mailbox. Prior to version 1.8.213, attachment download tokens are generated using a weak and predictable formula: `md5(APP_KEY + attachment_id + si",2026-04-27T22:49:27Z
CVE-2026-4119,CRITICAL,9.1,2026-04-22,,,,,,The Create DB Tables plugin for WordPress is vulnerable to authorization bypass in all versions up to and including 1.2.1. The plugin registers admin_post action hooks for creating tables (admin_post_,2026-04-27T22:49:27Z
CVE-2026-4365,CRITICAL,9.1,2026-04-14,,,,,,"The LearnPress plugin for WordPress is vulnerable to unauthorized data deletion due to a missing capability check on the `delete_question_answer()` function in all versions up to, and including, 4.3.2",2026-04-27T22:49:27Z
CVE-2026-6257,CRITICAL,9.1,2026-04-20,,,,,,Vvveb CMS v1.0.8 contains a remote code execution vulnerability in its media management functionality where a missing return statement in the file rename handler allows authenticated attackers to rena,2026-04-27T22:49:27Z
CVE-2026-6388,CRITICAL,9.1,2026-04-15,,,,,,"A flaw was found in ArgoCD Image Updater. This vulnerability allows an attacker, with permissions to create or modify an ImageUpdater resource in a multi-tenant environment, to bypass namespace bounda",2026-04-27T22:49:27Z
CVE-2026-6644,CRITICAL,9.1,2026-04-20,asustor,data_master,,,,A command injection vulnerability was found in the PPTP VPN Clients on the ADM. The vulnerability allows an administrative user to break out of the restricted web environment and execute arbitrary cod,2026-04-27T22:49:27Z
CVE-2026-24467,CRITICAL,9.0,2026-04-20,filigran,openaev,,,,"OpenAEV is an open source platform allowing organizations to plan, schedule and conduct cyber adversary simulation campaign and tests. Starting in version 1.0.0 and prior to version 2.0.13, OpenAEV's ",2026-04-27T22:49:27Z
CVE-2026-40487,HIGH,8.9,2026-04-18,gitroom,postiz,,,,"Postiz is an AI social media scheduling tool. Prior to version 2.21.6, a file upload validation bypass allows any authenticated user to upload arbitrary HTML, SVG, or other executable file types to th",2026-04-27T22:49:27Z
CVE-2023-3634,HIGH,8.8,2026-04-16,,,,,,"In products of the MSE6 product-family by Festo a remote authenticated, low privileged attacker could use functions of undocumented test mode which could lead to a complete loss of confidentiality, in",2026-04-27T22:49:27Z
CVE-2025-14868,HIGH,8.8,2026-04-16,,,,,,"The Career Section plugin for WordPress is vulnerable to Cross-Site Request Forgery leading to Path Traversal and Arbitrary File Deletion in all versions up to, and including, 1.6. This is due to miss",2026-04-27T22:49:27Z
CVE-2026-1620,HIGH,8.8,2026-04-16,,,,,,"The Livemesh Addons for Elementor plugin for WordPress is vulnerable to Local File Inclusion in all versions up to, and including, 9.0. This is due to insufficient sanitization of the template name pa",2026-04-27T22:49:27Z
CVE-2026-25654,HIGH,8.8,2026-04-14,,,,,,A vulnerability has been identified in SINEC NMS (All versions < V4.0 SP3). Affected products do not properly validate user authorization when processing password reset requests. This could allow an a,2026-04-27T22:49:27Z
CVE-2026-26167,HIGH,8.8,2026-04-14,microsoft,windows_10_1607,MSFT,,,Concurrent execution using shared resource with improper synchronization ('race condition') in Windows Push Notifications allows an authorized attacker to elevate privileges locally.,2026-04-27T22:49:27Z
CVE-2026-27668,HIGH,8.8,2026-04-14,,,,,,A vulnerability has been identified in RUGGEDCOM CROSSBOW Secure Access Manager Primary (SAM-P) (All versions < V5.8). User Administrators are allowed to administer groups they belong to. This could a,2026-04-27T22:49:27Z
CVE-2026-32171,HIGH,8.8,2026-04-14,microsoft,azure_logic_apps,MSFT,,,Insufficiently protected credentials in Azure Logic Apps allows an authorized attacker to elevate privileges over a network.,2026-04-27T22:49:27Z
CVE-2026-33083,HIGH,8.8,2026-04-16,dataease,dataease,,,,DataEase is an open-source data visualization and analytics platform. Versions 2.10.20 and below contain a SQL injection vulnerability in the orderDirection parameter used in dataset-related endpoints,2026-04-27T22:49:27Z
CVE-2026-33084,HIGH,8.8,2026-04-16,dataease,dataease,,,,DataEase is an open-source data visualization and analytics platform. Versions 2.10.20 and below contain a SQL injection vulnerability in the sort parameter of the /de2api/datasetData/enumValueObj end,2026-04-27T22:49:27Z
CVE-2026-33120,HIGH,8.8,2026-04-14,,,,,,Untrusted pointer dereference in SQL Server allows an authorized attacker to execute code over a network.,2026-04-27T22:49:27Z
CVE-2026-33121,HIGH,8.8,2026-04-16,dataease,dataease,,,,DataEase is an open-source data visualization and analytics platform. Versions 2.10.20 and below contain a SQL injection vulnerability in the API datasource saving process. The deTableName field from ,2026-04-27T22:49:27Z
CVE-2026-33207,HIGH,8.8,2026-04-16,dataease,dataease,,,,DataEase is an open-source data visualization and analytics platform. Versions 2.10.20 and below contain a SQL injection vulnerability in the /datasource/getTableField endpoint. The getTableFiledSql m,2026-04-27T22:49:27Z
CVE-2026-33208,HIGH,8.8,2026-04-24,roxy-wi,roxy-wi,,,,"Roxy-WI is a web interface for managing Haproxy, Nginx, Apache and Keepalived servers. Prior to version 8.2.6.4, the /config/ < service > /find-in-config endpoint in Roxy-WI fails to sanitize the user",2026-04-27T22:49:27Z
CVE-2026-34427,HIGH,8.8,2026-04-20,,,,,,Vvveb prior to 1.0.8.1 contains a privilege escalation vulnerability in the admin user profile save endpoint that allows authenticated users to modify privileged fields on their own profile. Attackers,2026-04-27T22:49:27Z
CVE-2026-3464,HIGH,8.8,2026-04-17,,,,,,"The WP Customer Area plugin for WordPress is vulnerable to arbitrary file read and deletion due to insufficient file path validation in the 'ajax_attach_file' function in all versions up to, and inclu",2026-04-27T22:49:27Z
CVE-2026-35512,HIGH,8.8,2026-04-17,neutrinolabs,xrdp,,,,xrdp is an open source RDP server. Versions through 0.10.5 have a heap-based buffer overflow in the EGFX (graphics dynamic virtual channel) implementation due to insufficient validation of client-cont,2026-04-27T22:49:27Z
CVE-2026-35587,HIGH,8.8,2026-04-21,nicolargo,glances,,,,"Glances is an open-source system cross-platform monitoring tool. Prior to version 4.5.4, a Server-Side Request Forgery (SSRF) vulnerability exists in the Glances IP plugin due to improper validation o",2026-04-27T22:49:27Z
CVE-2026-3614,HIGH,8.8,2026-04-16,,,,,,"The AcyMailing plugin for WordPress is vulnerable to privilege escalation in all versions From 9.11.0 up to, and including, 10.8.1 due to a missing capability check on the `wp_ajax_acymailing_router` ",2026-04-27T22:49:27Z
CVE-2026-39866,HIGH,8.8,2026-04-21,lawnchair,lawnchair,,,,"Lawnchair is a free, open-source home app for Android. Prior to commit fcba413f55dd47f8a3921445252849126c6266b2, command injection in release_update.yml workflow dispatch input allows arbitrary code e",2026-04-27T22:49:27Z
CVE-2026-40459,HIGH,8.8,2026-04-17,pac4j,pac4j,,,,"PAC4J is vulnerable to LDAP Injection in multiple methods. A low-privileged remote attacker can inject crafted LDAP syntax into ID-based search parameters, potentially resulting in unauthorized LDAP q",2026-04-27T22:49:27Z
CVE-2026-40488,HIGH,8.8,2026-04-20,openmage,magento,,,,"Magento Long Term Support (LTS) is an unofficial, community-driven project provides an alternative to the Magento Community Edition e-commerce platform with a high level of backward compatibility. Pri",2026-04-27T22:49:27Z
CVE-2026-40502,HIGH,8.8,2026-04-16,hkuds,openharness,,,,OpenHarness prior to commit dd1d235 contains a command injection vulnerability that allows remote gateway users with chat access to invoke sensitive administrative commands by exploiting insufficient ,2026-04-27T22:49:27Z
