cve_id,severity,cvss_score,published,vendor,product,ticker,is_kev,kev_added,desc,captured_at
CVE-2026-33819,CRITICAL,10.0,2026-04-23,,,,,,Deserialization of untrusted data in Microsoft Bing allows an unauthorized attacker to execute code over a network.,2026-04-27T22:49:27Z
CVE-2026-35431,CRITICAL,10.0,2026-04-23,,,,,,Server-side request forgery (ssrf) in Microsoft Entra ID Entitlement Management allows an unauthorized attacker to perform spoofing over a network.,2026-04-27T22:49:27Z
CVE-2026-39861,CRITICAL,10.0,2026-04-21,anthropic,claude_code,,,,"Claude Code is an agentic coding tool. Prior to version 2.1.64, Claude Code's sandbox did not prevent sandboxed processes from creating symlinks pointing to locations outside the workspace. When Claud",2026-04-27T22:49:27Z
CVE-2026-20147,CRITICAL,9.9,2026-04-15,,,,,,"A vulnerability in Cisco ISE and Cisco ISE-PIC could allow an authenticated, remote attacker to execute arbitrary commands on the underlying operating system of an affected device. To exploit this vul",2026-04-27T22:49:27Z
CVE-2026-20180,CRITICAL,9.9,2026-04-15,,,,,,"A vulnerability in Cisco Identity Services Engine (ISE) could allow an authenticated, remote attacker to execute arbitrary commands on the underlying operating system of an affected device. To exploit",2026-04-27T22:49:27Z
CVE-2026-20186,CRITICAL,9.9,2026-04-15,,,,,,"A vulnerability in Cisco Identity Services Engine (ISE) could allow an authenticated, remote attacker to execute arbitrary commands on the underlying operating system of an affected device. To exploit",2026-04-27T22:49:27Z
CVE-2026-21515,CRITICAL,9.9,2026-04-24,microsoft,azure_iot_central,MSFT,,,Exposure of sensitive information to an unauthorized actor in Azure IOT Central allows an authorized attacker to elevate privileges over a network.,2026-04-27T22:49:27Z
CVE-2026-27681,CRITICAL,9.9,2026-04-14,,,,,,"Due to insufficient authorization checks in SAP Business Planning and Consolidation and SAP Business Warehouse, an authenticated user can execute crafted SQL statements to read, modify, and delete dat",2026-04-27T22:49:27Z
CVE-2026-35031,CRITICAL,9.9,2026-04-14,jellyfin,jellyfin,,,,"Jellyfin is an open source self hosted media server. Versions prior to 10.11.7 contain a vulnerability chain in the subtitle upload endpoint (POST /Videos/{itemId}/Subtitles), where the Format field i",2026-04-27T22:49:27Z
CVE-2026-41329,CRITICAL,9.9,2026-04-21,openclaw,openclaw,,,,OpenClaw before 2026.3.31 contains a sandbox bypass vulnerability allowing attackers to escalate privileges via heartbeat context inheritance and senderIsOwner parameter manipulation. Attackers can ex,2026-04-27T22:49:27Z
CVE-2026-6643,CRITICAL,9.9,2026-04-20,asustor,data_master,,,,A stack-based buffer overflow vulnerability was found in the VPN Clients on the ADM. The issue stems from the use of unbounded sscanf() and passing user-controlled data directly to printf(). Due to th,2026-04-27T22:49:27Z
CVE-2018-25270,CRITICAL,9.8,2026-04-22,thinkphp,thinkphp,,,,ThinkPHP 5.0.23 contains a remote code execution vulnerability that allows unauthenticated attackers to execute arbitrary PHP code by invoking functions through the routing parameter. Attackers can cr,2026-04-27T22:49:27Z
CVE-2018-25272,CRITICAL,9.8,2026-04-22,,,,,,ELBA5 5.8.0 contains a remote code execution vulnerability that allows attackers to obtain database credentials and execute arbitrary commands with SYSTEM level permissions. Attackers can connect to t,2026-04-27T22:49:27Z
CVE-2026-1555,CRITICAL,9.8,2026-04-15,,,,,,"The WebStack theme for WordPress is vulnerable to arbitrary file uploads due to missing file type validation in the io_img_upload() function in all versions up to, and including, 1.2024. This makes it",2026-04-27T22:49:27Z
CVE-2026-20184,CRITICAL,9.8,2026-04-15,,,,,,"A vulnerability in the integration of single sign-on (SSO) with Control Hub in Cisco Webex Services could have allowed an unauthenticated, remote attacker to impersonate any user within the service.
",2026-04-27T22:49:27Z
CVE-2026-23751,CRITICAL,9.8,2026-04-23,,,,,,"Kofax Capture, now referred to as Tungsten Capture, version 6.0.0.0 (other versions may be affected) exposes a deprecated .NET Remoting HTTP channel on port 2424 via the Ascent Capture Service that is",2026-04-27T22:49:27Z
CVE-2026-25660,CRITICAL,9.8,2026-04-24,ericsson,codechecker,,,,"CodeChecker is an analyzer tooling, defect database and viewer extension for the Clang Static Analyzer and Clang Tidy. 
Authentication bypass occurs when the URL ends with Authentication with certain ",2026-04-27T22:49:27Z
CVE-2026-26210,CRITICAL,9.8,2026-04-23,,,,,,KTransformers through 0.5.3 contains an unsafe deserialization vulnerability in the balance_serve backend mode where the scheduler RPC server binds a ZMQ ROUTER socket to all interfaces with no authen,2026-04-27T22:49:27Z
CVE-2026-32311,CRITICAL,9.8,2026-04-20,reconurge,flowsint,,,,"Flowsint is an open-source OSINT graph exploration tool designed for cybersecurity investigation, transparency, and verification. Flowsint allows a user to create investigations, which are used to man",2026-04-27T22:49:27Z
CVE-2026-33076,CRITICAL,9.8,2026-04-24,roxy-wi,roxy-wi,,,,"Roxy-WI is a web interface for managing Haproxy, Nginx, Apache and Keepalived servers. Prior to version 8.2.6.4, the haproxy_section_save interface presents a vulnerability that could lead to remote c",2026-04-27T22:49:27Z
CVE-2026-33078,CRITICAL,9.8,2026-04-24,roxy-wi,roxy-wi,,,,"Roxy-WI is a web interface for managing Haproxy, Nginx, Apache and Keepalived servers. Versions prior to 8.2.6.4 have a SQL injection vulnerability in the haproxy_section_save function in app/routes/c",2026-04-27T22:49:27Z
CVE-2026-33082,CRITICAL,9.8,2026-04-16,dataease,dataease,,,,DataEase is an open source data visualization analysis tool. Versions 2.10.20 and below contain a SQL injection vulnerability in the dataset export functionality. The expressionTree parameter in POST ,2026-04-27T22:49:27Z
CVE-2026-33122,CRITICAL,9.8,2026-04-16,dataease,dataease,,,,DataEase is an open-source data visualization and analytics platform. Versions 2.10.20 and below contain a SQL injection vulnerability in the API datasource update process. When a new table definition,2026-04-27T22:49:27Z
CVE-2026-33518,CRITICAL,9.8,2026-04-21,,,,,,An incorrect privilege assignment vulnerability exists in Esri Portal for ArcGIS 11.5 in Windows and Linux that allows highly privileged users to create developer credentials that may grant more privi,2026-04-27T22:49:27Z
CVE-2026-33519,CRITICAL,9.8,2026-04-21,,,,,,"An incorrect authorization vulnerability exists in Esri Portal for ArcGIS 11.4, 11.5 and 12.0 on Windows, Linux and Kubernetes that did not correctly check permissions assigned to developer credential",2026-04-27T22:49:27Z
CVE-2026-34018,CRITICAL,9.8,2026-04-17,cubecart,cubecart,,,,"An SQL injection vulnerability exists in CubeCart prior to 6.6.0, which may allow an attacker to execute an arbitrary SQL statement on the product.",2026-04-27T22:49:27Z
CVE-2026-3461,CRITICAL,9.8,2026-04-15,,,,,,"The Visa Acceptance Solutions plugin for WordPress is vulnerable to Authentication Bypass in all versions up to, and including, 2.1.0. This is due to the `express_pay_product_page_pay_for_order()` fun",2026-04-27T22:49:27Z
CVE-2026-3596,CRITICAL,9.8,2026-04-16,,,,,,"The Riaxe Product Customizer plugin for WordPress is vulnerable to Privilege Escalation in all versions up to, and including, 2.1.2. The plugin registers an unauthenticated AJAX action ('wp_ajax_nopri",2026-04-27T22:49:27Z
CVE-2026-3844,CRITICAL,9.8,2026-04-23,,,,,,"The Breeze Cache plugin for WordPress is vulnerable to arbitrary file uploads due to missing file type validation in the 'fetch_gravatar_from_remote' function in all versions up to, and including, 2.4",2026-04-27T22:49:27Z
CVE-2026-39918,CRITICAL,9.8,2026-04-20,,,,,,Vvveb prior to 1.0.8.1 contains a code injection vulnerability in the installation endpoint where the subdir POST parameter is written unsanitized into the env.php configuration file without escaping ,2026-04-27T22:49:27Z
CVE-2026-39920,CRITICAL,9.8,2026-04-24,,,,,,BridgeHead FileStore versions prior to 24A (released in early 2024) expose the Apache Axis2 administration module on network-accessible endpoints with default credentials that allows unauthenticated r,2026-04-27T22:49:27Z
CVE-2026-40315,CRITICAL,9.8,2026-04-14,praison,praisonai,,,,"PraisonAI is a multi-agent teams system. Prior to 4.5.133, there is an SQL identifier injection vulnerability in SQLiteConversationStore where the table_prefix configuration value is directly concaten",2026-04-27T22:49:27Z
CVE-2026-40498,CRITICAL,9.8,2026-04-21,freescout,freescout,,,,"FreeScout is a free self-hosted help desk and shared mailbox. Prior to version 1.8.213, an unauthenticated attacker can access diagnostic and system tools that should be restricted to administrators. ",2026-04-27T22:49:27Z
CVE-2026-40504,CRITICAL,9.8,2026-04-16,,,,,,Creolabs Gravity before 0.9.6 contains a heap buffer overflow vulnerability in the gravity_vm_exec function that allows attackers to write out-of-bounds memory by crafting scripts with many string lit,2026-04-27T22:49:27Z
CVE-2026-40892,CRITICAL,9.8,2026-04-21,pjsip,pjsip,,,,"PJSIP is a free and open source multimedia communication library written in C. In 2.16 and earlier, a stack buffer overflow exists in pjsip_auth_create_digest2() in PJSIP when using pre-computed diges",2026-04-27T22:49:27Z
