date,fsi,credit,equity_val,safe_assets,funding,volatility,us,oae,em,z5,z20,captured_at
2025-04-25,-0.474,-0.612,-0.129,-0.249,-0.058,+0.575,-0.353,+0.049,-0.170,,,2026-04-27T22:48:34Z
2025-04-28,-0.412,-0.620,-0.135,-0.243,-0.051,+0.637,-0.312,+0.067,-0.166,,,2026-04-27T22:48:34Z
2025-04-29,-0.441,-0.602,-0.142,-0.245,-0.045,+0.592,-0.331,+0.050,-0.161,,,2026-04-27T22:48:34Z
2025-04-30,-0.381,-0.522,-0.148,-0.250,-0.035,+0.574,-0.272,+0.047,-0.156,,,2026-04-27T22:48:34Z
2025-05-01,-0.515,-0.520,-0.145,-0.259,-0.093,+0.502,-0.382,+0.032,-0.165,-1.50,,2026-04-27T22:48:34Z
2025-05-02,-0.688,-0.593,-0.174,-0.254,-0.086,+0.419,-0.469,-0.031,-0.188,-1.83,,2026-04-27T22:48:34Z
2025-05-05,-0.629,-0.595,-0.164,-0.249,-0.102,+0.481,-0.426,-0.016,-0.188,-0.86,,2026-04-27T22:48:34Z
2025-05-06,-0.530,-0.585,-0.160,-0.243,-0.096,+0.554,-0.362,+0.012,-0.180,+0.18,,2026-04-27T22:48:34Z
2025-05-07,-0.501,-0.598,-0.162,-0.251,-0.096,+0.607,-0.426,+0.109,-0.184,+0.98,,2026-04-27T22:48:34Z
2025-05-08,-0.828,-0.679,-0.159,-0.258,-0.121,+0.388,-0.549,-0.070,-0.208,-1.64,,2026-04-27T22:48:34Z
2025-05-09,-0.991,-0.682,-0.165,-0.254,-0.113,+0.223,-0.571,-0.210,-0.210,-1.58,,2026-04-27T22:48:34Z
2025-05-12,-1.544,-0.810,-0.183,-0.263,-0.159,-0.129,-0.913,-0.387,-0.245,-1.75,,2026-04-27T22:48:34Z
2025-05-13,-1.731,-0.875,-0.194,-0.258,-0.157,-0.248,-0.934,-0.551,-0.246,-1.34,,2026-04-27T22:48:34Z
2025-05-14,-1.679,-0.865,-0.203,-0.253,-0.154,-0.204,-0.909,-0.509,-0.262,-0.87,,2026-04-27T22:48:34Z
2025-05-15,-1.606,-0.812,-0.205,-0.253,-0.143,-0.193,-0.904,-0.463,-0.239,-0.36,,2026-04-27T22:48:34Z
2025-05-16,-1.644,-0.818,-0.218,-0.254,-0.135,-0.219,-0.934,-0.460,-0.250,-0.05,,2026-04-27T22:48:34Z
