date,fsi,credit,equity_val,safe_assets,funding,volatility,us,oae,em,z5,z20,captured_at
2025-05-19,-1.512,-0.813,-0.223,-0.251,-0.125,-0.100,-0.871,-0.400,-0.240,+1.66,,2026-04-27T22:48:34Z
2025-05-20,-1.557,-0.848,-0.224,-0.249,-0.120,-0.115,-0.877,-0.430,-0.250,+0.71,,2026-04-27T22:48:34Z
2025-05-21,-1.376,-0.838,-0.219,-0.243,-0.119,+0.043,-0.712,-0.397,-0.267,+1.75,,2026-04-27T22:48:34Z
2025-05-22,-1.226,-0.805,-0.209,-0.245,-0.083,+0.116,-0.694,-0.288,-0.244,+1.61,-0.42,2026-04-27T22:48:34Z
2025-05-23,-0.965,-0.771,-0.210,-0.242,-0.077,+0.335,-0.569,-0.156,-0.241,+1.69,+0.15,2026-04-27T22:48:34Z
2025-05-26,-1.126,-0.765,-0.227,-0.243,-0.077,+0.186,-0.636,-0.237,-0.253,+0.61,-0.11,2026-04-27T22:48:34Z
2025-05-27,-1.339,-0.801,-0.237,-0.250,-0.067,+0.016,-0.756,-0.332,-0.250,-0.89,-0.49,2026-04-27T22:48:34Z
2025-05-28,-1.433,-0.822,-0.228,-0.252,-0.110,-0.020,-0.797,-0.383,-0.253,-1.32,-0.62,2026-04-27T22:48:34Z
2025-05-29,-1.436,-0.827,-0.241,-0.251,-0.103,-0.013,-0.781,-0.403,-0.252,-0.95,-0.55,2026-04-27T22:48:34Z
2025-05-30,-1.443,-0.810,-0.236,-0.251,-0.109,-0.037,-0.807,-0.397,-0.240,-0.72,-0.50,2026-04-27T22:48:34Z
2025-06-02,-1.351,-0.807,-0.238,-0.245,-0.107,+0.046,-0.802,-0.305,-0.244,+1.09,-0.17,2026-04-27T22:48:34Z
2025-06-03,-1.504,-0.844,-0.239,-0.251,-0.106,-0.065,-0.859,-0.392,-0.253,-1.45,-0.53,2026-04-27T22:48:34Z
2025-06-04,-1.527,-0.826,-0.250,-0.247,-0.113,-0.092,-0.855,-0.427,-0.245,-1.22,-0.56,2026-04-27T22:48:34Z
2025-06-05,-1.572,-0.878,-0.246,-0.247,-0.108,-0.092,-0.822,-0.489,-0.261,-1.21,-0.69,2026-04-27T22:48:34Z
2025-06-06,-1.726,-0.899,-0.251,-0.252,-0.112,-0.212,-0.940,-0.503,-0.284,-1.58,-1.37,2026-04-27T22:48:34Z
2025-06-09,-1.759,-0.894,-0.248,-0.251,-0.116,-0.250,-0.935,-0.544,-0.281,-1.35,-1.41,2026-04-27T22:48:34Z
2025-06-10,-1.778,-0.899,-0.255,-0.254,-0.128,-0.243,-0.956,-0.533,-0.290,-1.03,-1.47,2026-04-27T22:48:34Z
2025-06-11,-1.806,-0.907,-0.256,-0.252,-0.123,-0.268,-0.944,-0.576,-0.286,-0.95,-1.51,2026-04-27T22:48:34Z
2025-06-12,-1.636,-0.872,-0.261,-0.252,-0.145,-0.107,-0.912,-0.448,-0.276,+1.79,-0.70,2026-04-27T22:48:34Z
2025-06-13,-1.249,-0.869,-0.240,-0.253,-0.101,+0.213,-0.753,-0.221,-0.275,+1.92,+1.00,2026-04-27T22:48:34Z
2025-06-16,-1.471,-0.886,-0.255,-0.254,-0.105,+0.029,-0.839,-0.348,-0.284,+0.56,-0.03,2026-04-27T22:48:34Z
2025-06-17,-1.327,-0.883,-0.241,-0.258,-0.114,+0.170,-0.737,-0.320,-0.270,+0.84,+0.58,2026-04-27T22:48:34Z
2025-06-18,-1.353,-0.851,-0.242,-0.258,-0.116,+0.115,-0.804,-0.278,-0.271,+0.40,+0.45,2026-04-27T22:48:34Z
2025-06-19,-1.177,-0.865,-0.228,-0.259,-0.095,+0.271,-0.704,-0.206,-0.266,+1.39,+1.24,2026-04-27T22:48:34Z
2025-06-20,-1.330,-0.865,-0.226,-0.261,-0.082,+0.105,-0.773,-0.293,-0.264,+0.02,+0.71,2026-04-27T22:48:34Z
2025-06-23,-1.273,-0.856,-0.227,-0.263,-0.064,+0.138,-0.778,-0.240,-0.256,+0.30,+1.11,2026-04-27T22:48:34Z
2025-06-24,-1.617,-0.882,-0.258,-0.257,-0.081,-0.139,-0.895,-0.457,-0.266,-1.82,-0.71,2026-04-27T22:48:34Z
2025-06-25,-1.680,-0.887,-0.256,-0.258,-0.081,-0.198,-0.928,-0.484,-0.269,-1.34,-0.97,2026-04-27T22:48:34Z
2025-06-26,-1.695,-0.862,-0.273,-0.255,-0.097,-0.208,-0.936,-0.495,-0.265,-0.98,-0.96,2026-04-27T22:48:34Z
2025-06-27,-1.789,-0.892,-0.285,-0.255,-0.097,-0.261,-0.958,-0.557,-0.275,-1.00,-1.30,2026-04-27T22:48:34Z
2025-06-30,-1.731,-0.907,-0.289,-0.254,-0.091,-0.190,-0.946,-0.512,-0.273,-0.50,-0.91,2026-04-27T22:48:34Z
2025-07-01,-1.737,-0.929,-0.290,-0.252,-0.091,-0.174,-0.954,-0.497,-0.286,-0.28,-0.87,2026-04-27T22:48:34Z
2025-07-02,-1.773,-0.953,-0.292,-0.251,-0.122,-0.154,-1.014,-0.469,-0.290,-0.85,-0.96,2026-04-27T22:48:34Z
2025-07-03,-1.912,-1.000,-0.300,-0.257,-0.137,-0.218,-1.087,-0.513,-0.312,-1.89,-1.46,2026-04-27T22:48:34Z
2025-07-04,-1.796,-1.007,-0.298,-0.257,-0.133,-0.101,-1.045,-0.441,-0.310,-0.09,-0.91,2026-04-27T22:48:34Z
2025-07-07,-1.741,-0.996,-0.269,-0.260,-0.135,-0.081,-1.008,-0.425,-0.309,+0.80,-0.67,2026-04-27T22:48:34Z
2025-07-08,-1.885,-0.995,-0.268,-0.261,-0.145,-0.216,-1.045,-0.536,-0.304,-0.97,-1.26,2026-04-27T22:48:34Z
2025-07-09,-2.028,-0.975,-0.277,-0.262,-0.139,-0.375,-1.086,-0.649,-0.294,-1.57,-1.73,2026-04-27T22:48:34Z
2025-07-10,-2.124,-0.991,-0.283,-0.261,-0.138,-0.451,-1.109,-0.715,-0.300,-1.47,-1.84,2026-04-27T22:48:34Z
2025-07-11,-2.045,-0.993,-0.276,-0.266,-0.134,-0.376,-1.066,-0.670,-0.309,-0.59,-1.40,2026-04-27T22:48:34Z
2025-07-14,-1.943,-1.009,-0.276,-0.266,-0.131,-0.262,-1.024,-0.615,-0.304,+0.75,-0.92,2026-04-27T22:48:34Z
2025-07-15,-1.932,-1.014,-0.271,-0.271,-0.130,-0.247,-1.009,-0.604,-0.320,+1.16,-0.79,2026-04-27T22:48:34Z
2025-07-16,-1.824,-0.988,-0.271,-0.268,-0.103,-0.194,-0.987,-0.530,-0.307,+1.46,-0.30,2026-04-27T22:48:34Z
2025-07-17,-1.948,-1.006,-0.281,-0.271,-0.106,-0.283,-1.041,-0.596,-0.310,-0.14,-0.76,2026-04-27T22:48:34Z
2025-07-18,-1.946,-1.002,-0.290,-0.272,-0.109,-0.274,-1.044,-0.591,-0.311,-0.58,-0.69,2026-04-27T22:48:34Z
2025-07-21,-1.951,-1.002,-0.296,-0.269,-0.104,-0.280,-1.044,-0.594,-0.314,-0.63,-0.72,2026-04-27T22:48:34Z
2025-07-22,-1.966,-1.001,-0.296,-0.268,-0.101,-0.300,-1.029,-0.631,-0.307,-0.75,-0.76,2026-04-27T22:48:34Z
2025-07-23,-2.151,-1.024,-0.324,-0.266,-0.168,-0.369,-1.152,-0.678,-0.321,-1.99,-1.98,2026-04-27T22:48:34Z
2025-07-24,-2.201,-1.054,-0.333,-0.264,-0.178,-0.372,-1.155,-0.717,-0.329,-1.44,-2.05,2026-04-27T22:48:34Z
2025-07-25,-2.234,-1.055,-0.324,-0.267,-0.171,-0.416,-1.175,-0.737,-0.322,-1.12,-1.95,2026-04-27T22:48:34Z
2025-07-28,-2.252,-1.072,-0.317,-0.271,-0.155,-0.436,-1.184,-0.736,-0.332,-0.88,-1.83,2026-04-27T22:48:34Z
2025-07-29,-2.229,-1.055,-0.308,-0.273,-0.127,-0.467,-1.129,-0.781,-0.318,-0.44,-1.52,2026-04-27T22:48:34Z
2025-07-30,-2.295,-1.077,-0.306,-0.276,-0.126,-0.509,-1.160,-0.806,-0.329,-1.70,-1.72,2026-04-27T22:48:34Z
2025-07-31,-2.259,-1.073,-0.296,-0.282,-0.158,-0.450,-1.133,-0.790,-0.336,-0.22,-1.34,2026-04-27T22:48:34Z
2025-08-01,-1.744,-0.975,-0.281,-0.272,-0.133,-0.083,-0.886,-0.568,-0.289,+1.99,+1.71,2026-04-27T22:48:34Z
2025-08-04,-1.801,-0.989,-0.296,-0.271,-0.106,-0.140,-0.979,-0.524,-0.298,+1.10,+1.44,2026-04-27T22:48:34Z
2025-08-05,-1.949,-1.005,-0.297,-0.273,-0.103,-0.271,-0.974,-0.667,-0.309,+0.27,+0.57,2026-04-27T22:48:34Z
2025-08-06,-1.876,-1.003,-0.308,-0.270,-0.101,-0.194,-0.997,-0.568,-0.312,+0.28,+0.95,2026-04-27T22:48:34Z
2025-08-07,-1.997,-1.032,-0.318,-0.270,-0.115,-0.262,-1.034,-0.640,-0.323,-1.33,+0.18,2026-04-27T22:48:34Z
2025-08-08,-2.140,-1.040,-0.327,-0.270,-0.129,-0.375,-1.123,-0.685,-0.333,-1.63,-0.65,2026-04-27T22:48:34Z
2025-08-11,-2.109,-1.047,-0.313,-0.270,-0.124,-0.354,-1.085,-0.689,-0.335,-0.96,-0.41,2026-04-27T22:48:34Z
2025-08-12,-2.254,-1.069,-0.330,-0.268,-0.129,-0.459,-1.166,-0.749,-0.340,-1.39,-1.16,2026-04-27T22:48:34Z
2025-08-13,-2.312,-1.084,-0.348,-0.269,-0.127,-0.485,-1.177,-0.789,-0.346,-1.35,-1.35,2026-04-27T22:48:34Z
2025-08-14,-2.315,-1.100,-0.342,-0.269,-0.118,-0.485,-1.165,-0.796,-0.354,-1.03,-1.23,2026-04-27T22:48:34Z
2025-08-15,-2.313,-1.117,-0.345,-0.264,-0.123,-0.464,-1.162,-0.792,-0.359,-0.66,-1.10,2026-04-27T22:48:34Z
2025-08-18,-2.350,-1.129,-0.343,-0.267,-0.121,-0.490,-1.183,-0.804,-0.363,-1.33,-1.18,2026-04-27T22:48:34Z
2025-08-19,-2.343,-1.105,-0.340,-0.267,-0.115,-0.515,-1.147,-0.840,-0.357,-1.00,-1.03,2026-04-27T22:48:34Z
2025-08-20,-2.245,-1.088,-0.335,-0.268,-0.125,-0.428,-1.123,-0.777,-0.345,+1.84,-0.46,2026-04-27T22:48:34Z
2025-08-21,-2.216,-1.078,-0.326,-0.271,-0.140,-0.402,-1.100,-0.767,-0.349,+1.44,-0.30,2026-04-27T22:48:34Z
2025-08-22,-2.349,-1.068,-0.349,-0.267,-0.128,-0.536,-1.186,-0.822,-0.340,-0.83,-0.98,2026-04-27T22:48:34Z
2025-08-25,-2.311,-1.087,-0.347,-0.270,-0.127,-0.480,-1.172,-0.787,-0.353,-0.34,-0.75,2026-04-27T22:48:34Z
2025-08-26,-2.248,-1.066,-0.339,-0.270,-0.118,-0.455,-1.161,-0.748,-0.339,+0.53,-0.41,2026-04-27T22:48:34Z
2025-08-27,-2.250,-1.061,-0.336,-0.272,-0.110,-0.471,-1.148,-0.774,-0.328,+0.51,-0.43,2026-04-27T22:48:34Z
2025-08-28,-2.292,-1.064,-0.343,-0.270,-0.107,-0.508,-1.150,-0.815,-0.327,-0.05,-0.65,2026-04-27T22:48:34Z
2025-08-29,-2.228,-1.054,-0.334,-0.270,-0.090,-0.480,-1.084,-0.812,-0.332,+1.23,-0.21,2026-04-27T22:48:34Z
2025-09-01,-2.107,-1.035,-0.335,-0.270,-0.088,-0.378,-1.046,-0.725,-0.336,+1.89,+0.77,2026-04-27T22:48:34Z
2025-09-02,-2.038,-1.026,-0.323,-0.275,-0.113,-0.300,-1.023,-0.678,-0.337,+1.53,+1.39,2026-04-27T22:48:34Z
2025-09-03,-2.037,-1.026,-0.326,-0.277,-0.082,-0.326,-1.031,-0.671,-0.335,+1.00,+1.70,2026-04-27T22:48:34Z
2025-09-04,-2.137,-1.039,-0.334,-0.279,-0.058,-0.427,-1.073,-0.738,-0.326,-0.39,+0.94,2026-04-27T22:48:34Z
2025-09-05,-2.095,-1.019,-0.346,-0.279,-0.036,-0.416,-1.055,-0.711,-0.330,-0.31,+1.31,2026-04-27T22:48:34Z
2025-09-08,-2.138,-1.023,-0.348,-0.282,-0.059,-0.427,-1.080,-0.729,-0.330,-1.09,+0.91,2026-04-27T22:48:34Z
2025-09-09,-2.203,-1.022,-0.354,-0.280,-0.072,-0.474,-1.093,-0.769,-0.341,-1.48,+0.23,2026-04-27T22:48:34Z
2025-09-10,-2.310,-1.059,-0.361,-0.281,-0.109,-0.500,-1.136,-0.828,-0.346,-1.78,-0.84,2026-04-27T22:48:34Z
2025-09-11,-2.445,-1.066,-0.372,-0.280,-0.154,-0.572,-1.226,-0.867,-0.352,-1.64,-1.95,2026-04-27T22:48:34Z
2025-09-12,-2.460,-1.083,-0.377,-0.280,-0.127,-0.593,-1.200,-0.894,-0.367,-1.16,-1.85,2026-04-27T22:48:34Z
2025-09-15,-2.430,-1.096,-0.381,-0.280,-0.099,-0.574,-1.159,-0.908,-0.363,-0.61,-1.50,2026-04-27T22:48:34Z
2025-09-16,-2.321,-1.088,-0.386,-0.278,-0.092,-0.477,-1.089,-0.861,-0.370,+1.12,-0.64,2026-04-27T22:48:34Z
2025-09-17,-2.410,-1.096,-0.385,-0.280,-0.137,-0.512,-1.170,-0.857,-0.383,+0.07,-1.24,2026-04-27T22:48:34Z
2025-09-18,-2.513,-1.123,-0.386,-0.282,-0.145,-0.577,-1.205,-0.923,-0.385,-1.36,-1.77,2026-04-27T22:48:34Z
2025-09-19,-2.559,-1.119,-0.383,-0.282,-0.170,-0.605,-1.235,-0.945,-0.379,-1.35,-1.85,2026-04-27T22:48:34Z
2025-09-22,-2.470,-1.152,-0.390,-0.282,-0.111,-0.536,-1.156,-0.923,-0.391,-0.19,-1.17,2026-04-27T22:48:34Z
2025-09-23,-2.465,-1.142,-0.388,-0.283,-0.123,-0.529,-1.137,-0.940,-0.387,+0.37,-1.04,2026-04-27T22:48:34Z
2025-09-24,-2.459,-1.152,-0.384,-0.289,-0.097,-0.538,-1.148,-0.913,-0.398,+0.90,-0.92,2026-04-27T22:48:34Z
2025-09-25,-2.402,-1.124,-0.372,-0.292,-0.117,-0.497,-1.116,-0.892,-0.394,+1.37,-0.54,2026-04-27T22:48:34Z
2025-09-26,-2.390,-1.126,-0.374,-0.292,-0.102,-0.496,-1.164,-0.838,-0.387,+1.39,-0.42,2026-04-27T22:48:34Z
2025-09-29,-2.369,-1.107,-0.388,-0.290,-0.106,-0.478,-1.139,-0.846,-0.384,+1.25,-0.23,2026-04-27T22:48:34Z
2025-09-30,-2.378,-1.116,-0.399,-0.288,-0.097,-0.477,-1.115,-0.865,-0.397,+0.68,-0.20,2026-04-27T22:48:34Z
2025-10-01,-2.355,-1.099,-0.405,-0.285,-0.099,-0.467,-1.117,-0.853,-0.386,+1.46,+0.08,2026-04-27T22:48:34Z
2025-10-02,-2.393,-1.110,-0.410,-0.286,-0.103,-0.484,-1.119,-0.883,-0.392,-1.15,-0.13,2026-04-27T22:48:34Z
2025-10-03,-2.517,-1.135,-0.419,-0.288,-0.119,-0.555,-1.152,-0.959,-0.406,-1.96,-1.19,2026-04-27T22:48:34Z
2025-10-06,-2.349,-1.144,-0.415,-0.303,-0.090,-0.398,-1.167,-0.771,-0.411,+0.80,+0.76,2026-04-27T22:48:34Z
2025-10-07,-2.239,-1.111,-0.408,-0.311,-0.080,-0.330,-1.088,-0.748,-0.403,+1.47,+2.28,2026-04-27T22:48:34Z
2025-10-08,-2.222,-1.101,-0.410,-0.317,-0.078,-0.316,-1.115,-0.705,-0.402,+1.13,+2.21,2026-04-27T22:48:34Z
2025-10-09,-2.191,-1.078,-0.408,-0.318,-0.131,-0.255,-1.131,-0.656,-0.404,+0.94,+2.13,2026-04-27T22:48:34Z
2025-10-10,-1.769,-0.994,-0.374,-0.313,-0.122,+0.033,-0.852,-0.547,-0.370,+1.93,+3.58,2026-04-27T22:48:34Z
2025-10-13,-1.869,-0.985,-0.385,-0.320,-0.115,-0.064,-0.977,-0.524,-0.367,+0.95,+2.37,2026-04-27T22:48:34Z
2025-10-14,-1.660,-0.979,-0.373,-0.320,-0.104,+0.116,-0.919,-0.390,-0.350,+1.25,+2.61,2026-04-27T22:48:34Z
2025-10-15,-1.861,-1.033,-0.394,-0.320,-0.108,-0.005,-0.965,-0.522,-0.374,+0.05,+1.57,2026-04-27T22:48:34Z
2025-10-16,-1.709,-1.003,-0.402,-0.320,-0.139,+0.155,-0.785,-0.557,-0.368,+0.79,+1.85,2026-04-27T22:48:34Z
2025-10-17,-1.671,-0.998,-0.399,-0.320,-0.127,+0.173,-0.952,-0.347,-0.372,+0.90,+1.74,2026-04-27T22:48:34Z
2025-10-20,-2.136,-1.026,-0.427,-0.324,-0.121,-0.237,-1.071,-0.683,-0.382,-1.83,+0.12,2026-04-27T22:48:34Z
2025-10-21,-2.146,-1.032,-0.424,-0.325,-0.111,-0.254,-1.086,-0.678,-0.382,-1.19,+0.03,2026-04-27T22:48:34Z
2025-10-22,-2.093,-1.022,-0.419,-0.323,-0.100,-0.228,-1.033,-0.682,-0.377,-0.66,+0.16,2026-04-27T22:48:34Z
2025-10-23,-2.254,-1.038,-0.422,-0.327,-0.100,-0.367,-1.099,-0.766,-0.389,-0.96,-0.47,2026-04-27T22:48:34Z
2025-10-24,-2.437,-1.077,-0.434,-0.327,-0.094,-0.505,-1.146,-0.897,-0.393,-1.81,-1.14,2026-04-27T22:48:34Z
2025-10-27,-2.433,-1.109,-0.458,-0.323,-0.075,-0.469,-1.191,-0.834,-0.408,-1.13,-1.10,2026-04-27T22:48:34Z
2025-10-28,-2.474,-1.113,-0.456,-0.320,-0.079,-0.507,-1.169,-0.899,-0.406,-0.94,-1.21,2026-04-27T22:48:34Z
2025-10-29,-2.429,-1.140,-0.461,-0.322,-0.116,-0.390,-1.193,-0.800,-0.436,-0.30,-1.02,2026-04-27T22:48:34Z
2025-10-30,-2.412,-1.120,-0.445,-0.328,-0.097,-0.423,-1.162,-0.823,-0.427,+1.23,-0.95,2026-04-27T22:48:34Z
2025-10-31,-2.366,-1.089,-0.445,-0.327,-0.084,-0.421,-1.108,-0.828,-0.430,+1.63,-0.84,2026-04-27T22:48:34Z
2025-11-03,-2.409,-1.058,-0.444,-0.327,-0.146,-0.433,-1.157,-0.822,-0.430,+0.26,-0.98,2026-04-27T22:48:34Z
2025-11-04,-2.134,-1.037,-0.426,-0.325,-0.151,-0.195,-1.061,-0.659,-0.414,+1.96,-0.00,2026-04-27T22:48:34Z
2025-11-05,-2.104,-1.068,-0.418,-0.326,-0.159,-0.133,-1.133,-0.549,-0.422,+1.32,+0.09,2026-04-27T22:48:34Z
2025-11-06,-2.040,-1.025,-0.421,-0.322,-0.150,-0.121,-1.039,-0.591,-0.410,+1.15,+0.29,2026-04-27T22:48:34Z
2025-11-07,-1.901,-1.015,-0.415,-0.324,-0.147,-0.000,-1.036,-0.460,-0.405,+1.30,+0.84,2026-04-27T22:48:34Z
2025-11-10,-2.162,-1.051,-0.428,-0.330,-0.157,-0.195,-1.126,-0.617,-0.419,-1.01,-0.08,2026-04-27T22:48:34Z
2025-11-11,-2.261,-1.052,-0.438,-0.332,-0.153,-0.286,-1.143,-0.698,-0.420,-1.39,-0.38,2026-04-27T22:48:34Z
2025-11-12,-2.341,-1.047,-0.445,-0.338,-0.147,-0.364,-1.116,-0.810,-0.415,-1.28,-0.63,2026-04-27T22:48:34Z
2025-11-13,-2.244,-1.043,-0.436,-0.337,-0.171,-0.257,-1.019,-0.801,-0.425,-0.41,-0.11,2026-04-27T22:48:34Z
2025-11-14,-2.082,-1.037,-0.420,-0.332,-0.176,-0.118,-1.028,-0.639,-0.415,+1.53,+1.01,2026-04-27T22:48:34Z
2025-11-17,-1.912,-1.025,-0.320,-0.335,-0.138,-0.094,-0.878,-0.707,-0.328,+1.67,+1.84,2026-04-27T22:48:34Z
2025-11-18,-1.522,-1.001,-0.372,-0.335,-0.119,+0.304,-0.761,-0.365,-0.396,+1.73,+2.92,2026-04-27T22:48:34Z
2025-11-19,-1.493,-1.007,-0.369,-0.343,-0.128,+0.355,-0.795,-0.299,-0.399,+1.19,+2.43,2026-04-27T22:48:34Z
2025-11-20,-1.688,-1.001,-0.365,-0.344,-0.180,+0.203,-0.711,-0.584,-0.393,+0.23,+1.53,2026-04-27T22:48:34Z
2025-11-21,-1.392,-0.983,-0.360,-0.340,-0.129,+0.420,-0.781,-0.239,-0.371,+1.15,+2.11,2026-04-27T22:48:34Z
2025-11-24,-1.695,-1.001,-0.375,-0.343,-0.166,+0.190,-0.956,-0.366,-0.372,-1.17,+1.08,2026-04-27T22:48:34Z
2025-11-25,-1.781,-0.994,-0.391,-0.340,-0.102,+0.047,-0.982,-0.430,-0.369,-1.19,+0.74,2026-04-27T22:48:34Z
2025-11-26,-2.130,-1.028,-0.414,-0.344,-0.143,-0.200,-1.092,-0.662,-0.376,-1.66,-0.41,2026-04-27T22:48:34Z
2025-11-27,-2.293,-1.023,-0.416,-0.343,-0.167,-0.344,-1.120,-0.797,-0.375,-1.36,-0.98,2026-04-27T22:48:34Z
2025-11-28,-2.446,-1.057,-0.422,-0.343,-0.144,-0.479,-1.139,-0.918,-0.389,-1.30,-1.45,2026-04-27T22:48:34Z
2025-12-01,-2.320,-1.055,-0.419,-0.339,-0.152,-0.354,-1.098,-0.820,-0.402,-0.55,-1.07,2026-04-27T22:48:34Z
2025-12-02,-2.362,-1.079,-0.421,-0.339,-0.081,-0.442,-1.109,-0.851,-0.402,-0.50,-1.14,2026-04-27T22:48:34Z
2025-12-03,-2.456,-1.087,-0.427,-0.338,-0.090,-0.515,-1.139,-0.916,-0.402,-1.23,-1.32,2026-04-27T22:48:34Z
2025-12-04,-2.494,-1.095,-0.440,-0.335,-0.102,-0.523,-1.178,-0.905,-0.411,-1.22,-1.31,2026-04-27T22:48:34Z
2025-12-05,-2.534,-1.113,-0.438,-0.335,-0.112,-0.537,-1.240,-0.870,-0.423,-1.25,-1.28,2026-04-27T22:48:34Z
2025-12-08,-2.386,-1.122,-0.420,-0.334,-0.088,-0.422,-1.168,-0.799,-0.419,+0.94,-0.82,2026-04-27T22:48:34Z
2025-12-09,-2.452,-1.122,-0.415,-0.340,-0.125,-0.450,-1.191,-0.842,-0.419,+0.25,-0.95,2026-04-27T22:48:34Z
2025-12-10,-2.437,-1.119,-0.423,-0.336,-0.082,-0.477,-1.200,-0.823,-0.414,+0.47,-0.89,2026-04-27T22:48:34Z
2025-12-11,-2.539,-1.124,-0.428,-0.337,-0.078,-0.572,-1.225,-0.898,-0.416,-1.18,-1.09,2026-04-27T22:48:34Z
2025-12-12,-2.466,-1.107,-0.427,-0.338,-0.049,-0.544,-1.161,-0.878,-0.426,-0.20,-0.84,2026-04-27T22:48:34Z
2025-12-15,-2.398,-1.119,-0.423,-0.336,-0.057,-0.463,-1.131,-0.844,-0.423,+1.31,-0.60,2026-04-27T22:48:34Z
2025-12-16,-2.286,-1.102,-0.406,-0.335,-0.007,-0.437,-1.075,-0.802,-0.409,+1.67,-0.23,2026-04-27T22:48:34Z
2025-12-17,-2.422,-1.100,-0.397,-0.339,-0.120,-0.465,-1.144,-0.868,-0.410,+0.00,-0.53,2026-04-27T22:48:34Z
2025-12-18,-2.433,-1.094,-0.404,-0.341,-0.054,-0.540,-1.122,-0.909,-0.403,-0.52,-0.49,2026-04-27T22:48:34Z
2025-12-19,-2.586,-1.109,-0.411,-0.349,-0.058,-0.660,-1.218,-0.953,-0.416,-1.68,-1.06,2026-04-27T22:48:34Z
2025-12-22,-2.697,-1.127,-0.426,-0.349,-0.052,-0.743,-1.253,-1.017,-0.427,-1.49,-1.64,2026-04-27T22:48:34Z
2025-12-23,-2.796,-1.133,-0.436,-0.348,-0.044,-0.835,-1.251,-1.116,-0.428,-1.43,-2.46,2026-04-27T22:48:34Z
2025-12-24,-2.814,-1.107,-0.440,-0.347,-0.065,-0.856,-1.294,-1.097,-0.424,-1.05,-2.32,2026-04-27T22:48:34Z
2025-12-25,-2.930,-1.107,-0.441,-0.347,-0.065,-0.970,-1.289,-1.217,-0.424,-1.43,-2.49,2026-04-27T22:48:34Z
2025-12-26,-2.859,-1.122,-0.442,-0.353,-0.077,-0.866,-1.296,-1.139,-0.424,-0.52,-1.78,2026-04-27T22:48:34Z
2025-12-29,-2.706,-1.104,-0.444,-0.345,-0.078,-0.735,-1.272,-1.014,-0.420,+1.56,-0.85,2026-04-27T22:48:34Z
2025-12-30,-2.684,-1.112,-0.442,-0.346,-0.021,-0.762,-1.219,-1.041,-0.423,+1.24,-0.65,2026-04-27T22:48:34Z
2025-12-31,-2.707,-1.129,-0.435,-0.346,-0.055,-0.742,-1.229,-1.035,-0.442,+0.71,-0.71,2026-04-27T22:48:34Z
2026-01-01,-2.704,-1.129,-0.436,-0.346,-0.056,-0.738,-1.230,-1.032,-0.443,+0.44,-0.63,2026-04-27T22:48:34Z
2026-01-02,-2.733,-1.125,-0.449,-0.345,-0.047,-0.767,-1.250,-1.027,-0.457,-1.68,-0.73,2026-04-27T22:48:34Z
