captured_at,symbol,price,chg,chg_pct,open,high,low,prev_close,timestamp_source
2026-04-27T22:57:00,VVIX,93.8600,-3.3200,-3.4163,98.4600,98.5100,93.8600,97.1800,2026-04-27 22:56:48
2026-04-27T22:57:00,VIX6M,23.0300,-0.2400,-1.0314,23.3700,23.6800,23.0300,23.2700,2026-04-27 22:56:48
2026-04-27T22:57:00,RVX,24.1100,-0.3800,-1.5517,24.8900,25.5000,24.1100,24.4900,2026-04-27 22:56:48
