protocol,category,chain,tvl_usd,change_1d_pct,change_7d_pct,mcap,captured_at
KuCoin,CEX,Ethereum,3438201367,-1.52,-0.96,,2026-04-27T23:06:01Z
Arbitrum Bridge,Canonical Bridge,Ethereum,3429989458,-2.90,-1.43,,2026-04-27T23:06:01Z
SparkLend,Lending,Ethereum,3426153848,-7.13,+22.72,,2026-04-27T23:06:01Z
Tether Gold,RWA,Ethereum,3336965120,-0.59,-2.53,2621202393,2026-04-27T23:06:01Z
Circle USYC,RWA,Binance,2904218063,+0.03,+0.01,,2026-04-27T23:06:01Z
Grove Finance,Onchain Capital Allocator,Ethereum,2820973969,-1.72,-13.92,,2026-04-27T23:06:01Z
BlackRock BUIDL,RWA,Ethereum,2810254364,+0.24,-7.43,2270201348,2026-04-27T23:06:01Z
Base Bridge,Canonical Bridge,Ethereum,2762455061,-2.01,-1.43,,2026-04-27T23:06:01Z
Ondo Yield Assets,RWA,Ethereum,2730249188,-0.30,-0.20,,2026-04-27T23:06:01Z
Polygon Bridge,Chain,Polygon,2558098321,-1.19,-1.11,980894817,2026-04-27T23:06:01Z
JustCryptos,Bridge,Tron,2472148721,-2.66,-0.51,,2026-04-27T23:06:01Z
Spark Liquidity Layer,Onchain Capital Allocator,Ethereum,2431374684,-1.78,+13.15,,2026-04-27T23:06:01Z
Crypto-com,CEX,Bitcoin,2293751186,-3.82,-2.70,,2026-04-27T23:06:01Z
Paxos Gold,RWA,Ethereum,2250990218,-0.60,-4.46,,2026-04-27T23:06:01Z
Spark Savings,Yield,Ethereum,1997210903,+0.16,+16.69,,2026-04-27T23:06:01Z
Portal,Bridge,Ethereum,1933902033,-1.48,+14.21,73452603,2026-04-27T23:06:01Z
Centrifuge Protocol,RWA,Ethereum,1841842607,-2.61,-7.45,,2026-04-27T23:06:01Z
PancakeSwap AMM,Dexs,Binance,1731069456,-0.65,+0.76,,2026-04-27T23:06:01Z
Curve DEX,Dexs,Ethereum,1721275217,-0.70,-2.43,,2026-04-27T23:06:01Z
Uniswap V3,Dexs,Ethereum,1708292822,-1.18,+1.12,,2026-04-27T23:06:01Z
Maple,Lending,Ethereum,1706622231,+0.34,+6.02,,2026-04-27T23:06:01Z
Figure Markets Exchange,OTC Marketplace,Provenance,1632673824,+0.04,-0.83,,2026-04-27T23:06:01Z
Falcon Finance,Basis Trading,Ethereum,1620973561,+0.07,-0.03,152321264,2026-04-27T23:06:01Z
Obol,Staking Pool,Ethereum,1595133027,-3.29,+11.10,1900383,2026-04-27T23:06:01Z
HashKey Exchange,CEX,Bitcoin,1566134188,-1.50,+2.49,,2026-04-27T23:06:01Z
Steakhouse Financial,Risk Curators,Base,1543257409,-1.40,-10.70,,2026-04-27T23:06:01Z
Kelp,Liquid Restaking,Ethereum,1541178312,-3.17,-1.24,,2026-04-27T23:06:01Z
Sentora,Risk Curators,Ethereum,1517862621,+0.18,+27.87,,2026-04-27T23:06:01Z
Bitstamp,CEX,Ethereum,1517238843,-2.68,+38.26,,2026-04-27T23:06:01Z
Gauntlet,Risk Curators,Binance,1492784554,+58.05,+50.94,,2026-04-27T23:06:01Z
Kamino Lend,Lending,Solana,1474644765,-1.99,-2.63,,2026-04-27T23:06:01Z
Pendle,Yield,Ethereum,1428663614,+0.41,-4.88,219308605,2026-04-27T23:06:01Z
USDD,CDP,Tron,1419639234,+1.66,+10.84,,2026-04-27T23:06:01Z
Bitkub,CEX,Bitcoin,1384132657,-1.67,+0.02,61101613,2026-04-27T23:06:01Z
Anemoy Capital,RWA,Ethereum,1368988097,-3.50,-9.81,,2026-04-27T23:06:01Z
Poloniex,CEX,Bitcoin,1328552834,-2.17,+0.21,,2026-04-27T23:06:01Z
Compound V3,Lending,Ethereum,1311055321,-3.27,-6.76,,2026-04-27T23:06:01Z
Rocket Pool,Liquid Staking,Ethereum,1252257707,-3.71,-4.96,43348614,2026-04-27T23:06:01Z
Bitmex,CEX,Bitcoin,1230154826,-1.66,+1.35,10326125,2026-04-27T23:06:01Z
Spiko,RWA,Stellar,1228219111,-0.16,-0.11,,2026-04-27T23:06:01Z
Venus Core Pool,Lending,Binance,1206939526,-1.00,+1.22,,2026-04-27T23:06:01Z
Sanctum Validator LSTs,Liquid Staking,Solana,1129488832,-2.75,-1.90,,2026-04-27T23:06:01Z
Concrete,Onchain Capital Allocator,Ethereum,1030759280,-2.71,-1.56,,2026-04-27T23:06:01Z
Veda,Onchain Capital Allocator,Ethereum,1001916814,-2.34,-13.02,,2026-04-27T23:06:01Z
Raydium AMM,Dexs,Solana,996903821,-1.89,-0.96,,2026-04-27T23:06:01Z
Uniswap V2,Dexs,Ethereum,973372231,-1.95,+1.78,,2026-04-27T23:06:01Z
SwissBorg,CEX,Bitcoin,940464286,-2.22,-0.57,188388383,2026-04-27T23:06:01Z
Superstate USTB,RWA,Ethereum,923727650,+1.88,+25.17,,2026-04-27T23:06:01Z
Binance Staked SOL,Liquid Staking,Solana,891469219,-2.84,+0.02,,2026-04-27T23:06:01Z
Jito Liquid Staking,Liquid Staking,Solana,879106081,-2.85,-6.39,,2026-04-27T23:06:01Z
Jupiter Lend,Lending,Solana,875400339,-0.82,+0.21,,2026-04-27T23:06:01Z
StakeWise V2,Liquid Staking,Ethereum,873027038,-3.26,-3.89,,2026-04-27T23:06:01Z
WisdomTree,RWA,Ethereum,868687280,+0.00,-0.33,,2026-04-27T23:06:01Z
DoubleZero Staked SOL,Liquid Staking,Solana,864259886,-2.85,-1.60,,2026-04-27T23:06:01Z
Function FBTC,Bridge,Bitcoin,844858747,-1.73,+0.99,,2026-04-27T23:06:01Z
Ondo Global Markets,RWA,Ethereum,839330589,+1.78,+2.37,,2026-04-27T23:06:01Z
Liquid Collective,Liquid Staking,Ethereum,804205985,-3.29,-1.43,,2026-04-27T23:06:01Z
Jupiter Staked SOL,Liquid Staking,Solana,801610046,-2.80,-3.83,,2026-04-27T23:06:01Z
Lombard LBTC,Restaked BTC,Bitcoin,779770528,+0.18,+2.02,,2026-04-27T23:06:01Z
Kinetiq kHYPE,Liquid Staking,Hyperliquid L1,768549566,-2.84,-3.88,,2026-04-27T23:06:01Z
Blockchain Capital,RWA,zkSync Era,754118306,+0.00,+0.00,,2026-04-27T23:06:01Z
Fluid Lending,Lending,Ethereum,752648626,+0.86,+7.35,,2026-04-27T23:06:01Z
Uniswap V4,Dexs,Ethereum,715963949,-0.48,+8.95,,2026-04-27T23:06:01Z
OSL HK,CEX,Bitcoin,699949195,-1.96,+1.59,,2026-04-27T23:06:01Z
Jupiter Perpetual Exchange,Derivatives,Solana,687069335,-1.20,-2.17,,2026-04-27T23:06:01Z
BingX,CEX,Tron,639226880,+2.70,+3.39,,2026-04-27T23:06:01Z
mETH Protocol,Liquid Staking,Ethereum,631392620,-5.82,-6.51,2903533,2026-04-27T23:06:01Z
Convex Finance,Yield,Ethereum,601224796,-1.43,-1.60,155587697,2026-04-27T23:06:01Z
Lista Liquid Staking,Liquid Staking,Binance,594524289,-2.10,-2.04,,2026-04-27T23:06:01Z
Lista Lending,Lending,Binance,588966138,+1.54,+4.27,,2026-04-27T23:06:01Z
Ethena USDtb,RWA,Ethereum,584591545,-0.79,-33.10,,2026-04-27T23:06:01Z
Aster Bridge,Bridge,Binance,551212142,+1.14,+3.22,,2026-04-27T23:06:01Z
Tornado Cash,Privacy,Ethereum,549162961,-3.07,-3.18,30914053,2026-04-27T23:06:01Z
