protocol,category,chain,tvl_usd,change_1d_pct,change_7d_pct,mcap,captured_at
Binance CEX,CEX,Ethereum,153748635562,-1.29,-0.57,,2026-04-27T23:06:01Z
OKX,CEX,Ethereum,25742854051,-2.26,+38.09,1751611107,2026-04-27T23:06:01Z
Lido,Liquid Staking,Ethereum,21438719860,-3.28,-2.28,341148188,2026-04-27T23:06:01Z
Bitfinex,CEX,Bitcoin,19076448332,-0.26,+2.18,,2026-04-27T23:06:01Z
SSV Network,Staking Pool,Ethereum,16861744356,-3.29,-1.48,42094431,2026-04-27T23:06:01Z
Bybit,CEX,Ethereum,15807629080,-1.00,-0.39,,2026-04-27T23:06:01Z
Robinhood,CEX,Bitcoin,13899832420,-2.05,+0.30,,2026-04-27T23:06:01Z
Aave V3,Lending,Ethereum,13690954289,-2.60,-15.78,,2026-04-27T23:06:01Z
EigenCloud,Restaking,Ethereum,8942638258,-5.21,-9.09,122142947,2026-04-27T23:06:01Z
WBTC,Bridge,Bitcoin,8897443818,-1.97,+0.68,,2026-04-27T23:06:01Z
Binance staked ETH,Liquid Staking,Ethereum,8448310312,-3.29,-1.43,,2026-04-27T23:06:01Z
Morpho Blue,Lending,Ethereum,6767243301,-0.57,+3.45,,2026-04-27T23:06:01Z
Coinbase Bridge,Bridge,Bitcoin,5642142712,-1.71,+1.21,,2026-04-27T23:06:01Z
Bitget,CEX,Bitcoin,5613152155,-1.06,+0.60,,2026-04-27T23:06:01Z
Gemini,CEX,Bitcoin,5507530882,-1.79,-0.69,,2026-04-27T23:06:01Z
Sky Lending,CDP,Ethereum,5382478011,+0.22,+2.09,,2026-04-27T23:06:01Z
Binance Bitcoin,Bridge,Bitcoin,5246406012,-1.71,+1.21,,2026-04-27T23:06:01Z
HTX,CEX,Tron,5207221353,+0.76,+0.19,,2026-04-27T23:06:01Z
ether.fi Stake,Liquid Restaking,Ethereum,5146511464,-3.28,-2.65,,2026-04-27T23:06:01Z
Gate,CEX,Ethereum,4918122476,-1.99,-4.57,1133103428,2026-04-27T23:06:01Z
MEXC,CEX,Ethereum,4823428866,-0.41,-4.61,,2026-04-27T23:06:01Z
Hyperliquid Bridge,Bridge,Arbitrum,4542914441,-0.66,-2.34,,2026-04-27T23:06:01Z
Deribit,CEX,Bitcoin,4540085312,-1.27,+3.40,,2026-04-27T23:06:01Z
Babylon Protocol,Restaking,Bitcoin,3980141676,-1.77,+0.37,57123111,2026-04-27T23:06:01Z
USDT0,Bridge,Ethereum,3799938582,+1.01,+0.14,,2026-04-27T23:06:01Z
Ethena USDe,Basis Trading,Ethereum,3751904062,-0.55,-28.60,,2026-04-27T23:06:01Z
JustLend,Lending,Tron,3559914076,-0.98,-0.12,705075397,2026-04-27T23:06:01Z
