release_date,index_name,value,mom_change_pct,yoy_change_pct,captured_at
2026-04-03,ffpi,128.50,+2.4,+1.0,2026-04-27T22:46:23Z
2026-04-03,cereal,110.40,+1.5,,2026-04-27T22:46:23Z
2026-04-03,vegoil,183.10,+5.1,,2026-04-27T22:46:23Z
2026-04-03,meat,127.70,+1.0,+8.0,2026-04-27T22:46:23Z
2026-04-03,dairy,120.90,+1.2,,2026-04-27T22:46:23Z
2026-04-03,sugar,92.40,+7.2,-21.0,2026-04-27T22:46:23Z
