filed_utc,kind,title,link,summary,captured_at
2026-04-24T12:09:26Z,general,Surrender of Trading Member in Commodity derivative segment - Pace Stock Broking Services Pvt. Ltd.,https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-12/20260424-12.pdf,,2026-04-27T06:30:19Z
2026-04-24T12:09:24Z,general,System Audit of Professional Clearing Members (PCMs),https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-11/20260424-11.pdf,,2026-04-27T06:30:19Z
2026-04-24T11:49:45Z,regulatory_action,Listing of New Securities of Clenon Enterprises Ltd.,https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-10/20260424-10.pdf,,2026-04-27T06:30:19Z
2026-04-24T11:36:39Z,general,Addition to the BSE SME IPO Index,https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-9/20260424-9.pdf,,2026-04-27T06:30:19Z
2026-04-24T11:34:20Z,insider_disclosure,SEBI Intermediaries Amendment Regulations 2026,https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-8/20260424-8.pdf,,2026-04-27T06:30:19Z
2026-04-24T11:05:01Z,regulatory_action,Listing of further securities issued by the companies under ESOP / ESOS,https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-7/20260424-7.pdf,,2026-04-27T06:30:19Z
2026-04-24T10:46:39Z,regulatory_action,Listing of new Securities of Syschem (India) Ltd.,https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-6/20260424-6.pdf,,2026-04-27T06:30:19Z
2026-04-24T09:14:53Z,general,Admission of Member,https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-5/20260424-5.pdf,,2026-04-27T06:30:19Z
2026-04-24T09:14:15Z,general,Voluntary Closure of Business – Anuriti Multy Broking Pvt. Ltd.,https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-4/20260424-4.pdf,,2026-04-27T06:30:19Z
2026-04-24T07:47:05Z,general,Demat Auction 616,https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-3/20260424-3.pdf,,2026-04-27T06:30:19Z
2026-04-24T06:11:40Z,general,Change in Group of Equity Shares of MEHUL TELECOM LIMITED,https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-2/20260424-2.pdf,,2026-04-27T06:30:19Z
2026-04-24T06:10:35Z,acquisition,Opening of Offer to Buy – Acquisition Window (Takeover) of Tejassvi Aaharam Limited,https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-1/20260424-1.pdf,,2026-04-27T06:30:19Z
