month,new_home_sales_k,existing_home_sales_m,months_supply,median_new_price,captured_at
2026-03-01,0,3980000.00,0.0,0,2026-04-27T23:12:11Z
2026-02-01,0,4130000.00,0.0,0,2026-04-27T23:12:11Z
2026-01-01,587,4020000.00,9.7,400500,2026-04-27T23:12:11Z
2025-12-01,712,4270000.00,8.0,419200,2026-04-27T23:12:11Z
2025-11-01,764,4090000.00,7.6,404600,2026-04-27T23:12:11Z
2025-10-01,650,4110000.00,9.0,404200,2026-04-27T23:12:11Z
2025-09-01,719,4080000.00,8.1,416800,2026-04-27T23:12:11Z
2025-08-01,706,4030000.00,8.4,417900,2026-04-27T23:12:11Z
2025-07-01,639,4030000.00,9.3,397300,2026-04-27T23:12:11Z
2025-06-01,662,3980000.00,9.1,409200,2026-04-27T23:12:11Z
2025-05-01,627,4040000.00,9.6,424800,2026-04-27T23:12:11Z
2025-04-01,706,4020000.00,8.5,413600,2026-04-27T23:12:11Z
2025-03-01,660,4020000.00,9.2,412900,2026-04-27T23:12:11Z
2025-02-01,642,0.00,9.3,415100,2026-04-27T23:12:11Z
2025-01-01,662,0.00,9.0,429600,2026-04-27T23:12:11Z
2024-12-01,718,0.00,8.2,423000,2026-04-27T23:12:11Z
2024-11-01,675,0.00,8.7,397600,2026-04-27T23:12:11Z
2024-10-01,621,0.00,9.3,426300,2026-04-27T23:12:11Z
2024-09-01,717,0.00,7.9,421100,2026-04-27T23:12:11Z
2024-08-01,693,0.00,8.2,405800,2026-04-27T23:12:11Z
2024-07-01,710,0.00,7.9,429000,2026-04-27T23:12:11Z
2024-06-01,671,0.00,8.4,414000,2026-04-27T23:12:11Z
2024-05-01,665,0.00,8.5,414300,2026-04-27T23:12:11Z
2024-04-01,719,0.00,7.7,415300,2026-04-27T23:12:11Z
2024-03-01,692,0.00,8.1,436400,2026-04-27T23:12:11Z
2024-02-01,658,0.00,8.4,420900,2026-04-27T23:12:11Z
2024-01-01,681,0.00,8.1,430400,2026-04-27T23:12:11Z
2023-12-01,643,0.00,8.4,418300,2026-04-27T23:12:11Z
2023-11-01,610,0.00,8.8,429600,2026-04-27T23:12:11Z
2023-10-01,681,0.00,7.8,417500,2026-04-27T23:12:11Z
2023-09-01,681,0.00,7.7,426100,2026-04-27T23:12:11Z
2023-08-01,645,0.00,8.0,440900,2026-04-27T23:12:11Z
2023-07-01,702,0.00,7.3,435800,2026-04-27T23:12:11Z
2023-06-01,674,0.00,7.7,417600,2026-04-27T23:12:11Z
2023-05-01,739,0.00,6.9,421200,2026-04-27T23:12:11Z
2023-04-01,665,0.00,7.7,417200,2026-04-27T23:12:11Z
