category_code,data_type_code,period,value_thousand,mom_pct,yoy_pct,captured_at
UNDERCONST,SINGLE,2024-04,678,-1.74,,2026-04-27T23:10:23Z
UNDERCONST,SINGLE,2024-05,674,-0.59,,2026-04-27T23:10:23Z
UNDERCONST,SINGLE,2024-06,662,-1.78,,2026-04-27T23:10:23Z
UNDERCONST,SINGLE,2024-07,645,-2.57,,2026-04-27T23:10:23Z
UNDERCONST,SINGLE,2024-08,642,-0.47,,2026-04-27T23:10:23Z
UNDERCONST,SINGLE,2024-09,647,0.78,,2026-04-27T23:10:23Z
UNDERCONST,SINGLE,2024-10,641,-0.93,,2026-04-27T23:10:23Z
UNDERCONST,SINGLE,2024-11,636,-0.78,,2026-04-27T23:10:23Z
UNDERCONST,SINGLE,2024-12,641,0.79,,2026-04-27T23:10:23Z
UNDERCONST,SINGLE,2025-01,638,-0.47,,2026-04-27T23:10:23Z
UNDERCONST,SINGLE,2025-02,644,0.94,-5.29,2026-04-27T23:10:23Z
UNDERCONST,SINGLE,2025-03,633,-1.71,-8.26,2026-04-27T23:10:23Z
UNDERCONST,SINGLE,2025-04,631,-0.32,-6.93,2026-04-27T23:10:23Z
UNDERCONST,SINGLE,2025-05,626,-0.79,-7.12,2026-04-27T23:10:23Z
UNDERCONST,SINGLE,2025-06,626,0.00,-5.44,2026-04-27T23:10:23Z
UNDERCONST,SINGLE,2025-07,624,-0.32,-3.26,2026-04-27T23:10:23Z
UNDERCONST,SINGLE,2025-08,609,-2.40,-5.14,2026-04-27T23:10:23Z
UNDERCONST,SINGLE,2025-09,603,-0.99,-6.80,2026-04-27T23:10:23Z
UNDERCONST,SINGLE,2025-10,596,-1.16,-7.02,2026-04-27T23:10:23Z
UNDERCONST,SINGLE,2025-11,589,-1.17,-7.39,2026-04-27T23:10:23Z
UNDERCONST,SINGLE,2025-12,585,-0.68,-8.74,2026-04-27T23:10:23Z
UNDERCONST,SINGLE,2026-01,582,-0.51,-8.78,2026-04-27T23:10:23Z
UNDERCONST,TOTAL,2024-02,1653,,,2026-04-27T23:10:23Z
UNDERCONST,TOTAL,2024-03,1641,-0.73,,2026-04-27T23:10:23Z
UNDERCONST,TOTAL,2024-04,1612,-1.77,,2026-04-27T23:10:23Z
UNDERCONST,TOTAL,2024-05,1593,-1.18,,2026-04-27T23:10:23Z
UNDERCONST,TOTAL,2024-06,1572,-1.32,,2026-04-27T23:10:23Z
UNDERCONST,TOTAL,2024-07,1549,-1.46,,2026-04-27T23:10:23Z
UNDERCONST,TOTAL,2024-08,1519,-1.94,,2026-04-27T23:10:23Z
UNDERCONST,TOTAL,2024-09,1491,-1.84,,2026-04-27T23:10:23Z
UNDERCONST,TOTAL,2024-10,1462,-1.95,,2026-04-27T23:10:23Z
UNDERCONST,TOTAL,2024-11,1434,-1.92,,2026-04-27T23:10:23Z
UNDERCONST,TOTAL,2024-12,1427,-0.49,,2026-04-27T23:10:23Z
UNDERCONST,TOTAL,2025-01,1402,-1.75,,2026-04-27T23:10:23Z
UNDERCONST,TOTAL,2025-02,1408,0.43,-14.82,2026-04-27T23:10:23Z
UNDERCONST,TOTAL,2025-03,1401,-0.50,-14.63,2026-04-27T23:10:23Z
UNDERCONST,TOTAL,2025-04,1393,-0.57,-13.59,2026-04-27T23:10:23Z
UNDERCONST,TOTAL,2025-05,1366,-1.94,-14.25,2026-04-27T23:10:23Z
UNDERCONST,TOTAL,2025-06,1348,-1.32,-14.25,2026-04-27T23:10:23Z
UNDERCONST,TOTAL,2025-07,1343,-0.37,-13.30,2026-04-27T23:10:23Z
UNDERCONST,TOTAL,2025-08,1313,-2.23,-13.56,2026-04-27T23:10:23Z
UNDERCONST,TOTAL,2025-09,1323,0.76,-11.27,2026-04-27T23:10:23Z
UNDERCONST,TOTAL,2025-10,1310,-0.98,-10.40,2026-04-27T23:10:23Z
UNDERCONST,TOTAL,2025-11,1301,-0.69,-9.27,2026-04-27T23:10:23Z
UNDERCONST,TOTAL,2025-12,1279,-1.69,-10.37,2026-04-27T23:10:23Z
UNDERCONST,TOTAL,2026-01,1268,-0.86,-9.56,2026-04-27T23:10:23Z
