category_code,data_type_code,period,value_thousand,mom_pct,yoy_pct,captured_at
ACOMPLETIONS,TOTAL,2025-10,1430,4.23,-12.59,2026-04-27T23:10:23Z
ACOMPLETIONS,TOTAL,2025-11,1463,2.31,-9.58,2026-04-27T23:10:23Z
ACOMPLETIONS,TOTAL,2025-12,1457,-0.41,-4.58,2026-04-27T23:10:23Z
ACOMPLETIONS,TOTAL,2026-01,1527,4.80,-7.51,2026-04-27T23:10:23Z
APERMITS,MULTI,2024-02,487,,,2026-04-27T23:10:23Z
APERMITS,MULTI,2024-03,439,-9.86,,2026-04-27T23:10:23Z
APERMITS,MULTI,2024-04,420,-4.33,,2026-04-27T23:10:23Z
APERMITS,MULTI,2024-05,393,-6.43,,2026-04-27T23:10:23Z
APERMITS,MULTI,2024-06,468,19.08,,2026-04-27T23:10:23Z
APERMITS,MULTI,2024-07,438,-6.41,,2026-04-27T23:10:23Z
APERMITS,MULTI,2024-08,452,3.20,,2026-04-27T23:10:23Z
APERMITS,MULTI,2024-09,412,-8.85,,2026-04-27T23:10:23Z
APERMITS,MULTI,2024-10,408,-0.97,,2026-04-27T23:10:23Z
APERMITS,MULTI,2024-11,484,18.63,,2026-04-27T23:10:23Z
APERMITS,MULTI,2024-12,434,-10.33,,2026-04-27T23:10:23Z
APERMITS,MULTI,2025-01,416,-4.15,,2026-04-27T23:10:23Z
APERMITS,MULTI,2025-02,404,-2.88,-17.04,2026-04-27T23:10:23Z
APERMITS,MULTI,2025-03,451,11.63,2.73,2026-04-27T23:10:23Z
APERMITS,MULTI,2025-04,438,-2.88,4.29,2026-04-27T23:10:23Z
APERMITS,MULTI,2025-05,442,0.91,12.47,2026-04-27T23:10:23Z
APERMITS,MULTI,2025-06,477,7.92,1.92,2026-04-27T23:10:23Z
APERMITS,MULTI,2025-07,432,-9.43,-1.37,2026-04-27T23:10:23Z
APERMITS,MULTI,2025-08,420,-2.78,-7.08,2026-04-27T23:10:23Z
APERMITS,MULTI,2025-09,479,14.05,16.26,2026-04-27T23:10:23Z
APERMITS,MULTI,2025-10,478,-0.21,17.16,2026-04-27T23:10:23Z
APERMITS,MULTI,2025-11,436,-8.79,-9.92,2026-04-27T23:10:23Z
APERMITS,MULTI,2025-12,523,19.95,20.51,2026-04-27T23:10:23Z
APERMITS,MULTI,2026-01,458,-12.43,10.10,2026-04-27T23:10:23Z
APERMITS,SINGLE,2024-02,1032,,,2026-04-27T23:10:23Z
APERMITS,SINGLE,2024-03,986,-4.46,,2026-04-27T23:10:23Z
APERMITS,SINGLE,2024-04,983,-0.30,,2026-04-27T23:10:23Z
APERMITS,SINGLE,2024-05,959,-2.44,,2026-04-27T23:10:23Z
APERMITS,SINGLE,2024-06,945,-1.46,,2026-04-27T23:10:23Z
APERMITS,SINGLE,2024-07,945,0.00,,2026-04-27T23:10:23Z
APERMITS,SINGLE,2024-08,967,2.33,,2026-04-27T23:10:23Z
APERMITS,SINGLE,2024-09,962,-0.52,,2026-04-27T23:10:23Z
APERMITS,SINGLE,2024-10,967,0.52,,2026-04-27T23:10:23Z
APERMITS,SINGLE,2024-11,973,0.62,,2026-04-27T23:10:23Z
APERMITS,SINGLE,2024-12,989,1.64,,2026-04-27T23:10:23Z
APERMITS,SINGLE,2025-01,988,-0.10,,2026-04-27T23:10:23Z
APERMITS,SINGLE,2025-02,992,0.40,-3.88,2026-04-27T23:10:23Z
APERMITS,SINGLE,2025-03,972,-2.02,-1.42,2026-04-27T23:10:23Z
APERMITS,SINGLE,2025-04,923,-5.04,-6.10,2026-04-27T23:10:23Z
APERMITS,SINGLE,2025-05,899,-2.60,-6.26,2026-04-27T23:10:23Z
APERMITS,SINGLE,2025-06,866,-3.67,-8.36,2026-04-27T23:10:23Z
APERMITS,SINGLE,2025-07,875,1.04,-7.41,2026-04-27T23:10:23Z
APERMITS,SINGLE,2025-08,858,-1.94,-11.27,2026-04-27T23:10:23Z
APERMITS,SINGLE,2025-09,880,2.56,-8.52,2026-04-27T23:10:23Z
APERMITS,SINGLE,2025-10,878,-0.23,-9.20,2026-04-27T23:10:23Z
APERMITS,SINGLE,2025-11,896,2.05,-7.91,2026-04-27T23:10:23Z
APERMITS,SINGLE,2025-12,881,-1.67,-10.92,2026-04-27T23:10:23Z
