facility_id,name,state,city,zip,fips,closed,region,parent_co,captured_at
35007GCTMT11TTA,AGC AUTOMOTIVE ALABAMA INC,AL,ALABASTER,35007,01117,0,4,AGC AUTOMOTIVE ALABAMA INC,2026-04-27T21:14:23Z
3500WGCGLS184CR,AGC GLASS CO NA,AL,ALABASTER,35007,01117,0,4,AGC GLASS CO NA,2026-04-27T21:14:23Z
35007VNTPL700IN,AVANTI POLAR LIPIDS INC,AL,ALABASTER,35007,01117,0,4,AVANTI POLAR LIPIDS INC,2026-04-27T21:14:23Z
35006CVLNG529MU,COVOL ENGINEERED FUELS LC CEF3,AL,ADGER,35006,01073,0,4,COVOL ENGINEERED FUELS LC CEF3,2026-04-27T21:14:23Z
3500WDSHZC19AIR,DESHAZO CRANE CO,AL,ALABASTER,35007,01117,0,4,DESHAZO CRANE CO,2026-04-27T21:14:23Z
3166WSHRMN256TH,FAIRBURN RM - PHENIX CITY PLANT,AL,PHENIX CITY,36869,01113,0,4,FAIRBURN RM - PHENIX CITY PLANT,2026-04-27T21:14:23Z
35007LFRGL1235F,LAFARGE ALABASTER R/M,AL,ALABASTER,35007,01117,0,4,JAMES FORBES,2026-04-27T21:14:23Z
35007CHMCL404FI,LHOIST NA OF ALABAMA-ALABASTER PLANT,AL,ALABASTER,35007,01117,0,4,LHOIST NA OF ALABAMA-ALABASTER P,2026-04-27T21:14:23Z
35007MGNMP166LN,MAGNUM PRODUCTS,AL,ALABASTER,35007,01117,0,4,MAGNUM PRODUCTS,2026-04-27T21:14:23Z
35004MLLRR2523C,MILLER URETHANE PRODUCTS INC,AL,MOODY,35004,01115,0,4,MILLER URETHANE PRODUCTS INC,2026-04-27T21:14:23Z
35006SSTLM8800O,OAK GROVE RESOURCES LLC-CONCORD PREP PLANT/OAK G,AL,ADGER,35006,01073,0,4,OAK GROVE RESOURCES LLC-CONCORD ,2026-04-27T21:14:23Z
3500WPRCSN52MAR,PRECISION HUSKY CORP,AL,MOODY,35004,01115,0,4,PRECISION HUSKY CORP,2026-04-27T21:14:23Z
