facility_id,name,state,city,zip,fips,closed,region,parent_co,captured_at
3500WRDYMX2486H,READY MIX USA LLC - ALABASTER PLANT,AL,ALABASTER,35007,01117,0,4,READY MIX USA LLC - ALABASTER PL,2026-04-27T21:14:23Z
35007SPCFCHWY31,SPECIFICATION RUBBER PRODUCTS INC,AL,ALABASTER,35007,01117,0,4,SPECIFICATION RUBBER PRODUCTS IN,2026-04-27T21:14:23Z
35004STCLR100KA,ST CLAIR MFG,AL,MOODY,35004,01115,0,4,ST CLAIR MFG,2026-04-27T21:14:23Z
35004VLCNN3DISP,VULCAN INDUSTRIES,AL,MOODY,35004,01115,0,4,VULCAN INDUSTRIES,2026-04-27T21:14:23Z
85004RZNPL618SO,ARIZONA PLATING & ANODIZING CO INC,AZ,PHOENIX,85004,04013,0,9,ARIZONA PLATING & ANODIZING CO I,2026-04-27T21:14:23Z
85004RBLNS61EWA,AZELIS AMERICAS CASE LLC,AZ,PHOENIX,85004,04013,0,9,AZELIS AMERICAS CASE LLC,2026-04-27T21:14:23Z
85007CHMRS1122W,CHEMRESEARCH CO. INC.,AZ,PHOENIX,85007,04013,0,9,CHEMRESEARCH CO. INC.,2026-04-27T21:14:23Z
85007SFTYK1340W,CLEAN HARBORS ARIZONA,AZ,PHOENIX,85007,04013,0,9,CLEAN HARBORS ARIZONA,2026-04-27T21:14:23Z
85003RLSFB128WM,EARL'S FIBERGLASS INC,AZ,PHOENIX,85003,04013,1,9,EARL'S FIBERGLASS INC,2026-04-27T21:14:23Z
85007NNVTV2575S,INNOVATIVE WASTE UTILIZATION LLC,AZ,PHOENIX,85007,04013,0,9,INNOVATIVE WASTE UTILIZATION LLC,2026-04-27T21:14:23Z
85004LNCLN234EM,LINCOLN LASER CO,AZ,PHOENIX,850042885,04013,0,9,LINCOLN LASER CO,2026-04-27T21:14:23Z
85007PTFBN1550W,OPTIFAB INC,AZ,PHOENIX,850072442,04013,1,9,OPTIFAB INC,2026-04-27T21:14:23Z
85007PHNXB1814S,PHOENIX BRICK YARD,AZ,PHOENIX,85007,04013,0,9,PHOENIX BRICK YARD,2026-04-27T21:14:23Z
85007PHNXM2308S,PHOENIX METALLICS,AZ,PHOENIX,85007,04013,0,9,PHOENIX METALLICS,2026-04-27T21:14:23Z
85004QLTYP1829S,QUALITY PRINTED CIRCUITS CORP,AZ,PHOENIX,85004,04013,0,9,QUALITY PRINTED CIRCUITS CORP.,2026-04-27T21:14:23Z
85004QLTYP4837S,QUALITY PRINTED CIRCUITS CORP,AZ,PHOENIX,85040,04013,1,9,QUALITY PRINTED CIRCUITS CORP,2026-04-27T21:14:23Z
85004TRNDW261EU,TRENDWOOD INC,AZ,PHOENIX,85004,04013,0,9,TRENDWOOD INC.,2026-04-27T21:14:23Z
85007TRNDW2402S,TRENDWOOD INC,AZ,PHOENIX,85007,04013,0,9,TRENDWOOD INC,2026-04-27T21:14:23Z
85004WTRNG22EAS,WATER ENG SERVICES INC,AZ,PHOENIX,850042514,04013,0,9,WATER ENG SERVICES INC,2026-04-27T21:14:23Z
85005WDSTF1635S,WOODSTUFF MFG INC,AZ,PHOENIX,85009,04013,0,9,WOODSTUFF MFG. INC.,2026-04-27T21:14:23Z
90001LLYMT1000E,ALLOY METALS CO INC,CA,LOS ANGELES,90001,06037,0,9,ALLOY METALS CO INC,2026-04-27T21:14:23Z
90001LLYSC1960E,ALLOYS CLEANING INC,CA,LOS ANGELES,90001,06037,0,9,ALLOYS CLEANING INC,2026-04-27T21:14:23Z
90001RRWPL713E6,ARROW PLATING CO,CA,LOS ANGELES,90001,06037,0,9,ARROW PLATING CO,2026-04-27T21:14:23Z
90001BLCRL1920R,"BLUE CORAL INC, MCKAY CHEMICAL DIV",CA,HUNTINGTON PARK,900010409,06037,1,9,"BLUE CORAL INC, MCKAY CHEMICAL D",2026-04-27T21:14:23Z
90001CSTML7006S,CUSTOM LITHOGRAPH,CA,LOS ANGELES,90001,06037,0,9,CUSTOM LITHOGRAPH,2026-04-27T21:14:23Z
90001FRBST6715M,DA STUART CO,CA,LOS ANGELES,90001,06037,0,9,D.A. STUART CO,2026-04-27T21:14:23Z
90002DYMFG2159E,EDEY MANUFACTURING CO INC,CA,LOS ANGELES,90002,06037,0,9,EDEY MANUFACTURING CO INC,2026-04-27T21:14:23Z
90001FBRCT724E6,FABRI COTE,CA,LOS ANGELES,90001,06037,0,9,FABRI COTE,2026-04-27T21:14:23Z
90001GNRLC7542M,GENERAL CARBON CO,CA,LOS ANGELES,90001,06037,0,9,GENERAL CARBON CO,2026-04-27T21:14:23Z
90001MRVNL6100S,"HUBBELL LIGHTING INC, MARVIN ELECTRIC MFG CO",CA,LOS ANGELES,90001,06037,1,9,"HUBBELL LIGHTING INC, MARVIN ELE",2026-04-27T21:14:23Z
90001MDRNF1700E,MODERN FAUCET MANUFACTURING CO,CA,LOS ANGELES,90001,06037,0,9,MODERN FAUCET MANUFACTURING CO,2026-04-27T21:14:23Z
90001MDNWS6309S,MODINE AFTERMARKET HOLDINGS INC,CA,LOS ANGELES,90001,06037,0,9,MODINE AFTERMARKET HOLDINGS INC,2026-04-27T21:14:23Z
90001BCNCX935E5,NEWARK CUSTOM PAPERBOARD,CA,LOS ANGELES,900011007,06037,1,9,NEWARK CUSTOM PAPERBOARD,2026-04-27T21:14:23Z
90001PRVPN6624S,PERVO PAINT CO,CA,LOS ANGELES,900010496,06037,0,9,PERVO PAINT CO,2026-04-27T21:14:23Z
90001SLVST8125B,SILVESTRI CALIFORNIA,CA,LOS ANGELES,90001,06037,0,9,SILVESTRI CALIFORNIA,2026-04-27T21:14:23Z
90001STNDR81181,"STANDARD NICKEL-CHROMIUM, PLATING CO",CA,LOS ANGELES,90001,06037,0,9,STANDARD NICKEL-CHROMIUM PLATING,2026-04-27T21:14:23Z
32037SRYBT100SE,BOSTON WHALER FLAGLER FACILITY,FL,FLAGLER BEACH,32136,12035,0,4,BOSTON WHALER FLAGLER FACILITY,2026-04-27T21:14:23Z
32043CRLSL4035R,CARLISLE CONTAINER MFG CORP,FL,GREEN COVE SPRINGS,32043,12019,0,4,CARLISLE CONTAINER MFG CORP,2026-04-27T21:14:23Z
32032CRNDP308OL,COMPLEMENTARY COATINGS CORP,FL,EDGEWATER,32132,12127,0,4,COMPLEMENTARY COATINGS CORP,2026-04-27T21:14:23Z
32043DZRGY3529E,DOZIER & GAY PAINT CO,FL,GREEN COVE SPRINGS,32043,12019,0,4,DOZIER & GAY PAINT CO,2026-04-27T21:14:23Z
32034FLRDP105BR,FLORIDA PETROLEUM CORP,FL,FERNANDINA BEACH,32034,12089,0,4,FLORIDA PETROLEUM CORP,2026-04-27T21:14:23Z
32043FLRDS3000C,FLORIDA SOLITE CO,FL,GREEN COVE SPRINGS,32043,12019,0,4,FLORIDA SOLITE CO.,2026-04-27T21:14:23Z
32043HPPGR419US,FORTERRA PIPE & PRECAST - GREEN COVE SPRINGS,FL,GREEN COVE SPRINGS,32043,12019,0,4,FORTERRA PIPE & PRECAST - GREEN ,2026-04-27T21:14:23Z
32015GNRLL1800V,"GE CO, SAS",FL,DAYTONA BEACH,32114,12127,1,4,"GE CO, SAS",2026-04-27T21:14:23Z
32025GRTSTHWY10,GREAT SOUTH TIMBER & LUMBER LLC,FL,LAKE CITY,32025,12023,0,4,GREAT SOUTH TIMBER & LUMBER LLC,2026-04-27T21:14:23Z
32025HNTRP388SE,HUNTER PANELS A DIV OF CARLISLE CONSTRUCTION MAT,FL,LAKE CITY,32025,12023,0,4,HUNTER PANELS A DIV OF CARLISLE ,2026-04-27T21:14:23Z
3203WLGNTC1GUMS,LIGNOTECH FLORIDA LLC,FL,FERNANDINA BEACH,32034,12089,0,4,LIGNOTECH FLORIDA LLC,2026-04-27T21:14:23Z
3200WLDCSTPBX46,OLDCASTLE LAWN & GARDEN BOSTWICK,FL,BOSTWICK,32007,12107,0,4,OLDCASTLE LAWN & GARDEN BOSTWICK,2026-04-27T21:14:23Z
32034TTRYNFOOTO,RAYONIER PERFORMANCE FIBERS LLC FERNANDINA PLANT,FL,FERNANDINA BEACH,32034,12089,0,4,RAYONIER PERFORMANCE FIBERS LLC ,2026-04-27T21:14:23Z
32008SWNNM5117U,SUWANNEE AMERICAN CEMENT,FL,BRANFORD,32008,12121,0,4,SUWANNEE AMERICAN CEMENT,2026-04-27T21:14:23Z
3203WTRMCM3657D,TITAN FLORIDA LLC-ST. AUGUSTINE (ELKTON) RMC/DIS,FL,ELKTON,32033,12109,0,4,TITAN FLORIDA LLC-ST. AUGUSTINE ,2026-04-27T21:14:23Z
32034CNTNRNORTH,WESTROCK,FL,FERNANDINA BEACH,32034,12089,0,4,WESTROCK,2026-04-27T21:14:23Z
3000WLPHRT1147N,ALPHARETTA READY-MIX,GA,ALPHARETTA,30009,13121,0,4,ALPHARETTA READY-MIX,2026-04-27T21:14:23Z
3000WRGSRD1155W,ARGOS READY MIX LLC - ALPHARETTA CONCRETE PLANT,GA,ALPHARETTA,30009,13121,0,4,ARGOS READY MIX LLC - ALPHARETTA,2026-04-27T21:14:23Z
30001STLLB3100W,CARAUSTAR MILL GROUP INC AUSTELL BOXBOARD MILLS,GA,AUSTELL,30106,13067,0,4,CARAUSTAR MILL GROUP INC AUSTELL,2026-04-27T21:14:23Z
30001SWTWT5700P,CARAUSTAR MILL GROUP INC-SWEETWATER PAPERBOARD,GA,AUSTELL,30106,13067,0,4,CARAUSTAR MILL GROUP INC-SWEETWA,2026-04-27T21:14:23Z
30005CHMNC185BL,CHEMENCE INC.,GA,ALPHARETTA,30005,13117,0,4,,2026-04-27T21:14:23Z
30004HNSGR1490B,"HANSGROHE, INC",GA,ALPHARETTA,30004,13117,0,4,"HANSGROHE, INC",2026-04-27T21:14:23Z
3000WHPWLL594GA,HOPEWELL DESIGNS INC.,GA,ALPHARETTA,30004,13117,0,4,HOPEWELL DESIGNS INC.,2026-04-27T21:14:23Z
30005NNVTV195WI,INNOVATIVE CIRCUITS INC,GA,ALPHARETTA,30005,13117,0,4,INNOVATIVE CIRCUITS INC,2026-04-27T21:14:23Z
30004LPRTW1400B,INNOVATIVE WATER CARE LLC,GA,ALPHARETTA,30004,13117,0,4,INNOVATIVE WATER CARE LLC,2026-04-27T21:14:23Z
30004L3CMM1355B,L3HARRIS AVIATION PRODUCTS INC,GA,ALPHARETTA,30004,13117,0,4,L3HARRIS AVIATION PRODUCTS INC,2026-04-27T21:14:23Z
3000WRDYMX11395,READY MIX USA LLC - ALPHARETTA PLANT,GA,ALPHARETTA,30009,13121,0,4,READY MIX USA LLC - ALPHARETTA P,2026-04-27T21:14:23Z
30004RGLCH600BR,REGAL CHEMICAL CO,GA,ALPHARETTA,30004,13117,0,4,REGAL CHEMICAL CO,2026-04-27T21:14:23Z
3000WRTDCM613SH,ROTO-DIE CO INC.,GA,ALPHARETTA,30005,13117,1,4,ROTO-DIE CO INC.,2026-04-27T21:14:23Z
30001WRMDW3055P,W R MEADOWS OF GEORGIA,GA,AUSTELL,30001,13067,0,4,W. R. MEADOWS OF GEORGIA,2026-04-27T21:14:23Z
30004MRTNK1055U,WIKOFF COLOR CORP,GA,ALPHARETTA,30004,13117,0,4,WIKOFF COLOR CORP,2026-04-27T21:14:23Z
30001WRMDW100RI,WR MEADOWS OF GEORGIA,GA,CARTERSVILLE,30001,13015,0,4,WR MEADOWS OF GEORGIA,2026-04-27T21:14:23Z
60005LDNTT616EB,ALDEN & OTT PRINTING INKS CO,IL,ARLINGTON HEIGHTS,60005,17031,0,5,ALDEN & OTT PRINTING INKS CO,2026-04-27T21:14:23Z
60005MRSHM2636S,AMERSHAM CORP,IL,ARLINGTON HEIGHTS,600054692,17031,0,5,AMERSHAM CORP,2026-04-27T21:14:23Z
60005MGNCS1117E,AMPCO METAL INC,IL,ARLINGTON HEIGHTS,60005,17031,0,5,AMPCO METAL INC,2026-04-27T21:14:23Z
60005BRTTN3010M,BRITT INDUSTRIES INC,IL,ARLINGTON HEIGHTS,60005,17031,0,5,BRITT INDUSTRIES INC,2026-04-27T21:14:23Z
60005BRKND511WA,BUHRKE INDUSTRIES LLC,IL,ARLINGTON HEIGHTS,60005,17031,0,5,BUHRKE INDUSTRIES LLC,2026-04-27T21:14:23Z
60002CRCTS896AN,CIRCUIT SYSTEMS INC,IL,ANTIOCH,60002,17097,0,5,CIRCUIT SYSTEMS INC,2026-04-27T21:14:23Z
60005CTGRL2316T,CITGO ARLINGTON HEIGHTS TERMINAL,IL,ARLINGTON HEIGHTS,60005,17031,0,5,CITGO ARLINGTON HEIGHTS TERMINAL,2026-04-27T21:14:23Z
60005MBLLD2312T,EXXONMOBIL OIL CORP DES PLAINES TERMINAL,IL,ARLINGTON HEIGHTS,60005,17031,0,5,EXXONMOBIL OIL CORP DES PLAINES ,2026-04-27T21:14:23Z
60004HNYWL1500W,HONEYWELL INC,IL,ARLINGTON HEIGHTS,60004,17031,0,5,HONEYWELL INC,2026-04-27T21:14:23Z
60002VHCLM151SR,IMMI VEHICLE IMPROVEMENT PRODUCTS,IL,ANTIOCH,60002,17097,0,5,IMMI VEHICLE IMPROVEMENT PRODUCT,2026-04-27T21:14:23Z
60004MTRLN1501W,MOTOROLA INC,IL,ARLINGTON HEIGHTS,60004,17031,0,5,MOTOROLA INC,2026-04-27T21:14:23Z
60004NRTHR600WU,NORTHROP CORP DEFENSE SYSTEMS DIV,IL,ARLINGTON HEIGHTS,60004,17031,1,5,NORTHROP CORP DEFENSE SYSTEMS DI,2026-04-27T21:14:23Z
60002NWYSP905AN,NUWAY SPEAKER PRODUCTS INC,IL,ANTIOCH,60002,17097,0,5,NUWAY SPEAKER PRODUCTS INC,2026-04-27T21:14:23Z
60002PCKRD782PI,PICKARD INC,IL,ANTIOCH,60002,17097,0,5,PICKARD INC,2026-04-27T21:14:23Z
60005DSPLN1605A,TRITON WEST LLC - SHELL DES PLAINES TERMINAL,IL,ARLINGTON HEIGHTS,60005,17031,0,5,TRITON WEST LLC - SHELL DES PLAI,2026-04-27T21:14:23Z
60004RKXRY600WU,VARIAN X-RAY PRODUCTS,IL,ARLINGTON HEIGHTS,60004,17031,0,5,VARIAN X-RAY PRODUCTS,2026-04-27T21:14:23Z
46012BCRLC705ES,ABC /NACO CORP,IN,ANDERSON,46012,18095,0,5,ABC /NACO CORP,2026-04-27T21:14:23Z
46015BSTVR722BR,BEST-EVER DAIRY PRODUCTS,IN,ANDERSON,46012,18095,0,5,BEST-EVER DAIRY PRODUCTS,2026-04-27T21:14:23Z
46013DLCRM6825P,DELCO REMY AMERICA  ALLIANCE PARK,IN,ANDERSON,46013,18095,0,5,DELCO REMY AMERICA  ALLIANCE PAR,2026-04-27T21:14:23Z
46013DLCRM7225A,DELCO REMY AMERICA AMERICAN WAY,IN,ANDERSON,46013,18095,0,5,DELCO REMY AMERICA AMERICAN WAY,2026-04-27T21:14:23Z
46013DLCPR2902E,DELCO REMY AMERICA INC,IN,ANDERSON,46013,18095,0,5,DELCO REMY AMERICA INC,2026-04-27T21:14:23Z
46018DLCRM2405C,DELCO REMY AMERICA INC,IN,ANDERSON,46018,18095,0,5,DELCO REMY AMERICA INC,2026-04-27T21:14:23Z
46018DLCRM2401C,DELPHI AUTOMOTIVE SYSTEMS LLC - ANDERSON,IN,ANDERSON,46013,18095,1,5,DELPHI AUTOMOTIVE SYSTEMS LLC,2026-04-27T21:14:23Z
46011MGPCK2000W,EMGE PACKING CO INC,IN,ANDERSON,46011,18095,0,5,EMGE PACKING CO INC,2026-04-27T21:14:23Z
46013MGNQN6435S,MAGNEQUENCH INTERNATIONAL INC,IN,ANDERSON,460139606,18095,0,5,MAGNEQUENCH INTERNATIONAL INC,2026-04-27T21:14:23Z
4601WGRNVL3511W,MORIROKU TECHNOLOGY N.A. - A,IN,ANDERSON,46011,18095,0,5,MORIROKU TECHNOLOGY N.A. - A,2026-04-27T21:14:23Z
2623WNLSTL999EA,O'NEAL MANUFACTURING SERVICES,IN,INDIANAPOLIS,46236,18097,0,5,O'NEAL MANUFACTURING SERVICES,2026-04-27T21:14:23Z
4600WPTBRF13179,POET BIOREFINING ALEXANDRIA LLC,IN,ALEXANDRIA,46001,18095,0,5,POET BIOREFINING ALEXANDRIA LLC,2026-04-27T21:14:23Z
46016THPQC1900C,PQ CORP,IN,ANDERSON,46016,18095,0,5,PQ CORP,2026-04-27T21:14:23Z
46015PRMBT230JA,PRIME BATTERY MANUFACTURING CO INC,IN,ANDERSON,460160471,18095,0,5,PRIME BATTERY MANUFACTURING CO I,2026-04-27T21:14:23Z
46016GNRLM2915P,SIRMAX N.A. INC,IN,ANDERSON,46016,18095,0,5,SIRMAX N.A. INC,2026-04-27T21:14:23Z
46001SLSSN500WE,SLOSS IND CORP ALEXANDRIA PLANT,IN,ALEXANDRIA,46001,18095,0,5,SLOSS IND CORP ALEXANDRIA PLANT,2026-04-27T21:14:23Z
40004WNSLL1051B,AMERICAN FUJI SEAL,KY,BARDSTOWN,40004,21179,0,4,AMERICAN FUJI SEAL,2026-04-27T21:14:23Z
40004MRCNG800AM,AMERICAN GREETINGS,KY,BARDSTOWN,40004,21179,1,4,AMERICAN GREETINGS,2026-04-27T21:14:23Z
40011LCFJK461IN,ARVIN SANGO INC,KY,CAMPBELLSBURG,40011,21103,0,4,ARVIN SANGO INC,2026-04-27T21:14:23Z
40004BRTNB100BA,BARTON BRANDS LTD,KY,BARDSTOWN,400040788,21179,0,4,BARTON BRANDS LTD.,2026-04-27T21:14:23Z
40004FTNGN903NU,FET ENG INC,KY,BARDSTOWN,40004,21179,0,4,FET ENG INC,2026-04-27T21:14:23Z
4000WRLDYN61WIL,FOUR O CORP,KY,BARDSTOWN,40004,21179,0,4,FOUR O CORP,2026-04-27T21:14:23Z
40004NCNDL901NU,INOAC PACKAGING GROUP,KY,BARDSTOWN,40004,21179,1,4,INOAC PACKAGING GROUP,2026-04-27T21:14:23Z
40019HSSYCMULBE,LIBERTAS COPPER LLC.,KY,EMINENCE,40019,21103,0,4,LIBERTAS COPPER LLC.,2026-04-27T21:14:23Z
40006LSVLL487CO,LOUISVILLE GAS & ELECTRIC CO. - TRIMBLE COUNTY S,KY,BEDFORD,40006,21223,0,4,LOUISVILLE GAS & ELECTRIC CO. - ,2026-04-27T21:14:23Z
40004JDCFB901WI,MITSUBA  BARDSTOWN INC,KY,BARDSTOWN,400042605,21179,0,4,JIDECO OF BARDSTOWN,2026-04-27T21:14:23Z
40004NWCMB1360E,NEWCOMB OIL CO.,KY,BARDSTOWN,40004,21179,0,4,NEWCOMB OIL CO,2026-04-27T21:14:23Z
4000WNPRFM68WIL,NPR OF AMERICA CORP,KY,BARDSTOWN,40004,21179,0,4,NPR OF AMERICA CORP,2026-04-27T21:14:23Z
40010RGCMPHIGHW,RIGO CO,KY,BUCKNER,40010,21185,0,4,RIGO CO.,2026-04-27T21:14:23Z
40004TWRTM850WI,TOWER AUTOMOTIVE,KY,BARDSTOWN,40004,21179,0,4,TOWER AUTOMOTIVE,2026-04-27T21:14:23Z
40004WDRDG900NU,TOWER AUTOMOTIVE,KY,BARDSTOWN,40004,21179,0,4,TOWER AUTOMOTIVE,2026-04-27T21:14:23Z
40004TRMMS1051W,TOYOTA BOSHOKU KENTUCKY L.L.C. -  BARDSTOWN,KY,BARDSTOWN,40004,21179,0,4,TOYOTA BOSHOKU KENTUCKY L.L.C. -,2026-04-27T21:14:23Z
70003BRTMR721AI,BARTO MARBLE CO INC,LA,METAIRIE,70003,22051,0,6,BARTO MARBLE CO INC,2026-04-27T21:14:23Z
7000WBRDWL6825A,BOARDWALK LOUISIANA MIDSTREAM LLC,LA,PLAQUEMINE,70764,22047,0,6,BOARDWALK LOUISIANA MIDSTREAM LL,2026-04-27T21:14:23Z
70001BRDNNA1751,BORDEN INC. DAIRY DIV.,LA,METAIRIE,70001,22051,0,6,BORDEN INC. DAIRY DIV.,2026-04-27T21:14:23Z
70037CHVRNHIGHW,CHEVRON ORONITE CO LLC - OAK POINT PLANT,LA,BELLE CHASSE,70037,22075,0,6,,2026-04-27T21:14:23Z
70037CHGKP1610E,CMP COATINGS INC.,LA,BELLE CHASSE,70037,22075,0,6,,2026-04-27T21:14:23Z
7000WTCPNN155LP,ETC PENNTEX LLC- MOUNT OLIVE GAS PLANT,LA,RUSTON,71268,22061,0,6,ETC PENNTEX LLC- MOUNT OLIVE GAS,2026-04-27T21:14:23Z
70037LLNCRHIGHW,HARVEST LOUISIANA TERMINALS LLC - ALLIANCE TERMI,LA,BELLE CHASSE,70037,22075,0,6,HARVEST LOUISIANA TERMINALS LLC ,2026-04-27T21:14:23Z
70037HBSNG2402E,HOBSON GALVANIZING INC,LA,BELLE CHASSE,70037,22075,0,6,HOBSON GALVANIZING INC,2026-04-27T21:14:23Z
70001LFRGN332AI,HOLCIM - SOR INC. - AIRLINE RMX,LA,METAIRIE,70001,22051,0,6,HOLCIM - SOR INC. - AIRLINE RMX,2026-04-27T21:14:23Z
7000WHSFRF4545H,HOUSE OF RAEFORD FARMS OF LOUISIANA LLC - SIMSBO,LA,SIMSBORO,71275,22061,0,6,HOUSE OF RAEFORD FARMS OF LOUISI,2026-04-27T21:14:23Z
70037PRDCT1402B,JOTUN PAINTS INC,LA,BELLE CHASSE,70037,22075,1,6,JOTUN PAINTS INC,2026-04-27T21:14:23Z
70037KNCLN2805E,KENCOIL INC,LA,BELLE CHASSE,70037,22075,0,6,KENCOIL INC,2026-04-27T21:14:23Z
7000WYCMTH6856L,KOCH METHANOL ST. JAMES LLC,LA,SAINT JAMES,70086,22093,0,6,KOCH METHANOL ST. JAMES LLC,2026-04-27T21:14:23Z
70037LFRGN65ENG,LAFARGE NORTH AMERICAN INC ENGINEER RD RMX,LA,BELLE CHASSE,70037,22075,0,6,ROBERT EATON,2026-04-27T21:14:23Z
70001DLTPT3011L,SAFETY-KLEEN SYSTEMS - METAIRIE,LA,METAIRIE,70001,22051,0,6,SAFETY-KLEEN SYSTEMS - METAIRIE,2026-04-27T21:14:23Z
70032MSTRS7417N,TATE & LYLE NORTH AMERICAN SUGARS INC.,LA,ARABI,700321598,22087,0,6,TATE & LYLE NORTH AMERICAN SUGAR,2026-04-27T21:14:23Z
48001LGNCC9300S,ALGONAC CAST PRODUCTS,MI,ALGONAC,48001,26147,0,5,ALGONAC CAST PRODUCTS,2026-04-27T21:14:23Z
48005RMDRB24586,ARMADA RUBBER MANUFACTURING CO,MI,ARMADA,48005,26099,0,5,ARMADA RUBBER MANUFACTURING CO,2026-04-27T21:14:23Z
48015MDWST23860,CHARTER STEEL INC,MI,CENTER LINE,48015,26099,0,5,CHARTER STEEL INC,2026-04-27T21:14:23Z
48015CHRYS26311,CHRYSLER CORP,MI,CENTER LINE,48015,26099,0,5,CHRYSLER CORP,2026-04-27T21:14:23Z
48017MTKPT18NCR,CLAWSON,MI,CLAWSON,48017,26125,0,5,CLAWSON,2026-04-27T21:14:23Z
48015DVRSF26830,DIVERSIFIED INDUSTRIES,MI,CENTER LINE,48015,26099,0,5,DIVERSIFIED INDUSTRIES,2026-04-27T21:14:23Z
48006DTRTD7000K,DTE ELECTRIC CO - GREENWOOD ENERGY CENTER,MI,AVOCA,48006,26147,0,5,DTE ELECTRIC CO - GREENWOOD ENER,2026-04-27T21:14:23Z
48001FLLSF8061M,FALLS FIBERGLAS PRODUCTS INC,MI,ALGONAC,48001,26147,0,5,FALLS FIBERGLAS PRODUCTS INC,2026-04-27T21:14:23Z
48020GNRLM5260W,GENERAL MOTORS CORP SERVICE PARTS OPERATIONS,MI,DRAYTON PLAINS,48020,26125,0,5,GENERAL MOTORS CORP SERVICE PART,2026-04-27T21:14:23Z
2821WNLNDW486MI,INLAND WATERS POLLUTION CONTROL DETROIT FACILITY,MI,DETROIT,48210,26163,0,5,INLAND WATERS POLLUTION CONTROL ,2026-04-27T21:14:23Z
48017NDNDS1NCRK,ND INDUSTRIES INC.,MI,CLAWSON,48017,26125,0,5,ND INDUSTRIES INC.,2026-04-27T21:14:23Z
48007GRWGR3155W,PPG GROW DETROIT,MI,DETROIT,48227,26163,0,5,PPG INDS.,2026-04-27T21:14:23Z
48008PRDCT2010C,PRODUCT-SOL INC,MI,BIRMINGHAM,48009,26125,0,5,PRODUCT-SOL INC,2026-04-27T21:14:23Z
48021PRDCT23120,PRODUCTION PLATING INC,MI,EASTPOINTE,48021,26099,0,5,PRODUCTION PLATING INC.,2026-04-27T21:14:23Z
48001SNSTN9666K,SUNSATION PRODUCTS INC,MI,CLAY TOWNSHIP,48001,26147,0,5,SUNSATION PRODUCTS INC,2026-04-27T21:14:23Z
48014SPRRM35SMA,SUPERIOR MATERIALS PLANT 24,MI,CAPAC,48014,26147,1,5,SUPERIOR MATERIALS PLANT 24,2026-04-27T21:14:23Z
27025MCFLDPIEDN,ANIFI INC PLANT 6,NC,MADISON,27025,37157,0,4,ANIFI INC PLANT 6,2026-04-27T21:14:23Z
27025BHMFL203EA,BOEHME FILATEX INC MADOL PLANT,NC,MADISON,27025,37157,0,4,BOEHME FILATEX INC. MADOL PLANT,2026-04-27T21:14:23Z
27014BRLNGMAINS,BURLINGTON INDUSTRIES INC VERSATECH PLANT,NC,COOLEEMEE,27014,37059,0,4,BURLINGTON INDUSTRIES INC VERSAT,2026-04-27T21:14:23Z
27008STHRNHWY70,CARGILL FEED & NUTRITION BARBER,NC,CLEVELAND,27013,37159,0,4,CARGILL FEED & NUTRITION BARBER,2026-04-27T21:14:23Z
27021CRSTB3BIGA,CRES TOBACCO CO INC,NC,KING,27021,37067,0,4,CRES TOBACCO CO INC,2026-04-27T21:14:23Z
