ticker,cik,filer_name,filed_date,summary,filing_url
KNTK,0001692787,Kinetik Holdings Inc.,2026-04-27,&lt;b&gt;Filed:&lt;/b&gt; 2026-04-27 &lt;b&gt;AccNo:&lt;/b&gt; 0000905148-26-001883 &lt;b&gt;Size:&lt;/b&gt; 7 KB,https://www.sec.gov/Archives/edgar/data/1692787/000090514826001883/0000905148-26-001883-index.htm
ABT,0000001800,ABBOTT LABORATORIES,2026-04-27,&lt;b&gt;Filed:&lt;/b&gt; 2026-04-27 &lt;b&gt;AccNo:&lt;/b&gt; 0001448074-26-000010 &lt;b&gt;Size:&lt;/b&gt; 12 KB,https://www.sec.gov/Archives/edgar/data/1800/000144807426000010/0001448074-26-000010-index.htm
GSUI,0002034012,Grayscale Sui Staking ETF,2026-04-27,&lt;b&gt;Filed:&lt;/b&gt; 2026-04-27 &lt;b&gt;AccNo:&lt;/b&gt; 0001977454-26-000093 &lt;b&gt;Size:&lt;/b&gt; 7 KB,https://www.sec.gov/Archives/edgar/data/2034012/000197745426000093/0001977454-26-000093-index.htm
GSNR,0002025000,Grayscale Near Trust (NEAR),2026-04-27,&lt;b&gt;Filed:&lt;/b&gt; 2026-04-27 &lt;b&gt;AccNo:&lt;/b&gt; 0001977454-26-000097 &lt;b&gt;Size:&lt;/b&gt; 9 KB,https://www.sec.gov/Archives/edgar/data/2025000/000197745426000097/0001977454-26-000097-index.htm
STCK,0002024996,Grayscale Stacks Trust (STX),2026-04-27,&lt;b&gt;Filed:&lt;/b&gt; 2026-04-27 &lt;b&gt;AccNo:&lt;/b&gt; 0001977454-26-000091 &lt;b&gt;Size:&lt;/b&gt; 9 KB,https://www.sec.gov/Archives/edgar/data/2024996/000197745426000091/0001977454-26-000091-index.htm
DEFG,0001874907,Grayscale Decentralized Finance (DeFi) Fund LLC,2026-04-27,&lt;b&gt;Filed:&lt;/b&gt; 2026-04-27 &lt;b&gt;AccNo:&lt;/b&gt; 0001977454-26-000096 &lt;b&gt;Size:&lt;/b&gt; 8 KB,https://www.sec.gov/Archives/edgar/data/1874907/000197745426000096/0001977454-26-000096-index.htm
GDOG,0002055510,Grayscale Dogecoin Trust ETF,2026-04-27,&lt;b&gt;Filed:&lt;/b&gt; 2026-04-27 &lt;b&gt;AccNo:&lt;/b&gt; 0001977454-26-000094 &lt;b&gt;Size:&lt;/b&gt; 6 KB,https://www.sec.gov/Archives/edgar/data/2055510/000197745426000094/0001977454-26-000094-index.htm
GAVA,0002035053,Grayscale Avalanche Staking ETF,2026-04-27,&lt;b&gt;Filed:&lt;/b&gt; 2026-04-27 &lt;b&gt;AccNo:&lt;/b&gt; 0001977454-26-000088 &lt;b&gt;Size:&lt;/b&gt; 5 KB,https://www.sec.gov/Archives/edgar/data/2035053/000197745426000088/0001977454-26-000088-index.htm
FILG,0001852039,Grayscale Filecoin Trust (FIL),2026-04-27,&lt;b&gt;Filed:&lt;/b&gt; 2026-04-27 &lt;b&gt;AccNo:&lt;/b&gt; 0001977454-26-000090 &lt;b&gt;Size:&lt;/b&gt; 8 KB,https://www.sec.gov/Archives/edgar/data/1852039/000197745426000090/0001977454-26-000090-index.htm
GLNK,0001852025,Grayscale Chainlink Trust ETF,2026-04-27,&lt;b&gt;Filed:&lt;/b&gt; 2026-04-27 &lt;b&gt;AccNo:&lt;/b&gt; 0001977454-26-000092 &lt;b&gt;Size:&lt;/b&gt; 10 KB,https://www.sec.gov/Archives/edgar/data/1852025/000197745426000092/0001977454-26-000092-index.htm
GLIV,0001852024,Grayscale Livepeer Trust (LPT),2026-04-27,&lt;b&gt;Filed:&lt;/b&gt; 2026-04-27 &lt;b&gt;AccNo:&lt;/b&gt; 0001977454-26-000095 &lt;b&gt;Size:&lt;/b&gt; 10 KB,https://www.sec.gov/Archives/edgar/data/1852024/000197745426000095/0001977454-26-000095-index.htm
GDLC,0001729997,Grayscale CoinDesk Crypto 5 ETF,2026-04-27,&lt;b&gt;Filed:&lt;/b&gt; 2026-04-27 &lt;b&gt;AccNo:&lt;/b&gt; 0001977454-26-000089 &lt;b&gt;Size:&lt;/b&gt; 10 KB,https://www.sec.gov/Archives/edgar/data/1729997/000197745426000089/0001977454-26-000089-index.htm
BLK,0002012383,"BlackRock, Inc.",2026-04-27,&lt;b&gt;Filed:&lt;/b&gt; 2026-04-27 &lt;b&gt;AccNo:&lt;/b&gt; 0001059246-26-000001 &lt;b&gt;Size:&lt;/b&gt; 4 KB,https://www.sec.gov/Archives/edgar/data/2012383/000105924626000001/0001059246-26-000001-index.htm
WCN,0001318220,"Waste Connections, Inc.",2026-04-27,&lt;b&gt;Filed:&lt;/b&gt; 2026-04-27 &lt;b&gt;AccNo:&lt;/b&gt; 0001969223-26-000473 &lt;b&gt;Size:&lt;/b&gt; 8 KB,https://www.sec.gov/Archives/edgar/data/1318220/000196922326000473/0001969223-26-000473-index.htm
KALU,0000811596,KAISER ALUMINUM CORP,2026-04-27,&lt;b&gt;Filed:&lt;/b&gt; 2026-04-27 &lt;b&gt;AccNo:&lt;/b&gt; 0001193125-26-182397 &lt;b&gt;Size:&lt;/b&gt; 5 KB,https://www.sec.gov/Archives/edgar/data/811596/000119312526182397/0001193125-26-182397-index.htm
HOWL,0001785530,"Werewolf Therapeutics, Inc.",2026-04-27,&lt;b&gt;Filed:&lt;/b&gt; 2026-04-27 &lt;b&gt;AccNo:&lt;/b&gt; 0001628280-26-027603 &lt;b&gt;Size:&lt;/b&gt; 4 KB,https://www.sec.gov/Archives/edgar/data/1785530/000162828026027603/0001628280-26-027603-index.htm
HOWL,0001785530,"Werewolf Therapeutics, Inc.",2026-04-27,&lt;b&gt;Filed:&lt;/b&gt; 2026-04-27 &lt;b&gt;AccNo:&lt;/b&gt; 0001628280-26-027601 &lt;b&gt;Size:&lt;/b&gt; 5 KB,https://www.sec.gov/Archives/edgar/data/1785530/000162828026027601/0001628280-26-027601-index.htm
HOWL,0001785530,"Werewolf Therapeutics, Inc.",2026-04-27,&lt;b&gt;Filed:&lt;/b&gt; 2026-04-27 &lt;b&gt;AccNo:&lt;/b&gt; 0001628280-26-027598 &lt;b&gt;Size:&lt;/b&gt; 5 KB,https://www.sec.gov/Archives/edgar/data/1785530/000162828026027598/0001628280-26-027598-index.htm
