filed,kind,section,title,url,captured_at
2026-04-24,sustainability,Joint Committee,"Joint Committee annual report highlights digitalisation, cyber resilience and sustainable finance as key priorities of 2025",https://www.esma.europa.eu/press-news/esma-news/joint-committee-annual-report-highlights-digitalisation-cyber-resilience-and,2026-04-27T22:56:58Z
2026-04-21,sustainability,Electronic reporting,ESMA support ESEF implementation with updated taxonomy,https://www.esma.europa.eu/press-news/esma-news/esma-support-esef-implementation-updated-taxonomy,2026-04-27T22:56:58Z
2026-04-16,cra,Credit Rating Agencies,ESMA launches a call for evidence on restricted subscription and private credit ratings,https://www.esma.europa.eu/press-news/esma-news/esma-launches-call-evidence-restricted-subscription-and-private-credit-ratings,2026-04-27T22:56:58Z
2026-04-13,emir,CCP,ESMA releases reporting templates and instructions for the Active Account Requirement,https://www.esma.europa.eu/press-news/esma-news/esma-releases-reporting-templates-and-instructions-active-account-requirement,2026-04-27T22:56:58Z
2026-04-10,rulemaking,ESMA newsletter,ESMA publishes latest edition of its newsletter,https://www.esma.europa.eu/press-news/esma-news/esma-publishes-latest-edition-its-newsletter-42,2026-04-27T22:56:58Z
2026-04-01,mifid,Market data,ESMA clarifies expectations in the run-up to the launch of EU’s Consolidated Tapes,https://www.esma.europa.eu/press-news/esma-news/esma-clarifies-expectations-run-launch-eus-consolidated-tapes,2026-04-27T22:56:58Z
2026-03-27,esas_joint,Joint Committee,ESAs spring risk update highlights geopolitical pressures and rising private finance risks,https://www.esma.europa.eu/press-news/esma-news/esas-spring-risk-update-highlights-geopolitical-pressures-and-rising-private,2026-04-27T22:56:58Z
2026-03-27,press,Trading,Postponement of the rollout for Commodity Derivatives Weekly Position Reporting,https://www.esma.europa.eu/press-news/esma-news/postponement-rollout-commodity-derivatives-weekly-position-reporting,2026-04-27T22:56:58Z
2026-03-18,mar,Market Abuse,SEC confirms exemption for directors and officers of EEA Foreign Private Issuers,https://www.esma.europa.eu/press-news/esma-news/sec-confirms-exemption-directors-and-officers-eea-foreign-private-issuers,2026-04-27T22:56:58Z
2026-03-12,rulemaking,Investor protection,ESMA sets out actions to simplify the retail investor journey and make investing more accessible,https://www.esma.europa.eu/press-news/esma-news/esma-sets-out-actions-simplify-retail-investor-journey-and-make-investing-more,2026-04-27T22:56:58Z
