filer_cik,filer_name,form,filed_date,url,title,captured_at
0001862461,Real Brokerage Inc,425,2026-04-27,https://www.sec.gov/Archives/edgar/data/1862461/000110465926049523/0001104659-26-049523-index.htm,425 - Real Brokerage Inc (0001862461) (Filed by),2026-04-27T23:11:58Z
0001581091,"RE/MAX Holdings, Inc.",425,2026-04-27,https://www.sec.gov/Archives/edgar/data/1581091/000110465926049523/0001104659-26-049523-index.htm,"425 - RE/MAX Holdings, Inc. (0001581091) (Subject)",2026-04-27T23:11:58Z
0001862461,Real Brokerage Inc,425,2026-04-27,https://www.sec.gov/Archives/edgar/data/1862461/000110465926049521/0001104659-26-049521-index.htm,425 - Real Brokerage Inc (0001862461) (Filed by),2026-04-27T23:11:58Z
0001581091,"RE/MAX Holdings, Inc.",425,2026-04-27,https://www.sec.gov/Archives/edgar/data/1581091/000110465926049521/0001104659-26-049521-index.htm,"425 - RE/MAX Holdings, Inc. (0001581091) (Subject)",2026-04-27T23:11:58Z
0001956439,AParadise Acquisition Corp.,425,2026-04-27,https://www.sec.gov/Archives/edgar/data/1956439/000121390026048093/0001213900-26-048093-index.htm,425 - AParadise Acquisition Corp. (0001956439) (Subject),2026-04-27T23:11:58Z
0002092592,Evernorth Holdings Inc.,425,2026-04-27,https://www.sec.gov/Archives/edgar/data/2092592/000095010326006228/0000950103-26-006228-index.htm,425 - Evernorth Holdings Inc. (0002092592) (Subject),2026-04-27T23:11:58Z
0002074850,Spring Valley Acquisition Corp. III,425,2026-04-27,https://www.sec.gov/Archives/edgar/data/2074850/000110465926049461/0001104659-26-049461-index.htm,425 - Spring Valley Acquisition Corp. III (0002074850) (Subject),2026-04-27T23:11:58Z
0001410636,"American Water Works Company, Inc.",425,2026-04-27,https://www.sec.gov/Archives/edgar/data/1410636/000119312526182126/0001193125-26-182126-index.htm,"425 - American Water Works Company, Inc. (0001410636) (Filed by)",2026-04-27T23:11:58Z
0000078128,"Essential Utilities, Inc.",425,2026-04-27,https://www.sec.gov/Archives/edgar/data/78128/000119312526182126/0001193125-26-182126-index.htm,"425 - Essential Utilities, Inc. (0000078128) (Subject)",2026-04-27T23:11:58Z
0002083583,"BSTR Holdings, Inc.",425,2026-04-27,https://www.sec.gov/Archives/edgar/data/2083583/000121390026048013/0001213900-26-048013-index.htm,"425 - BSTR Holdings, Inc. (0002083583) (Filed by)",2026-04-27T23:11:58Z
0002027708,"Cantor Equity Partners I, Inc.",425,2026-04-27,https://www.sec.gov/Archives/edgar/data/2027708/000121390026048013/0001213900-26-048013-index.htm,"425 - Cantor Equity Partners I, Inc. (0002027708) (Subject)",2026-04-27T23:11:58Z
0001618563,National Storage Affiliates Trust,425,2026-04-27,https://www.sec.gov/Archives/edgar/data/1618563/000162828026027486/0001628280-26-027486-index.htm,425 - National Storage Affiliates Trust (0001618563) (Subject),2026-04-27T23:11:58Z
0001393311,Public Storage,425,2026-04-27,https://www.sec.gov/Archives/edgar/data/1393311/000162828026027486/0001628280-26-027486-index.htm,425 - Public Storage (0001393311) (Filed by),2026-04-27T23:11:58Z
0002119292,Bleichroeder Acquisition 2 France,425,2026-04-27,https://www.sec.gov/Archives/edgar/data/2119292/000121390026047995/0001213900-26-047995-index.htm,425 - Bleichroeder Acquisition 2 France (0002119292) (Filed by),2026-04-27T23:11:58Z
0002088295,Bleichroeder Acquisition Corp. II,425,2026-04-27,https://www.sec.gov/Archives/edgar/data/2088295/000121390026047995/0001213900-26-047995-index.htm,425 - Bleichroeder Acquisition Corp. II (0002088295) (Subject),2026-04-27T23:11:58Z
0001862461,Real Brokerage Inc,425,2026-04-27,https://www.sec.gov/Archives/edgar/data/1862461/000110465926049068/0001104659-26-049068-index.htm,425 - Real Brokerage Inc (0001862461) (Filed by),2026-04-27T23:11:58Z
0001581091,"RE/MAX Holdings, Inc.",425,2026-04-27,https://www.sec.gov/Archives/edgar/data/1581091/000110465926049068/0001104659-26-049068-index.htm,"425 - RE/MAX Holdings, Inc. (0001581091) (Subject)",2026-04-27T23:11:58Z
0001862461,Real Brokerage Inc,425,2026-04-27,https://www.sec.gov/Archives/edgar/data/1862461/000110465926049067/0001104659-26-049067-index.htm,425 - Real Brokerage Inc (0001862461) (Filed by),2026-04-27T23:11:58Z
0001581091,"RE/MAX Holdings, Inc.",425,2026-04-27,https://www.sec.gov/Archives/edgar/data/1581091/000110465926049067/0001104659-26-049067-index.htm,"425 - RE/MAX Holdings, Inc. (0001581091) (Subject)",2026-04-27T23:11:58Z
0001879403,La Rosa Holdings Corp.,425,2026-04-27,https://www.sec.gov/Archives/edgar/data/1879403/000121390026047777/0001213900-26-047777-index.htm,425 - La Rosa Holdings Corp. (0001879403) (Subject),2026-04-27T23:11:58Z
0002077033,Miluna Acquisition Corp,425,2026-04-27,https://www.sec.gov/Archives/edgar/data/2077033/000149315226019056/0001493152-26-019056-index.htm,425 - Miluna Acquisition Corp (0002077033) (Subject),2026-04-27T23:11:58Z
0001004702,OCEANFIRST FINANCIAL CORP,425,2026-04-27,https://www.sec.gov/Archives/edgar/data/1004702/000100470226000042/0001004702-26-000042-index.htm,425 - OCEANFIRST FINANCIAL CORP (0001004702) (Subject),2026-04-27T23:11:58Z
0002032379,Willow Lane Acquisition Corp.,425,2026-04-24,https://www.sec.gov/Archives/edgar/data/2032379/000149315226018990/0001493152-26-018990-index.htm,425 - Willow Lane Acquisition Corp. (0002032379) (Subject),2026-04-27T23:11:58Z
0001824920,"IonQ, Inc.",425,2026-04-24,https://www.sec.gov/Archives/edgar/data/1824920/000095014226001188/0000950142-26-001188-index.htm,"425 - IonQ, Inc. (0001824920) (Filed by)",2026-04-27T23:11:58Z
0001819974,"SkyWater Technology, Inc",425,2026-04-24,https://www.sec.gov/Archives/edgar/data/1819974/000095014226001188/0000950142-26-001188-index.htm,"425 - SkyWater Technology, Inc (0001819974) (Subject)",2026-04-27T23:11:58Z
0001819974,"SkyWater Technology, Inc",425,2026-04-24,https://www.sec.gov/Archives/edgar/data/1819974/000119312526177668/0001193125-26-177668-index.htm,"425 - SkyWater Technology, Inc (0001819974) (Subject)",2026-04-27T23:11:58Z
0002092592,Evernorth Holdings Inc.,425,2026-04-24,https://www.sec.gov/Archives/edgar/data/2092592/000095010326006170/0000950103-26-006170-index.htm,425 - Evernorth Holdings Inc. (0002092592) (Subject),2026-04-27T23:11:58Z
0000866829,HELIX ENERGY SOLUTIONS GROUP INC,425,2026-04-24,https://www.sec.gov/Archives/edgar/data/866829/000114036126016703/0001140361-26-016703-index.htm,425 - HELIX ENERGY SOLUTIONS GROUP INC (0000866829) (Subject),2026-04-27T23:11:58Z
0000858470,Coterra Energy Inc.,425,2026-04-24,https://www.sec.gov/Archives/edgar/data/858470/000110465926048587/0001104659-26-048587-index.htm,425 - Coterra Energy Inc. (0000858470) (Subject),2026-04-27T23:11:58Z
0001090012,DEVON ENERGY CORP/DE,425,2026-04-24,https://www.sec.gov/Archives/edgar/data/1090012/000119312526177252/0001193125-26-177252-index.htm,425 - DEVON ENERGY CORP/DE (0001090012) (Subject),2026-04-27T23:11:58Z
